DateTime,AddedIPs,RemovedIPs
1525284454,1,0
1525288065,1,0
1525291648,0,1
1525298855,0,2
1525302450,3,1
1525313244,4,0
1525316844,0,2
1525320437,1,0
1525327648,0,4
1525338443,2,2
1525349229,3,0
1525352849,0,2
1525356429,3,0
1525360032,1,0
1525363639,1,2
1525367228,3,0
1525374453,0,1
1525378057,0,1
1525381618,0,5
1525388829,1,0
1525392436,3,0
1525403235,1,1
1525406842,0,4
1525414042,1,0
1525417625,2,1
1525428470,0,1
1525432063,0,2
1525435604,0,1
1525442826,1,0
1525453635,2,0
1525464434,1,0
1525475259,0,3
1525478809,0,1
1525482439,3,0
1525486045,3,0
1525496873,0,2
1525500464,0,3
1525504045,3,1
1525507630,1,0
1525514850,2,0
1525518463,1,3
1525522035,0,1
1525529246,2,1
1525532832,3,0
1525536442,1,0
1525540038,1,0
1525543632,1,0
1525547254,0,2
1525554441,1,0
1525558050,0,1
1525561636,0,1
1525568831,2,0
1525579656,0,2
1525583240,1,6
1525586818,4,0
1525594043,2,0
1525597638,2,0
1525601244,0,2
1525604852,0,1
1525608687,3,1
1525612037,1,2
1525615630,2,0
1525626463,0,1
1525630027,0,3
1525633640,0,4
1525637247,3,0
1525640846,4,0
1525644435,1,0
1525655218,0,1
1525658863,0,2
1525662433,1,1
1525666052,1,0
1525669622,1,1
1525673228,1,0
1525680455,0,2
1525684072,0,1
1525687642,0,5
1525691243,0,1
1525698439,4,0
1525702036,2,0
1525705650,2,0
1525716467,0,3
1525723628,1,5
1525730865,1,0
1525734435,1,0
1525738055,0,1
1525745278,0,1
1525748876,1,1
1525763264,2,0
1525766859,1,0
1525777694,0,1
1525781254,0,1
1525784850,2,0
1525799236,0,4
1525802862,3,0
1525817270,0,2
1525820850,2,0
1525824475,3,0
1525835236,1,0
1525838841,0,2
1525842471,0,1
1525846044,1,0
1525849667,0,4
1525853243,5,0
1525860457,3,0
1525864064,1,0
1525867682,0,1
1525874868,0,4
1525878441,0,3
1525882068,2,0
1525892873,0,1
1525896456,0,2
1525903656,4,0
1525907269,3,0
1525918059,0,2
1525921663,0,5
1525925238,0,1
1525936041,5,0
1525939622,3,0
1525946835,1,0
1525950448,0,2
1525954034,0,1
1525957656,0,1
1525968482,0,3
1525972043,4,1
1525979260,1,0
1525986454,3,0
1525990043,2,0
1525993652,1,2
1526000851,2,0
1526008061,0,5
1526015247,0,1
1526022450,2,0
1526026047,2,0
1526036870,0,2
1526040479,0,1
1526047696,0,5
1526051234,0,2
1526058456,5,0
1526072843,0,5
1526080041,6,0
1526083677,2,0
1526090849,1,0
1526094488,0,2
1526098069,0,3
1526101656,1,0
1526105277,1,2
1526116056,0,1
1526123265,2,0
1526137651,0,2
1526148490,0,1
1526152042,0,2
1526159244,4,0
1526162875,2,0
1526170086,2,0
1526173636,0,1
1526180864,0,4
1526184443,1,1
1526188052,1,2
