DateTime,AddedIPs,RemovedIPs
1502489277,0,1
1502518107,1,0
1502579291,0,1
1502593712,1,0
1502611692,0,1
1502618909,1,0
1502690861,0,1
1502701690,1,0
1502737667,0,1
1502755725,1,0
1502791676,0,1
1502795290,1,0
1502824056,0,1
1502827694,1,0
1502860065,0,1
1502870885,1,0
1502892459,0,1
1502914103,1,0
1502996863,0,1
1503004110,1,0
1503036471,0,1
1503040119,1,0
1503054492,0,1
1503061717,1,0
1503076098,0,1
1503079742,1,0
1503094070,0,1
1503101355,1,0
1503140882,0,1
1503162517,1,0
1503176895,0,1
1503187758,1,0
1503202118,0,1
1503205723,1,0
1503220071,0,1
1503270526,1,0
1503295701,0,1
1503328134,1,0
1503342497,0,1
1503346117,1,0
1503360537,0,1
1503432513,1,0
1503461274,0,1
1503475691,1,0
1503497263,0,1
1503511709,1,0
1503526077,0,1
1503662916,1,0
1503684469,0,1
1503702513,1,0
1503716857,0,1
1503749318,1,0
1503763672,0,1
1503835710,1,0
1503860857,0,1
1503925715,1,0
1503950885,0,1
1503968940,1,0
1503997697,0,1
1504040919,1,0
1504055293,0,1
1504141707,1,0
1504166885,0,1
1504188541,1,0
1504202888,0,1
1504310963,1,0
1505034505,0,1
1505038109,1,0
1505056083,0,1
1505275715,1,0
1505401679,0,1
1505408921,1,0
1505426910,0,0
1505430519,0,0
1505693284,0,1
1505700525,1,0
1505801293,0,1
1505819318,1,0
1505848093,0,1
1505966880,1,0
1506125306,0,1
1506128907,1,0
1506143256,0,1
1506150499,1,0
1506164859,0,1
1506168488,1,0
1506197250,0,1
1506200890,1,0
1506226082,0,1
1506236880,1,0
1506251274,0,1
1506262083,1,0
1506290867,0,1
1506323295,1,0
1506352078,0,1
1506366502,1,0
1506402488,0,1
1506424092,1,0
1506452863,0,1
1506470946,1,0
1506503296,0,1
1506550102,1,0
1506564516,0,1
1506593328,1,0
1506607696,0,1
1506625729,1,0
1506640100,0,1
1506650923,1,0
1506672492,0,1
1506676131,1,0
1506701299,0,1
1506722938,1,0
1506758896,0,1
1506766115,1,0
1506780491,0,1
1506791325,1,0
1506805695,0,1
1506812914,1,0
1506827307,0,1
1506845326,1,0
1506863307,0,1
1506924526,1,0
1506938882,0,1
1506949731,1,0
1506974904,0,1
1506992893,1,0
1507007289,0,1
1507036110,1,0
1507050472,0,1
1507064915,1,0
1507090097,0,1
1507097302,1,0
1507111692,0,1
1507122532,1,0
1507151268,0,1
1507172938,1,0
1507187282,0,1
1507219718,1,0
1507252068,0,1
1507291724,1,0
1507306101,0,1
1507399705,1,0
1507414083,0,1
1507468149,1,0
1507482486,0,1
1507522152,1,0
1507540116,0,1
1511968141,1,0
1511993281,0,1
1512011316,1,0
1512043693,0,1
1512050907,1,0
1512209277,0,1
1512212938,1,0
1512292052,0,1
1512299301,1,0
1512338864,0,1
1512360514,1,0
1512374873,0,1
1512378514,1,0
1512421687,0,1
1512464919,1,0
1512482891,0,1
1512500925,1,0
1512515293,0,1
1512554913,1,0
1512583678,0,1
1512587311,1,0
1512608870,0,1
1512724129,1,0
1512738505,0,1
1512760121,1,0
1512770928,1,0
1512778161,0,1
1512785325,0,1
1512788946,1,0
1512803288,0,1
1512821336,1,0
1512832116,1,0
1512835741,0,1
1512839333,1,0
1512846539,0,1
1512853684,0,1
1512857312,1,0
1512871843,1,0
1512886073,0,2
1512893297,2,0
1512907673,0,2
1512918503,2,0
1512932894,0,2
1512947321,2,0
1512972529,0,1
1512976098,0,1
1512979748,2,0
1512994106,0,2
1512997734,1,0
1513001347,1,0
1513015696,0,2
1513033731,1,0
1513048100,0,1
1513055329,2,0
1513073332,0,1
1513084109,0,1
1513098527,2,0
1513112917,0,1
1513127290,0,1
1513152504,1,0
1513166892,0,1
1513170513,1,0
1513184920,1,0
1513199330,0,1
1513202935,1,0
1513217284,0,2
1513267703,1,0
1513282149,0,1
1513285736,1,0
1513300087,0,1
1513307325,2,0
1513321729,0,1
1513328883,0,1
1513372113,1,0
1513386474,0,1
1513418955,1,0
1513433263,0,1
1513508913,2,0
1513523280,0,2
1513541314,1,0
1513555704,0,1
1513573721,1,0
1513584523,1,0
1513609688,0,2
1513613342,1,0
1513634899,0,1
1513663717,1,0
1513667343,1,0
1513678123,0,1
1513681704,0,1
1513685311,1,0
1513699730,1,0
1513714116,0,1
1513717676,0,1
1513728580,1,0
1513742908,0,1
1513775315,1,0
1513786118,1,0
1513800554,0,1
1513811350,1,0
1513836550,0,1
1513840134,1,0
1513843741,0,1
1513854512,0,1
1513883330,1,0
1513890532,1,0
1513897751,0,1
1513904897,0,1
1513908543,1,0
1513922896,0,1
1513937340,1,0
1513958896,0,1
1514009322,1,0
1514030867,0,1
1518502122,1,0
1518534484,0,1
1518548860,1,0
1518588461,0,1
1518710876,1,0
1518728828,0,1
1518775752,1,0
1518804421,0,1
1518908862,1,0
1518930453,0,1
1518952081,1,0
1518966457,0,1
1518970092,1,0
1518984490,0,1
1519020468,1,0
1519034881,0,1
1519070871,1,0
1519085293,0,1
1519135674,1,0
1519150058,0,1
1519268870,1,0
1519283286,0,1
1519308869,1,0
1519322867,0,1
1519330078,1,0
1519351621,0,1
1519481275,1,0
1519495629,0,1
1519535273,1,0
1519549672,0,1
1519556873,1,0
1519571233,0,1
1519592909,1,0
1519607280,0,1
1519621712,1,0
1519636087,0,1
1519650492,1,0
1519664894,0,1
1519686498,1,0
1519700876,0,1
1519841315,1,0
1519859252,0,1
1519873689,1,0
1519888063,0,1
1519949267,1,0
1521083227,0,1
1523232504,1,0
1523336853,0,1
1523358491,1,0
1523531269,0,1
1523538544,1,0
1523689629,0,1
1523693263,1,0
1523729258,0,1
1523732872,1,0
1523844426,0,1
1523855281,1,0
1524013684,0,1
1524017286,1,0
1524092892,0,0
