DateTime,AddedIPs,RemovedIPs
1526724749,4,0
1526726686,0,2
1526728597,0,1
1526732448,0,2
1526736521,1,2
1526738432,0,2
1526740363,10,0
1526742282,18,1
1526744181,29,0
1526746156,1,0
1526748018,1,2
1526749964,1,0
1526752025,2,1
1526754024,1,1
1526755927,2,0
1526759767,1,3
1526761686,0,1
1526763874,0,2
1526765779,0,1
1526767700,0,1
1526773456,1,1
1526775398,1,0
1526777315,1,1
1526779210,2,0
1526781131,1,0
1526784979,1,0
1526787149,1,1
1526789078,0,2
1526790991,0,1
1526792922,0,1
1526794822,1,1
1526796766,0,4
1526798663,2,1
1526800584,2,0
1526806352,1,1
1526808283,1,2
1526810183,0,3
1526812102,0,3
1526814042,1,0
1526816221,3,0
1526820024,0,1
1526821979,3,1
1526825795,1,1
1526827695,0,13
1526829639,0,35
1526831566,0,8
1526833479,1,1
1526835396,1,1
1526837320,1,2
1526839260,1,0
1526841158,2,1
1526843085,0,1
1526846927,1,0
1526850769,14,0
1526852682,0,1
1526861450,17,2
1526863455,12,1
1526865382,9,0
1526867288,24,1
1526869154,3,0
1526871129,3,0
1526873018,1,2
1526874967,1,0
1526880995,1,0
1526882929,2,0
1526884832,1,1
1526886786,0,1
1526888676,2,0
1526892562,1,1
1526894424,0,2
1526896374,9,0
1526898300,13,2
1526900221,1,0
1526902104,0,1
1526905961,0,1
1526907877,1,1
1526909949,17,1
1526911859,39,0
1526913852,1,0
1526915768,1,0
1526917707,1,1
1526919903,0,2
1526921797,0,1
1526923703,1,0
1526926976,0,3
1526928984,1,0
1526935038,1,0
1526937193,0,14
1526943198,1,1
1526945090,1,0
1526947102,1,15
1526948927,3,10
1526950904,1,7
1526952768,1,21
1526954701,1,10
1526956674,0,2
1526958565,1,1
1526960434,3,1
1526962631,4,0
1526964544,2,0
1526966701,2,1
1526970540,0,2
1526973397,2,0
1526975554,10,2
1526977490,1,0
1526979426,0,1
1526981331,2,2
1526983277,0,8
1526985168,0,7
1526988991,0,1
1526990913,2,1
1526992864,1,1
1526994761,15,0
1526996716,0,28
1526998596,1,26
1527000510,0,2
1527002429,4,0
1527004366,1,1
1527016133,1,1
1527019977,1,1
1527021893,1,1
1527024186,0,1
1527026079,6,1
1527028113,2,0
1527030990,1,1
1527032924,2,0
1527034838,1,1
1527037003,1,2
1527038923,1,0
1527040856,2,1
1527042823,1,0
1527044684,2,0
1527046731,0,2
1527048996,2,3
1527050910,1,2
1527052829,3,2
1527054758,0,2
1527056677,1,0
1527058600,0,2
1527060501,2,9
1527062448,0,10
1527064350,1,1
1527066279,1,2
1527068194,2,0
1527070116,3,0
1527076355,0,1
1527078283,0,2
1527080193,1,0
1527086661,1,0
1527088579,1,2
1527090505,54,2
1527092423,40,3
1527094609,18,2
1527096498,1,0
1527099389,1,0
1527101306,0,1
1527103223,1,1
1527105155,0,2
1527107080,0,18
1527109023,0,2
1527110901,2,0
1527113788,0,3
1527115969,2,0
1527117872,6,2
1527119798,3,0
1527121814,0,1
1527123668,1,0
1527125571,0,2
1527127746,0,3
1527129641,0,1
1527131563,3,2
1527133484,1,2
1527135397,0,2
1527139238,0,2
1527141170,1,0
1527143081,1,2
1527145018,0,1
1527146894,1,2
1527149072,0,1
1527150998,2,2
1527152937,1,2
1527154970,1,1
1527156971,9,2
1527162984,1,1
1527164897,2,0
1527166870,1,1
1527173199,0,1
1527175229,0,1
1527177126,2,49
1527179054,2,34
1527180981,1,13
1527182904,0,1
1527184822,2,2
1527194457,2,0
1527196362,1,0
1527198283,0,1
1527202370,1,2
1527204280,0,1
1527208345,1,0
1527210516,0,1
1527212423,1,1
1527218195,0,2
1527220118,0,1
1527225875,2,1
1527227803,3,1
1527232692,2,1
1527234497,2,1
1527236656,0,1
1527239808,1,2
1527241725,2,3
1527243628,1,19
1527245561,2,0
1527247476,6,0
1527249401,0,1
1527251320,0,2
1527253160,1,1
1527257017,1,1
1527258970,1,0
1527260922,0,1
1527262838,1,3
1527265072,0,1
1527272798,2,1
1527274854,1,0
1527278655,1,1
1527280523,0,2
1527282490,1,0
1527284677,2,1
1527286587,91,0
1527288997,1,1
1527291346,0,8
1527293542,1,3
1527295595,2,1
1527298152,0,1
1527300894,1,0
1527303216,0,0
1527311236,3,0
1527314156,0,4
1527320945,1,5
1527322888,0,1
1527325278,1,2
1527336885,4,5
1527339154,1,10
1527343536,0,0
1527346503,2,2
1527350710,0,1
1527352732,0,1
1527355498,1,0
1527358176,3,0
1527361546,1,3
1527366742,4,0
1527369498,1,0
1527372646,1,93
1527375533,0,1
1527381318,5,2
1527383936,0,1
1527389168,0,2
1527391900,0,1
1527393917,0,0
1527396082,3,0
1527398005,1,1
1527400170,0,0
1527402018,2,0
1527405859,0,1
1527407792,0,1
1527411653,0,1
1527413563,1,0
1527415465,4,0
1527419326,1,1
1527421218,0,2
1527423159,0,1
1527425068,0,1
1527426993,0,1
1527430816,3,2
1527432766,0,1
1527440470,1,1
1527442359,6,0
1527444278,1,2
1527446218,16,1
1527448123,11,0
1527450021,3,1
1527453887,2,1
1527455780,17,0
1527457701,0,1
1527460588,6,3
1527462512,0,6
1527464448,0,1
1527466343,28,0
1527468313,21,0
1527470177,17,0
1527472131,1,0
1527474018,1,0
1527477879,1,0
1527481695,0,2
1527483716,1,0
1527485564,1,0
1527487411,2,1
1527489369,1,1
1527491310,1,0
1527493207,6,0
1527495131,9,0
1527497073,3,0
1527498969,1,1
1527500894,1,1
1527502829,2,2
1527506652,0,1
1527508587,1,0
1527510488,2,1
1527513385,1,4
1527515292,1,0
1527517233,0,1
1527521054,0,1
1527524209,1,0
1527528015,2,1
1527529959,1,1
1527531871,1,0
1527533795,2,19
1527535693,1,0
1527537640,0,3
1527541738,3,18
1527543623,4,0
1527545566,1,2
1527551324,0,5
1527553221,0,28
1527555143,1,24
1527557085,1,11
1527558979,1,0
1527560899,1,0
1527563777,2,1
1527567617,1,0
1527571462,1,2
1527573396,0,2
1527577244,0,2
1527579162,2,1
1527581062,0,17
1527582979,1,0
1527584924,0,3
1527586819,1,0
1527588740,2,2
1527590678,1,0
1527592595,1,0
1527596433,0,3
1527598351,1,1
1527600272,0,1
1527602180,1,1
1527604110,5,0
1527606995,3,0
1527608908,4,1
1527613146,2,0
1527615135,3,2
1527617057,1,1
1527618971,1,4
1527620897,1,9
1527622810,3,1
1527626672,4,0
1527628569,3,2
1527630504,1,0
1527632425,0,1
1527634330,1,3
1527636251,0,9
1527638188,1,0
1527642969,6,2
1527644951,61,0
1527648789,1,2
1527650668,1,0
1527654487,0,1
1527656457,1,0
1527660281,0,1
1527667974,1,0
1527669866,1,0
1527671800,0,1
1527675648,1,3
1527677541,1,2
1527680583,0,2
1527684486,0,2
1527686410,1,0
1527688327,0,1
1527692185,1,2
1527694091,1,1
1527696044,1,3
1527698210,1,0
1527700022,1,1
1527702007,1,2
1527707768,1,0
1527709716,2,2
1527711609,28,2
1527713527,45,7
1527715450,29,0
1527717368,1,1
1527723168,0,1
1527726977,5,0
1527728904,1,0
1527730819,0,59
1527732743,0,1
1527734676,3,1
1527736577,1,0
1527738500,1,1
1527740419,4,1
1527742353,1,1
1527746188,0,1
1527750067,1,0
1527753876,2,2
1527755787,1,1
1527757704,0,1
1527759619,1,1
1527761554,1,1
1527763491,0,1
1527765381,2,0
1527769241,0,1
1527773058,1,0
1527776895,0,1
1527778835,1,0
1527780783,1,0
1527782662,1,2
1527784620,0,1
1527788457,1,1
1527790492,1,1
1527794174,2,1
1527796132,1,1
1527798014,1,34
1527799952,0,45
1527801871,1,31
1527803792,1,1
1527807869,1,0
1527809817,2,0
1527813626,1,4
1527817493,0,1
1527819387,2,0
1527821325,0,2
1527823221,0,1
1527827070,0,2
1527829011,0,2
1527830908,1,0
1527832877,0,1
1527836668,0,1
1527840520,1,3
1527842450,0,1
1527844361,3,0
1527846306,1,0
1527848188,1,0
1527850110,2,1
1527852039,5,2
1527853947,5,0
1527857833,1,2
1527859700,1,0
1527861677,0,1
1527863563,1,0
1527865467,2,0
1527869342,0,2
1527873081,1,1
1527876970,1,3
1527878907,1,0
1527882730,1,1
1527884670,1,2
1527888489,0,1
1527894543,0,3
1527896433,0,2
1527898397,8,1
1527900304,7,0
1527902241,4,0
1527904144,2,1
1527906075,2,1
1527907989,0,1
1527916433,2,1
1527918671,0,1
1527921129,0,0
1527928509,2,2
1527933068,0,4
1527935210,0,0
1527937866,0,0
1527942637,1,3
1527944962,4,1
1527949060,2,2
1527951386,2,1
1527953713,3,0
1527956400,1,1
1527961190,1,1
1527963553,0,0
1527965960,0,1
1527968414,0,1
1527970733,1,0
1527972874,0,0
1527974850,0,0
1527977281,0,0
1527979836,0,0
1527984232,0,1
1527986635,0,1
1527988966,1,1
1527991395,0,1
1527993816,0,1
1527996216,2,0
1527998606,0,1
1528001071,1,2
1528003373,1,1
1528007356,1,1
1528009252,1,0
1528011135,0,1
1528013055,0,2
1528016894,0,1
1528018837,3,3
1528020738,1,0
