DateTime,Entries,UniqueIPs
1512342118,4,4
1512361260,5,5
1512376621,6,6
1512386203,5,5
1512390281,6,6
1512394118,5,5
1512403736,6,6
1512409474,7,7
1512411417,8,8
1512413468,7,7
1512429166,6,6
1512437101,7,7
1512447636,6,6
1512458187,7,7
1512463980,6,6
1512476197,6,6
1512478097,7,7
1512487959,8,8
1512489860,7,7
1512495879,6,6
1512497798,5,5
1512520360,6,6
1512522278,5,5
1512543375,4,4
1512562607,3,3
1512564508,2,2
1512566453,3,3
1512575325,2,2
1512589034,3,3
1512602921,4,4
1512606816,3,3
1512618559,4,4
1512653380,3,3
1512658351,4,4
1512660254,5,5
1512668776,6,6
1512672519,7,7
1512674421,6,6
1512685003,5,5
1512697014,6,6
1512705172,5,5
1512744720,4,4
1512746664,3,3
1512754366,2,2
1512760358,1,1
1512780506,0,0
1512951425,1,1
1512960972,2,2
1513038503,1,1
1513045357,0,0
1513079921,1,1
1513154916,2,2
1513166473,1,1
1513238799,0,0
1513337568,1,1
1513375285,2,2
1513424692,1,1
1513458984,0,0
1513682409,1,1
1513698304,2,2
1513769109,1,1
1513782092,0,0
1513861309,1,1
1513946202,0,0
1514355390,1,1
1514441538,0,0
1514448753,1,1
1514534219,0,0
1514666907,1,1
1514752353,0,0
1514890289,1,1
1514974881,0,0
1515003914,1,1
1515135900,1,1
1515178592,0,0
1515212913,1,1
1515298023,0,0
1515388751,1,1
1515413877,2,2
1515476429,1,1
1515497624,0,0
1515535469,1,1
1515561648,2,2
1515594789,3,3
1515596696,4,4
1515621934,3,3
1515648227,2,2
1515656182,4,4
1515666332,5,5
1515681704,4,4
1515683783,5,5
1515709976,4,4
1515716729,5,5
1515730780,6,6
1515738978,7,7
1515742836,5,5
1515752428,4,4
1515769961,3,3
1515802887,2,2
1515817012,1,1
1515824918,0,0
1515847426,1,1
1515851372,2,2
1515872221,3,3
1515934124,2,2
1515938192,1,1
1515956535,0,0
1516128489,1,1
1516213469,0,0
1516433847,1,1
1516525871,0,0
1516724184,1,1
1516766171,2,2
1516770099,3,3
1516806130,4,4
1516809903,3,3
1516852610,2,2
1516856479,1,1
1516889111,0,0
1516970430,1,1
1517055249,0,0
1517167231,1,1
1517252680,0,0
1517772999,1,1
1517858650,0,0
1518231865,1,1
1518317800,0,0
1518793487,1,1
1518877965,0,0
1519236294,1,1
1519321469,0,0
1519502474,1,1
1519586949,0,0
1519930121,1,1
1520015310,0,0
1520029259,1,1
1520115162,1,1
1520199630,0,0
1520656942,1,1
1520742749,0,0
1521672264,1,1
1521758138,0,0
1522081700,1,1
1522166210,0,0
1522183961,1,1
1522185871,4,4
1522187778,8,8
1522192676,9,9
1522194515,11,11
1522198585,13,13
1522201725,16,16
1522203623,17,17
1522205793,18,18
1522207803,20,20
1522209906,21,21
1522215485,25,25
1522219702,26,26
1522226598,28,28
1522238696,31,31
