DateTime,Entries,UniqueIPs
1527082607,4020,4020
1527084800,4020,4020
1527086664,4019,4019
1527088582,4020,4020
1527090508,4016,4016
1527092429,4018,4018
1527094612,3916,3916
1527096501,3918,3918
1527098495,3915,3915
1527100351,3931,3931
1527102272,3931,3931
1527104200,3932,3932
1527106109,3886,3886
1527108022,3891,3891
1527109963,3120,3120
1527111905,2155,2155
1527113791,2174,2174
1527115972,2117,2117
1527117876,2071,2071
1527119802,2007,2007
1527121818,2006,2006
1527123727,2013,2013
1527125575,2015,2015
1527127929,2017,2017
1527129852,2016,2016
1527131788,2021,2021
1527133964,2020,2020
1527135959,2021,2021
1527137810,1668,1668
1527139764,1666,1666
1527141710,1669,1669
1527143670,1587,1587
1527145972,1668,1668
1527148139,1671,1671
1527150035,1735,1735
1527152019,1733,1733
1527153864,1730,1730
1527155802,1995,1995
1527157719,1997,1997
1527159700,2002,2002
1527161736,2001,2001
1527163966,2005,2005
1527165879,2009,2009
1527167780,2115,2115
1527169940,2157,2157
1527171876,2163,2163
1527174154,2164,2164
1527175969,2168,2168
1527177966,2175,2175
1527179814,2177,2177
1527181856,2179,2179
1527183860,2517,2517
1527186045,2517,2517
1527187931,2510,2510
1527190113,2512,2512
1527192063,2957,2957
1527193947,2955,2955
1527195878,3140,3140
1527197801,3144,3144
1527199714,3127,3127
1527201935,3122,3122
1527203785,3124,3124
1527205890,3115,3115
1527207872,3111,3111
1527211005,3114,3114
1527212917,3110,3110
1527216284,3112,3112
1527218198,3106,3106
1527220121,3108,3108
1527222031,3111,3111
1527223955,2994,2994
1527225879,2994,2994
1527227806,2996,2996
1527229711,4494,4494
1527231699,4387,4387
1527233553,4385,4385
1527235492,4382,4382
1527237397,4315,4315
1527239311,4319,4319
1527241240,4168,4168
1527243159,4082,4082
1527245076,4074,4074
1527246988,4085,4085
1527248908,4082,4082
1527250837,4081,4081
1527253163,4073,4073
1527255137,4152,4152
1527257019,4152,4152
1527258973,4152,4152
1527260925,4142,4142
1527262842,4145,4145
1527265075,4141,4141
1527266903,4146,4146
1527268928,4146,4146
1527270762,3734,3734
1527272801,3731,3731
1527274895,3733,3733
1527276733,3733,3733
1527278658,3735,3735
1527280525,3734,3734
1527282493,3557,3557
1527284680,2965,2965
1527286590,2962,2962
1527289000,2966,2966
1527291349,2965,2965
1527295599,2854,2854
1527298156,2852,2852
1527298156,2852,2852
1527300897,2852,2852
1527300897,2852,2852
1527303219,2844,2844
1527303219,2844,2844
1527305656,2843,2843
1527308442,2840,2840
1527311240,2849,2849
1527311240,2849,2849
1527314160,2840,2840
1527314160,2840,2840
1527316668,1193,1193
1527316668,1193,1193
1527318577,896,896
1527318577,896,896
1527320948,1086,1086
1527320948,1086,1086
1527322892,1086,1086
1527325312,1086,1086
1527325312,1086,1086
1527327530,866,866
1527336888,1167,1167
1527336888,1167,1167
1527339157,1169,1169
1527339157,1169,1169
1527341644,970,970
1527341644,970,970
1527343539,970,970
1527343539,970,970
1527346506,974,974
1527346506,974,974
1527350713,1033,1033
1527352735,1032,1032
1527352735,1032,1032
1527355501,1024,1024
1527355501,1024,1024
1527358179,1019,1019
1527358179,1019,1019
1527361549,1633,1633
1527361549,1633,1633
1527369502,1645,1645
1527369502,1645,1645
1527372649,1635,1635
1527372649,1635,1635
1527375536,1665,1665
1527375536,1665,1665
1527378878,1438,1438
1527381321,1667,1667
1527381321,1667,1667
1527383939,1665,1665
1527383939,1665,1665
1527386910,1439,1439
1527386910,1439,1439
1527389393,1666,1666
1527389393,1666,1666
1527391910,1668,1668
1527391910,1668,1668
1527393920,1668,1668
1527393920,1668,1668
1527396085,1934,1934
1527396085,1934,1934
1527398008,1933,1933
1527398008,1933,1933
1527400176,1933,1933
1527402021,1932,1932
1527403967,2070,2070
1527405862,2072,2072
1527407794,1900,1900
1527409695,1968,1968
1527411693,1964,1964
1527413565,1867,1867
1527415467,1844,1844
1527417394,1842,1842
1527419328,1842,1842
1527421220,2093,2093
1527423161,3634,3634
1527425070,3634,3634
1527426994,3653,3653
