DateTime,AddedIPs,RemovedIPs
1526984228,118,6
1526986126,4,3
1526988497,24,6
1526990583,11,4
1526992409,4,1
1526994292,6,5
1526996722,26,7
1526998600,9,4
1527000513,5,8
1527002433,7,18
1527004369,88,9
1527006289,7,6
1527008184,4,7
1527010128,2,44
1527012105,8,4
1527014222,4,10
1527016138,4,8
1527018049,8,11
1527019982,49,6
1527021898,4,23
1527024190,7,22
1527026084,10,38
1527028118,5,6
1527030144,48,7
1527031972,76,2
1527033898,66,5
1527036026,9,3
1527037972,6,3
1527039894,8,7
1527041802,8,3
1527043719,12,6
1527045632,7,3
1527047585,10,6
1527049485,9,7
1527051416,83,6
1527053326,12,6
1527055305,8,7
1527057167,9,47
1527059093,53,5
1527061009,8,7
1527062939,7,4
1527064868,11,291
1527066778,49,333
1527068697,20,623
1527070616,9,130
1527073006,10,4
1527074931,12,29
1527076943,6,6
1527078767,12,4
1527080684,8,5
1527082607,10,22
1527084801,9,9
1527086664,4,7
1527088583,6,6
1527090509,5,5
1527092429,6,6
1527094613,12,107
1527096502,7,2
1527098495,19,8
1527100351,22,4
1527102272,6,2
1527104201,5,8
1527106109,10,48
1527108023,11,2
1527109964,11,777
1527111905,32,991
1527113792,24,10
1527115972,11,74
1527117877,5,55
1527119803,20,84
1527121819,7,9
1527123727,16,12
1527125575,9,7
1527127930,11,6
1527129853,6,13
1527131788,12,9
1527133964,11,11
1527135960,10,12
1527137811,10,366
1527139764,466,9
1527141711,8,7
1527143671,9,86
1527145972,87,8
1527148139,17,7
1527150035,75,7
1527152020,13,11
1527153864,15,12
1527155803,268,11
1527157720,12,5
1527159700,10,3
1527161737,11,8
1527163967,11,4
1527165880,15,5
1527167781,117,6
1527169940,52,6
1527171877,12,4
1527174154,16,6
1527175970,9,1
1527177966,15,4
1527179815,9,6
1527181857,11,6
1527183861,342,7
1527186046,10,20
1527187931,8,14
1527190113,11,4
1527192079,455,6
1527193948,8,6
1527195878,199,10
1527197801,12,6
1527199714,11,23
1527201935,5,8
1527203786,8,6
1527205890,3,18
1527207873,6,10
1527211006,26,12
1527212918,6,7
1527216284,15,12
1527218199,5,11
1527220121,10,8
1527222032,9,7
1527223955,8,122
1527225879,9,567
1527227807,11,10
1527229712,1555,57
1527231700,253,363
1527233553,8,11
1527235492,6,10
1527237398,5,73
1527239312,9,9
1527241240,7,165
1527243159,7,95
1527245076,1,11
1527246989,18,7
1527248908,3,10
1527250837,4,11
1527253163,5,20
1527255137,128,56
1527257020,7,9
1527258974,4,8
1527260925,2,18
1527262842,12,8
1527265076,5,11
1527266903,7,10
1527268928,10,8
1527270762,11,420
1527272802,6,9
1527274895,9,9
1527276734,6,10
1527278658,5,9
1527280526,6,10
1527282493,9,188
1527284680,9,605
1527286591,3,11
1527289001,9,7
1527291350,7,9
1527293547,2,4
1527295599,5,118
1527298156,7,19
1527300898,9,10
1527303220,2,12
1527305656,7,6
1527308443,0,57
1527311240,71,16
1527314160,7,16
1527316668,6,1656
1527318578,5,305
1527320949,193,8
1527322893,4,7
1527325312,9,8
1527336889,123,48
1527339157,11,8
1527341645,7,204
1527343540,4,7
1527346506,10,7
1527350713,75,21
1527352735,12,8
1527355502,3,15
1527358179,5,13
1527361549,630,17
1527364304,4,10
1527366746,0,248
1527369502,274,11
1527372649,25,34
1527375536,62,29
1527378878,7,9
1527381322,7,5
1527383940,6,8
1527386911,0,279
1527389394,286,5
1527391911,0,281
1527393920,285,5
1527396086,282,18
1527398008,4,5
1527400176,0,0
1527402021,3,4
1527403967,144,5
1527405862,13,5
1527407794,4,175
1527409696,72,4
1527411694,3,7
1527413565,3,99
1527415467,7,28
1527417395,1,3
1527419328,4,4
1527421220,253,1
1527423161,1537,2
1527425070,6,6
1527426995,25,7
1527428904,5,6
1527430818,4,4
1527432768,6,2
1527434666,2,3
1527436597,2,68
1527438501,2,9
1527440492,2,2
1527442361,6,1
1527444280,1,2
1527446220,2,6
1527448125,5,5
1527450023,5,1
1527451947,7,5
1527453890,4,15
1527455782,2,18
1527457703,12,8
1527460591,4,13
1527462515,3,40
1527464451,2,4
1527466347,5,4
1527468317,2,2
1527470180,1,5
1527472134,2,4
1527474021,4,3
1527475989,4,2
1527477882,2,4
1527479846,0,4
1527481698,5,41
1527483745,3,9
1527485567,9,3
1527487416,3,3
1527489372,130,5
1527491312,360,11
1527493210,568,5
1527495134,134,77
1527497076,1491,3
1527498972,366,3
1527500897,3,2
1527502832,2,4
1527504732,29,1
1527506655,3,2
1527508590,3,1101
1527510492,2,352
1527512486,2,2
1527514362,2,4
1527516264,0,3
1527518173,73,5
1527520116,6,6
1527522016,2,1
1527525851,3,4
1527527794,13,3
1527529692,6,5
1527531615,5,4
1527533534,2,1
1527535453,1,4
1527537390,5,4
1527539291,3,6
1527541297,5,2
1527543148,3,13
1527545095,5,4
1527546991,7,0
1527548983,8,3
1527550813,6,2
1527552789,2,3
1527554656,11,1
1527556601,6,0
1527558514,7,0
1527560457,4,2
1527562400,39,7
1527564311,1,2
1527566193,3,2
1527568134,5,4
1527570090,2,3
1527571991,2,2
1527573907,19,4
1527575805,4,124
1527577729,1,448
1527579651,3,570
1527581538,7,144
1527583511,5,1866
1527585387,7,369
1527587328,6,5
1527589230,5,2
1527591169,4,32
1527593058,3,4
1527595000,5,5
1527596904,8,2
1527598847,19,2
1527600740,4,1
1527602705,17,0
1527604573,17,31
1527606538,7,54
1527608427,10,1
1527610402,14,0
1527613149,5,7
1527615137,9,12
1527617059,6,6
1527618973,4,2
1527620899,6,5
1527622812,8,2
1527624736,6,5
1527626675,9,5
1527628571,3,6
1527630506,3,15
1527632427,5,3
1527634332,8,11
1527636253,16,4
1527638189,10,4
1527640090,9,4
1527642099,6,12
1527643929,4,7
1527645955,10,8
1527647789,8,52
1527649695,6,0
1527651609,13,1
1527653538,473,6
1527655472,4,6
1527657370,10,4
1527659290,1,9
1527661213,5,12
1527663131,8,139
1527665074,7,3
1527666967,1,433
1527668890,6,4
1527670891,5,9
1527672747,8,5
1527674680,4,4
1527676579,7,3
1527678491,6,4
1527680585,6,5
1527682573,1116,6
1527684488,9,7
1527686413,6,5
1527688330,4,16
1527690256,6,11
1527692187,7,9
1527694094,3,8
1527696102,9,9
1527698213,111,9
1527700025,3,2
1527702010,10,8
1527703937,3,5
1527705856,6,4
1527707771,46,4
1527709718,3,9
1527711613,9,3
1527713530,12,7
1527715453,7,2
1527717371,7,1
1527719289,7,6
1527721311,38,10
1527723171,6,17
1527725063,7,3
1527726980,3,9
1527728907,3,6
1527730821,6,6
1527732745,3,5
1527734679,5,6
1527736579,185,4
1527738502,173,10
1527740421,3,493
1527742356,8,4
1527744267,5,7
1527746191,4,2
1527748133,5,40
1527750094,6,6
1527751951,6,6
1527753879,5,16
1527755789,2,7
1527757706,3,5
1527759622,6,6
1527761557,2,5
1527763494,10,7
1527765384,5,5
1527767304,111,7
1527769244,3,2
1527771163,5,9
1527773061,6,8
1527774984,2,22
1527776898,6,5
1527778903,3,6
1527780786,16,4
1527782664,3,11
1527784623,7,107
1527786536,5,3
1527788461,4,19
1527790495,70,4
1527792306,5,5
1527794177,3,47
1527796135,8,5
1527798017,4,6
1527799955,4,12
1527801874,4,8
1527803794,6,14
1527806005,13,36
1527807872,5,5
1527809820,6,7
1527811711,6,7
1527813628,2,6
1527815559,3,5
1527817495,1,7
1527819390,3,1265
1527821327,1,6
1527823224,149,225
1527825167,380,142
1527827073,3,6
1527829014,400,4
1527830910,16,7
1527832901,6,3
1527834773,1584,111
1527836671,289,4
1527838604,2,8
1527840523,8,1
1527842453,22,5
1527844364,2,3
1527846310,7,4
1527848190,6,2
1527850113,37,9
1527852041,5,6
1527853950,28,123
1527855870,4,1
1527857836,7,6
1527859703,2,54
1527861699,10,1
1527863566,10,4
1527865469,9,9
1527867406,4,6
1527869345,9,6
1527871230,5,3
1527873084,11,4
1527875062,2,5
1527876973,2,68
1527878911,1,4
1527880812,3,3
1527882734,620,9
1527884673,949,4
1527886575,1,8
1527888492,3,2
1527890541,3,6
1527895212,10,12
1527897159,2,6
1527899055,2,0
1527901281,2,2
1527903149,6,1
1527905067,1,3
1527906979,6,0
1527908923,4,136
1527910823,3,311
1527916436,404,286
1527918676,4,15
1527921133,3,1078
1527923315,3,230
1527926023,4,5
1527928514,13,25
1527930857,6,5
1527933072,7,5
1527935213,61,16
1527937870,8,34
1527940231,4,54
1527942641,5,5
1527944966,5,3
1527947207,6,85
1527951390,12,22
1527953717,10,8
1527956404,9,9
1527958694,0,121
1527961194,120,2
1527963557,52,2
1527965964,15,4
1527968418,53,1
1527970737,6,2247
1527972878,0,287
1527974854,341,3
1527977285,23,5
1527979840,0,69
1527981995,1,287
1527984236,356,3
1527991399,25,10
1527993820,5,8
1527996220,9,2
1527998611,5,387
1528001076,34,7
1528003378,0,21
1528005405,37,2
1528007358,121,6
1528009317,509,3
1528011138,475,2
1528013058,460,3
1528014990,528,11
1528016897,400,6
1528018839,408,3
1528020741,386,4
