DateTime,Entries,UniqueIPs
1527098495,4121,4121
1527100351,4139,4139
1527102272,4143,4143
1527104201,4140,4140
1527106109,4102,4102
1527108023,4111,4111
1527109964,3345,3345
1527111905,2386,2386
1527113792,2400,2400
1527115972,2337,2337
1527117877,2287,2287
1527119803,2223,2223
1527121819,2221,2221
1527123727,2225,2225
1527125575,2227,2227
1527127930,2232,2232
1527129853,2225,2225
1527131788,2228,2228
1527133964,2228,2228
1527135960,2226,2226
1527137811,1870,1870
1527139764,2327,2327
1527141711,2328,2328
1527143671,2251,2251
1527145972,2330,2330
1527148139,2340,2340
1527150035,2408,2408
1527152020,2410,2410
1527153864,2413,2413
1527155803,2670,2670
1527157720,2677,2677
1527159700,2684,2684
1527161737,2687,2687
1527163967,2694,2694
1527165880,2704,2704
1527167781,2815,2815
1527169940,2861,2861
1527171877,2869,2869
1527174154,2879,2879
1527175970,2887,2887
1527177966,2898,2898
1527179815,2901,2901
1527181857,2906,2906
1527183861,3241,3241
1527186046,3231,3231
1527187931,3225,3225
1527190113,3232,3232
1527192079,3681,3681
1527193948,3683,3683
1527195878,3872,3872
1527197801,3878,3878
1527199714,3866,3866
1527201935,3863,3863
1527203786,3865,3865
1527205890,3850,3850
1527207873,3846,3846
1527211006,3860,3860
1527212918,3859,3859
1527216284,3862,3862
1527218199,3856,3856
1527220121,3858,3858
1527222032,3860,3860
1527223955,3746,3746
1527225879,3188,3188
1527227807,3189,3189
1527229712,4687,4687
1527231700,4577,4577
1527233553,4574,4574
1527235492,4570,4570
1527237398,4502,4502
1527239312,4502,4502
1527241240,4344,4344
1527243159,4256,4256
1527245076,4246,4246
1527246989,4257,4257
1527248908,4250,4250
1527250837,4243,4243
1527253163,4228,4228
1527255137,4300,4300
1527257020,4298,4298
1527258974,4294,4294
1527260925,4278,4278
1527262842,4282,4282
1527265076,4276,4276
1527266903,4273,4273
1527268928,4275,4275
1527270762,3866,3866
1527272802,3863,3863
1527274895,3863,3863
1527276734,3859,3859
1527278658,3855,3855
1527280526,3851,3851
1527282493,3672,3672
1527284680,3076,3076
1527286591,3068,3068
1527289001,3070,3070
1527291350,3068,3068
1527293547,3066,3066
1527295599,2953,2953
1527298156,2941,2941
1527298156,2941,2941
1527300898,2940,2940
1527300898,2940,2940
1527303220,2930,2930
1527303220,2930,2930
1527305656,2931,2931
1527308443,2874,2874
1527308443,2874,2874
1527311240,2929,2929
1527311240,2929,2929
1527314160,2920,2920
1527314160,2920,2920
1527316668,1270,1270
1527316668,1270,1270
1527318578,970,970
1527318578,970,970
