DateTime,AddedIPs,RemovedIPs
1517622513,1,0
1517630483,1,0
1517634289,1,0
1517641940,1,0
1517679166,1,1
1517681072,0,1
1517684938,0,1
1517710137,1,1
1517715876,0,1
1517719718,1,0
1517721642,0,1
1517729305,0,1
1517743223,1,0
1517748994,1,0
1517773965,1,0
1517783665,1,0
1517796086,0,1
1517807567,0,1
1517830835,0,2
1517834664,0,1
1517852749,1,0
1517856643,1,0
1517860892,0,1
1517870414,0,1
1517899093,1,0
1517910653,1,0
1517925381,1,0
1517936902,0,1
1517942917,0,1
1517950598,1,0
1517985164,0,1
1517996682,0,1
1518037678,0,1
1518048179,1,0
1518077549,1,0
1518111189,0,1
1518113078,1,0
1518134946,0,1
1518166588,0,1
1518199942,0,1
1518241955,1,0
1518263901,1,0
1518325725,1,0
1518329808,0,1
1518331970,1,0
1518351589,0,1
1518413796,0,1
1518421945,1,0
1518423885,0,1
1518439235,2,0
1518455069,1,0
1518506928,0,1
1518524127,0,1
1518526251,0,1
1518540275,0,1
1518603761,1,0
1518648942,1,0
1518691234,0,1
1518734933,0,1
1518791574,1,0
1518802168,1,0
1518846022,1,0
1518859466,1,0
1518865468,1,0
1518877969,0,1
1518889935,0,1
1518908201,1,0
1518933163,0,1
1518947862,0,1
1518951689,0,1
1518964725,1,0
1518974446,1,0
1518994108,1,0
1519045274,1,0
1519061064,0,1
1519080523,0,1
1519131130,1,1
1519173181,0,1
1519205323,0,1
1519217570,0,1
1519253807,1,0
1519273936,1,0
1519339564,0,1
1519347403,1,0
1519432098,1,0
1519434280,0,1
1519463803,0,1
1519519467,0,1
1519545030,1,0
1519605380,1,0
1519668076,1,0
1519674055,1,0
1519692015,0,1
1519701858,0,1
1519719643,1,0
1519753217,0,1
1519759236,0,1
1519774807,1,0
1519804109,0,1
1519849493,1,0
1519862106,0,1
1519899154,1,0
1519920288,1,0
1519935889,0,1
1519977381,1,0
1519983391,1,0
1519985307,0,1
1519993960,1,0
1520005711,1,0
1520007635,0,1
1520017280,1,0
1520022976,1,0
1520061859,1,0
1520063883,0,1
1520069665,1,1
