DateTime,AddedIPs,RemovedIPs
1526958573,11,3
1526960441,7,2
1526962638,9,3
1526964551,9,2
1526966711,9,4
1526968616,7,4
1526970549,4,4
1526972512,8,0
1526974626,3,5
1526976538,6,1
1526978448,6,1
1526980377,6,2
1526982297,11,4
1526984230,34,2
1526986128,3,3
1526988498,10,3
1526990584,2,6
1526992411,5,1
1526994294,4,10
1526996724,7,8
1526998601,5,7
1527000514,1,13
1527002434,3,14
1527004370,4,15
1527006290,4,8
1527008185,4,9
1527010129,3,7
1527012106,5,12
1527014223,8,20
1527016140,4,7
1527018050,3,5
1527019983,1,6
1527021900,4,11
1527024192,0,17
1527026085,20,10
1527028120,8,6
1527030146,9,12
1527031974,12,8
1527033900,9,13
1527036027,11,5
1527037974,14,9
1527039896,14,8
1527041804,6,4
1527043720,8,9
1527045634,7,10
1527047587,10,10
1527049487,9,7
1527051417,5,11
1527053328,15,9
1527055306,12,7
1527057168,9,6
1527059095,11,11
1527061010,5,4
1527062940,7,5
1527064869,5,11
1527066779,9,4
1527068699,4,13
1527070617,7,36
1527073008,7,8
1527074932,12,13
1527076945,6,5
1527078768,7,6
1527080685,3,4
1527082608,4,10
1527084802,14,4
1527086665,10,3
1527088583,5,2
1527090509,5,7
1527092431,4,4
1527094614,4,4
1527096503,6,5
1527098497,9,4
1527100353,5,12
1527102274,6,5
1527104202,11,3
1527106111,3,2
1527108024,6,4
1527109965,17,0
1527111907,16,14
1527113793,8,6
1527115974,20,8
1527117878,22,10
1527119804,16,7
1527121820,9,11
1527123729,10,11
1527125577,14,8
1527127931,15,9
1527129854,16,11
1527131790,16,3
1527133966,13,8
1527135961,13,6
1527137812,6,5
1527139766,5,10
1527141713,7,16
1527143673,12,14
1527145974,8,12
1527148141,16,9
1527150046,8,4
1527152021,6,10
1527153866,12,9
1527155804,11,4
1527157721,7,7
1527159701,13,5
1527161738,11,9
1527163968,7,5
1527165881,9,7
1527167782,14,7
1527169941,8,5
1527171878,6,14
1527174155,9,5
1527175971,11,9
1527177967,8,5
1527179816,8,4
1527181858,7,5
1527183862,7,9
1527186047,5,10
1527187932,6,5
1527190114,4,11
1527192097,6,7
1527193948,5,3
1527195879,17,13
1527197802,9,14
1527199716,8,4
1527201937,9,12
1527203788,2,15
1527205892,12,14
1527207875,7,10
1527211006,13,21
1527212919,5,9
1527216285,16,28
1527218199,8,12
1527220122,7,8
1527222032,7,13
1527223956,7,7
1527225880,3,7
1527227807,11,9
1527229712,6,10
1527231701,9,7
1527233554,4,15
1527235493,14,8
1527237398,3,5
1527239312,5,8
1527241241,5,12
1527243160,4,13
1527245077,9,7
1527246989,7,13
1527248909,4,7
1527250838,3,10
1527253164,9,16
1527255139,8,6
1527257022,5,9
1527258975,9,10
1527260927,8,5
1527262844,4,11
1527265077,8,13
1527266905,4,6
1527268930,4,5
1527270764,4,7
1527272803,9,9
1527274897,4,3
1527276735,2,6
1527278659,3,8
1527280527,8,7
1527282494,4,15
1527284681,2,9
1527286591,4,4
1527289002,1,13
1527291352,4,3
1527295601,6,15
1527298158,6,6
1527300900,7,11
1527303221,4,11
1527305658,7,12
1527308445,6,10
1527311242,10,6
1527314162,6,9
1527316670,3,9
1527318580,2,6
1527320950,3,12
1527322895,1,6
1527325314,9,9
1527336891,14,40
1527339159,2,5
1527341647,2,10
1527343541,4,6
1527346508,7,12
1527350715,7,15
1527352737,2,11
1527355504,8,8
1527358181,6,13
1527361551,5,14
1527369504,13,27
1527372651,5,5
1527375538,3,10
1527381323,11,8
1527383941,48,4
1527386913,0,9
1527389397,2,5
1527391915,2,10
1527393922,4,5
1527396087,4,3
1527398010,0,9
1527400178,4,6
1527402022,3,1
1527403969,0,2
1527405863,0,2
1527407795,2,2
1527409698,2,2
1527411695,3,7
1527413566,6,2
1527415468,2,1
1527417396,5,1
1527419329,4,3
1527421221,2,1
1527423162,2,4
1527425072,3,1
1527426996,1,2
1527428905,2,1
1527430819,2,8
1527432769,4,3
1527434667,4,1
1527436598,2,3
1527438502,2,4
1527440492,3,5
1527442362,4,9
1527444281,5,2
1527446221,3,3
1527448126,3,4
1527450024,6,2
1527451948,2,2
1527453890,7,2
1527455783,4,6
1527457704,7,2
1527460591,4,2
1527462516,3,4
1527464452,1,4
1527466347,4,1
1527468317,3,26
1527470182,3,16
1527472135,1,16
1527474022,0,4
1527475991,3,1
1527477883,5,1
1527479847,1,6
1527481699,2,3
1527483746,2,3
1527485568,1,2
1527487418,2,5
1527489373,6,2
1527491313,3,0
1527493211,3,1
1527495135,3,3
1527497077,1,3
1527498973,3,6
1527500898,1,2
1527502833,2,1
1527504733,0,6
1527506656,2,2
1527508591,1,2
1527510492,2,2
