DateTime,AddedIPs,RemovedIPs
1519169300,0,1
1519187068,1,0
1519197094,1,0
1519241552,1,0
1519249712,0,1
1519271965,2,0
1519273941,0,1
1519284059,0,1
1519301131,2,0
1519317340,1,0
1519319558,1,0
1519323640,3,0
1519329394,0,1
1519333309,1,0
1519357969,0,2
1519385368,0,2
1519405301,0,1
1519407146,1,1
1519409195,0,3
1519419135,0,1
1519441954,1,0
1519469795,1,0
1519474141,1,0
1519494758,1,1
1519527398,0,1
1519529312,1,0
1519550673,1,0
1519556645,0,1
1519560405,0,1
1519581970,0,1
1519594093,1,0
1519612095,1,0
1519616195,0,1
1519637310,0,1
1519650779,2,0
1519665126,1,0
1519680432,0,1
1519692018,2,0
1519699925,0,1
1519715543,1,0
1519719648,1,0
1519735880,0,2
1519751217,0,1
1519755416,1,0
1519771010,1,0
1519778907,0,2
1519788506,1,0
1519796184,1,0
1519802198,0,1
1519807963,0,1
1519815677,1,0
1519841682,0,1
1519853344,1,0
1519858162,0,1
1519874201,0,1
1519881875,0,1
1519885725,1,0
1519899157,1,0
1519901097,0,1
1519904926,2,0
1519920291,1,0
1519928207,1,0
1519932037,1,0
1519939714,0,1
1519958194,1,0
1519971650,0,1
1519985310,0,1
1519992083,0,2
1520007638,0,1
1520013385,0,1
1520017283,0,1
1520042691,0,1
1520077712,1,0
1520089478,1,0
1520105073,1,0
1520165087,0,1
1520168923,1,0
1520176608,0,1
1520184532,1,0
1520190345,0,1
1520192431,1,0
1520237616,1,0
1520254892,0,1
1520262790,1,0
1520270730,0,1
1520278606,0,1
1520294683,1,0
1520323968,0,1
1520349157,0,1
1520380601,0,1
1520413745,1,0
1520457860,1,0
1520501477,0,1
1520509957,1,0
1520517888,1,0
1520545474,0,1
1520553141,1,0
1520594790,0,1
1520602726,0,1
1520616278,1,0
1520635556,2,0
1520639439,0,1
1520647332,1,0
1520691879,1,0
1520701500,0,1
1520717064,1,0
1520720700,0,1
1520722639,0,1
1520733016,0,1
1520742753,1,0
1520758359,1,0
1520778279,0,1
1520789798,1,0
1520799895,1,0
1520803742,0,1
1520813563,1,0
1520823163,1,0
1520828931,0,1
1520844525,0,1
1520848376,1,0
1520876653,0,1
1520887863,0,1
1520900196,0,1
1520904020,1,0
1520910100,0,1
1520935297,0,1
1520939080,1,0
1520948691,1,0
1520954426,1,0
1520991621,0,1
1521024528,0,1
1521036184,0,1
1521039986,0,1
1521047490,1,0
