DateTime,AddedIPs,RemovedIPs
1526994766,230,61
1526996728,24,1264
1526998604,183,395
1527000517,298,34
1527002437,136,43
1527004374,21,38
1527006293,23,22
1527008188,21,23
1527010132,17,31
1527012109,15,23
1527014226,17,37
1527016144,63,21
1527018054,134,20
1527019987,17,33
1527021904,13,19
1527024196,18,64
1527026089,26,44
1527028124,19,29
1527030150,12,24
1527031978,17,20
1527033904,13,18
1527036031,20,14
1527037978,28,19
1527039900,228,11
1527041808,452,19
1527043724,243,20
1527045638,329,17
1527047591,212,23
1527049490,47,24
1527051421,19,19
1527053332,23,24
1527055310,14,24
1527057172,29,26
1527059101,43,34
1527061013,21,41
1527062944,34,27
1527064873,26,48
1527066783,40,30
1527068702,125,26
1527070621,85,36
1527073011,102,39
1527074936,44,28
1527076949,28,19
1527078771,31,41
1527080688,29,43
1527082611,24,19
1527084805,21,109
1527086670,13,94
1527088586,42,53
1527090513,20,20
1527092435,24,17
1527094618,26,25
1527096507,18,17
1527098501,36,13
1527100356,50,15
1527102278,55,66
1527104206,61,161
1527106114,35,18
1527108028,17,215
1527109969,19,16
1527111911,28,17
1527113797,25,25
1527115977,14,15
1527117882,1640,12
1527119808,1240,12
1527121824,15,8
1527123733,7,29
1527125581,11,81
1527127935,15,497
1527129858,19,226
1527131793,15,375
1527133970,20,347
1527135965,17,67
1527137816,7,15
1527139770,21,16
1527141717,21,13
1527143677,19,27
1527145978,27,41
1527148146,31,24
1527150052,24,29
1527152025,18,32
1527153870,34,35
1527155809,30,186
1527157726,27,187
1527159705,14,192
1527161742,25,37
1527163972,36,32
1527165885,27,33
1527167786,17,29
1527169945,21,15
1527171882,22,19
1527174159,25,33
1527175975,23,25
1527177971,18,19
1527179820,23,21
1527181862,27,25
1527183866,21,18
1527186051,21,62
1527187936,23,60
1527190119,17,72
1527192103,18,52
1527193952,13,12
1527195883,27,14
1527197806,11,21
1527199719,15,21
1527201941,26,20
1527203791,13,148
1527205895,104,15
1527207878,16,20
1527210107,21,7
1527211962,19,8
1527213907,8,10
1527215820,28,19
1527217738,17,10
1527219642,17,15
1527221584,28,25
1527223483,22,10
1527225412,23,21
1527227298,32,21
1527229253,26,18
1527231152,35,21
1527233101,48,15
1527234980,19,25
1527236956,32,22
1527238894,43,26
1527240930,34,37
1527242911,40,25
1527244812,22,25
1527246739,32,15
1527248654,34,21
1527250576,41,28
1527253168,32,22
1527255143,15,20
1527257028,18,17
1527258979,53,20
1527260931,123,22
1527262847,60,26
1527265081,84,21
1527266908,77,20
1527268934,25,28
1527270768,26,20
1527272807,17,19
1527274901,27,20
1527276739,47,13
1527278661,23,14
1527280530,22,14
1527282497,22,18
1527284684,17,14
1527286594,14,17
1527289004,30,24
1527291356,9,2718
1527293554,16,240
1527295605,26,20
1527298162,33,25
1527300909,29,27
1527303225,21,17
1527305663,0,247
1527308451,46,46
1527311246,274,30
1527314166,36,63
1527316675,29,34
1527318586,29,43
1527320957,26,34
1527322901,27,27
1527325318,31,54
1527327538,0,164
1527330171,0,284
1527336895,504,124
1527339163,30,22
1527343546,41,40
1527346512,37,118
1527350720,56,164
1527352741,19,119
1527355508,22,43
1527358185,27,30
1527361555,34,39
1527364310,7,72
1527369508,726,57
1527372654,25,22
1527375542,9,36
1527378885,0,80
1527381327,105,30
1527383945,0,30
1527386919,0,60
1527389403,66,21
1527391923,21,29
1527393926,15,30
1527396091,14,15
1527398014,19,12
1527400185,27,23
1527402025,26,23
1527403972,34,26
1527405866,19,29
1527407798,20,12
1527409700,32,26
1527411697,17,23
1527413569,24,22
1527415471,1275,20
1527417399,21,26
1527419332,20,19
1527421224,22,21
1527423165,22,27
1527425074,24,23
1527426998,14,15
1527428908,16,21
1527430823,22,18
1527432771,26,24
1527434669,23,13
1527436600,31,21
1527438505,26,25
1527440495,23,14
1527442364,20,16
1527444284,21,18
1527446224,181,20
1527448129,50,13
1527450027,26,23
1527451951,18,20
1527453893,22,69
1527455786,19,14
1527457707,21,12
1527460595,18,15
1527462519,13,5
1527464455,16,14
1527466351,14,13
1527468321,21,14
1527470185,18,11
1527472139,21,15
1527474026,57,13
1527475994,27,20
1527477886,25,14
1527479850,30,17
1527481702,28,8
1527483749,23,18
1527485571,28,27
1527487423,23,23
1527489376,26,23
1527491316,36,27
1527493214,38,8
1527495138,31,37
1527497080,27,27
1527498976,54,20
1527500901,39,597
1527502835,41,352
1527504736,25,20
1527506659,30,24
1527508594,20,24
1527510495,29,24
1527512489,23,638
1527514366,18,19
1527516268,25,15
1527518176,14,24
1527520121,18,23
1527522020,49,23
1527523892,25,29
1527525856,28,18
1527527799,43,23
1527529696,43,16
1527531624,447,19
1527533539,468,225
1527535458,33,16
1527537394,19,26
1527539296,42,22
1527541302,29,24
1527543155,41,20
1527545100,15,14
1527546995,21,11
1527548988,30,15
1527550818,18,15
1527552793,14,12
1527554660,22,19
1527556605,15,19
1527558518,24,21
1527560462,19,57
1527562404,17,29
1527564316,20,24
1527566197,5,25
1527568139,20,125
1527570094,21,156
1527571996,46,33
1527573912,28,22
1527575809,42,27
1527577733,29,42
1527579655,27,33
1527581541,34,33
1527583515,22,32
1527585390,29,42
1527587331,26,46
1527589233,36,51
1527591172,33,29
1527593061,41,27
1527595003,23,20
1527596908,23,29
1527598851,31,24
1527600744,33,19
1527602709,32,20
1527604577,33,12
1527606542,33,14
1527608430,64,53
1527610406,43,20
1527613153,39,42
1527615142,29,52
1527617062,22,34
1527618976,23,1041
1527620903,82,30
1527622815,61,27
1527624739,32,18
1527626678,28,45
1527628575,21,35
1527630510,51,25
1527632430,45,20
1527634335,23,25
1527636256,59,31
1527638193,30,10
1527640093,37,19
1527642102,42,20
1527643932,38,18
1527645958,35,22
1527647792,24,17
1527649699,37,14
1527651612,76,21
1527653541,145,14
1527655476,72,15
1527657374,59,40
1527659293,65,40
1527661216,113,29
1527663134,92,35
1527665077,84,30
1527666970,79,36
1527668893,67,20
1527670895,79,25
1527672751,42,27
1527674684,57,41
1527676583,59,27
1527678494,49,37
1527680588,78,28
1527682576,62,26
1527684491,44,29
1527686416,45,35
1527688333,37,25
1527690260,44,27
1527692191,36,23
1527694097,45,38
1527696105,35,63
1527698216,40,42
1527700028,26,12
1527702013,44,33
1527703940,190,19
1527705860,213,43
1527707775,99,80
1527709722,37,55
1527711617,38,30
1527713534,48,23
1527715457,131,23
1527717375,261,53
1527719293,206,39
1527721316,45,25
1527723176,43,56
1527725068,39,24
1527726985,228,42
1527728911,46,45
1527730826,25,32
1527732750,27,28
1527734683,12,19
1527736584,27,50
1527738507,28,81
1527740426,33,137
1527742360,41,39
1527744271,46,49
1527746195,31,69
1527748139,60,56
1527750098,52,97
1527751956,23,84
1527753883,57,70
1527755794,49,79
1527757711,44,68
1527759627,29,51
1527761561,66,54
1527763498,46,58
1527765389,39,61
1527767309,49,61
1527769250,67,57
1527771167,43,39
1527773065,59,43
1527774988,63,45
1527776901,43,49
1527778908,69,44
1527780790,32,47
1527782668,49,35
1527784628,177,34
1527786541,207,31
1527788465,136,51
1527790500,93,92
1527792312,75,67
1527794182,23,77
1527796139,34,38
1527798022,37,34
1527799959,47,47
1527801877,27,96
1527803798,76,196
1527806008,161,75
1527807875,20,37
1527809824,27,48
1527811715,16,39
1527813632,28,230
1527815563,23,48
1527817502,28,24
1527819394,43,24
1527821332,22,18
1527823229,60,23
1527825171,40,26
1527827076,52,32
1527829017,51,46
1527830913,42,36
1527832905,39,31
1527834776,47,67
1527836674,68,40
1527838607,54,37
1527840527,41,54
1527842457,25,51
1527844368,247,36
1527846315,57,32
1527848194,57,67
1527850116,39,44
1527852045,38,45
1527853954,61,43
1527855873,37,66
1527857839,52,54
1527859707,56,59
1527861703,27,60
