DateTime,Entries,UniqueIPs
1527076949,3839,3839
1527078771,3829,3829
1527080688,3815,3815
1527082611,3820,3820
1527084805,3732,3732
1527086670,3651,3651
1527088586,3640,3640
1527090513,3640,3640
1527092435,3647,3647
1527094618,3648,3648
1527096507,3649,3649
1527098501,3672,3672
1527100356,3707,3707
1527102278,3696,3696
1527104206,3596,3596
1527106114,3613,3613
1527108028,3415,3415
1527109969,3418,3418
1527111911,3429,3429
1527113797,3429,3429
1527115977,3428,3428
1527117882,5056,5056
1527119808,6284,6284
1527121824,6291,6291
1527123733,6269,6269
1527125581,6199,6199
1527127935,5717,5717
1527129858,5510,5510
1527131793,5150,5150
1527133970,4823,4823
1527135965,4773,4773
1527137816,4765,4765
1527139770,4770,4770
1527141717,4778,4778
1527143677,4770,4770
1527145978,4756,4756
1527148146,4763,4763
1527150052,4758,4758
1527152025,4744,4744
1527153870,4743,4743
1527155809,4587,4587
1527157726,4427,4427
1527159705,4249,4249
1527161742,4237,4237
1527163972,4241,4241
1527165885,4235,4235
1527167786,4223,4223
1527169945,4229,4229
1527171882,4232,4232
1527174159,4224,4224
1527175975,4222,4222
1527177971,4221,4221
1527179820,4223,4223
1527181862,4225,4225
1527183866,4228,4228
1527186051,4187,4187
1527187936,4150,4150
1527190119,4095,4095
1527192103,4061,4061
1527193952,4062,4062
1527195883,4075,4075
1527197806,4065,4065
1527199719,4059,4059
1527201941,4065,4065
1527203791,3930,3930
1527205895,4019,4019
1527207878,4015,4015
1527210107,4029,4029
1527211962,4040,4040
1527213907,4038,4038
1527215820,4047,4047
1527217738,4054,4054
1527219642,4056,4056
1527221584,4059,4059
1527223483,4071,4071
1527225412,4073,4073
1527227298,4084,4084
1527229253,4092,4092
1527231152,4106,4106
1527233101,4139,4139
1527234980,4133,4133
1527236956,4143,4143
1527238894,4160,4160
1527240930,4157,4157
1527242911,4172,4172
1527244812,4169,4169
1527246739,4186,4186
1527248654,4199,4199
1527250576,4212,4212
1527253168,4222,4222
1527255143,4217,4217
1527257028,4218,4218
1527258979,4251,4251
1527260931,4352,4352
1527262847,4386,4386
1527265081,4449,4449
1527266908,4506,4506
1527268934,4503,4503
1527270768,4509,4509
1527272807,4507,4507
1527274901,4514,4514
1527276739,4548,4548
1527278661,4557,4557
1527280530,4565,4565
1527282497,4569,4569
1527284684,4572,4572
1527286594,4569,4569
1527289004,4575,4575
1527291356,1866,1866
1527293554,1642,1642
1527295605,1648,1648
1527298162,1656,1656
1527298162,1656,1656
1527300909,1658,1658
1527300909,1658,1658
1527303225,1662,1662
1527303225,1662,1662
1527305663,1415,1415
1527305663,1415,1415
1527308451,1415,1415
1527311246,1659,1659
1527311246,1659,1659
1527314166,1632,1632
1527314166,1632,1632
1527316675,1627,1627
1527318586,1613,1613
1527320957,1605,1605
1527322901,1605,1605
1527322901,1605,1605
1527325318,1582,1582
1527325318,1582,1582
1527327538,1418,1418
1527327538,1418,1418
1527330171,1134,1134
1527336895,1514,1514
1527336895,1514,1514
1527339163,1522,1522
1527339163,1522,1522
1527343546,1523,1523
1527343546,1523,1523
1527346512,1442,1442
1527346512,1442,1442
1527350720,1334,1334
1527352741,1234,1234
1527352741,1234,1234
1527355508,1213,1213
1527355508,1213,1213
1527358185,1210,1210
1527358185,1210,1210
1527361555,1205,1205
1527361555,1205,1205
1527364310,1140,1140
1527369508,1809,1809
1527369508,1809,1809
1527372654,1812,1812
1527372654,1812,1812
1527375542,1785,1785
1527378885,1705,1705
1527381327,1780,1780
1527381327,1780,1780
1527383945,1765,1765
1527383945,1765,1765
1527386919,1705,1705
1527386919,1705,1705
1527389403,1750,1750
1527391923,1742,1742
1527391923,1742,1742
1527393926,1727,1727
1527396091,1726,1726
1527398014,1733,1733
1527400185,1737,1737
1527402025,1740,1740
1527403972,1748,1748
1527405866,1738,1738
1527407798,1746,1746
1527409700,1752,1752
1527411697,1746,1746
1527413569,1748,1748
1527415471,3003,3003
1527417399,2998,2998
1527419332,2999,2999
1527421224,3000,3000
1527423165,2995,2995
1527425074,2996,2996
1527426998,2995,2995
1527428908,2990,2990
1527430823,2994,2994
1527432771,2996,2996
1527434669,3006,3006
1527436600,3016,3016
1527438505,3017,3017
1527440495,3026,3026
1527442364,3030,3030
1527444284,3033,3033
1527446224,3194,3194
1527448129,3231,3231
1527450027,3234,3234
1527451951,3232,3232
1527453893,3185,3185
1527455786,3190,3190
1527457707,3199,3199
1527460595,3202,3202
1527462519,3210,3210
1527464455,3212,3212
1527466351,3213,3213
1527468321,3220,3220
1527470185,3227,3227
1527472139,3233,3233
1527474026,3277,3277
1527475994,3284,3284
1527477886,3295,3295
1527479850,3308,3308
1527481702,3328,3328
1527483749,3333,3333
1527485571,3334,3334
1527487423,3334,3334
1527489376,3337,3337
1527491316,3346,3346
1527493214,3376,3376
1527495138,3370,3370
1527497080,3370,3370
1527498976,3404,3404
1527500901,2846,2846
1527502835,2535,2535
1527504736,2540,2540
1527506659,2546,2546
1527508594,2542,2542
1527510495,2547,2547
1527512489,1932,1932
1527514366,1931,1931
1527516268,1941,1941
1527518176,1931,1931
1527520121,1926,1926
1527522020,1952,1952
1527523892,1948,1948
1527525856,1958,1958
1527527799,1978,1978
1527529696,2005,2005
1527531624,2433,2433
1527533539,2676,2676
1527535458,2693,2693
1527537394,2686,2686
1527539296,2706,2706
1527541302,2711,2711
1527543155,2732,2732
1527545100,2733,2733
1527546995,2743,2743
1527548988,2758,2758
1527550818,2761,2761
1527552793,2763,2763
1527554660,2766,2766
1527556605,2762,2762
1527558518,2765,2765
1527560462,2727,2727
1527562404,2715,2715
1527564316,2711,2711
1527566197,2691,2691
1527568139,2586,2586
1527570094,2451,2451
1527571996,2464,2464
1527573912,2470,2470
1527575809,2485,2485
1527577733,2472,2472
1527579655,2466,2466
1527581541,2467,2467
1527583515,2457,2457
1527585390,2444,2444
1527587331,2424,2424
1527589233,2409,2409
1527591172,2413,2413
1527593061,2427,2427
1527595003,2430,2430
1527596908,2424,2424
1527598851,2431,2431
1527600744,2445,2445
1527602709,2457,2457
1527604577,2478,2478
1527606542,2497,2497
1527608430,2508,2508
1527610406,2531,2531
1527613153,2528,2528
1527615142,2505,2505
1527617062,2493,2493
1527618976,1475,1475
1527620903,1527,1527
1527622815,1561,1561
1527624739,1575,1575
1527626678,1558,1558
1527628575,1544,1544
1527630510,1570,1570
1527632430,1595,1595
1527634335,1593,1593
1527636256,1621,1621
1527638193,1641,1641
1527640093,1659,1659
1527642102,1681,1681
1527643932,1701,1701
1527645958,1714,1714
1527647792,1721,1721
1527649699,1744,1744
1527651612,1799,1799
1527653541,1930,1930
1527655476,1987,1987
1527657374,2006,2006
1527659293,2031,2031
1527661216,2115,2115
1527663134,2172,2172
1527665077,2226,2226
1527666970,2269,2269
1527668893,2316,2316
1527670895,2370,2370
1527672751,2385,2385
1527674684,2401,2401
1527676583,2433,2433
1527678494,2445,2445
1527680588,2495,2495
1527682576,2531,2531
1527684491,2546,2546
1527686416,2556,2556
1527688333,2568,2568
1527690260,2585,2585
1527692191,2598,2598
1527694097,2605,2605
1527696105,2577,2577
1527698216,2575,2575
1527700028,2589,2589
1527702013,2600,2600
1527703940,2771,2771
1527705860,2941,2941
