DateTime,AddedIPs,RemovedIPs
1521703635,0,1
1521705875,1,2
1521707804,0,2
1521709725,0,1
1521711888,0,2
1521713787,0,3
1521715968,1,0
1521721723,0,2
1521723697,1,0
1521733248,0,1
1521746923,0,1
1521752928,1,0
1521762762,1,0
1521772363,1,0
1521778125,0,1
1521791552,0,1
1521793486,1,0
1521801879,0,1
1521807888,1,0
1521809791,0,1
1521840751,0,1
1521845713,1,0
1521857784,0,1
1521871472,0,1
1521879388,0,1
1521883227,2,0
1521894750,0,1
1521929546,0,1
1521962912,0,2
1521977051,1,0
1522028427,1,0
1522032285,1,0
1522047886,1,0
1522055592,3,0
1522065147,0,1
1522070905,1,0
1522084607,1,0
1522092274,1,0
1522094204,2,0
1522096113,1,0
1522104532,1,0
1522112244,2,0
1522118178,0,1
1522131860,1,0
1522133776,0,1
1522137722,0,1
1522145327,0,1
1522147944,0,2
1522157964,0,1
1522170096,0,1
1522175791,1,0
1522179635,0,2
1522181569,0,2
1522189664,1,0
1522191815,0,1
1522193790,1,0
1522197627,0,1
1522199556,0,1
1522214301,2,0
1522217580,0,1
1522241096,0,1
1522243438,1,0
1522276489,0,1
1522278335,0,1
1522282527,0,1
1522298209,0,2
1523452601,1,0
1523538304,0,1
1523587479,1,0
1523647722,1,0
1523675799,0,1
1523685400,1,0
1523733406,0,1
1523769876,0,1
1524100364,1,0
1524123322,0,0
1524186051,0,1
1524299556,1,0
1524349971,1,0
1524386682,0,1
1524435157,0,1
1524591866,1,0
1524677824,0,1
1525682919,1,0
1525792680,0,1
1525859805,1,0
1525945815,0,1
1525977632,1,0
1526004299,1,0
1526031862,0,2
1526322777,19,0
1526331060,2,0
1526333076,1,0
1526334908,1,0
1526336899,0,1
1526346670,1,0
1526348930,3,1
1526356625,0,1
1526360544,1,0
1526362619,0,1
1526364771,1,0
1526366695,0,1
1526378699,0,1
1526380588,0,1
1526388993,0,1
1526393274,2,1
1526395236,1,0
1526397411,1,0
1526399297,1,0
1526401189,1,0
1526411361,0,1
1526413239,1,0
1526417820,0,3
1526421743,2,0
1526425731,1,0
1526427652,1,1
1526431492,1,1
1526433409,1,0
1526435329,0,3
1526439192,3,0
1526443031,0,1
1526444926,1,0
1526446909,1,0
1526448772,0,1
1526450696,1,1
1526454551,1,0
1526462217,1,0
1526464131,1,0
1526471807,1,0
1526475707,0,1
1526477572,0,1
1526479476,1,1
1526481392,1,0
1526487183,0,1
1526493152,1,0
1526497007,1,0
1526498927,1,0
1526508539,0,1
1526511729,0,1
1526513808,1,1
1526517645,1,1
1526525328,0,2
1526527239,0,1
1526531088,0,2
1526533005,0,1
1526536910,1,1
1526542583,1,1
1526544535,1,0
1526546445,1,0
1526550274,0,1
1526554099,0,1
1526557963,0,1
1526560108,1,0
1526562092,1,0
1526568020,0,1
1526574038,0,1
1526575954,2,0
1526577884,0,1
1526581713,0,2
1526585577,3,0
1526589413,0,1
1526593239,0,1
1526597946,1,0
1526599961,0,1
1526605783,1,0
1526611464,1,1
1526613436,1,0
1526615340,1,0
1526619162,1,0
1526621180,0,1
1526622985,0,1
1526624970,1,0
1526630717,1,0
