DateTime,Entries,UniqueIPs
1527076950,252,252
1527078772,252,252
1527080689,254,254
1527082613,253,253
1527084806,258,258
1527086672,257,257
1527088588,262,262
1527090514,265,265
1527092436,269,269
1527094619,268,268
1527096509,269,269
1527098502,271,271
1527100358,272,272
1527102279,269,269
1527104208,264,264
1527106115,263,263
1527108029,264,264
1527109970,263,263
1527111913,258,258
1527113798,254,254
1527115978,254,254
1527117883,1835,1835
1527119810,3068,3068
1527121826,3069,3069
1527123735,3066,3066
1527125583,3066,3066
1527127937,3065,3065
1527129859,3062,3062
1527131795,3059,3059
1527133971,3057,3057
1527135967,3057,3057
1527137818,3053,3053
1527139772,3057,3057
1527141719,3061,3061
1527143679,3055,3055
1527145980,3056,3056
1527148147,3060,3060
1527150053,3060,3060
1527152027,3057,3057
1527153871,3057,3057
1527155810,3057,3057
1527157728,3058,3058
1527159707,3056,3056
1527161743,3058,3058
1527163973,3058,3058
1527165886,3053,3053
1527167788,3054,3054
1527169947,3055,3055
1527171884,3054,3054
1527174161,3052,3052
1527175977,3050,3050
1527177973,3049,3049
1527179821,3049,3049
1527181863,3049,3049
1527183868,3045,3045
1527186053,3043,3043
1527187937,3047,3047
1527190121,3049,3049
1527192104,3050,3050
1527193954,3046,3046
1527195885,3048,3048
1527197808,3052,3052
1527199721,3051,3051
1527201942,3064,3064
1527203793,2985,2985
1527205896,3066,3066
1527207879,3068,3068
1527210109,3067,3067
1527211963,3067,3067
1527213908,3070,3070
1527215822,3075,3075
1527217740,3074,3074
1527219643,3073,3073
1527221585,3072,3072
1527223485,3073,3073
1527225415,3067,3067
1527227300,3065,3065
1527229255,3066,3066
1527231153,3066,3066
1527233103,3071,3071
1527234982,3070,3070
1527236958,3087,3087
1527238895,3104,3104
1527240932,3114,3114
1527242912,3125,3125
1527244814,3130,3130
1527246740,3133,3133
1527248655,3133,3133
1527250578,3141,3141
1527253170,3141,3141
1527255144,3144,3144
1527257030,3148,3148
1527258981,3148,3148
1527260932,3146,3146
1527262849,3145,3145
1527265083,3147,3147
1527266909,3149,3149
1527268935,3151,3151
1527270769,3154,3154
1527272809,3153,3153
1527274902,3153,3153
1527276740,3178,3178
1527278663,3182,3182
1527280531,3183,3183
1527282498,3181,3181
1527284686,3178,3178
1527286596,3172,3172
1527289006,3165,3165
1527291357,548,548
1527293555,327,327
1527295607,334,334
1527298163,336,336
1527298163,336,336
1527300911,332,332
1527300911,332,332
1527303227,332,332
1527305666,280,280
1527308453,279,279
1527311248,337,337
1527311248,337,337
1527314168,346,346
1527314168,346,346
1527316677,350,350
1527316677,350,350
1527318590,281,281
1527318590,281,281
1527320961,344,344
1527320961,344,344
1527322903,337,337
1527322903,337,337
1527325319,313,313
1527325319,313,313
1527327541,282,282
1527336896,286,286
1527336896,286,286
1527339164,287,287
1527339164,287,287
1527343547,281,281
1527343547,281,281
1527346513,278,278
1527346513,278,278
1527350721,278,278
1527352743,272,272
1527352743,272,272
1527355509,266,266
1527355509,266,266
1527358187,264,264
1527358187,264,264
1527361557,265,265
1527361557,265,265
1527369509,248,248
1527369509,248,248
1527372656,246,246
1527372656,246,246
1527375543,243,243
1527375543,243,243
1527378886,247,247
1527381329,232,232
1527381329,232,232
1527383947,228,228
1527383947,228,228
1527386921,223,223
1527386921,223,223
1527389520,223,223
1527389520,223,223
1527391934,220,220
1527391934,220,220
1527396093,214,214
1527396093,214,214
1527398016,217,217
1527398016,217,217
1527400188,211,211
1527402026,210,210
1527403973,215,215
1527405867,216,216
1527407799,219,219
1527409701,223,223
1527411698,226,226
1527413570,226,226
1527415472,1504,1504
1527417400,1504,1504
1527419333,1504,1504
1527421225,1503,1503
1527423166,1505,1505
1527425076,1504,1504
1527426999,1505,1505
1527428909,1507,1507
1527430825,1505,1505
1527432772,1510,1510
1527434670,1515,1515
1527436602,1515,1515
1527438506,1516,1516
1527440496,1518,1518
1527442366,1521,1521
1527444285,1523,1523
1527446225,1521,1521
1527448130,1519,1519
1527450028,1522,1522
1527451952,1521,1521
1527453895,1513,1513
1527455787,1515,1515
1527457709,1519,1519
1527460596,1519,1519
1527462521,1521,1521
1527464457,1523,1523
1527466352,1522,1522
1527468323,1528,1528
1527470187,1530,1530
1527472140,1530,1530
1527474028,1532,1532
1527475995,1535,1535
1527477887,1535,1535
1527479851,1535,1535
1527481703,1537,1537
1527483750,1534,1534
1527485572,1530,1530
1527487426,1527,1527
1527489377,1520,1520
1527491317,1518,1518
1527493216,1520,1520
1527495139,1516,1516
1527497082,1516,1516
1527498978,1518,1518
1527500902,949,949
1527502837,606,606
1527504737,604,604
1527506660,603,603
1527508595,604,604
1527510497,602,602
1527512491,601,601
1527514367,600,600
1527516269,600,600
1527518178,599,599
1527520123,594,594
1527522022,619,619
1527523894,617,617
1527525857,620,620
1527527800,620,620
1527529698,626,626
1527531626,1046,1046
1527533540,1492,1492
1527535459,1495,1495
1527537396,1494,1494
1527539297,1503,1503
1527541303,1511,1511
1527543157,1506,1506
1527545101,1506,1506
1527546997,1508,1508
1527548990,1508,1508
1527550819,1508,1508
1527552795,1510,1510
1527554662,1508,1508
1527556606,1510,1510
1527558519,1512,1512
1527560468,1518,1518
1527562405,1517,1517
1527564317,1518,1518
1527566199,1517,1517
1527568141,1421,1421
1527570096,1287,1287
1527571997,1288,1288
1527573913,1289,1289
1527575811,1292,1292
1527577734,1292,1292
1527579657,1293,1293
1527581543,1293,1293
1527583516,1294,1294
1527585391,1294,1294
1527587332,1295,1295
1527589234,1305,1305
1527591173,1306,1306
1527593062,1310,1310
1527595004,1310,1310
1527596909,1313,1313
1527598853,1311,1311
1527600745,1313,1313
1527602710,1316,1316
1527604578,1318,1318
1527606543,1322,1322
1527608432,1310,1310
1527610407,1323,1323
1527613155,1319,1319
1527615143,1321,1321
1527617063,1327,1327
1527618977,304,304
1527620904,361,361
1527622816,402,402
1527624740,407,407
1527626679,404,404
1527628576,406,406
1527630512,436,436
1527632432,462,462
1527634336,464,464
1527636257,507,507
1527638194,522,522
1527640094,525,525
1527642103,536,536
1527643934,556,556
1527645960,558,558
1527647794,556,556
1527649700,555,555
1527651613,579,579
1527653542,614,614
1527655477,638,638
1527657375,656,656
1527659294,669,669
1527661217,681,681
1527663135,743,743
1527665079,789,789
1527666971,820,820
1527668895,836,836
1527670896,864,864
1527672752,865,865
1527674685,866,866
1527676585,873,873
1527678495,882,882
1527680590,919,919
1527682577,936,936
1527684492,947,947
1527686417,956,956
1527688334,960,960
1527690261,962,962
1527692192,961,961
1527694098,967,967
1527696106,947,947
1527698218,960,960
1527700030,971,971
1527702015,990,990
1527703941,1018,1018
1527705861,1012,1012
1527707776,971,971
1527709723,956,956
1527711619,959,959
1527713535,977,977
1527715459,976,976
1527717376,952,952
1527719294,950,950
1527721317,954,954
1527723178,930,930
1527725069,937,937
1527726987,936,936
1527728912,943,943
1527730827,939,939
1527732751,936,936
1527734685,936,936
1527736585,936,936
1527738508,912,912
1527740428,885,885
1527742361,875,875
1527744272,881,881
1527746196,874,874
1527748141,872,872
1527750099,827,827
1527751957,778,778
1527753885,785,785
1527755796,765,765
