DateTime,AddedIPs,RemovedIPs
1521201483,1,0
1521205285,1,0
1521224681,1,0
1521241908,1,0
1521249440,0,1
1521261311,0,1
1521274581,0,1
1521278436,1,0
1521282275,1,0
1521288135,0,1
1521291995,0,1
1521299698,1,0
1521311194,0,1
1521328895,0,1
1521360273,1,0
1521364127,0,1
1521369876,0,1
1521375638,1,0
1521387152,0,1
1521439309,1,0
1521446909,0,1
1521449091,1,0
1521462509,0,1
1521477890,2,0
1521526243,0,1
1521532105,4,0
1521535935,0,1
1521543406,1,0
1521560815,3,0
1521562817,0,2
1521615170,1,0
1521618996,0,4
1521620902,1,0
1521630532,0,1
1521636273,1,0
1521642039,2,0
1521647804,0,3
1521701573,0,1
1521707807,0,1
1521721725,0,1
1521727494,0,2
1521730458,1,0
1521811714,1,0
1521816983,0,1
1521842693,1,0
1521855868,1,0
1521859713,1,0
1521892929,1,0
1521898588,0,1
1521904357,1,0
1521906280,1,0
1521908204,1,0
1521910112,1,0
1521912271,1,0
1521914202,1,0
1521929547,0,1
1521941079,0,1
1521946942,0,1
1521951157,1,0
1521978269,0,1
1521994418,0,3
1521996260,0,1
1521998252,0,1
1522000064,0,1
1522032286,0,1
1522047381,1,0
1522054106,1,0
1522073082,3,0
1522078843,1,0
1522096115,1,0
1522104535,1,0
1522107856,3,0
1522131861,1,0
1522133777,2,1
1522135716,1,0
1522139560,1,1
1522149874,2,0
1522152127,2,0
1522154157,2,0
1522157965,0,3
1522162122,4,0
1522164034,1,1
1522181571,0,1
1522189666,1,1
1522193792,1,3
1522195723,1,0
1522220275,0,3
1522223625,0,1
1522241098,1,12
1522243439,5,0
1522249724,0,4
1522251629,0,1
1522278336,0,1
1522282530,0,2
1522325060,0,1
1523307097,0,0
1526322779,24,0
1526324691,2,0
1526326624,2,0
1526328515,3,0
1526331062,1,0
1526333078,1,0
1526336901,1,0
1526342571,1,0
1526344604,0,1
1526350848,1,0
1526352898,1,0
1526357775,4,0
1526362085,2,1
1526364285,2,0
1526366198,1,1
1526368118,1,0
1526369959,2,1
1526371938,0,2
1526373989,3,3
1526375812,2,1
1526377864,2,1
1526379854,1,1
1526381707,1,1
1526383608,1,3
1526385707,1,1
1526389368,0,1
1526391175,2,0
1526393277,4,0
1526395238,3,1
1526397413,1,0
1526399299,1,0
1526401191,2,2
1526403397,3,2
1526405325,2,0
1526407316,1,1
1526411364,1,2
1526413241,3,2
1526415832,2,4
1526417823,1,1
1526419699,1,0
1526421745,2,0
1526423816,0,1
1526429573,0,1
1526431494,1,0
1526433411,4,0
1526437252,2,1
1526439194,9,1
1526441091,1,0
1526443033,5,2
1526444929,0,2
1526448775,1,2
1526450698,2,2
1526452604,3,1
1526454553,2,1
1526456447,3,2
1526458353,7,0
1526460292,0,3
1526462219,1,2
1526464133,2,2
1526466051,0,1
1526467952,1,1
1526469885,2,1
1526471809,1,1
1526473852,1,0
1526475709,2,0
1526477574,3,2
1526479478,7,4
1526481393,3,2
1526483315,5,2
1526485226,1,1
1526487185,4,1
1526489313,1,3
1526491246,1,3
1526495084,0,1
1526498929,0,4
1526500908,0,1
1526502758,0,1
1526504684,1,1
1526506615,1,2
1526508542,0,1
1526511732,3,0
1526517647,0,1
1526519572,0,2
1526521468,0,2
1526523419,0,2
1526525330,0,7
1526527241,0,3
1526529170,0,4
1526531089,0,1
1526534913,0,1
1526536912,1,2
1526538768,0,2
1526540692,0,3
1526542584,0,3
1526544537,1,7
1526548373,0,1
1526550276,1,1
1526552211,0,1
1526554101,2,1
1526556046,1,2
1526557965,3,1
1526560110,5,1
1526562094,8,2
1526564210,8,6
1526566105,4,5
1526568022,1,3
1526569947,1,4
1526571862,0,2
1526574039,0,4
1526575956,0,1
1526591315,0,1
1526593241,1,1
1526597948,0,2
1526599963,0,1
1526609620,1,0
1526611466,1,0
1526615342,1,0
1526619164,1,0
1526622987,0,1
1526628848,2,0
1526630718,1,1
1526636469,1,1
1526638371,1,0
1526640339,3,2
1526642209,2,1
1526644175,3,1
1526646364,8,7
1526648544,3,8
1526650364,2,8
1526652293,3,4
1526654177,3,1
1526656404,0,1
1526658259,3,0
1526660446,1,0
1526662344,4,0
1526666209,2,0
1526670273,4,0
1526674138,1,0
1526676069,4,0
1526679876,0,1
1526685886,1,0
1526695977,2,1
1526697893,0,1
1526699815,1,0
1526701728,0,1
1526705570,1,1
1526713319,1,0
1526715151,1,2
1526717089,0,1
1526720936,1,0
1526722846,0,1
1526724756,0,1
1526726692,0,3
1526728609,0,2
1526730520,0,3
1526732456,0,6
1526734607,0,5
1526736529,0,1
1526738500,0,4
1526740372,0,1
1526742291,0,2
1526744190,2,2
1526746165,0,2
1526748027,0,3
1526749973,0,1
1526752034,0,2
1526755936,0,2
1526757875,2,2
1526761696,0,4
1526763883,0,1
