DateTime,AddedIPs,RemovedIPs
1521756747,1,1
1521785805,0,1
1521791554,0,1
1521793489,3,0
1521797318,1,0
1521801881,1,0
1521809793,0,1
1521818920,0,1
1521821088,0,2
1521836677,1,0
1521838904,0,1
1521842694,1,0
1521845715,8,0
1521847958,2,0
1521865459,1,0
1521879390,0,1
1521881327,0,1
1521885163,0,1
1521887081,0,1
1521892929,1,0
1521902428,1,0
1521904358,1,0
1521914203,0,1
1521918082,1,0
1521919966,1,0
1521923827,0,1
1521927642,3,0
1521929548,1,1
1521931466,0,7
1521935305,0,2
1521944917,1,0
1521951158,0,1
1521956920,1,0
1521988715,0,2
1521990583,0,1
1522005729,0,1
1522014753,0,3
1522016681,2,0
1522024581,0,1
1522026515,1,0
1522030362,2,1
1522034203,0,1
1522039946,0,1
1522057469,0,1
1522061385,1,0
1522076931,1,0
1522084609,1,0
1522086527,1,0
1522096116,1,0
1522102405,0,1
1522104536,0,1
1522112247,0,1
1522114099,1,0
1522118180,0,1
1522141479,1,0
1522147946,0,1
1522164035,0,2
1522170098,0,1
1522181573,0,1
1522185410,1,0
1522189667,1,0
1522191818,1,0
1522193793,1,0
1522199559,0,1
1522201738,0,1
1522220277,1,0
1522228469,0,1
1522241099,2,1
1522243440,2,0
1522246768,0,1
1522253630,0,1
1522278337,0,2
1522282531,0,1
1522296298,0,1
1522315484,0,1
1522319317,0,2
1522323164,0,5
1522325060,0,5
1523309066,2,0
1523311254,5,0
1523315328,3,0
1523319388,1,0
1523330928,1,0
1523352531,1,0
1523389960,1,0
1523413601,1,0
1523415644,0,1
1523448759,0,1
1523452604,0,1
1523475639,0,1
1523492210,1,0
1523496036,0,1
1523503964,1,0
1523511668,1,0
1523523169,0,1
1523599245,0,1
1523603090,1,0
1523643873,0,1
1523651564,0,1
1523672512,1,0
1523674356,1,0
1523693566,0,1
1523722832,1,0
1523761968,0,2
1523771796,1,0
1523893763,1,3
1523895784,1,0
1523918114,0,1
1523926132,1,0
1523970516,1,0
1523978308,1,0
1523982296,1,0
1523984200,1,0
1524000279,1,0
1524010849,0,1
1524049431,1,0
1524057428,0,1
1524059311,1,0
1524071353,0,1
1524079003,1,0
1524086707,1,0
1524093946,0,0
1524123324,1,0
1524132995,0,1
1524136821,0,1
1524140676,1,0
1524148349,1,1
1524152456,0,1
1524156522,0,1
1524168535,0,1
1524170445,0,1
1524227101,0,1
1524232966,0,1
1524236787,1,0
1524240679,1,0
1524260448,1,0
1524264174,1,0
1524268004,1,0
1524293544,1,0
1524323084,1,1
1524326952,0,1
1524344187,0,1
1524355962,0,1
1524359791,2,0
1524367483,1,0
1524379024,0,1
1524408290,0,1
1524423647,0,1
1524442186,1,0
1524446062,1,2
1524450166,1,0
1524453959,0,1
1524530916,0,1
1524554193,1,0
1524559981,1,0
1524563820,0,1
1524575831,1,0
1524585414,2,0
1524601267,1,0
1524605092,1,0
1524609245,1,0
1524611107,1,0
1524614933,2,0
1524626447,1,0
1524645894,1,0
1524659581,0,1
1524663337,0,1
1524667473,1,0
1524671703,0,1
1524675654,1,1
1524679712,1,0
1524689813,1,1
1524693641,0,2
1524705427,0,2
1524709237,1,0
1524713079,0,1
1524730607,0,1
1524742120,0,1
1524749941,2,0
1524753907,0,1
1524763498,1,0
1524778862,0,1
1524782687,0,1
1524786526,0,1
1524794200,1,1
1524815561,1,0
1524832031,1,0
1524834300,0,1
1524838623,0,1
1524842592,1,0
1524848684,0,1
1524852531,0,1
1524856388,2,0
1524881309,0,1
1524919966,0,1
1524930064,0,1
1524941560,1,1
1524945412,0,1
1524953085,1,0
1525007341,1,0
1525036088,1,0
1525043782,0,1
1525078595,1,0
1525092282,0,1
1525096376,0,1
1525122226,1,1
1525174834,0,1
1525198551,2,1
1525200764,1,0
1525216368,1,0
1525233836,1,0
1525237989,1,1
1525260599,1,0
1525282584,1,0
1525286432,0,2
1525290269,0,1
1525298209,1,0
1525304469,0,1
1525318373,0,1
1525322234,2,1
1525345499,0,1
1525353434,1,0
1525357260,2,0
1525359094,1,0
1525370930,1,1
1525381012,0,1
1525407391,0,2
1525430680,1,0
1525442700,0,2
1525447008,0,1
1525456860,0,1
1525460937,1,0
1525465031,0,1
1525475441,2,0
1525504847,1,0
1525513254,0,1
1525515168,2,0
1525562075,2,2
1525572057,1,0
1525590533,0,1
1525594600,0,1
1525602294,0,2
1525632960,2,0
1525634940,2,0
1525650292,0,1
1525654133,0,1
1525657997,0,1
1525694452,1,0
1525716307,0,1
1525720139,0,1
1525723984,0,1
1525745564,1,0
1525757087,1,0
1525784513,0,2
1525802210,1,0
1525838952,1,0
1525842777,0,1
1525854290,1,0
1525887894,0,1
1525907571,1,0
1525909490,1,0
1525917406,1,0
1525929416,0,1
1525943570,0,1
1525977330,0,1
1525987238,1,0
1525991080,0,1
1525996134,0,1
1526002375,0,1
1526031865,0,0
1526322781,4,8
1526324692,4,0
1526326625,1,0
1526395238,1,0
1526399300,0,1
1526401191,0,1
1526411368,1,0
1526413242,1,0
1526419700,1,0
1526425734,1,0
1526427655,0,1
1526448776,1,0
1526450699,1,0
1526454554,1,0
1526458354,1,0
