DateTime,AddedIPs,RemovedIPs
1525130219,2,0
1525134059,1,0
1525137899,0,1
1525141748,1,1
1525145605,0,1
1525198552,2,0
1525202687,1,0
1525206510,2,0
1525214207,0,1
1525220213,0,1
1525224064,2,0
1525227900,1,1
1525236058,1,0
1525239898,0,1
1525243717,1,0
1525284463,0,2
1525292147,0,2
1525296294,1,0
1525308286,0,1
1525312384,0,1
1525316458,0,2
1525320311,1,1
1525324145,1,0
1525335672,0,1
1525365188,1,0
1525381013,0,1
1525393012,1,0
1525407392,0,1
1525411022,0,1
1525448924,1,1
1525479299,1,1
1525501011,1,0
1525536815,1,1
1525548303,1,0
1525562076,1,0
1525566040,1,1
1525570120,1,0
1525582367,1,0
1525590534,0,1
1525619827,1,1
1525634940,1,1
1525640703,1,0
1525644553,2,0
1525648384,0,1
1525656058,0,2
1525667586,1,1
1525675261,1,0
1525694455,2,0
1525698292,1,0
1525705974,0,1
1525722055,0,1
1525725894,1,1
1525729742,0,2
1525753242,0,1
1525755165,1,0
1525762850,0,1
1525778442,0,2
1525786726,0,1
1525790691,1,0
1525794533,1,0
1525812772,0,1
1525842778,0,1
1525862237,1,0
1525878058,0,1
1525881919,0,1
1525889825,1,0
1525893643,1,0
1525901315,1,0
1525917407,1,0
1525943571,1,0
1525947646,1,0
1525951716,0,1
1525973320,0,1
1525981149,0,1
1525989178,1,1
1526004303,0,1
1526025893,1,1
1526029971,4,0
1526031865,0,7
1526322781,49,0
1526336903,1,2
1526338787,2,0
1526342572,1,0
1526344605,1,0
1526354893,0,17
1526356913,0,10
1526358744,0,1
1526364776,0,1
1526366700,0,11
1526370774,1,0
1526374907,2,0
1526378702,1,0
1526382642,1,0
1526384943,0,2
1526387104,1,0
1526391176,0,1
1526397414,0,1
1526403398,0,1
1526405326,0,2
1526413242,1,0
1526415834,1,0
1526421747,0,1
1526423818,0,1
1526425734,0,1
1526429575,0,1
1526431495,1,1
1526433413,1,0
1526435333,1,0
1526439195,2,0
1526452605,1,0
1526458354,0,1
1526460293,0,1
1526462220,1,1
1526464134,0,1
1526469887,0,1
1526473854,2,1
1526487187,1,0
1526495086,1,0
1526498931,0,1
1526502760,0,1
1526517649,1,0
1526519574,0,2
1526521470,1,1
1526523420,1,0
1526525332,0,2
1526538770,1,1
1526544539,1,0
1526546448,1,0
1526548374,1,1
1526550277,1,0
1526554102,3,0
1526557967,2,0
1526560112,3,2
1526574042,0,1
1526577888,1,0
1526579793,1,0
1526581717,2,1
1526585581,1,0
1526593243,1,0
1526603813,0,1
1526605786,1,0
1526607645,0,1
1526609622,0,1
1526617295,10,0
1526621183,1,0
1526624973,2,1
1526630720,1,1
1526632650,0,1
1526636471,0,2
1526640340,1,1
1526642210,0,1
1526644176,0,2
1526646365,1,3
1526660448,1,1
1526666211,0,1
1526668374,0,2
1526672217,0,1
1526674140,2,0
1526676071,1,0
1526679878,0,1
1526681821,1,0
1526688132,1,0
1526691875,0,1
1526695978,1,0
1526703631,1,10
1526707488,1,0
1526711317,1,2
1526715153,2,0
1526722848,2,1
1526726694,0,1
1526728611,1,0
1526732458,0,1
1526734609,1,0
1526740373,1,0
1526742293,1,0
1526748029,1,1
1526749974,2,0
1526757876,1,0
1526759776,1,3
1526761697,0,2
1526767710,0,1
1526773466,0,1
1526775408,1,0
1526783083,0,1
1526791001,0,1
1526792932,1,0
1526794833,0,1
1526798674,1,1
1526800596,0,1
1526802549,0,1
1526806364,1,0
1526808297,0,1
1526810196,1,1
1526812115,1,0
1526814100,0,1
1526816234,1,0
1526818118,2,0
1526820036,1,1
1526825808,2,1
1526827708,0,1
1526833490,0,1
1526835408,0,1
1526841168,0,1
1526843096,0,1
1526844987,0,1
1526850780,1,0
1526857499,1,0
1526863466,1,1
1526865394,1,0
1526871140,1,0
1526874978,1,0
1526876829,1,0
1526881006,0,1
1526884844,1,1
1526892574,0,1
1526896386,3,1
1526898314,0,1
1526902117,0,1
1526904113,0,2
1526905973,0,1
1526911874,2,2
1526913867,2,0
1526915782,1,0
1526919916,1,0
1526936709,0,1
1526940800,1,0
1526945108,1,1
1526950925,0,2
1526952786,1,0
1526959483,0,1
1526961428,0,1
1526963599,0,1
1526965490,1,0
1526971491,1,1
1526983306,0,2
1526987081,0,1
1526990923,1,0
1526998608,0,2
1527000521,0,1
1527002442,1,1
1527004378,1,2
1527010136,1,0
1527019992,1,0
1527021909,1,0
1527026094,0,1
1527028129,1,0
1527030154,0,1
1527031982,1,0
1527037982,0,1
1527051427,0,1
1527053337,3,0
1527057177,0,1
1527064878,1,0
1527070626,1,0
1527073015,3,0
1527078775,0,1
1527080692,1,0
1527084809,2,0
1527086674,1,0
1527088591,1,1
1527096511,2,1
1527102282,1,0
1527104210,2,0
1527106118,2,2
1527108032,0,1
1527113801,0,1
1527119812,2,1
1527121828,1,0
1527127939,1,0
1527129861,1,0
1527139775,1,3
1527141722,1,0
1527143682,1,0
1527152030,0,1
1527155813,0,1
1527159710,0,3
1527165889,0,1
1527171887,0,1
1527174164,2,2
1527175979,0,1
1527177975,1,0
1527181866,0,2
1527187940,0,1
1527190124,0,2
1527192107,0,2
1527195887,1,0
1527205898,0,2
1527207881,0,1
1527213911,0,1
1527215870,0,1
1527225419,0,1
1527227302,0,1
1527229257,0,1
1527236960,1,0
1527246743,2,0
1527250580,2,0
1527257034,1,0
1527260935,0,2
1527265085,18,1
1527266912,2,0
1527268938,5,0
1527272811,1,0
1527276743,1,0
1527282501,1,1
1527286599,3,0
1527291361,0,0
1527295610,0,0
1527298167,0,0
1527300916,2,0
1527303230,1,0
1527305669,0,0
1527308457,1,0
1527311251,1,0
1527314171,0,0
1527316681,0,0
1527318594,1,0
1527320965,4,0
1527322908,3,1
1527325323,4,0
1527336899,6,4
1527339167,0,0
1527343550,3,1
1527346517,1,0
1527350725,1,6
1527352746,0,14
1527355512,1,5
1527358190,1,1
1527361560,1,0
1527369512,0,2
1527375546,0,3
1527378889,0,0
1527381332,1,0
1527383950,0,0
1527386925,0,2
1527389632,1,1
1527391942,0,0
1527396096,1,1
1527398019,0,1
1527400193,0,0
1527405868,0,2
1527407800,0,3
1527409702,3,4
1527411701,0,3
1527413571,2,3
1527415473,1,0
1527417402,0,1
1527419335,0,1
1527423168,0,1
1527427001,1,0
1527428911,0,2
1527432774,1,1
1527436604,1,1
1527438508,1,1
1527440498,0,1
1527444287,0,1
1527448133,1,0
1527450031,1,1
1527464458,1,0
1527466354,0,1
1527474029,1,0
1527475997,0,1
1527483752,1,1
1527485574,1,0
1527495141,0,1
1527497084,0,2
1527498980,0,2
1527500904,1,1
1527506662,1,0
1527512492,0,1
1527518179,0,1
1527522024,1,0
1527523895,0,1
1527525859,0,1
1527531635,1,0
1527535461,1,0
1527537398,0,1
1527548992,1,0
1527552797,1,0
1527554664,0,1
1527556608,2,0
1527560470,0,1
1527566201,1,0
1527570097,0,1
1527571999,1,1
1527573915,2,0
1527577736,1,0
1527581544,1,0
1527587334,0,1
1527591175,0,1
1527593064,0,1
1527604580,1,0
1527608434,0,1
1527615145,1,0
1527617065,0,1
1527622818,1,1
1527632433,1,0
1527634338,0,1
1527638196,1,0
1527640096,0,1
1527642104,0,1
1527643935,1,1
1527651615,0,1
1527653544,1,0
1527659296,2,1
1527661220,0,1
1527670898,1,0
1527672754,1,0
1527676587,1,0
1527678497,1,0
1527684494,1,0
1527688336,1,0
1527690263,0,1
1527694100,1,0
1527700031,0,1
1527709725,0,1
1527719297,0,1
1527725072,0,1
1527728915,0,1
1527732754,1,0
1527734688,1,0
1527738511,1,0
1527740430,1,0
1527742364,1,0
1527744275,1,1
1527746199,0,5
1527748145,1,0
1527755798,1,0
1527757716,1,0
1527759631,1,1
1527761566,1,1
1527763503,1,0
1527769254,2,1
1527771171,1,0
1527774992,0,1
