DateTime,Entries,UniqueIPs
1527073016,272,272
1527074941,269,269
1527076953,271,271
1527078775,275,275
1527080692,272,272
1527082616,271,271
1527084809,264,264
1527086675,256,256
1527088591,257,257
1527090517,259,259
1527092439,258,258
1527094622,264,264
1527096511,268,268
1527098505,291,291
1527100360,341,341
1527102282,389,389
1527104210,439,439
1527106118,462,462
1527108032,465,465
1527109973,468,468
1527111915,470,470
1527113801,467,467
1527115981,464,464
1527117886,461,461
1527119812,459,459
1527121829,460,460
1527123737,457,457
1527125585,454,454
1527127939,454,454
1527129862,452,452
1527131798,455,455
1527133974,458,458
1527135971,461,461
1527137821,459,459
1527139775,458,458
1527141722,455,455
1527143682,449,449
1527145983,437,437
1527148151,436,436
1527150057,432,432
1527152030,423,423
1527153874,415,415
1527155813,408,408
1527157732,404,404
1527159710,405,405
1527161747,408,408
1527163976,410,410
1527165889,411,411
1527167791,407,407
1527169950,408,408
1527171887,413,413
1527174164,410,410
1527175980,414,414
1527177976,415,415
1527179824,411,411
1527181866,410,410
1527183870,404,404
1527186056,355,355
1527187941,312,312
1527190125,255,255
1527192108,223,223
1527193957,220,220
1527195887,224,224
1527197810,224,224
1527199723,224,224
1527201945,229,229
1527203796,230,230
1527205899,232,232
1527207882,230,230
1527210111,239,239
1527211966,245,245
1527213911,246,246
1527215871,253,253
1527217742,260,260
1527219646,264,264
1527221588,270,270
1527223487,273,273
1527225419,279,279
1527227302,286,286
1527229257,289,289
1527231156,293,293
1527233106,312,312
1527234985,313,313
1527236960,316,316
1527238897,320,320
1527240935,315,315
1527242915,317,317
1527244817,324,324
1527246743,327,327
1527248658,323,323
1527250581,322,322
1527253172,322,322
1527255147,319,319
1527257035,313,313
1527258983,323,323
1527260935,345,345
1527262852,351,351
1527265086,348,348
1527266912,354,354
1527268938,354,354
1527270772,351,351
1527272812,351,351
1527274905,354,354
1527276743,355,355
1527278666,356,356
1527280534,354,354
1527282501,358,358
1527284688,355,355
1527286599,356,356
1527289009,355,355
1527291361,352,352
1527295610,357,357
1527298167,357,357
1527298167,357,357
1527300916,360,360
1527300916,360,360
1527303230,359,359
1527303230,359,359
1527305670,358,358
1527311251,350,350
1527311251,350,350
1527314171,342,342
1527314171,342,342
1527316681,286,286
1527316681,286,286
1527318594,331,331
1527318594,331,331
1527320965,320,320
1527320965,320,320
1527322908,317,317
1527325323,310,310
1527325323,310,310
1527336900,299,299
1527336900,299,299
1527339168,297,297
1527339168,297,297
1527341659,300,300
1527341659,300,300
1527343551,300,300
1527343551,300,300
1527346517,279,279
1527346517,279,279
1527350725,256,256
1527352746,256,256
1527352746,256,256
1527355513,251,251
1527355513,251,251
1527358190,259,259
1527358190,259,259
1527361560,257,257
1527361560,257,257
1527369512,256,256
1527369512,256,256
1527372659,257,257
1527372659,257,257
1527375547,250,250
1527375547,250,250
1527381332,252,252
1527381332,252,252
1527383950,249,249
1527383950,249,249
1527386925,244,244
1527386925,244,244
1527389633,252,252
1527389633,252,252
1527391943,257,257
1527391943,257,257
1527393932,251,251
1527393932,251,251
1527396096,251,251
1527396096,251,251
1527398019,252,252
1527398019,252,252
1527400193,253,253
1527402029,257,257
1527403975,258,258
1527405868,261,261
1527407801,258,258
1527409702,258,258
1527411701,259,259
1527413572,259,259
1527415474,258,258
1527417402,257,257
1527419335,258,258
1527421227,255,255
1527423168,251,251
1527425077,255,255
1527427001,250,250
1527428911,246,246
1527430828,243,243
1527432774,247,247
1527434672,249,249
1527436604,251,251
1527438508,250,250
1527440498,249,249
1527442368,248,248
1527444287,244,244
1527446227,236,236
1527448133,238,238
1527450031,229,229
1527451955,234,234
1527453897,238,238
1527455791,238,238
1527457711,241,241
1527460598,241,241
1527462523,242,242
1527464459,242,242
1527466354,241,241
1527468325,236,236
1527470189,236,236
1527472142,231,231
1527474030,234,234
1527475998,226,226
1527477890,233,233
1527479853,237,237
1527481705,239,239
1527483753,238,238
1527485574,235,235
1527487430,229,229
1527489379,232,232
1527491319,229,229
1527493217,233,233
1527495141,232,232
1527497084,236,236
1527498980,240,240
1527500904,246,246
1527502840,249,249
1527504740,249,249
1527506662,256,256
1527508597,256,256
1527510499,260,260
1527512493,263,263
1527514370,260,260
1527516271,261,261
1527518180,261,261
1527520125,260,260
1527522025,256,256
1527523896,252,252
1527525859,251,251
1527527802,253,253
1527529700,249,249
1527531636,252,252
1527533543,250,250
1527535461,254,254
1527537398,255,255
1527539299,254,254
1527541305,249,249
1527543160,254,254
1527545103,253,253
1527546999,252,252
1527548993,256,256
1527550822,259,259
1527552797,261,261
1527554665,259,259
1527556609,258,258
1527558521,263,263
1527560470,265,265
1527562408,264,264
1527564319,255,255
1527566201,250,250
1527568143,250,250
1527570098,249,249
1527571999,251,251
1527573915,256,256
1527575813,253,253
1527577737,250,250
1527579658,257,257
1527581544,262,262
1527583518,262,262
1527585393,260,260
1527587334,252,252
1527589236,249,249
1527591175,249,249
1527593064,245,245
1527595006,248,248
1527596911,242,242
1527598858,240,240
1527600747,244,244
1527602712,249,249
1527604580,247,247
1527606545,248,248
1527608434,251,251
1527610409,253,253
1527613157,257,257
1527615146,251,251
1527617065,250,250
1527618979,251,251
1527620906,248,248
1527622818,247,247
1527624742,244,244
1527626681,241,241
1527628578,240,240
1527630513,238,238
