DateTime,Entries,UniqueIPs
1527076954,5028,5028
1527078776,5054,5054
1527080693,5034,5034
1527082616,5018,5018
1527084810,4948,4948
1527086675,4949,4949
1527088592,4085,4085
1527090518,7763,7763
1527092440,10267,10267
1527094623,12429,12429
1527096512,12425,12425
1527098506,12424,12424
1527100361,12359,12359
1527102283,12332,12332
1527104211,12307,12307
1527106119,12299,12299
1527108034,12321,12321
1527109974,12423,12423
1527111917,12794,12794
1527113802,12819,12819
1527115982,12833,12833
1527117887,12839,12839
1527119814,12832,12832
1527121830,12832,12832
1527123739,12835,12835
1527125586,12829,12829
1527127940,12823,12823
1527129863,12808,12808
1527131799,12792,12792
1527133975,12776,12776
1527135972,12823,12823
1527137822,12821,12821
1527139776,12735,12735
1527141723,12690,12690
1527143683,12670,12670
1527145984,12659,12659
1527148152,12640,12640
1527150058,12623,12623
1527152031,12589,12589
1527153876,12558,12558
1527155815,14209,14209
1527157734,16870,16870
1527159711,16795,16795
1527161748,16769,16769
1527163978,16708,16708
1527165891,16706,16706
1527167792,16708,16708
1527169951,16712,16712
1527171888,16703,16703
1527174165,16701,16701
1527175981,15473,15473
1527177977,12463,12463
1527179825,10124,10124
1527181867,9530,9530
1527183872,9523,9523
1527186057,9541,9541
1527187942,9548,9548
1527190126,9564,9564
1527192109,9568,9568
1527193958,9565,9565
1527195888,9552,9552
1527197811,9238,9238
1527199724,9232,9232
1527201946,9228,9228
1527203798,9220,9220
1527205900,9233,9233
1527207883,9221,9221
1527210112,9216,9216
1527211967,9214,9214
1527213912,9208,9208
1527215872,9184,9184
1527217743,9171,9171
1527219647,9166,9166
1527221589,9143,9143
1527223488,9073,9073
1527225420,9056,9056
1527227304,9067,9067
1527229258,9054,9054
1527231157,9052,9052
1527233107,9044,9044
1527234987,9036,9036
1527236962,9029,9029
1527238899,9031,9031
1527240936,8934,8934
1527242916,4612,4612
1527244817,3302,3302
1527246744,3468,3468
1527248659,3931,3931
1527250581,3962,3962
1527253173,3959,3959
1527255148,3973,3973
1527257036,3955,3955
1527258984,3932,3932
1527260936,3917,3917
1527262853,3896,3896
1527265086,3879,3879
1527266913,3885,3885
1527268939,3870,3870
1527270773,3858,3858
1527272813,3922,3922
1527274906,3911,3911
1527276744,3893,3893
1527278666,3878,3878
1527280535,3846,3846
1527282502,3840,3840
1527284689,3845,3845
1527286600,5901,5901
1527289010,5882,5882
1527291362,5879,5879
1527293561,5741,5741
1527295611,5842,5842
1527298168,5845,5845
1527298168,5845,5845
1527300918,5869,5869
1527303231,5871,5871
1527305671,5740,5740
1527308459,5738,5738
1527311252,5901,5901
1527311252,5901,5901
1527314172,5898,5898
1527314172,5898,5898
1527316682,5906,5906
1527318595,5903,5903
1527320966,5912,5912
1527320966,5912,5912
1527322909,5900,5900
1527322909,5900,5900
1527325324,5886,5886
1527325324,5886,5886
1527336900,5754,5754
1527336900,5754,5754
1527339168,4893,4893
1527339168,4893,4893
1527341660,4868,4868
1527341660,4868,4868
1527343551,4889,4889
1527343551,4889,4889
1527346517,4891,4891
1527346517,4891,4891
1527350726,4883,4883
1527352747,4890,4890
1527352747,4890,4890
1527355514,4933,4933
1527355514,4933,4933
1527358191,5021,5021
1527358191,5021,5021
1527361561,4989,4989
1527369513,4989,4989
1527369513,4989,4989
1527372660,2823,2823
1527372660,2823,2823
1527375548,3615,3615
1527378890,3726,3726
1527381333,4274,4274
1527381333,4274,4274
1527383951,4302,4302
1527383951,4302,4302
1527386926,4278,4278
1527386926,4278,4278
1527389635,4283,4283
1527389635,4283,4283
1527391946,4269,4269
1527391946,4269,4269
1527393933,4247,4247
1527396097,4243,4243
1527396097,4243,4243
1527398020,4243,4243
1527398020,4243,4243
1527400194,4258,4258
1527402029,4259,4259
1527403976,4248,4248
1527405869,4246,4246
1527407801,4244,4244
1527409703,4245,4245
1527411702,4246,4246
1527413572,4259,4259
1527415475,4307,4307
1527417402,4340,4340
1527419336,4341,4341
1527421228,4345,4345
1527423169,4355,4355
1527425078,4374,4374
1527427002,4368,4368
1527428912,4362,4362
1527430828,4339,4339
1527432775,4372,4372
1527434673,4375,4375
1527436605,4378,4378
1527438509,4365,4365
1527440500,4315,4315
1527442368,4556,4556
1527444288,4395,4395
1527446228,4383,4383
1527448134,4805,4805
1527450032,5161,5161
1527451956,5167,5167
1527453898,5178,5178
1527455792,5201,5201
1527457712,5206,5206
1527460599,5906,5906
1527462523,5522,5522
1527464459,5199,5199
1527466355,6554,6554
1527468326,8599,8599
1527470190,10289,10289
1527472143,10295,10295
1527474030,10293,10293
1527475998,10311,10311
1527477891,10327,10327
1527479854,10336,10336
1527481706,10347,10347
1527483754,10333,10333
1527485575,10331,10331
1527487431,10340,10340
1527489380,10342,10342
1527491320,10344,10344
1527493219,11906,11906
1527495143,15105,15105
1527497085,15103,15103
1527498981,15106,15106
1527500905,15073,15073
1527502841,15070,15070
1527504741,15060,15060
1527506664,15065,15065
1527508599,15077,15077
1527510500,15092,15092
1527512494,15079,15079
1527514371,15086,15086
1527516272,15077,15077
1527518181,15057,15057
1527520126,15060,15060
1527522026,15075,15075
1527523897,15093,15093
1527525860,15110,15110
1527527803,15144,15144
1527529701,15141,15141
1527531637,15152,15152
1527533543,15149,15149
1527535462,15168,15168
1527537399,14903,14903
1527539300,14915,14915
1527541306,15002,15002
1527543161,15355,15355
1527545104,15696,15696
1527547000,15736,15736
1527548993,15759,15759
1527550823,15541,15541
1527552798,14182,14182
1527554665,12434,12434
1527556610,10854,10854
1527558522,10864,10864
1527560471,10873,10873
1527562408,10867,10867
1527564320,10863,10863
1527566202,10869,10869
1527568144,10869,10869
1527570099,10893,10893
1527572000,10908,10908
1527573916,10909,10909
1527575814,10907,10907
1527577738,10906,10906
1527579659,9036,9036
1527581545,5538,5538
1527583519,5550,5550
1527585394,5560,5560
1527587335,5575,5575
1527589237,5588,5588
1527591176,5588,5588
1527593065,5578,5578
1527595007,5610,5610
1527596912,5748,5748
1527598870,5906,5906
1527600748,5956,5956
1527602713,6066,6066
1527604581,6203,6203
1527606546,6301,6301
1527608435,6370,6370
1527610410,6419,6419
1527613158,6478,6478
1527615146,6512,6512
1527617066,6545,6545
1527618980,6111,6111
1527620907,5628,5628
1527622819,5637,5637
1527624743,5644,5644
1527626682,5643,5643
1527628579,5559,5559
1527630514,5581,5581
1527632434,5597,5597
1527634339,5435,5435
1527636260,4698,4698
1527638197,4563,4563
1527640097,4603,4603
1527642105,4623,4623
1527643936,5966,5966
1527645962,5970,5970
1527647796,5983,5983
1527649702,5993,5993
1527651616,5979,5979
1527653545,5971,5971
1527655480,5965,5965
1527657378,5984,5984
1527659297,5963,5963
1527661222,5974,5974
1527663139,5981,5981
1527665082,5972,5972
1527666974,5971,5971
1527668897,5957,5957
1527670899,5955,5955
1527672755,5974,5974
1527674688,5958,5958
1527676588,5944,5944
1527678498,5944,5944
1527680593,5933,5933
1527682580,5822,5822
1527684495,5686,5686
1527686421,5565,5565
1527688337,5538,5538
1527690264,5513,5513
1527692195,5514,5514
1527694101,5487,5487
1527696109,5459,5459
1527698220,5445,5445
1527700032,5436,5436
1527702017,5428,5428
1527703944,5417,5417
1527705864,5411,5411
1527707780,5420,5420
1527709726,5410,5410
1527711622,6336,6336
1527713539,9995,9995
1527715463,12814,12814
1527717380,12820,12820
1527719298,12826,12826
1527721321,12790,12790
1527723182,12772,12772
1527725073,12748,12748
1527726991,12727,12727
1527728916,12710,12710
1527730831,11579,11579
1527732755,11570,11570
1527734689,11565,11565
1527736589,11559,11559
1527738512,11545,11545
1527740432,11533,11533
1527742365,11537,11537
1527744276,11525,11525
1527746200,11529,11529
1527748146,11513,11513
1527750103,11503,11503
1527751961,11510,11510
1527753889,11492,11492
1527755800,11468,11468
1527757717,11426,11426
1527759632,11405,11405
1527761567,11418,11418
1527763504,11418,11418
1527765394,11431,11431
1527767314,11414,11414
1527769256,11409,11409
1527771172,11396,11396
1527773070,11395,11395
1527774993,11373,11373
1527776906,11364,11364
1527778913,11351,11351
1527780795,11365,11365
1527782673,11305,11305
1527784634,11282,11282
1527786546,11280,11280
1527788470,11275,11275
1527790505,11260,11260
1527792317,11226,11226
1527794187,11216,11216
1527796144,11217,11217
1527798027,10034,10034
1527799963,6290,6290
1527801882,3426,3426
1527803802,3414,3414
1527806012,3399,3399
1527807879,3400,3400
1527809828,3399,3399
1527811719,3390,3390
1527813637,3404,3404
1527815567,3391,3391
1527817506,3385,3385
1527819398,3373,3373
1527821335,3364,3364
1527823233,3372,3372
1527825175,3378,3378
1527827080,3376,3376
1527829021,3353,3353
1527830917,3354,3354
1527832909,3349,3349
1527834780,3334,3334
1527836679,3306,3306
1527838611,3297,3297
1527840531,3290,3290
1527842461,3297,3297
1527844372,3288,3288
1527846319,3309,3309
1527848198,3284,3284
1527850120,3363,3363
1527852049,3476,3476
1527853958,4088,4088
1527855877,4105,4105
1527857843,4116,4116
1527859711,4116,4116
1527861707,4128,4128
1527863575,4143,4143
1527865477,4126,4126
1527867414,4114,4114
1527869355,4114,4114
1527871238,4085,4085
1527873096,4068,4068
1527875072,4077,4077
1527876982,4075,4075
1527878920,4099,4099
1527880821,4095,4095
1527882743,4094,4094
1527884682,4086,4086
1527886584,4078,4078
1527888501,4074,4074
1527890551,4056,4056
1527894180,4041,4041
1527896173,4041,4041
1527898404,4226,4226
1527900311,4848,4848
1527902248,5378,5378
1527904151,5362,5362
1527906081,5381,5381
1527907996,5406,5406
1527909926,5403,5403
1527911827,5420,5420
1527914424,5467,5467
1527916449,5452,5452
1527918690,5462,5462
1527921146,5508,5508
1527923336,5499,5499
1527926037,5458,5458
1527926037,5458,5458
1527928529,5459,5459
1527930872,5470,5470
1527930872,5470,5470
1527933084,5410,5410
1527933084,5410,5410
1527935226,5414,5414
1527935226,5414,5414
1527937882,5390,5390
1527937882,5390,5390
1527940244,4896,4896
1527942655,4883,4883
1527942655,4883,4883
1527944978,4848,4848
1527944978,4848,4848
1527947221,4837,4837
1527947221,4837,4837
1527949079,4842,4842
1527951402,4833,4833
1527951402,4833,4833
1527953731,4869,4869
1527953731,4869,4869
1527956418,4860,4860
1527956418,4860,4860
1527958706,4593,4593
1527958706,4593,4593
1527961207,4846,4846
1527961207,4846,4846
1527963574,4838,4838
