DateTime,Entries,UniqueIPs
1527076955,2074,2074
1527078776,2074,2074
1527080694,2068,2068
1527082617,2059,2059
1527084811,2048,2048
1527086677,2047,2047
1527088593,1205,1205
1527090519,5002,5002
1527092441,7580,7580
1527094624,9818,9818
1527096514,9820,9820
1527098507,9807,9807
1527100363,9807,9807
1527102284,9803,9803
1527104213,9777,9777
1527106120,9786,9786
1527108035,9791,9791
1527109975,9806,9806
1527111918,9833,9833
1527113803,9850,9850
1527115983,9860,9860
1527117888,9870,9870
1527119815,9891,9891
1527121831,9902,9902
1527123740,9920,9920
1527125587,9931,9931
1527127942,9945,9945
1527129864,9947,9947
1527131800,9945,9945
1527133976,9950,9950
1527135973,10011,10011
1527137823,10022,10022
1527139777,10022,10022
1527141725,9990,9990
1527143684,9996,9996
1527145985,9993,9993
1527148153,9987,9987
1527150059,9982,9982
1527152033,9985,9985
1527153877,9974,9974
1527155816,11668,11668
1527157735,14533,14533
1527159713,14533,14533
1527161749,14526,14526
1527163979,14515,14515
1527165892,14520,14520
1527167793,14514,14514
1527169952,14516,14516
1527171890,14513,14513
1527174167,14507,14507
1527175982,13293,13293
1527177978,10262,10262
1527179826,7895,7895
1527181868,7295,7295
1527183873,7302,7302
1527186058,7307,7307
1527187943,7306,7306
1527190127,7309,7309
1527192110,7310,7310
1527193959,7317,7317
1527195889,7316,7316
1527197812,7305,7305
1527199725,7303,7303
1527201947,7292,7292
1527203799,7297,7297
1527205901,7291,7291
1527207884,7280,7280
1527210113,7266,7266
1527211968,7260,7260
1527213913,7255,7255
1527215873,7244,7244
1527217744,7241,7241
1527219648,7238,7238
1527221590,7231,7231
1527223489,7171,7171
1527225423,7156,7156
1527227304,7156,7156
1527229259,7154,7154
1527231157,7148,7148
1527233108,7145,7145
1527234988,7144,7144
1527236962,7141,7141
1527238899,7141,7141
1527240936,7133,7133
1527242917,2603,2603
1527244818,1084,1084
1527246745,1077,1077
1527248660,1074,1074
1527250582,1090,1090
1527253174,1081,1081
1527255149,1084,1084
1527257037,1084,1084
1527258985,1081,1081
1527260937,1062,1062
1527262853,1063,1063
1527265087,1046,1046
1527266914,1046,1046
1527268940,1026,1026
1527270774,1026,1026
1527272813,1020,1020
1527274907,1016,1016
1527276745,1002,1002
1527278667,1001,1001
1527280535,986,986
1527282503,994,994
1527284690,979,979
1527286601,978,978
1527289011,970,970
1527291363,951,951
1527295612,942,942
1527298169,935,935
1527298169,935,935
1527300919,938,938
1527300919,938,938
1527303232,938,938
1527303232,938,938
1527305672,862,862
1527305672,862,862
1527308460,954,954
1527311253,949,949
1527311253,949,949
1527314173,938,938
1527314173,938,938
1527316683,862,862
1527316683,862,862
1527318596,862,862
1527318596,862,862
1527320967,935,935
1527320967,935,935
1527322910,938,938
1527322910,938,938
1527325325,934,934
1527325325,934,934
1527336902,916,916
1527336902,916,916
1527339169,912,912
1527339169,912,912
1527343552,897,897
1527343552,897,897
1527346519,893,893
1527346519,893,893
1527350727,893,893
1527352748,885,885
1527352748,885,885
1527355515,875,875
1527355515,875,875
1527358192,858,858
1527358192,858,858
1527361563,848,848
1527361563,848,848
1527369514,827,827
1527369514,827,827
1527372661,819,819
1527372661,819,819
1527375549,809,809
1527375549,809,809
1527378891,797,797
1527381334,743,743
1527381334,743,743
1527383952,736,736
1527383952,736,736
1527386928,727,727
1527386928,727,727
1527389637,738,738
1527389637,738,738
1527391951,735,735
1527391951,735,735
1527393934,710,710
1527393934,710,710
1527396098,708,708
1527396098,708,708
1527398022,700,700
1527398022,700,700
1527400197,697,697
1527402030,690,690
1527403977,694,694
1527405870,694,694
1527407802,693,693
1527409704,690,690
1527411703,691,691
1527413573,698,698
1527415475,710,710
1527417403,711,711
1527419337,705,705
1527421229,706,706
1527423170,707,707
1527425079,707,707
1527427003,712,712
1527428913,715,715
1527430829,710,710
1527432776,711,711
1527434674,706,706
1527436605,697,697
1527438510,690,690
1527440500,686,686
1527442369,685,685
1527444289,687,687
1527446228,685,685
1527448135,694,694
1527450033,708,708
1527451957,713,713
1527453899,696,696
1527455793,694,694
1527457712,702,702
1527460600,705,705
1527462524,707,707
1527464460,704,704
1527466356,702,702
1527468326,685,685
1527470190,697,697
1527472144,693,693
1527474031,689,689
1527475999,688,688
1527477892,701,701
1527479855,699,699
1527481707,718,718
1527483754,719,719
1527485576,720,720
1527487433,714,714
1527489381,719,719
1527491321,723,723
1527493219,2831,2831
1527495144,6938,6938
1527497086,6927,6927
1527498982,6924,6924
1527500907,6918,6918
1527502842,6918,6918
1527504742,6915,6915
1527506665,6899,6899
1527508600,6895,6895
1527510501,6893,6893
1527512495,6891,6891
1527514372,6899,6899
1527516273,6904,6904
1527518182,6904,6904
1527520127,6908,6908
1527522027,6908,6908
1527523898,6914,6914
1527525862,6911,6911
1527527804,6914,6914
1527529702,6913,6913
1527531638,6912,6912
1527533544,6913,6913
1527535463,6900,6900
1527537400,6899,6899
1527539301,6905,6905
1527541307,6896,6896
1527543162,6892,6892
1527545105,6917,6917
1527547001,6937,6937
1527548994,6968,6968
1527550824,6992,6992
1527552799,7007,7007
1527554666,7021,7021
1527556611,7024,7024
1527558523,7035,7035
1527560472,7047,7047
1527562409,7059,7059
1527564321,7075,7075
1527566203,7093,7093
1527568145,7083,7083
1527570100,7090,7090
1527572001,7103,7103
1527573917,7111,7111
1527575815,7110,7110
1527577739,7112,7112
1527579660,4883,4883
1527581546,971,971
1527583519,975,975
1527585395,982,982
1527587336,990,990
1527589238,993,993
1527591177,1000,1000
1527593066,1007,1007
1527595008,1014,1014
1527596913,1027,1027
1527598894,1026,1026
1527600749,1032,1032
1527602714,1043,1043
1527604582,1070,1070
