DateTime,AddedIPs,RemovedIPs
1526867302,4,1
1526869170,2,1
1526871143,2,3
1526873032,2,0
1526874981,1,0
1526878919,0,4
1526881009,0,2
1526882951,2,2
1526884847,0,1
1526886800,1,3
1526888690,8,2
1526890600,2,1
1526892576,3,2
1526894438,0,1
1526896389,1,0
1526898317,1,0
1526900236,2,4
1526902119,2,1
1526904116,2,1
1526905976,2,0
1526907893,3,6
1526909966,1,1
1526911877,1,3
1526913870,2,0
1526917724,2,3
1526919920,3,2
1526921814,4,1
1526923719,2,1
1526925711,3,2
1526927596,0,1
1526929517,1,0
1526931646,0,1
1526934708,0,4
1526936713,1,1
1526938840,1,2
1526940804,1,1
1526943220,2,2
1526945113,1,0
1526948960,0,3
1526950929,3,1
1526952790,1,3
1526955017,1,4
1526957335,1,2
1526959487,5,2
1526961433,0,1
1526965494,2,0
1526967652,1,1
1526969584,2,1
1526971495,1,0
1526973411,1,2
1526975569,1,7
1526977504,0,2
1526979440,0,3
1526983310,0,1
1526985182,0,2
1526987084,4,2
1526989005,1,1
1526990927,0,2
1526992886,1,3
1526994775,2,2
1526996736,1,2
1527000524,2,2
1527002444,5,1
1527004380,0,2
1527006299,1,2
1527008194,0,3
1527010139,0,2
1527012117,1,3
1527014233,1,0
1527016152,0,1
1527018061,3,0
1527019995,1,0
1527021913,2,1
1527024204,1,0
1527026097,3,1
1527028132,1,1
1527030157,0,2
1527031985,2,1
1527033913,1,0
1527036038,0,1
1527037985,2,2
1527039908,1,1
1527041816,0,1
1527043732,0,1
1527045646,1,5
1527047599,2,0
1527049499,1,0
1527053341,0,2
1527055318,1,3
1527057180,1,1
1527059116,1,0
1527061020,0,1
1527062951,1,1
1527066790,1,0
1527070628,1,0
1527073018,0,1
1527074943,0,4
1527076955,1,0
1527078777,0,1
1527080694,1,2
1527082617,2,1
1527084811,0,1
1527086677,1,2
1527088593,0,4
1527090519,0,1
1527094625,1,1
1527098508,1,1
1527100363,0,1
1527104213,0,2
1527106121,1,2
1527108035,0,2
1527109976,1,1
1527111918,0,2
1527113804,0,1
1527115983,1,1
1527117889,2,2
1527119815,0,1
1527121832,2,0
1527125588,0,2
1527127942,0,1
1527129865,2,0
1527131800,6,0
1527133976,2,3
1527135974,1,1
1527137824,2,0
1527139778,2,0
1527141725,1,1
1527143685,1,1
1527145985,1,1
1527150059,1,1
1527153877,2,1
1527155816,0,1
1527161750,2,0
1527163979,3,1
1527165893,1,0
1527167794,0,2
1527169953,0,1
1527171890,1,0
1527174167,1,1
1527175983,1,0
1527177978,2,0
1527179827,0,1
1527181869,2,0
1527183873,0,1
1527186059,2,0
1527187943,1,0
1527192110,4,1
1527193960,1,0
1527195889,1,1
1527197812,1,0
1527201947,2,1
1527203799,0,2
1527205901,1,0
1527207884,3,1
1527210113,2,1
1527213913,2,0
1527215873,1,1
1527217744,2,6
1527219648,1,1
1527221590,0,2
1527223489,1,2
1527225424,2,3
1527227305,0,1
1527229260,1,0
1527231158,1,2
1527233109,4,0
1527234989,2,0
1527236963,0,1
1527238900,2,1
1527240937,1,1
1527242917,2,0
1527244818,1,0
1527246745,0,1
1527248660,2,1
1527250582,0,3
1527253175,0,1
1527255149,1,0
1527257038,0,1
1527258986,2,1
1527260937,2,0
1527262854,1,2
1527265088,1,1
1527266914,1,0
1527268940,0,2
1527272814,1,2
1527274907,3,0
1527276745,2,1
1527278667,1,3
1527280536,1,1
1527282503,0,1
1527284691,0,1
1527286601,2,1
1527289011,2,1
1527291363,3,1
1527295613,6,5
1527298170,2,0
1527300920,4,3
1527303233,1,1
1527311254,6,4
1527314173,0,1
1527316684,2,1
1527318597,2,5
1527320968,0,0
1527322911,3,2
1527325325,0,2
1527327546,5,1
1527336902,5,5
1527339170,2,0
1527343553,7,1
1527346519,1,3
1527350727,1,3
1527352749,0,1
1527355515,2,0
1527358193,2,1
1527361563,0,2
1527369515,8,4
1527375549,2,5
1527381335,7,6
1527383953,2,4
1527386928,2,4
1527389638,4,2
1527391953,1,1
1527393934,2,1
1527396099,2,3
1527398022,0,0
1527400198,3,0
1527402030,0,1
1527403977,1,3
1527405870,2,0
1527407802,0,1
1527409704,2,2
1527413573,1,5
1527415475,2,2
1527417403,1,1
1527419337,4,3
1527421229,3,1
1527423170,2,0
1527425079,2,2
1527427003,2,2
1527428913,1,1
