DateTime,Entries,UniqueIPs
1526850783,71,71
1526852696,72,72
1526854613,74,74
1526857502,72,72
1526859397,70,70
1526861464,69,69
1526863470,71,71
1526865397,73,73
1526867302,74,74
1526869171,74,74
1526873033,75,75
1526874982,78,78
1526878920,74,74
1526881010,75,75
1526882952,74,74
1526884848,75,75
1526888692,74,74
1526890601,73,73
1526894440,75,75
1526896391,77,77
1526898318,78,78
1526902121,77,77
1526904118,76,76
1526907895,77,77
1526909968,76,76
1526911879,77,77
1526915788,75,75
1526919922,73,73
1526921816,72,72
1526923721,69,69
1526925714,69,69
1526927598,67,67
1526929520,66,66
1526931648,65,65
1526934710,63,63
1526936716,63,63
1526938842,61,61
1526940806,60,60
1526943223,62,62
1526945116,64,64
1526947126,64,64
1526948964,63,63
1526950931,62,62
1526952793,62,62
1526955259,63,63
1526957338,63,63
1526959489,64,64
1526961435,63,63
1526971498,62,62
1526977507,63,63
1526979442,64,64
1526981346,62,62
1526983312,59,59
1526985184,57,57
1526987086,57,57
1526989008,57,57
1526990929,56,56
1526992889,55,55
1526994777,56,56
1526998613,55,55
1527002447,56,56
1527004383,55,55
1527006301,56,56
1527010142,54,54
1527012119,54,54
1527014236,58,58
1527016154,61,61
1527019997,62,62
1527021915,63,63
1527024206,63,63
1527026099,64,64
1527028135,65,65
1527030160,65,65
1527031988,67,67
1527033915,65,65
1527036040,68,68
1527037988,68,68
1527039910,65,65
1527041818,64,64
1527043734,64,64
1527045648,63,63
1527049501,64,64
1527051432,64,64
1527059119,65,65
1527062954,64,64
1527064883,63,63
1527068713,62,62
1527070630,63,63
1527073020,62,62
1527074945,61,61
1527076958,60,60
1527080696,61,61
1527082619,59,59
1527084813,60,60
1527086679,61,61
1527090521,60,60
1527092444,60,60
1527096516,61,61
1527098510,63,63
1527100365,60,60
1527102287,61,61
1527104215,60,60
1527106123,59,59
1527108037,60,60
1527109978,61,61
1527111920,60,60
1527113806,62,62
1527115986,63,63
1527117891,66,66
1527119817,67,67
1527121834,67,67
1527123742,70,70
1527125590,70,70
1527127404,71,71
1527129223,70,70
1527131093,72,72
1527133000,74,74
1527134936,75,75
1527138754,74,74
1527142599,75,75
1527144515,74,74
1527146428,74,74
1527150513,73,73
1527152514,74,74
1527154356,81,81
1527158187,82,82
1527160138,83,83
1527162030,83,83
1527163981,84,84
1527165894,82,82
1527169955,81,81
1527171892,79,79
1527174168,81,81
1527177980,79,79
1527179828,80,80
1527181870,78,78
1527186061,78,78
1527190130,79,79
1527192112,78,78
1527193962,75,75
1527195891,72,72
1527197816,75,75
1527199728,74,74
1527201949,73,73
1527203802,71,71
1527205903,69,69
1527207886,67,67
1527210115,66,66
1527211970,65,65
1527213915,67,67
1527217746,66,66
1527219650,65,65
1527221592,67,67
1527223491,68,68
1527225427,73,73
1527229262,72,72
1527233111,72,72
1527236965,71,71
1527238902,71,71
1527240939,68,68
1527244820,67,67
1527246747,67,67
1527248662,67,67
1527253176,68,68
1527255150,69,69
1527260939,67,67
1527262855,68,68
1527265089,67,67
1527266915,66,66
1527268941,68,68
1527270775,70,70
1527274908,71,71
1527276747,72,72
1527278669,73,73
1527280537,77,77
1527282505,75,75
1527284692,74,74
1527289012,74,74
