DateTime,Entries,UniqueIPs
1527605768,8363,8363
1527606494,8365,8365
1527607479,8375,8375
1527608170,8382,8382
1527608897,8365,8365
1527609612,8377,8377
1527610365,8373,8373
1527611298,8378,8378
1527613484,8391,8391
1527614169,8377,8377
1527614892,8379,8379
1527615860,8412,8412
1527616567,8398,8398
1527617301,8400,8400
1527618010,8391,8391
1527618735,8401,8401
1527619452,8399,8399
1527620169,8383,8383
1527620893,8399,8399
1527621626,8395,8395
1527622345,8387,8387
1527623076,8380,8380
1527623780,8385,8385
1527624508,8387,8387
1527625225,8386,8386
1527625948,8381,8381
1527626669,8383,8383
1527627383,8381,8381
1527628103,8334,8334
1527628829,8331,8331
1527629549,8332,8332
1527630266,8317,8317
1527630982,8309,8309
1527631709,8310,8310
1527632421,8344,8344
1527633154,8332,8332
1527633863,8334,8334
1527634599,8329,8329
1527635304,8335,8335
1527636034,8344,8344
1527636746,8325,8325
1527637471,8338,8338
1527638184,8311,8311
1527638914,8325,8325
1527639622,8326,8326
1527640355,8318,8318
1527641065,8323,8323
1527641784,8304,8304
1527642754,8314,8314
1527643466,8318,8318
1527644193,8323,8323
1527644908,8306,8306
1527645629,8322,8322
1527646345,8324,8324
1527647067,8327,8327
1527647784,8326,8326
1527648506,8307,8307
1527649229,8278,8278
1527649955,8313,8313
1527650665,8326,8326
1527651386,8286,8286
1527652342,8304,8304
1527653316,8292,8292
1527654025,8304,8304
1527654747,8294,8294
1527655466,8300,8300
1527656192,8209,8209
1527656903,8305,8305
1527657632,8305,8305
1527658346,8304,8304
1527659067,8265,8265
1527660039,8300,8300
1527660747,8271,8271
1527661472,8292,8292
1527662185,8301,8301
1527662905,8276,8276
1527663628,8300,8300
1527664350,8323,8323
1527665068,8270,8270
1527665787,8294,8294
1527666505,8285,8285
1527667247,8282,8282
1527667932,8295,8295
1527668653,8290,8290
1527669367,8301,8301
1527670094,8300,8300
1527670813,8314,8314
1527671534,8317,8317
1527672251,8323,8323
1527672977,8333,8333
1527673687,8306,8306
1527674419,8320,8320
1527675131,8317,8317
1527675853,8331,8331
1527676574,8317,8317
1527677294,8321,8321
1527678021,8335,8335
1527678744,8346,8346
1527679457,8355,8355
1527680924,8356,8356
1527681637,8352,8352
1527682337,8355,8355
1527683307,8354,8354
1527684023,8359,8359
1527684754,8363,8363
1527685466,8345,8345
1527686184,8359,8359
1527687150,8354,8354
1527687864,8363,8363
1527688594,8364,8364
1527689308,8373,8373
1527690024,8379,8379
1527690744,8377,8377
1527691466,8388,8388
1527692181,8389,8389
1527692925,8396,8396
1527693620,8385,8385
1527694354,8399,8399
1527695063,8416,8416
1527695784,8403,8403
1527696779,8406,8406
1527697463,8380,8380
1527698200,8432,8432
1527698904,8429,8429
1527699633,8433,8433
1527700363,8438,8438
1527701064,8459,8459
1527701787,8446,8446
1527702746,8445,8445
1527703718,8448,8448
1527704668,8440,8440
1527705383,8437,8437
1527706108,8427,8427
1527706830,8434,8434
1527707550,8431,8431
1527708264,8422,8422
1527708984,8414,8414
1527709711,8432,8432
1527710430,8452,8452
1527711153,8403,8403
1527711876,8431,8431
1527712583,8423,8423
1527713305,8420,8420
1527714308,8399,8399
1527714985,8407,8407
1527715713,8390,8390
1527716423,8398,8398
1527717150,8388,8388
1527718121,8393,8393
1527718819,8390,8390
1527720157,8380,8380
1527720978,8359,8359
1527721712,8365,8365
1527722422,8352,8352
1527723156,8350,8350
1527723867,8342,8342
1527724584,8337,8337
1527725302,8355,8355
1527726027,8359,8359
1527726785,8374,8374
1527727460,8356,8356
1527728167,8354,8354
1527728894,8353,8353
1527729607,8364,8364
1527730353,8343,8343
1527731069,8346,8346
1527731785,8353,8353
1527732503,8344,8344
1527733228,8342,8342
1527733945,8328,8328
1527734664,8351,8351
1527735381,8341,8341
1527736116,8348,8348
1527736821,8336,8336
1527737552,8347,8347
1527738251,8343,8343
1527738975,8343,8343
1527739942,8344,8344
1527740653,8342,8342
1527741373,8337,8337
1527742088,8340,8340
1527742827,8351,8351
1527743534,8338,8338
1527744253,8321,8321
1527744971,8339,8339
1527745691,8347,8347
1527746412,8346,8346
1527747138,8340,8340
1527747872,8351,8351
1527748595,8353,8353
1527749562,8354,8354
1527750508,8354,8354
1527751211,8339,8339
1527751938,8352,8352
1527752651,8254,8254
1527753372,8360,8360
1527754343,8355,8355
1527755051,8368,8368
1527755773,8364,8364
1527756491,8371,8371
1527757226,8381,8381
1527757934,8392,8392
1527758655,8383,8383
1527759372,8379,8379
1527760094,8390,8390
1527760819,8379,8379
1527761543,8388,8388
1527762253,8392,8392
1527762972,8386,8386
1527763952,8389,8389
1527764926,8374,8374
1527765620,8380,8380
1527766349,8376,8376
1527767064,8373,8373
1527767803,8362,8362
1527768765,8367,8367
1527769458,8356,8356
1527770174,8371,8371
1527770893,8367,8367
1527771627,8377,8377
1527772601,8368,8368
1527773301,8373,8373
1527774031,8356,8356
1527774742,8368,8368
1527775480,8368,8368
1527776434,8356,8356
1527777151,8345,8345
1527777779,8355,8355
1527778576,8354,8354
1527779292,8352,8352
1527780009,8354,8354
1527780749,8352,8352
1527781450,8346,8346
1527782170,8347,8347
1527782918,8356,8356
1527783618,8352,8352
1527784333,8340,8340
1527785056,8375,8375
1527785795,8342,8342
1527786522,8348,8348
1527787220,8389,8389
1527787956,8367,8367
1527788663,8354,8354
1527789402,8362,8362
1527790104,8354,8354
1527790835,8367,8367
1527791551,8359,8359
1527792270,8339,8339
1527792983,8354,8354
1527793957,8369,8369
1527794667,8357,8357
1527795384,8348,8348
1527796108,8348,8348
1527796832,8337,8337
1527797547,8344,8344
1527798266,8332,8332
1527798982,8321,8321
1527799705,8330,8330
1527800430,8341,8341
1527801152,8300,8300
1527801867,8319,8319
1527802587,8306,8306
1527803301,8305,8305
1527804034,8317,8317
1527804746,8304,8304
1527805468,8310,8310
1527806555,8302,8302
1527807388,8293,8293
1527808353,8285,8285
1527809805,8272,8272
1527810518,8288,8288
1527811244,8280,8280
1527812206,8276,8276
1527813155,8275,8275
1527813865,8277,8277
1527814582,8293,8293
1527815302,8287,8287
1527816032,8289,8289
1527816744,8286,8286
1527817472,8289,8289
1527818179,8285,8285
1527818919,8289,8289
1527819870,8277,8277
1527820580,8278,8278
1527821315,8286,8286
1527822031,8287,8287
1527822748,8275,8275
1527823459,8280,8280
1527824172,8260,8260
1527824893,8260,8260
1527825625,8282,8282
1527826334,8249,8249
1527827057,8260,8260
1527827769,8259,8259
1527828492,8260,8260
1527829465,8253,8253
1527830168,8273,8273
1527830898,8269,8269
1527831608,8272,8272
1527832348,8260,8260
1527833322,8263,8263
1527834019,8262,8262
1527834760,8259,8259
1527835464,8251,8251
1527836187,8255,8255
1527837157,8251,8251
1527837864,8257,8257
1527838590,8265,8265
1527839304,8260,8260
1527840037,8260,8260
1527840986,8279,8279
1527841954,8286,8286
1527842664,8202,8202
1527843389,8178,8178
1527844103,8189,8189
1527844827,8183,8183
1527845547,8170,8170
1527846270,8174,8174
1527846981,8278,8278
1527847707,8299,8299
1527848424,8299,8299
1527849149,8293,8293
1527849863,8297,8297
1527850593,8292,8292
1527851302,8310,8310
1527852028,8321,8321
1527852745,8310,8310
1527853466,8317,8317
1527854187,8317,8317
1527854906,8321,8321
1527855631,8305,8305
1527856353,8315,8315
1527857065,8316,8316
