DateTime,AddedIPs,RemovedIPs
1527327446,8,1
1527330527,8,1
1527331778,0,10
1527333041,2,7
1527334222,2,7
1527335338,5,2
1527336646,4,4
1527338549,2,4
1527340467,3,5
1527341856,1,9
1527344113,7,8
1527345654,0,10
1527347157,0,2
1527351265,12,25
1527352868,2,12
1527354892,3,2
1527356558,4,5
1527358248,5,5
1527360147,1,9
1527361442,3,5
1527363046,3,3
1527364604,9,0
1527365744,3,1
1527367547,2,1
1527369988,4,4
1527370110,0,0
1527372943,7,8
1527373721,2,1
1527375969,9,28
1527377133,9,1
1527378336,2,11
1527379888,3,12
1527381346,2,8
1527382532,1,1
1527383676,2,2
1527385258,4,3
1527387272,1,3
1527388123,0,0
1527388964,0,4
1527390647,0,3
1527391728,3,0
1527392551,6,8
1527393399,6,0
1527395307,15,3
1527396228,2,8
1527397540,2,3
1527398766,0,0
1527399754,0,9
1527401679,2,2
1527402825,1,1
1527404136,2,1
1527405346,3,4
1527406949,1,4
1527408884,2,2
1527410570,2,12
1527412473,0,1
1527413746,2,5
1527414942,5,1
1527416068,1,8
1527416923,4,0
1527418529,5,24
1527419668,2,6
1527420509,1,0
1527421357,1,4
1527422706,3,1
1527424108,4,1
1527425802,6,1
1527426943,3,4
1527427721,2,0
1527429358,7,5
1527430467,5,0
1527431891,6,4
1527433149,9,8
1527434473,7,1
1527435647,12,1
1527437677,21,2
1527438876,9,4
1527440658,8,0
1527442107,9,0
1527442954,4,17
1527444879,9,0
1527446145,12,4
1527447351,10,0
1527448551,5,2
1527449693,3,3
1527450173,3,2
1527452094,5,1
1527452918,7,0
1527454127,1,6
1527455447,2,4
1527456524,3,0
1527457639,1,5
1527460620,8,4
1527460956,2,0
1527461806,2,0
1527462949,2,2
1527464078,1,1
1527465197,1,1
1527466490,1,3
1527467313,0,1
1527468491,6,3
1527470068,1,9
1527471884,7,7
1527473680,6,2
1527475366,3,14
1527476218,1,0
1527477354,2,4
1527478965,7,13
1527480655,6,7
1527482465,3,11
1527483389,1,0
1527484467,1,2
1527485665,4,9
1527487862,2,7
1527490537,4,4
1527491741,3,7
1527493404,9,7
1527495289,6,1
1527496108,2,0
1527496950,3,7
1527497788,3,0
1527498869,0,4
1527500446,1,7
1527502232,2,2
1527504463,8,7
1527505846,1,5
1527507777,3,4
1527509443,12,1
1527510732,4,3
1527512180,12,1
1527514130,15,4
1527515445,6,5
1527516660,6,2
1527518505,8,7
1527520470,7,3
1527522071,7,7
1527524149,9,3
1527525349,3,4
1527526599,7,0
1527527752,6,8
1527528943,4,1
1527530934,1,4
1527532645,4,2
1527534937,3,4
1527536142,3,3
1527538289,2,1
1527540634,1,4
1527541846,1,2
1527543946,4,1
1527545350,3,3
1527548193,4,10
1527549339,1,1
1527550620,1,3
1527552537,12,1
1527553835,8,4
1527554552,1,0
1527555945,8,2
1527557307,7,0
1527559627,20,3
1527560911,6,0
1527561754,4,3
1527562604,7,0
1527563691,4,11
1527564519,2,0
1527565359,4,13
1527567285,10,2
1527568703,10,2
1527570865,17,0
1527571714,4,0
1527573091,7,0
1527574480,13,2
1527575308,4,0
1527576150,6,1
1527578075,11,2
1527579768,14,5
1527581679,11,1
1527582932,3,1
1527584145,3,0
1527585283,0,8
1527586532,1,3
1527587732,3,0
1527588938,3,4
1527589727,1,0
