DateTime,Entries,UniqueIPs
1527352868,8791,8791
1527354892,8792,8792
1527354892,8792,8792
1527356558,8791,8791
1527358248,8791,8791
1527360147,8783,8783
1527361442,8781,8781
1527363046,8781,8781
1527364604,8790,8790
1527364604,8790,8790
1527365744,8792,8792
1527367547,8793,8793
1527369988,8793,8793
1527370110,8793,8793
1527372943,8792,8792
1527373721,8793,8793
1527375969,8774,8774
1527377133,8782,8782
1527378336,8773,8773
1527379888,8764,8764
1527381346,8758,8758
1527382532,8758,8758
1527383676,8758,8758
1527385258,8759,8759
1527387272,8757,8757
1527388123,8758,8758
1527388964,8754,8754
1527390647,8751,8751
1527391728,8754,8754
1527392551,8752,8752
1527393399,8758,8758
1527395307,8770,8770
1527396228,8764,8764
1527396228,8764,8764
1527397540,8763,8763
1527398766,8763,8763
1527399754,8754,8754
1527401679,8754,8754
1527402825,8754,8754
1527404136,8755,8755
1527405346,8754,8754
1527406949,8751,8751
1527408884,8751,8751
1527410570,8741,8741
1527412473,8740,8740
1527413746,8737,8737
1527414942,8741,8741
1527416068,8734,8734
1527416923,8738,8738
1527418529,8719,8719
1527419668,8715,8715
1527420509,8716,8716
1527421357,8713,8713
1527422706,8715,8715
1527424108,8718,8718
1527425802,8723,8723
1527426943,8722,8722
1527427721,8724,8724
1527429358,8726,8726
1527430467,8731,8731
1527431891,8733,8733
1527433149,8734,8734
1527434473,8740,8740
1527435647,8751,8751
1527437677,8770,8770
1527438876,8775,8775
1527440658,8783,8783
1527442107,8792,8792
1527442954,8779,8779
1527444879,8788,8788
1527446145,8796,8796
1527447351,8806,8806
1527448551,8809,8809
1527449693,8809,8809
1527450173,8810,8810
1527452094,8814,8814
1527452918,8821,8821
1527454127,8816,8816
1527455447,8814,8814
1527456524,8817,8817
1527457639,8813,8813
1527460620,8817,8817
1527460956,8819,8819
1527461806,8821,8821
1527462949,8821,8821
1527464078,8821,8821
1527465197,8821,8821
1527466490,8819,8819
1527467313,8818,8818
1527468491,8821,8821
1527470068,8813,8813
1527471884,8813,8813
1527473680,8817,8817
1527475366,8806,8806
1527476218,8807,8807
1527477354,8805,8805
1527478965,8799,8799
1527480655,8798,8798
1527482465,8790,8790
1527483389,8791,8791
1527484467,8790,8790
1527485665,8785,8785
1527487862,8780,8780
1527490537,8780,8780
1527491741,8776,8776
1527493404,8778,8778
1527495289,8783,8783
1527496108,8785,8785
1527496950,8781,8781
1527497788,8784,8784
1527498869,8780,8780
1527500446,8774,8774
1527502232,8774,8774
1527504463,8775,8775
1527505846,8771,8771
1527507777,8770,8770
1527509443,8781,8781
1527510732,8782,8782
1527512180,8793,8793
1527514130,8804,8804
1527515445,8805,8805
1527516660,8809,8809
1527518505,8810,8810
1527520470,8814,8814
1527522071,8814,8814
1527524149,8820,8820
1527525349,8819,8819
1527526599,8826,8826
1527527752,8824,8824
1527528943,8827,8827
1527530934,8824,8824
1527532645,8826,8826
1527534937,8825,8825
1527536142,8825,8825
1527538289,8826,8826
1527540634,8823,8823
1527541846,8822,8822
1527543946,8825,8825
1527545350,8825,8825
1527548193,8819,8819
1527549339,8819,8819
1527550620,8817,8817
1527552537,8828,8828
1527553835,8832,8832
1527554552,8833,8833
1527555945,8839,8839
1527557307,8846,8846
1527559627,8863,8863
1527560911,8869,8869
1527561754,8870,8870
1527562604,8877,8877
1527563691,8870,8870
1527564519,8872,8872
1527565359,8863,8863
1527567285,8871,8871
1527568703,8879,8879
1527570865,8896,8896
1527571714,8900,8900
1527573091,8907,8907
1527574480,8918,8918
1527575308,8922,8922
1527576150,8927,8927
1527578075,8936,8936
1527579768,8945,8945
1527581679,8955,8955
1527582932,8957,8957
1527584145,8960,8960
1527585283,8952,8952
1527586532,8950,8950
1527587732,8953,8953
1527588938,8952,8952
1527589727,8953,8953
1527590894,8949,8949
