DateTime,AddedIPs,RemovedIPs
1527340447,96,184
1527341816,94,189
1527344047,0,0
1527345618,130,216
1527348927,167,289
1527351246,187,164
1527352834,105,174
1527354855,147,85
1527356527,141,198
1527358209,107,73
1527360127,85,107
1527361400,61,185
1527363020,69,124
1527364570,96,24
1527367508,138,181
1527369965,105,117
1527371713,99,112
1527372908,54,79
1527373687,36,1
1527375919,131,281
1527377112,88,0
1527378308,59,92
1527379868,61,194
1527381307,56,159
1527382513,46,39
1527383646,69,134
1527385221,83,372
1527387248,0,192
1527388088,25,0
1527388935,80,264
1527390615,75,227
1527391691,79,0
1527392528,47,167
1527394507,169,113
1527395287,74,0
1527396190,82,154
1527397512,90,150
1527398712,105,0
1527399729,56,248
1527401649,141,94
1527402805,73,194
1527404113,89,0
1527405317,56,253
1527406929,72,324
1527408847,99,173
1527410529,142,223
1527412448,713,136
1527413708,354,262
1527414914,465,0
1527416047,405,191
1527416887,356,0
1527418508,712,318
1527419647,68,167
1527420487,51,0
1527421327,40,162
1527422679,114,92
1527424087,63,0
1527425771,102,203
1527426909,79,240
1527427687,38,0
1527429336,110,405
1527430446,67,297
1527431869,67,300
1527433078,83,59
1527434426,97,101
1527435616,67,168
1527437647,163,193
1527438836,65,141
1527440624,192,239
1527442087,99,0
1527442929,44,233
1527444847,89,99
1527446110,93,123
1527447307,162,55
1527448508,257,103
1527450130,395,203
1527452048,188,139
1527452888,52,0
1527454097,39,343
1527455414,56,143
1527456488,86,0
1527457590,40,161
1527458168,31,0
1527460598,107,207
1527460929,11,48
1527461769,33,0
1527462909,53,71
1527464056,46,289
1527465168,51,52
1527466454,69,112
1527467287,44,0
1527468465,45,270
1527470048,80,159
1527471848,95,281
1527473648,94,134
1527475334,89,199
1527476169,53,1
1527477309,44,68
1527478928,103,178
1527480612,129,102
1527482434,96,193
1527483368,56,0
1527484447,63,103
1527485635,85,105
1527487819,112,135
1527490513,165,171
1527491708,55,150
1527493377,132,129
1527495255,126,74
1527496087,52,1
1527496929,62,217
1527497767,48,2
1527498847,65,96
1527500407,62,144
1527502189,83,130
1527504439,149,165
1527505810,105,95
1527507741,184,125
1527509414,141,87
1527510707,92,97
1527512152,144,0
1527513256,89,115
1527514087,74,0
1527515408,83,128
1527516624,73,91
1527518470,131,186
1527520448,144,122
1527522027,106,161
1527524108,117,79
1527525316,98,166
1527526571,139,0
1527527717,82,161
1527528913,87,83
1527531247,181,104
1527532612,98,77
1527533707,89,16
1527534907,81,156
1527536109,83,136
1527538243,141,83
1527538447,15,0
1527539287,67,0
1527540609,82,113
1527541814,44,79
1527543908,174,111
1527545326,141,68
1527546487,75,0
1527548170,115,143
1527549307,88,50
1527550598,100,67
1527552519,112,60
1527553811,131,137
1527554527,59,31
1527555906,84,57
1527557287,86,0
1527559561,154,188
1527560887,90,0
1527561729,52,100
1527562576,64,0
1527563646,52,96
1527564488,28,0
1527565330,38,255
1527567246,156,77
1527568667,135,155
1527570846,171,123
1527571686,54,0
1527573064,115,115
1527574447,97,129
1527575286,66,0
1527576128,63,106
1527578046,142,79
1527579733,140,133
1527581647,145,480
1527582910,104,501
1527584109,75,0
1527585246,60,627
1527586512,85,637
1527587707,64,0
1527588907,75,708
1527589686,73,0
1527590868,87,130
1527592001,66,102
1527592447,24,0
1527594128,110,107
1527596046,131,64
1527597222,108,113
1527598415,106,75
1527599646,70,55
1527601219,144,134
1527602166,161,0
1527603246,197,81
1527604812,321,116
1527606847,300,146
1527608030,141,110
1527610447,321,176
1527611286,95,1
1527612975,166,125
1527614143,108,94
1527615965,219,153
1527617409,130,143
1527618487,88,0
1527620461,143,749
1527622087,87,0
1527623300,79,92
1527624608,74,92
1527625712,80,0
1527627015,66,149
1527628212,95,70
1527630010,128,71
1527631813,111,79
1527633013,95,80
1527633728,52,20
1527634572,48,0
1527635646,57,65
1527636492,47,0
1527638171,116,107
1527639307,71,74
1527640927,116,74
1527642311,71,104
1527643493,84,0
1527644712,75,119
1527646449,82,70
1527647713,47,88
1527648908,68,31
1527650048,82,95
1527651614,93,94
1527653646,105,120
1527655326,112,132
1527656167,63,1
1527657306,69,58
1527658087,65,0
1527660846,167,226
1527662412,130,110
1527663907,95,154
1527665309,96,0
1527666127,90,148
1527668046,182,82
1527669307,155,91
