DateTime,AddedIPs,RemovedIPs
1527333045,58,100
1527334229,22,73
1527335342,0,0
1527336650,15,30
1527338553,21,144
1527340472,26,74
1527341864,44,116
1527344120,0,0
1527345658,39,118
1527347170,39,48
1527351270,128,191
1527352872,62,79
1527354897,85,53
1527356561,90,119
1527358252,51,28
1527360151,43,52
1527361447,31,111
1527363051,34,35
1527364608,50,10
1527365755,34,25
1527367552,21,51
1527369997,43,32
1527370121,4,2
1527372948,60,76
1527373725,12,1
1527375979,66,134
1527377137,54,9
1527378340,22,43
1527379892,30,113
1527381351,30,98
1527382536,18,30
1527383681,38,73
1527385261,44,263
1527387277,48,138
1527388127,9,5
1527388970,56,195
1527390652,34,132
1527391733,24,7
1527392556,20,69
1527393404,0,4
1527395311,125,61
1527396233,69,67
1527397549,56,89
1527398771,68,6
1527399759,25,164
1527401684,82,60
1527402830,40,125
1527404140,54,3
1527405350,24,176
1527406954,26,230
1527408889,62,142
1527410574,48,132
1527412478,85,95
1527413751,45,190
1527414947,55,5
1527416073,22,126
1527416927,12,1
1527418534,30,226
1527419678,22,92
1527420513,24,4
1527421361,23,82
1527422713,69,50
1527424112,29,4
1527425806,43,160
1527426951,24,135
1527427725,16,3
1527429363,55,250
1527430471,37,146
1527431901,31,152
1527433164,45,69
1527434478,66,8
1527435651,16,115
1527437681,40,126
1527438883,22,73
1527440675,125,174
1527442111,43,4
1527442958,10,143
1527444883,31,58
1527446155,50,55
1527447355,58,32
1527448555,42,64
1527449701,24,84
1527450177,8,56
1527452098,55,103
1527452923,16,3
1527454137,11,238
1527455451,14,112
1527456529,60,1
1527457653,20,94
1527458215,12,2
1527460625,19,103
1527460961,6,42
1527461816,12,2
1527462957,23,36
1527464083,13,236
1527465208,12,43
1527466494,21,87
1527467318,21,4
1527468503,20,194
1527470072,27,127
1527471896,26,202
1527473685,23,102
1527475373,27,88
1527476223,17,8
1527477363,15,43
1527478974,21,112
1527480660,36,69
1527482472,28,120
1527483394,21,5
1527484472,17,66
1527485678,21,53
1527487868,24,89
1527490541,61,112
1527491746,15,70
1527493408,60,47
1527495293,54,36
1527496112,24,2
1527496955,26,113
1527497793,17,4
1527498873,32,31
1527500454,21,83
1527502244,24,78
1527504476,64,64
1527505850,36,51
1527507788,122,25
1527509447,80,15
1527510737,60,43
1527512185,74,3
1527514134,104,35
1527515449,29,65
1527516671,27,36
1527518514,78,55
1527520475,89,65
1527522079,52,76
1527524154,59,35
1527525354,44,100
1527526603,85,3
1527527756,38,97
1527528948,28,33
1527530942,85,54
1527531274,8,2
1527532652,34,43
1527534942,77,53
1527536146,33,39
1527538483,84,29
1527539335,33,1
1527540639,34,35
1527541851,23,36
1527543952,77,37
1527545364,30,33
1527546514,17,1
1527548197,32,72
1527549346,15,27
1527550624,22,33
1527552541,35,21
1527553841,92,70
1527554556,19,16
1527555951,21,30
1527557312,42,4
1527559640,60,94
1527560915,30,3
1527561758,10,39
1527562608,22,2
1527563696,19,38
1527564524,6,6
1527565365,11,172
1527567290,77,44
1527568718,53,97
