DateTime,Entries,UniqueIPs
1527354897,9544,9544
1527356561,9515,9515
1527358252,9538,9538
1527360151,9529,9529
1527361447,9449,9449
1527363051,9448,9448
1527364608,9488,9488
1527365755,9497,9497
1527367552,9467,9467
1527369997,9478,9478
1527370121,9480,9480
1527372948,9464,9464
1527373725,9475,9475
1527375979,9407,9407
1527377137,9452,9452
1527378340,9431,9431
1527379892,9348,9348
1527381351,9280,9280
1527382536,9268,9268
1527383681,9233,9233
1527385261,9014,9014
1527387277,8924,8924
1527388127,8928,8928
1527388970,8789,8789
1527390652,8691,8691
1527391733,8708,8708
1527392556,8659,8659
1527393404,8670,8670
1527395311,8734,8734
1527396233,8736,8736
1527396233,8736,8736
1527397549,8703,8703
1527398771,8765,8765
1527399759,8626,8626
1527401684,8648,8648
1527402830,8563,8563
1527404140,8614,8614
1527405350,8462,8462
1527406954,8258,8258
1527408889,8178,8178
1527410574,8094,8094
1527412478,8084,8084
1527413751,7939,7939
1527414947,7989,7989
1527416073,7885,7885
1527416927,7896,7896
1527418534,7700,7700
1527419678,7630,7630
1527420513,7650,7650
1527421361,7591,7591
1527422713,7610,7610
1527424112,7635,7635
1527425806,7518,7518
1527426951,7407,7407
1527427725,7420,7420
1527429363,7225,7225
1527430471,7116,7116
1527431901,6995,6995
1527433164,6971,6971
1527434478,7029,7029
1527435651,6930,6930
1527437681,6844,6844
1527438883,6793,6793
1527440675,6744,6744
1527442111,6783,6783
1527442958,6650,6650
1527444883,6623,6623
1527446155,6618,6618
1527447355,6644,6644
1527448555,6622,6622
1527449701,6562,6562
1527450177,6514,6514
1527452098,6466,6466
1527452923,6479,6479
1527454137,6252,6252
1527455451,6154,6154
1527456529,6213,6213
1527457653,6139,6139
1527458215,6149,6149
1527460625,6065,6065
1527460961,6029,6029
1527461816,6039,6039
1527462957,6026,6026
1527464083,5803,5803
1527465208,5772,5772
1527466494,5706,5706
1527467318,5723,5723
1527468503,5549,5549
1527470072,5449,5449
1527471896,5273,5273
1527473685,5194,5194
1527475373,5133,5133
1527476223,5142,5142
1527477363,5114,5114
1527478974,5023,5023
1527480660,4990,4990
1527482472,4898,4898
1527483394,4914,4914
1527484472,4865,4865
1527485678,4833,4833
1527487868,4768,4768
1527490541,4717,4717
1527491746,4662,4662
1527493408,4675,4675
1527495293,4693,4693
1527496112,4715,4715
1527496955,4628,4628
1527497793,4641,4641
1527498873,4642,4642
1527500454,4580,4580
1527502244,4526,4526
1527504476,4526,4526
1527505850,4511,4511
1527507788,4608,4608
1527509447,4673,4673
1527510737,4690,4690
1527512185,4761,4761
1527514134,4830,4830
1527515449,4794,4794
1527516671,4785,4785
1527518514,4808,4808
1527520475,4832,4832
1527522079,4808,4808
1527524154,4832,4832
1527525354,4776,4776
1527526603,4858,4858
1527527756,4799,4799
1527528948,4794,4794
1527530942,4825,4825
1527531274,4831,4831
1527532652,4822,4822
1527534942,4846,4846
1527536146,4840,4840
1527538483,4895,4895
1527539335,4927,4927
1527540639,4926,4926
1527541851,4913,4913
1527543952,4953,4953
1527545364,4950,4950
1527546514,4966,4966
1527548197,4926,4926
1527549346,4914,4914
1527550624,4903,4903
1527552541,4917,4917
1527553841,4939,4939
1527554556,4942,4942
1527555951,4933,4933
1527557312,4971,4971
1527559640,4937,4937
1527560915,4964,4964
1527561758,4935,4935
1527562608,4955,4955
1527563696,4936,4936
1527564524,4936,4936
1527565365,4775,4775
1527567290,4808,4808
1527568718,4764,4764
1527570870,4776,4776
1527571719,4805,4805
1527573095,4770,4770
1527574485,4734,4734
1527575312,4754,4754
1527576154,4736,4736
1527578079,4723,4723
1527579776,4723,4723
