DateTime,Entries,UniqueIPs
1527360144,20996,20996
1527361438,20897,20897
1527363041,20892,20892
1527364601,20946,20946
1527365736,20959,20959
1527365736,20959,20959
1527367541,20943,20943
1527369982,20968,20968
1527370107,20974,20974
1527372940,20951,20951
1527373718,20970,20970
1527375954,20886,20886
1527377130,20946,20946
1527378330,20937,20937
1527379886,20847,20847
1527381344,20760,20760
1527382529,20755,20755
1527383673,20712,20712
1527385254,20453,20453
1527387269,20354,20354
1527388120,20368,20368
1527388958,20219,20219
1527390644,20076,20076
1527391724,20109,20109
1527392548,20042,20042
1527394537,20076,20076
1527395304,20136,20136
1527396214,20119,20119
1527396214,20119,20119
1527397533,20074,20074
1527398732,20159,20159
1527399750,20011,20011
1527401676,20036,20036
1527402822,19944,19944
1527404132,20008,20008
1527405343,19832,19832
1527406947,19618,19618
1527408876,19535,19535
1527410563,19433,19433
1527412471,19424,19424
1527413743,19261,19261
1527414940,19321,19321
1527416066,19199,19199
1527416916,19215,19215
1527418526,19002,19002
1527419665,18920,18920
1527420506,18946,18946
1527421354,18858,18858
1527422697,18874,18874
1527424106,18923,18923
1527425799,18814,18814
1527426936,18694,18694
1527427718,18717,18717
1527429355,18418,18418
1527430464,18184,18184
1527431889,17963,17963
1527433143,17923,17923
1527434458,17987,17987
1527435643,17880,17880
1527437674,17854,17854
1527438864,17790,17790
1527440655,17732,17732
1527442104,17792,17792
1527442951,17641,17641
1527444876,17610,17610
1527446143,17598,17598
1527447343,17641,17641
1527448539,17610,17610
1527449688,17547,17547
1527450164,17500,17500
1527452086,17459,17459
1527452909,17483,17483
1527454124,17233,17233
1527455443,17131,17131
1527456521,17197,17197
1527457628,17113,17113
1527458206,17130,17130
1527460617,17046,17046
1527460952,17007,17007
1527461799,17021,17021
1527462943,17016,17016
1527464076,16779,16779
1527465186,16765,16765
1527466487,16708,16708
1527467310,16730,16730
1527468488,16534,16534
1527470065,16443,16443
1527471880,16274,16274
1527473677,16198,16198
1527475358,16136,16136
1527476215,16160,16160
1527477346,16135,16135
1527478962,16058,16058
1527480645,16053,16053
1527482460,15981,15981
1527483387,16016,16016
1527484465,15973,15973
1527485655,15943,15943
1527487858,15904,15904
1527490534,15845,15845
1527491736,15773,15773
1527493401,15782,15782
1527495286,15817,15817
1527496105,15859,15859
1527496947,15758,15758
1527497785,15784,15784
1527498866,15763,15763
1527500435,15685,15685
1527502225,15655,15655
1527504460,15621,15621
1527505842,15598,15598
1527507772,15657,15657
1527509441,15696,15696
1527510726,15697,15697
1527512178,15800,15800
1527513329,15808,15808
1527514122,15859,15859
1527515442,15816,15816
1527516655,15815,15815
1527518495,15838,15838
1527520467,15862,15862
1527522068,15827,15827
1527524144,15840,15840
1527525346,15774,15774
1527526596,15882,15882
1527527745,15823,15823
1527528940,15803,15803
1527530930,15844,15844
1527531267,15853,15853
1527532638,15858,15858
1527534934,15890,15890
1527536138,15857,15857
1527538282,15896,15896
1527538476,15905,15905
1527539326,15949,15949
1527540631,15941,15941
1527541843,15924,15924
1527543940,15968,15968
1527545347,15970,15970
1527546507,16001,16001
1527548190,15956,15956
1527549334,15947,15947
1527550617,15953,15953
1527552535,15979,15979
1527553830,15984,15984
