DateTime,Entries,UniqueIPs
1527352855,4393,4393
1527354879,4390,4390
1527354879,4390,4390
1527356545,4377,4377
1527358222,4385,4385
1527360138,4376,4376
1527361420,4355,4355
1527363036,4303,4303
1527364820,4296,4296
1527365720,4287,4287
1527365720,4287,4287
1527367525,4273,4273
1527369976,4242,4242
1527371729,4235,4235
1527372925,4225,4225
1527373704,4237,4237
1527375963,4203,4203
1527377124,4217,4217
1527378322,4202,4202
1527380414,4003,4003
1527381329,4171,4171
1527382524,4182,4182
1527383661,4159,4159
1527385240,4143,4143
1527387263,4142,4142
1527388105,4148,4148
1527388951,4129,4129
1527390638,4124,4124
1527391709,4159,4159
1527392542,4125,4125
1527394522,4140,4140
1527395298,4144,4144
1527396201,4109,4109
1527396201,4109,4109
1527398725,4119,4119
1527399743,4103,4103
1527401663,4120,4120
1527402817,4110,4110
1527404127,4123,4123
1527405332,4114,4114
1527406942,4085,4085
1527408863,4086,4086
1527410550,4130,4130
1527412465,4720,4720
1527413729,4980,4980
1527414929,5376,5376
1527416060,5727,5727
1527416903,6059,6059
1527418520,6688,6688
1527419660,6679,6679
1527420500,6700,6700
1527421344,6681,6681
1527422691,6681,6681
1527424100,6688,6688
1527425788,6700,6700
1527426923,6663,6663
1527427704,6675,6675
1527429350,6672,6672
1527430459,6667,6667
1527431883,6652,6652
1527433091,6640,6640
1527434441,6638,6638
1527435638,6641,6641
1527437664,6622,6622
1527438851,6607,6607
1527440638,6616,6616
1527442099,6642,6642
1527442945,6621,6621
1527444865,6630,6630
1527446133,6625,6625
1527447327,6686,6686
1527448523,6866,6866
1527450150,7171,7171
1527452071,7253,7253
1527452903,7273,7273
1527454113,7233,7233
1527455431,7247,7247
1527456504,7257,7257
1527457613,7235,7235
1527458187,7245,7245
1527460610,7235,7235
1527460945,7234,7234
1527461784,7248,7248
1527462924,7236,7236
1527464069,7234,7234
1527465180,7246,7246
1527466477,7263,7263
1527467300,7275,7275
1527468481,7255,7255
1527470060,7275,7275
1527471869,7257,7257
1527473664,7286,7286
1527475351,7273,7273
1527476193,7289,7289
1527477328,7290,7290
1527478947,7291,7291
1527480629,7308,7308
1527482450,7284,7284
1527483381,7298,7298
1527484460,7298,7298
1527485649,7308,7308
1527487840,7325,7325
1527490528,7370,7370
1527491724,7359,7359
1527493394,7356,7356
1527495280,7362,7362
1527496099,7364,7364
1527496941,7326,7326
1527497779,7334,7334
1527498860,7335,7335
1527500421,7338,7338
1527502202,7323,7323
1527504453,7348,7348
1527505832,7379,7379
1527507762,7374,7374
1527509430,7371,7371
1527510720,7370,7370
1527512168,7389,7389
1527513315,7360,7360
1527514108,7368,7368
1527515431,7373,7373
1527516646,7358,7358
1527518486,7272,7272
1527520461,7261,7261
1527522050,7248,7248
1527524128,7260,7260
1527525341,7267,7267
1527526586,7288,7288
1527527734,7272,7272
1527528927,7296,7296
1527531260,7321,7321
1527532625,7337,7337
1527534924,7304,7304
1527536126,7291,7291
1527538263,7308,7308
1527538469,7308,7308
1527539311,7327,7327
1527540624,7311,7311
1527541831,7297,7297
1527543928,7313,7313
1527545341,7384,7384
1527546501,7425,7425
1527548184,7453,7453
1527549324,7498,7498
1527550611,7533,7533
1527552530,7549,7549
1527553824,7537,7537
1527554544,7550,7550
1527555920,7558,7558
1527557299,7570,7570
1527559599,7566,7566
1527560902,7590,7590
1527561744,7563,7563
1527562595,7580,7580
1527563668,7572,7572
1527564505,7578,7578
1527565348,7554,7554
1527567261,7561,7561
1527568684,7562,7562
1527570858,7578,7578
