DateTime,AddedIPs,RemovedIPs
1525788883,0,1
1525790246,0,1
1525796912,1,0
1525799743,0,1
1525800512,1,0
1525802195,1,0
1525812156,1,0
1525820766,0,1
1525832083,1,0
1525842340,1,0
1525848996,0,1
1525853745,0,1
1525856204,1,0
1525867421,0,1
1525868083,1,0
1525875272,1,0
1525878877,0,1
1525889748,0,1
1525891355,1,0
1525895441,1,0
1525908519,1,0
1525911283,1,0
1525912953,1,0
1525919874,0,1
1525923784,1,2
1525947047,0,1
1525954265,1,0
1525956164,1,0
1525962542,2,0
1525963985,3,0
1525968222,0,1
1525970556,0,1
1525979683,0,2
1525986343,2,0
1525993011,1,0
1525994159,1,0
1526004887,1,0
1526012150,0,2
1526013656,0,1
1526018203,1,0
1526028162,1,0
1526030915,0,1
1526037285,0,1
1526040693,1,0
1526041847,1,0
1526043393,1,0
1526044471,0,1
1526046998,0,1
1526048989,1,0
1526050117,2,0
1526051442,1,0
1526052934,0,1
1526054194,1,0
1526057690,0,1
1526058933,1,0
1526071250,2,0
1526073354,1,0
1526087672,0,1
1526096567,4,0
1526098244,1,0
1526100162,1,0
1526109278,1,0
1526114345,0,1
1526115399,0,1
1526118164,1,0
1526129445,1,0
1526130930,0,1
1526132127,0,1
1526133412,0,4
1526138078,0,1
1526143396,1,0
1526145287,1,0
1526153741,0,1
1526165953,1,0
1526172572,0,1
1526173856,1,0
1526177695,0,1
1526181277,0,1
1526187038,0,3
1526188479,1,1
1526189741,2,0
1526193343,1,3
1526199287,0,1
1526200851,2,1
1526201796,2,0
1526206470,0,2
1526211051,3,0
1526213310,2,0
1526218114,1,0
1526218962,1,0
1526225452,0,1
1526228086,1,1
1526245555,1,0
1526269145,1,0
1526271354,1,0
1526272974,0,1
1526280179,1,0
1526289274,1,0
1526290548,1,0
1526296548,0,1
1526297737,1,1
1526300085,1,1
1526301789,0,1
1526304523,1,0
1526306202,0,1
1526310879,0,1
1526316187,1,0
1526318922,1,0
1526320610,1,0
1526338554,1,0
1526339741,1,0
1526340948,1,0
1526352102,1,0
1526356302,0,2
1526357460,0,1
1526358681,0,1
1526364884,2,0
1526369737,1,0
1526375681,2,0
1526380859,0,2
1526384582,1,0
1526388180,0,1
1526398882,1,1
1526400941,1,1
1526405322,1,0
1526407003,1,0
1526411436,0,1
1526417811,1,0
1526424192,1,0
1526449398,0,1
1526453446,1,0
1526465675,0,1
1526469293,0,2
1526472874,3,0
1526479852,0,1
1526488113,1,1
1526488964,2,0
1526501435,1,0
1526508953,0,1
1526511564,0,4
1526514045,0,2
1526517761,0,1
1526528561,0,3
1526529876,1,1
1526534088,0,1
1526542137,1,0
1526542961,2,0
1526544886,0,1
1526550584,0,1
1526555673,0,1
1526556606,1,0
1526563850,1,1
1526571484,0,2
1526573677,7,2
1526586354,1,0
1526597797,0,7
1526600446,0,1
1526606931,1,0
1526608184,0,1
1526623004,1,0
1526624166,2,1
1526626238,1,0
1526627688,1,0
1526638241,1,0
1526640170,7,0
1526641329,0,1
1526643649,0,1
1526647355,0,1
1526648589,2,0
1526654083,0,1
1526676165,3,0
1526684195,1,0
1526686140,3,0
1526688885,1,0
1526690556,0,1
1526692479,4,0
1526696081,1,0
1526696932,1,0
1526703291,2,0
1526706885,1,0
1526712356,0,2
1526714935,1,0
1526726452,0,2
1526735675,0,1
1526736938,2,0
1526738204,1,0
1526739360,0,1
1526742879,3,0
1526744562,1,1
1526750932,1,0
1526754530,1,0
1526755363,1,1
1526757348,1,0
1526773558,0,1
1526776887,0,1
1526780558,0,1
1526789323,1,1
1526793288,0,1
1526794140,2,0
1526796987,1,0
1526807697,0,2
1526816464,0,1
1526818248,1,1
1526819479,0,1
1526823064,1,0
1526830963,0,1
1526835401,2,0
1526843433,0,1
1526848573,1,1
1526854493,0,1
1526863401,0,2
1526864797,0,1
1526872264,1,2
1526879756,0,1
1526883067,1,1
1526892341,0,1
1526893007,1,0
1526906592,0,1
1526907816,0,2
1526912076,0,1
1526915453,0,1
1526916536,1,0
1526934539,1,0
1526936232,0,1
1526944477,0,1
1526949094,1,0
1526951754,1,0
1526952895,0,1
1526956889,1,0
1526975846,1,0
1526987698,1,1
1527002090,0,1
1527003774,0,1
1527005687,1,2
1527008698,1,0
1527011018,1,0
1527014559,0,1
1527016498,0,3
1527018066,0,1
1527021765,1,0
1527024535,1,0
1527027316,4,0
1527029467,1,0
1527031732,3,0
1527033430,1,1
1527034487,1,0
1527036088,1,0
1527039063,1,0
1527041488,1,0
1527044242,1,0
1527045395,1,1
1527050565,0,3
1527051964,2,2
1527055012,1,0
1527072073,0,1
1527074107,2,0
1527086152,0,1
1527090171,2,0
1527092085,0,1
1527095766,0,1
1527102379,1,1
1527113685,1,0
1527129965,1,0
1527137817,1,0
1527156903,0,1
1527160117,1,0
1527175722,1,0
1527178492,0,1
1527194489,1,1
1527200190,0,2
1527204971,0,1
1527206146,0,1
1527207361,0,1
1527208961,0,1
1527215865,1,0
1527221763,1,0
1527223375,0,1
1527228961,2,0
1527230564,1,0
1527236088,0,3
1527243286,0,1
1527244990,0,1
1527248484,1,1
1527256615,0,1
1527267947,0,1
1527282951,1,7
1527289017,0,0
1527291364,1,0
1527298321,0,0
1527299453,0,0
1527300662,0,0
1527302574,0,0
1527303989,0,0
1527305326,0,0
1527306662,0,0
1527308097,0,1
1527309767,0,2
1527311722,2,0
1527313367,0,0
1527314203,0,0
1527315299,1,0
1527316982,0,0
1527318419,0,1
1527319723,0,0
1527321345,0,1
1527322485,0,3
1527324353,0,2
1527325553,0,0
1527327459,0,0
1527330539,0,2
1527331790,0,0
1527333052,0,0
1527334245,0,0
1527335377,157,0
1527336658,0,0
1527338561,1,0
1527340480,0,0
1527341888,0,2
1527344131,1,1
1527345667,1,3
1527347227,0,0
1527351278,0,3
1527352904,0,0
1527354905,1,0
1527356569,0,0
1527358260,1,0
1527360159,0,0
1527361483,0,0
1527363067,0,0
1527364615,0,0
1527365763,0,0
1527367561,0,0
1527370007,1,0
1527370131,0,0
1527375996,1,1
1527377144,0,0
1527378349,0,0
1527381359,0,0
1527382546,0,0
1527383689,0,0
1527385269,0,0
1527387286,0,0
1527388136,0,0
1527388983,0,0
1527390661,0,0
1527391743,0,0
1527392565,0,0
1527393413,0,0
1527395318,0,0
1527396246,0,0
1527398808,0,0
1527408897,1,0
1527414955,1,0
1527416936,2,0
1527418542,1,0
1527419693,1,0
1527420521,1,0
1527429376,0,1
1527434509,1,0
1527452107,1,0
1527454151,0,1
1527460973,1,0
1527491755,1,0
1527495302,1,0
1527504515,0,1
1527514142,0,1
1527520483,1,0
1527522098,1,0
1527524162,0,1
1527527766,0,1
1527528957,1,0
1527534951,0,1
1527536155,0,1
1527559666,1,0
1527562617,1,0
1527563705,0,1
1527570878,1,0
1527576161,0,1
1527579786,1,1
1527585294,0,1
1527586545,0,2
1527588950,0,1
1527590906,0,1
1527592058,0,1
1527598475,1,0
1527602212,6,0
1527603284,0,1
1527604854,0,2
1527606388,1,0
1527611315,1,0
1527627072,0,2
1527631855,0,1
1527650083,0,2
1527651698,0,6
1527653687,0,1
1527656209,3,0
1527658119,1,0
1527660878,0,1
1527662453,1,0
1527663951,0,1
1527668084,3,0
1527669339,1,0
1527671149,1,0
1527673572,1,1
1527675278,0,1
1527677739,4,0
1527688420,0,1
1527695802,1,0
1527702157,1,0
1527709369,0,1
1527714882,1,0
1527720062,0,1
1527727360,1,0
1527737324,1,0
1527738667,1,0
1527740083,0,3
1527744946,1,0
1527747055,1,0
1527749818,0,1
1527750951,0,1
1527755748,0,1
1527759877,1,0
1527762706,1,0
1527779760,1,0
1527781284,0,1
1527783293,0,1
1527804657,0,1
1527819292,1,0
1527820977,1,0
1527824107,1,1
1527826491,0,2
1527829784,1,0
1527843037,1,0
1527846050,0,2
1527848076,0,1
1527853372,1,0
1527858620,0,1
1527864068,0,1
1527871370,0,1
1527876962,1,0
1527891307,0,1
1527906538,1,0
1527910963,0,0
1527914570,1,0
1527916477,0,0
1527923741,0,0
1527925357,0,0
1527927349,0,0
1527928550,0,0
1527929799,0,0
1527930954,0,0
1527932142,0,0
1527934246,0,1
1527936163,0,1
1527938079,0,0
1527938922,0,0
1527941748,0,0
1527942951,0,1
1527945278,0,0
1527946610,0,0
1527948885,0,0
1527950586,0,0
1527951401,0,0
1527952497,1,1
1527953741,0,0
1527956748,0,1
1527957772,1,0
1527958609,0,0
1527959758,0,0
1527961355,0,0
1527963054,0,0
1527964976,0,0
1527965801,0,0
1527966885,0,0
1527968555,0,0
1527970491,0,0
1527972161,0,0
1527973000,0,0
1527974088,0,0
1527974936,0,0
1527975767,0,0
1527977453,0,0
1527978518,0,0
1527979361,0,0
1527980204,0,0
1527981353,0,0
1527982869,1,0
1527983798,0,0
1527985725,1,0
1527990635,2,0
1527991857,0,0
1527992927,0,0
1527995174,0,0
1527995680,0,0
1527997314,1,1
1527999280,0,6
1528000866,0,1
1528002345,0,0
1528002894,0,0
1528004563,1,0
