DateTime,AddedIPs,RemovedIPs
1527591332,2,2
1527592532,5,9
1527593252,1,5
1527593972,0,1
1527594692,4,1
1527595412,3,513
1527596132,3,5
1527596852,3,77
1527597572,1,1
1527598293,2,4
1527599012,3,0
1527599732,2,10
1527600453,2,2
1527601172,1,4
1527601892,2,12
1527602612,4,1
1527603331,0,4
1527604052,4,8
1527604772,3,12
1527605493,0,11
1527606213,2,18
1527606933,1,14
1527607653,5,24
1527608372,4,8
1527609093,5,12
1527609812,4,19
1527610772,4,17
1527611732,6,23
1527613893,6,39
1527614612,37,8
1527615331,2,3
1527616052,1,7
1527616772,3,13
1527617731,3,11
1527618452,2,7
1527619171,1,8
1527619892,2,13
1527620612,3,8
1527621572,9,4
1527622292,8,6
1527623012,1,13
1527623732,2,6
1527624452,7,10
1527625173,2,11
1527625892,44,14
1527626611,1,27
1527627332,5,18
1527628051,6,19
1527628772,5,14
1527629493,3,13
1527630213,8,9
1527630932,3,12
1527631652,4,12
1527632372,4,8
1527633093,4,9
1527633813,2,11
1527634532,4,9
1527635254,19,12
1527635981,8,51
1527636692,1,10
1527637411,4,9
1527638134,4,9
1527638852,8,2
1527639572,8,9
1527640293,146,14
1527641013,6,11
1527641732,6,10
1527642692,4,8
1527643411,5,4
1527644133,7,14
1527644853,7,9
1527645571,6,5
1527646291,2,7
1527647011,3,40
1527647731,3,9
1527648452,4,6
1527649172,7,6
1527649891,4,4
1527650613,3,5
1527651332,2,1
1527652224,2,4
1527653252,7,8
1527653972,4,4
1527654692,5,8
1527655412,8,5
1527656132,4,6
1527656851,9,20
1527657571,7,3
1527658293,3,7
1527659013,4,9
1527659972,4,7
1527660692,9,4
1527661412,6,5
1527662132,6,87
1527662853,20,3
1527663572,6,8
1527664292,2,2
1527665013,6,4
1527665732,4,7
1527666453,5,3
1527667653,6,3
1527668372,5,2
1527669091,4,1
1527669812,4,2
1527670532,5,3
1527671252,2,4
1527671972,3,2
1527672692,1,0
1527673892,7,6
1527674612,5,3
1527675332,2,2
1527676052,3,6
1527676772,3,2
1527677492,7,4
1527678212,1,3
1527678932,3,5
1527680851,66,8
1527682052,10,6
1527683252,24,3
1527683972,5,1
1527684654,3,6
1527685412,9,3
1527686131,3,4
1527687093,7,17
1527687812,2,18
1527688532,1,18
1527689252,5,23
1527689972,2,19
1527690692,34,15
1527691412,7,16
1527692133,4,14
1527692852,3,14
1527693572,3,14
1527694293,3,20
1527695012,2,14
1527695732,1,11
1527696692,3,8
1527697412,8,14
1527698133,2,12
1527698852,6,10
1527699573,3,12
1527700292,5,7
1527701011,1,32
1527701733,3,9
1527702692,4,10
1527703652,0,322
1527704613,7,7
1527705333,92,8
1527706053,5,7
1527706773,5,6
1527707492,1,3
1527708211,4,9
1527708931,5,10
1527709652,4,3
1527710373,4,5
1527711092,4,7
1527711812,2,3
1527712532,2,32
1527713252,0,4
1527714212,2,9
1527714932,7,11
1527715651,1,10
1527716372,0,10
1527717091,1,9
1527718051,1,11
1527718772,2,5
1527719492,1,13
1527720453,4,10
1527721653,4,18
1527722371,1,10
1527723091,4,6
1527723812,9,9
1527724531,10,5
1527725252,7,9
1527725972,3,5
1527726490,1,94
1527727172,3,23
1527727892,0,8
1527728613,8,7
1527729332,5,6
1527730292,6,12
1527731011,6,7
1527731732,2,3
1527732452,5,2
1527733172,4,8
1527733892,2,3
1527734612,1,7
1527735331,6,19
1527736052,4,8
1527736772,4,3
1527737192,2,3
1527737972,5,4
1527738692,6,5
1527739412,5,6
1527740132,4,7
1527740853,4,6
1527741572,1,8
1527742292,2,5
1527743011,1,8
1527743732,6,7
1527744693,61,10
1527745413,4,7
1527746131,5,8
1527746853,6,9
1527747572,1,5
1527748532,5,12
1527749972,9,25
1527750692,4,8
1527751412,3,7
1527752373,6,8
1527753092,4,8
1527753812,1,5
1527754533,33,5
1527755253,1,4
1527755972,20,6
1527756692,0,5
1527757412,1,4
1527758132,8,5
1527759091,3,8
1527759812,4,5
1527760532,6,8
1527761252,1,9
