DateTime,Entries,UniqueIPs
1527594692,7910,7910
1527595412,7400,7400
1527596132,7398,7398
1527596852,7324,7324
1527597572,7324,7324
1527598293,7322,7322
1527599012,7325,7325
1527599732,7317,7317
1527600453,7317,7317
1527601172,7314,7314
1527601892,7304,7304
1527602612,7307,7307
1527603331,7303,7303
1527604052,7299,7299
1527604772,7290,7290
1527605493,7279,7279
1527606213,7263,7263
1527606933,7250,7250
1527607653,7231,7231
1527608372,7227,7227
1527609093,7220,7220
1527609812,7205,7205
1527610772,7192,7192
1527611732,7175,7175
1527613893,7142,7142
1527614612,7171,7171
1527615331,7170,7170
1527616052,7164,7164
1527616772,7154,7154
1527617731,7146,7146
1527618452,7141,7141
1527619171,7134,7134
1527619892,7123,7123
1527620612,7118,7118
1527621572,7123,7123
1527622292,7125,7125
1527623012,7113,7113
1527623732,7109,7109
1527624452,7106,7106
1527625173,7097,7097
1527625892,7127,7127
1527626611,7101,7101
1527627332,7088,7088
1527628051,7075,7075
1527628772,7066,7066
1527629493,7056,7056
1527630213,7055,7055
1527630932,7046,7046
1527631652,7038,7038
1527632372,7034,7034
1527633093,7029,7029
1527633813,7020,7020
1527634532,7015,7015
1527635254,7022,7022
1527635981,6979,6979
1527636692,6970,6970
1527637411,6965,6965
1527638134,6960,6960
1527638852,6966,6966
1527639572,6965,6965
1527640293,7097,7097
1527641013,7092,7092
1527641732,7088,7088
1527642692,7084,7084
1527643411,7085,7085
1527644133,7078,7078
1527644853,7076,7076
1527645571,7077,7077
1527646291,7072,7072
1527647011,7035,7035
1527647731,7029,7029
1527648452,7027,7027
1527649172,7028,7028
1527649891,7028,7028
1527650613,7026,7026
1527651332,7027,7027
1527652224,7025,7025
1527653252,7024,7024
1527653972,7024,7024
1527654692,7021,7021
1527655412,7024,7024
1527656132,7022,7022
1527656851,7011,7011
1527657571,7015,7015
1527658293,7011,7011
1527659013,7006,7006
1527659972,7003,7003
1527660692,7008,7008
1527661412,7009,7009
1527662132,6928,6928
1527662853,6945,6945
1527663572,6943,6943
1527664292,6943,6943
1527665013,6945,6945
1527665732,6942,6942
1527666453,6944,6944
1527667653,6947,6947
1527668372,6950,6950
1527669091,6953,6953
1527669812,6955,6955
1527670532,6957,6957
1527671252,6955,6955
1527671972,6956,6956
1527672692,6957,6957
1527673892,6958,6958
1527674612,6960,6960
1527675332,6960,6960
1527676052,6957,6957
1527676772,6958,6958
1527677492,6961,6961
1527678212,6959,6959
1527678932,6957,6957
1527680851,7015,7015
1527682052,7019,7019
1527683252,7040,7040
1527683972,7044,7044
1527684654,7041,7041
1527685412,7047,7047
1527686131,7046,7046
1527687093,7036,7036
1527687812,7020,7020
1527688532,7003,7003
1527689252,6985,6985
1527689972,6968,6968
1527690692,6987,6987
1527691412,6978,6978
1527692133,6968,6968
1527692852,6957,6957
1527693572,6946,6946
1527694293,6929,6929
1527695012,6917,6917
1527695732,6907,6907
1527696692,6902,6902
1527697412,6896,6896
1527698133,6886,6886
1527698852,6882,6882
1527699573,6873,6873
1527700292,6871,6871
1527701011,6840,6840
1527701733,6834,6834
1527702692,6828,6828
1527703652,6506,6506
1527704613,6506,6506
1527705333,6590,6590
1527706053,6588,6588
1527706773,6587,6587
1527707492,6585,6585
1527708211,6580,6580
1527708931,6575,6575
1527709652,6576,6576
1527710373,6575,6575
1527711092,6572,6572
1527711812,6571,6571
1527712532,6541,6541
1527713252,6537,6537
1527714212,6530,6530
1527714932,6526,6526
1527715651,6517,6517
1527716372,6507,6507
1527717091,6499,6499
1527718051,6489,6489
1527718772,6486,6486
1527719492,6474,6474
1527720453,6468,6468
1527721653,6454,6454
1527722371,6445,6445
1527723091,6443,6443
1527723812,6443,6443
1527724531,6448,6448
1527725252,6446,6446
1527725972,6444,6444
1527726490,6351,6351
1527727172,6331,6331
1527727892,6323,6323
1527728613,6324,6324
1527729332,6323,6323
1527730292,6317,6317
1527731011,6316,6316
1527731732,6315,6315
1527732452,6318,6318
1527733172,6314,6314
1527733892,6313,6313
1527734612,6307,6307
1527735331,6294,6294
1527736052,6290,6290
1527736772,6291,6291
1527737192,6290,6290
1527737972,6291,6291
1527738692,6292,6292
1527739412,6291,6291
1527740132,6288,6288
1527740853,6286,6286
1527741572,6279,6279
1527742292,6276,6276
1527743011,6269,6269
1527743732,6268,6268
1527744693,6319,6319
1527745413,6316,6316
1527746131,6313,6313
1527746853,6310,6310
1527747572,6306,6306
1527748532,6299,6299
1527749972,6283,6283
1527750692,6279,6279
1527751412,6275,6275
1527752373,6273,6273
1527753092,6269,6269
1527753812,6265,6265
1527754533,6293,6293
1527755253,6290,6290
1527755972,6304,6304
1527756692,6299,6299
1527757412,6296,6296
1527758132,6299,6299
1527759091,6294,6294
1527759812,6293,6293
1527760532,6291,6291
1527761252,6283,6283
1527761972,6284,6284
1527762693,6283,6283
1527763411,6288,6288
1527764132,6282,6282
1527764851,6282,6282
1527765573,6271,6271
1527766291,6210,6210
1527767012,6206,6206
1527767733,6338,6338
1527769653,7333,7333
1527770372,7333,7333
1527771093,7333,7333
1527771812,7330,7330
1527772532,7326,7326
1527773252,7323,7323
1527773972,7329,7329
1527774692,7327,7327
1527775412,7331,7331
1527776372,7324,7324
1527777093,7308,7308
1527778053,7274,7274
1527778773,7254,7254
1527779493,7239,7239
1527780212,7225,7225
1527780932,7212,7212
1527781653,7198,7198
1527782372,7187,7187
1527783093,7171,7171
1527783813,7158,7158
1527784533,7153,7153
1527785732,7133,7133
1527786452,7119,7119
1527787173,7097,7097
1527787893,7094,7094
1527788612,7090,7090
1527789332,7082,7082
1527790051,7078,7078
1527790772,7075,7075
1527791493,7062,7062
1527792212,6986,6986
1527792933,6875,6875
1527793892,6868,6868
1527794612,6864,6864
1527795332,6863,6863
1527796051,6862,6862
1527796772,6851,6851
1527797492,6843,6843
1527798211,6840,6840
1527798932,6834,6834
1527799651,6838,6838
1527800372,6836,6836
1527801092,6833,6833
1527801812,6825,6825
1527802532,6827,6827
1527803252,6829,6829
1527803971,6831,6831
1527804692,6834,6834
1527805412,6837,6837
1527806372,6843,6843
1527807331,6842,6842
1527808292,6837,6837
1527809733,6917,6917
1527810454,6911,6911
1527810632,6911,6911
1527811413,6903,6903
1527812131,6902,6902
1527813092,6902,6902
1527813812,6900,6900
1527814532,6902,6902
1527815252,6904,6904
1527815972,6901,6901
1527816692,6902,6902
1527817412,6896,6896
1527818141,6893,6893
1527818851,6895,6895
1527819812,6925,6925
1527820532,6927,6927
1527821251,6925,6925
1527821972,6918,6918
1527822692,6920,6920
1527823084,6919,6919
1527824374,6918,6918
1527825098,6915,6915
1527825812,6906,6906
1527826532,6902,6902
1527827492,6906,6906
1527828212,6905,6905
1527828932,6904,6904
1527829651,6902,6902
1527830373,6762,6762
1527831332,6753,6753
1527832292,6748,6748
1527833253,6746,6746
1527833972,6753,6753
1527834692,6895,6895
1527835412,6894,6894
1527836133,6885,6885
1527837092,6877,6877
1527837812,6876,6876
1527838533,6878,6878
1527839252,6867,6867
1527840452,6867,6867
1527841172,6810,6810
1527841892,6809,6809
1527842612,6797,6797
1527844052,6802,6802
1527844771,6797,6797
1527845492,6792,6792
1527846212,6788,6788
1527846932,6788,6788
1527847651,6793,6793
1527848372,6791,6791
1527849092,6786,6786
1527849812,6788,6788
1527850533,6750,6750
1527851253,6749,6749
1527851973,6749,6749
1527852691,6742,6742
1527853412,6738,6738
1527854131,6637,6637
1527854856,6583,6583
1527855572,6547,6547
1527856291,6552,6552
1527857012,6552,6552
1527857732,6552,6552
1527858452,6549,6549
1527859172,6548,6548
1527860133,6544,6544
1527861092,6541,6541
1527862052,6540,6540
1527862771,6539,6539
1527863491,6539,6539
1527864212,6541,6541
1527864933,6531,6531
1527865892,6530,6530
1527866612,6529,6529
1527867331,6529,6529
1527868532,6524,6524
1527869252,6523,6523
1527870212,6528,6528
1527870932,6527,6527
1527871652,6530,6530
1527872852,6539,6539
1527873813,6665,6665
1527874532,6678,6678
1527875252,6677,6677
1527875973,6676,6676
1527876692,6687,6687
1527877412,6686,6686
1527878132,6691,6691
1527878853,6692,6692
1527879573,6693,6693
1527880292,6698,6698
1527881012,6698,6698
1527881731,6694,6694
1527882453,6691,6691
1527883172,6698,6698
1527883892,6698,6698
1527884611,6699,6699
1527885333,6748,6748
1527886052,6754,6754
1527887252,6755,6755
1527887972,6754,6754
1527888692,6753,6753
1527889412,6755,6755
1527890131,6756,6756
1527891092,6760,6760
1527891812,6759,6759
1527892532,6762,6762
1527894932,6681,6681
1527895652,6619,6619
1527896372,6621,6621
1527897093,6627,6627
1527897812,6629,6629
1527898531,6633,6633
1527899252,6636,6636
1527899971,6626,6626
1527900691,6629,6629
1527901423,6813,6813
1527902192,6814,6814
1527903091,6813,6813
1527903812,6815,6815
1527904531,6813,6813
1527905252,6779,6779
1527906032,6759,6759
1527906692,6767,6767
1527907413,6767,6767
1527908132,6769,6769
1527908851,6771,6771
1527909572,6773,6773
1527910293,6774,6774
1527912751,6781,6781
1527925472,6526,6526
1527925472,6526,6526
1527927873,6527,6527
1527929072,6523,6523
1527930273,6523,6523
1527931231,6521,6521
1527932431,6525,6525
1527932431,6525,6525
1527934593,6515,6515
1527935792,6505,6505
1527935792,6505,6505
1527938433,6619,6619
1527939392,6613,6613
1527940892,6603,6603
1527942093,6591,6591
1527943231,6589,6589
1527944192,6588,6588
1527945392,6582,6582
1527946592,6584,6584
1527947551,6588,6588
1527948512,6602,6602
1527949472,6673,6673
1527950673,6662,6662
1527951872,6661,6661
1527953072,6658,6658
1527954273,6647,6647
1527955772,6640,6640
1527956912,6642,6642
1527958113,6634,6634
1527959072,6644,6644
1527960513,6434,6434
1527961711,4148,4148
1527962913,6435,6435
1527964112,6432,6432
1527965311,3706,3706
1527966452,6595,6595
1527967713,6595,6595
1527968912,6592,6592
1527968912,6592,6592
1527971071,6565,6565
1527972273,6513,6513
1527973232,6505,6505
1527974193,6499,6499
1527975392,2644,2644
1527976592,6493,6493
1527977792,6490,6490
1527977792,6490,6490
1527980192,6474,6474
1527981392,6468,6468
1527982352,6458,6458
1527983465,6458,6458
1527984765,5869,5869
1527985953,6341,6341
1527985953,6341,6341
1527988295,6188,6188
1527990752,6176,6176
1527991733,6178,6178
1527993212,6166,6166
1527994352,6159,6159
1527995552,6160,6160
1527996145,6160,6160
1527996145,6160,6160
1527998867,6153,6153
1528001555,6141,6141
1528001613,6141,6141
1528004193,6182,6182
1528005332,6183,6183
1528006064,6188,6188
1528006773,6184,6184
1528007731,6182,6182
1528008452,6178,6178
1528009171,6180,6180
1528009885,6181,6181
1528010612,6178,6178
1528011332,6176,6176
1528012053,6175,6175
1528012772,6170,6170
1528013492,6173,6173
1528014212,6225,6225
1528014932,6224,6224
1528015712,6226,6226
1528016371,6228,6228
1528017092,6230,6230
1528017813,6234,6234
1528018772,6231,6231
1528019552,6229,6229
1528020212,6228,6228
1528020932,6228,6228
1528021652,6230,6230
15279141527923792,6531,6531
