DateTime,Entries,UniqueIPs
1526976034,11212,11587
1526979863,11216,11590
1526981790,11224,11598
1526983699,11226,11601
1526985641,11234,11609
1526987561,11239,11615
1526989469,11254,11631
1526991395,11260,11637
1526995229,11245,11623
1526997391,11243,11620
1526999549,11238,11616
1527003385,11230,11608
1527005343,11237,11615
1527007213,11231,11608
1527015368,11207,11583
1527017294,11206,11582
1527019225,11204,11578
1527021384,11204,11579
1527027389,11186,11559
1527033130,11174,11546
1527035050,11166,11541
1527036990,11174,11549
1527038911,11168,11543
1527040831,11161,11534
1527042743,11157,11530
1527044670,11152,11526
1527050439,11138,11512
1527054274,11138,11512
1527056200,11128,11503
1527058104,11132,11507
1527060020,11132,11506
1527063870,11130,11505
1527065809,11141,11516
1527067712,11137,11511
1527069646,11137,11511
1527073727,11145,11519
1527075871,11138,11506
1527077801,11138,11504
1527079714,11146,11512
1527081634,11148,11511
1527083548,11143,11505
1527085492,11152,11514
1527089542,11136,11498
1527091459,11138,11499
1527093375,11149,11511
1527095305,11142,11504
1527097465,11143,11505
1527101295,11144,11506
1527103212,11155,11517
1527105145,11145,11507
1527112840,11137,11497
1527117146,11135,11496
1527119064,11143,11506
1527120968,11153,11516
1527122892,11150,11512
1527124819,11139,11500
1527126742,11145,11506
1527128668,11146,11507
1527132510,11150,11511
1527134434,11164,11525
1527136351,11162,11523
1527144030,11150,11511
1527145957,11150,11511
1527150028,11144,11504
1527151971,11143,11503
1527153857,11146,11506
1527155788,11146,11506
1527157710,11143,11503
1527159617,11142,11502
1527161554,11147,11508
1527163480,11153,11513
1527165386,11163,11523
1527167317,11168,11530
1527171378,11169,11531
1527173570,11162,11524
1527175453,11171,11533
1527177387,11174,11536
1527179288,11180,11542
1527181218,11177,11538
1527183139,11182,11543
1527185073,11185,11546
1527187213,11186,11547
1527189137,11193,11554
1527191058,11199,11559
1527192971,11194,11554
1527194894,11198,11558
1527196808,11194,11554
1527198738,11189,11549
1527200652,11194,11555
1527202566,11197,11558
1527204489,11203,11564
1527206659,11207,11568
1527208584,11217,11578
1527210504,11210,11571
1527212412,11213,11574
1527214355,11214,11575
1527216270,11217,11578
1527218184,11218,11579
1527223938,11202,11562
1527225855,11212,11573
1527227784,11210,11570
1527229696,11214,11573
1527231624,11216,11576
1527233537,11210,11569
1527235471,11203,11563
1527239299,11210,11570
1527243137,11209,11569
1527245057,11203,11563
1527246975,11203,11563
1527248895,11203,11561
1527250823,11214,11572
1527253486,11216,11575
1527257315,11220,11579
1527259214,11232,11590
1527261403,11238,11596
1527263293,11250,11608
1527265480,11254,11612
1527267393,11244,11602
1527271231,11242,11600
1527273156,11246,11604
1527275059,11244,11601
1527278897,11235,11591
1527280820,11239,11595
1527282754,11244,11600
1527286575,11252,11608
1527288976,11250,11606
1527288976,11254,11610
1527291914,11263,11617
1527294081,11271,11625
1527296568,11284,11638
1527298628,11275,11626
1527298628,11282,11633
1527303906,11261,11611
1527303906,11270,11620
1527308944,11261,11609
1527308944,11261,11609
1527311828,11254,11600
1527311828,11265,11611
1527314945,11255,11601
1527314945,11255,11601
1527317090,11260,11607
1527317090,11260,11607
1527319025,11257,11604
1527319025,11257,11604
1527321419,11251,11598
1527321419,11251,11598
1527323601,11244,11590
1527323601,11252,11599
1527325987,11238,11584
1527325987,11246,11592
1527327908,11238,11585
1527327908,11241,11588
1527330535,11223,11570
1527330535,11223,11570
1527332711,11228,11570
1527332711,11228,11570
1527335105,11233,11575
1527335105,11235,11577
1527339910,11213,11554
1527339910,11216,11558
1527342067,11224,11566
1527342067,11224,11566
1527344233,11229,11571
1527344233,11229,11571
1527347105,11223,11565
1527349034,11224,11566
1527351456,11231,11572
1527353344,11226,11567
1527353344,11226,11567
1527355995,11225,11566
1527355995,11225,11566
1527358632,11231,11572
1527360544,11246,11588
1527360544,11248,11590
1527363186,11255,11597
1527363186,11255,11597
1527365823,11262,11604
1527365823,11266,11608
1527368712,11268,11610
1527368712,11273,11615
1527371822,11267,11608
1527371822,11274,11616
1527377823,11260,11599
1527377823,11260,11599
1527380474,11270,11610
1527380474,11270,11610
1527383112,11269,11608
1527383112,11278,11618
1527386222,11272,11611
1527386222,11272,11611
1527388617,11274,11613
1527388617,11274,11613
1527391299,11275,11614
