DateTime,AddedIPs,RemovedIPs
1526806332,9,3
1526808271,3,5
1526810172,17,0
1526812090,17,21
1526816202,11,27
1526818096,6,18
1526821960,15,29
1526823853,10,16
1526825783,11,19
1526831554,16,21
1526833464,12,25
1526835385,10,0
1526837309,18,22
1526839225,7,0
1526841146,18,15
1526843073,13,0
1526846916,26,19
1526848827,11,9
1526850755,9,11
1526852668,9,9
1526857968,12,21
1526859865,16,24
1526861782,11,0
1526865623,16,4
1526867540,5,17
1526869456,10,15
1526871383,19,15
1526873318,26,23
1526875258,11,18
1526877140,15,18
1526879072,15,20
1526884818,12,47
1526886751,13,16
1526888663,12,10
1526890575,13,17
1526892505,11,5
1526898260,19,21
1526900197,12,18
1526902093,20,0
1526904056,9,21
1526905949,6,20
1526909784,8,18
1526911719,4,48
1526913629,8,0
1526915554,3,12
1526919393,3,35
1526921297,19,0
1526923224,10,13
1526925147,6,12
1526927558,3,10
1526931619,9,25
1526933551,6,18
1526935720,20,8
1526939542,7,21
1526942312,4,10
1526944115,4,12
1526947961,6,29
1526949870,15,8
1526951793,5,12
1526953708,17,18
1526955643,10,0
1526957802,12,12
1526959941,1,22
1526964023,1,20
1526971945,14,36
1526973876,12,16
1526976034,9,3
1526979863,13,14
1526981790,10,7
1526983699,6,0
1526985641,10,3
1526987561,6,19
1526989469,21,0
1526991395,12,13
1526995229,12,0
1526997391,11,20
1526999549,4,0
1527003385,9,10
1527005343,9,8
1527007213,5,10
1527015368,8,25
1527017294,10,6
1527019225,8,6
1527021384,12,7
1527027389,16,35
1527033130,11,26
1527035050,12,5
1527036990,8,9
1527038911,8,3
1527040831,9,9
1527042743,12,10
1527044670,10,11
1527050439,10,52
1527054274,10,14
1527056200,9,12
1527058104,12,12
1527060020,15,8
1527063870,15,17
1527065809,16,5
1527067712,7,7
1527069646,6,2
1527073727,12,22
1527075871,18,0
1527077801,7,8
1527079714,8,11
1527081634,12,0
1527083548,5,9
1527085492,10,15
1527089542,8,19
1527091459,9,21
1527093375,17,0
1527095305,4,8
1527097465,11,4
1527099379,2,14
1527101295,11,12
1527103212,13,6
1527105145,6,7
1527112840,7,41
1527117146,6,6
1527119064,13,13
1527120968,14,4
1527122892,7,8
1527124819,7,7
1527126742,16,37
1527128668,12,6
1527132510,15,10
