DateTime,AddedIPs,RemovedIPs
1526808271,17,35
1526810172,54,18
1526812090,50,51
1526816202,43,47
1526818096,24,41
1526821960,37,28
1526823853,45,36
1526825783,37,44
1526831554,46,42
1526833464,54,43
1526835385,37,53
1526837309,55,36
1526839225,43,58
1526841146,50,42
1526843073,42,47
1526846916,51,42
1526848827,37,56
1526850755,38,36
1526852668,52,32
1526857968,47,56
1526859865,49,46
1526861782,49,51
1526865623,47,47
1526867540,33,51
1526869456,51,31
1526871383,48,53
1526873318,63,49
1526875258,45,62
1526877140,54,42
1526879072,50,49
1526884818,39,53
1526886751,38,37
1526888663,38,43
1526890575,25,39
1526892505,33,28
1526898260,43,29
1526900197,27,45
1526902093,41,27
1526904056,34,43
1526905949,22,32
1526909784,16,21
1526911719,18,14
1526913629,27,18
1526915554,14,28
1526919393,15,17
1526921297,46,17
1526923224,25,43
1526925147,20,24
1526927558,27,18
1526931619,21,31
1526933551,23,22
1526935720,55,23
1526939542,30,55
1526942312,20,29
1526944115,21,18
1526947961,23,21
1526949870,40,26
1526951793,24,39
1526953708,38,23
1526955643,30,34
1526957802,44,30
1526959941,9,47
1526964023,23,12
1526971945,43,21
1526973876,42,41
1526976034,37,45
1526979863,33,37
1526981790,20,34
1526983699,15,19
1526985641,43,15
1526987561,33,35
1526989469,41,36
1526991395,45,44
1526995229,28,44
1526997391,34,30
1526999549,21,34
1527003385,27,18
1527005343,29,25
1527007213,23,27
1527015368,18,26
1527017294,39,18
1527019225,32,40
1527021384,26,34
1527027389,53,26
1527033130,43,52
1527035050,38,39
1527036990,47,40
1527038911,26,51
1527040831,43,23
1527042743,35,39
1527044670,30,33
1527050439,39,36
1527054274,52,42
1527056200,39,42
1527058104,48,44
1527060020,54,47
1527063870,35,62
1527065809,48,35
1527067712,16,49
1527069646,37,15
1527073727,31,28
1527075871,43,36
1527077801,25,42
1527079714,39,27
1527081634,30,31
1527083548,16,38
1527085492,46,19
1527089542,26,44
1527091459,38,21
1527093375,43,40
1527095305,13,47
1527097465,43,14
1527099379,15,38
1527101295,49,18
1527103212,40,50
1527105145,28,39
1527112840,24,27
1527117146,16,26
1527119064,56,18
1527120968,58,52
1527122892,39,59
1527124819,28,35
1527126742,50,32
1527128668,35,49
1527132510,49,38
1527134434,53,48
1527136351,49,46
1527144030,27,57
1527145957,29,27
1527150028,32,28
1527151971,35,29
1527153857,11,41
1527155788,13,11
1527157710,16,9
1527159617,13,18
1527161554,42,14
1527163480,46,32
1527165386,36,46
1527167317,47,37
1527171378,42,53
1527173570,18,41
1527175453,37,22
1527177387,24,37
1527179288,38,20
1527181218,16,41
1527183139,19,15
1527185073,28,18
1527187213,33,29
1527189137,33,31
1527191058,35,34
1527192971,29,32
1527194894,51,30
1527196808,21,54
1527198738,15,21
1527200652,43,16
1527202566,24,40
1527204489,34,22
1527206659,36,34
1527208584,51,37
1527210504,21,51
1527212412,43,19
1527214355,28,45
1527216270,39,28
1527218184,32,38
1527223938,30,37
1527225855,43,30
1527227784,29,42
1527229696,41,27
1527231624,46,43
1527233537,45,41
1527235471,39,43
1527239299,39,44
1527241217,7,43
1527243137,5,8
1527245057,12,5
1527246975,20,11
1527248895,26,17
1527250823,39,24
1527253486,25,37
1527257315,39,25
1527259214,50,39
1527261403,27,52
1527263293,43,30
1527265480,48,43
1527267393,23,45
1527271231,20,26
1527273156,25,18
1527275059,26,27
1527278897,43,24
1527280820,30,44
1527282754,41,29
1527286575,59,40
1527288976,20,60
1527291914,53,23
1527294081,46,0
1527296568,45,39
1527298628,48,46
1527303906,40,43
1527308944,40,45
1527311828,53,0
1527314945,35,46
1527317090,43,34
1527319025,38,43
1527321419,35,38
1527323601,29,37
1527325987,11,33
1527327908,11,12
1527330535,15,10
1527332711,57,15
1527335105,46,51
1527339910,21,51
1527342067,46,16
1527344233,35,43
1527347105,25,39
1527349034,37,20
1527351456,48,38
1527353344,51,51
1527355995,46,52
1527358632,32,47
1527360544,46,33
1527363186,32,49
1527365823,51,28
1527368712,59,49
1527371822,36,59
1527377823,50,35
1527380474,36,51
1527383112,51,38
1527386222,51,50
1527388617,52,50
1527391299,44,51
1527393422,38,41
1527395594,49,40
1527397502,53,48
1527399654,59,59
1527403471,36,50
1527405368,35,38
1527407296,48,37
1527409224,31,54
1527413053,9,31
1527414987,7,12
1527416907,15,7
1527418830,49,12
1527420751,47,41
1527422716,42,46
1527424572,43,43
1527426493,33,45
1527428424,33,37
1527432252,41,35
1527434192,39,34
1527436089,36,41
1527438026,28,38
