DateTime,Entries,UniqueIPs
1527469247,203471,203471
1527470172,203477,203477
1527471156,203443,203443
1527472094,203466,203466
1527473078,203414,203414
1527474012,203406,203406
1527474999,203421,203421
1527475936,203409,203409
1527476895,203414,203414
1527477874,203390,203390
1527478813,203379,203379
1527479769,203355,203355
1527480739,203356,203356
1527481690,203323,203323
1527482699,203299,203299
1527483632,203293,203293
1527484579,203316,203316
1527485558,203263,203263
1527486496,203246,203246
1527487721,203240,203240
1527488675,203241,203241
1527489612,203247,203247
1527490590,203227,203227
1527491537,203235,203235
1527492489,203205,203205
1527493495,203224,203224
1527494421,203184,203184
1527495379,203204,203204
1527496356,203186,203186
1527497292,203200,203200
1527498278,203194,203194
1527499243,203223,203223
1527500170,203218,203218
1527501142,203179,203179
1527502113,203186,203186
1527503072,203164,203164
1527504012,203178,203178
1527504990,203171,203171
1527505936,203178,203178
1527506894,203179,203179
1527507898,203194,203194
1527508859,203159,203159
1527509774,203193,203193
1527510756,203166,203166
1527511698,203178,203178
1527512661,203168,203168
1527513627,203193,203193
1527514568,203167,203167
1527515547,203192,203192
1527516512,203175,203175
1527517454,203203,203203
1527518411,203203,203203
1527519388,203139,203139
1527520335,203179,203179
1527521286,203162,203162
1527522295,203168,203168
1527523243,203136,203136
1527524204,203117,203117
1527525139,203053,203053
1527526097,203038,203038
1527527078,203073,203073
1527528011,203071,203071
1527528976,203048,203048
1527529955,203047,203047
1527530899,203009,203009
1527531867,203016,203016
1527532815,202998,202998
1527533790,203005,203005
1527534739,202987,202987
1527535689,202994,202994
1527536676,202939,202939
1527537617,202931,202931
1527538575,202962,202962
1527539561,202935,202935
1527541734,202892,202892
1527542697,202854,202854
1527543619,202825,202825
1527544574,202827,202827
1527545561,202175,202175
1527546491,202172,202172
1527547465,202108,202108
1527548418,202157,202157
1527549382,202163,202163
1527550336,202180,202180
1527551319,202149,202149
1527552257,202180,202180
1527553216,202163,202163
1527554195,202159,202159
1527555138,202177,202177
1527556095,202179,202179
1527557079,202156,202156
1527558015,202186,202186
1527558974,202199,202199
1527559956,202152,202152
1527560895,202195,202195
1527561857,202175,202175
1527562836,202166,202166
1527563772,202190,202190
1527564754,202184,202184
1527565691,202217,202217
1527566666,202224,202224
1527567613,202260,202260
1527568595,202256,202256
1527569539,202240,202240
1527570516,202225,202225
1527571457,202264,202264
1527572422,202261,202261
1527573391,202240,202240
1527574348,202253,202253
1527575295,202264,202264
1527576293,202278,202278
1527577224,202291,202291
1527578180,202299,202299
1527579158,202302,202302
1527580098,202315,202315
1527581057,202336,202336
1527582053,202342,202342
1527582974,202329,202329
1527583938,202349,202349
1527584920,202350,202350
1527585875,202360,202360
1527586813,202397,202397
1527587804,202405,202405
1527588736,202434,202434
1527589698,202436,202436
1527590674,202425,202425
1527591646,202420,202420
1527592590,202451,202451
1527593545,202448,202448
1527594496,202453,202453
1527595476,202472,202472
1527596427,202513,202513
1527597377,202527,202527
1527598347,202570,202570
1527599304,202662,202662
1527600268,202782,202782
1527601230,202880,202880
1527602176,202899,202899
1527603144,202900,202900
1527604105,202871,202871
1527605072,202839,202839
1527606043,202848,202848
1527606991,202805,202805
1527607936,202809,202809
1527608903,202746,202746
1527609872,202774,202774
1527610838,202781,202781
1527611798,202778,202778
1527613492,202828,202828
1527614415,202913,202913
1527615395,202926,202926
1527616333,202967,202967
1527617306,202963,202963
1527618266,203016,203016
1527619257,202993,202993
1527620174,203030,203030
1527621140,203029,203029
1527622105,203056,203056
1527623107,203078,203078
1527624018,203102,203102
1527624983,203129,203129
1527625972,203129,203129
