DateTime,Entries,UniqueIPs
1527526097,3634,3634
1527527078,3606,3606
1527528011,3621,3621
1527528976,3610,3610
1527529955,3602,3602
1527530899,3620,3620
1527531867,3625,3625
1527532815,3635,3635
1527533790,3618,3618
1527534739,3628,3628
1527535689,3622,3622
1527536676,3626,3626
1527537617,3608,3608
1527538575,3593,3593
1527539561,3596,3596
1527541734,3594,3594
1527542697,3589,3589
1527543619,3621,3621
1527544574,3632,3632
1527545561,3562,3562
1527546491,3567,3567
1527547465,3559,3559
1527548418,3515,3515
1527549382,3506,3506
1527550336,3494,3494
1527551319,3510,3510
1527552257,3518,3518
1527553216,3519,3519
1527554195,3507,3507
1527555138,3509,3509
1527556095,3492,3492
1527557079,3514,3514
1527558015,3500,3500
1527558974,3513,3513
1527559956,3521,3521
1527560895,3529,3529
1527561857,3533,3533
1527562836,3517,3517
1527563772,3543,3543
1527564754,3539,3539
1527565691,3565,3565
1527566666,3553,3553
1527567613,3563,3563
1527568595,3588,3588
1527569539,3584,3584
1527570516,3604,3604
1527571457,3614,3614
1527572422,3618,3618
1527573391,3622,3622
1527574348,3651,3651
1527575295,3657,3657
1527576293,3676,3676
1527577224,3670,3670
1527578180,3680,3680
1527579158,3680,3680
1527580098,3668,3668
1527581057,3677,3677
1527582053,3711,3711
1527582974,3730,3730
1527583938,3727,3727
1527584920,3784,3784
1527585875,3788,3788
1527586813,3754,3754
1527587804,3757,3757
1527588736,3774,3774
1527589698,3794,3794
1527590674,3789,3789
1527591646,3780,3780
1527592590,3755,3755
1527593545,3739,3739
1527594496,3741,3741
1527595476,3729,3729
1527596427,3721,3721
1527597377,3716,3716
1527598347,3677,3677
1527599304,3667,3667
1527600268,3756,3756
1527601230,3782,3782
1527602176,3845,3845
1527603144,3883,3883
1527604105,3884,3884
1527605072,3901,3901
1527606043,3912,3912
1527606991,3923,3923
1527607936,3931,3931
1527608903,3945,3945
1527609872,3943,3943
1527610838,3957,3957
1527611798,3990,3990
1527613492,3961,3961
1527614415,3915,3915
1527615395,3905,3905
1527616333,3926,3926
1527617306,3968,3968
1527618266,3982,3982
1527619257,3954,3954
1527620174,3939,3939
1527621140,3908,3908
1527622105,3948,3948
1527623107,3957,3957
1527624018,3884,3884
1527624983,3885,3885
1527625972,3919,3919
1527626912,3930,3930
1527627859,3929,3929
1527628835,3924,3924
1527629789,3989,3989
1527630736,4056,4056
1527631714,4027,4027
1527632670,4004,4004
1527633612,4028,4028
1527634604,4011,4011
1527635549,4017,4017
1527636499,4005,4005
1527637477,4030,4030
1527638440,4070,4070
1527639376,4078,4078
1527640367,4051,4051
1527641293,4087,4087
1527642261,4062,4062
1527643211,4088,4088
1527644210,4108,4108
1527645137,4094,4094
1527646099,4098,4098
1527647079,4094,4094
1527648017,4084,4084
1527648987,4100,4100
1527649978,4112,4112
1527650892,4102,4102
1527651861,4085,4085
1527652829,4078,4078
