DateTime,AddedIPs,RemovedIPs
1527496355,17,23
1527497290,21,15
1527498277,15,23
1527499241,35,8
1527500169,31,29
1527501140,28,11
1527502111,22,28
1527503070,31,23
1527504010,18,20
1527504988,23,24
1527505933,29,15
1527506893,17,19
1527507896,19,30
1527508857,22,21
1527509773,10,12
1527510754,15,24
1527511696,16,15
1527512660,12,29
1527513625,21,12
1527514567,20,22
1527515545,17,11
1527516510,23,27
1527517452,17,18
1527518409,13,17
1527519386,14,21
1527520333,16,16
1527521285,22,23
1527522293,15,21
1527523242,7,17
1527524202,18,9
1527525138,22,24
1527526095,16,18
1527527076,21,18
1527528009,30,12
1527528974,19,27
1527529954,14,12
1527530897,24,16
1527531865,20,17
1527532813,13,8
1527533788,23,27
1527534737,19,10
1527535687,18,28
1527536673,18,13
1527537616,9,22
1527538574,17,22
1527539560,22,18
1527541732,32,42
1527542695,16,26
1527543617,21,21
1527544573,8,15
1527545558,16,42
1527546490,24,23
1527547463,8,14
1527548416,21,42
1527549380,18,13
1527550335,22,35
1527551317,21,19
1527552255,27,27
1527553215,34,31
1527554192,30,40
1527555136,19,19
1527556093,38,51
1527557078,37,24
1527558014,31,38
1527558973,34,14
1527559954,45,45
1527560893,31,8
1527561855,31,29
1527562834,24,25
1527563771,36,25
1527564752,24,28
1527565690,37,23
1527566664,35,32
1527567611,34,21
1527568593,34,19
1527569534,19,15
1527570515,43,26
1527571456,23,4
1527572420,22,22
1527573390,28,19
1527574346,32,18
1527575291,22,8
1527576291,42,25
1527577222,22,27
1527578179,32,25
1527579156,28,18
1527580096,15,20
1527581056,49,28
1527582052,40,19
1527582972,21,16
1527583936,22,21
1527584918,45,18
1527585873,23,24
1527586811,32,25
1527587797,21,18
1527588735,37,24
1527589696,22,10
1527590673,24,26
1527591644,12,18
1527592589,1,16
1527593543,1,23
1527594494,1,7
1527595475,2,11
1527596426,6,20
1527597375,1,17
1527598345,0,12
1527599302,69,22
1527600266,92,26
1527601228,49,18
1527602174,20,15
1527603142,42,15
1527604104,12,15
1527605070,33,27
1527606042,33,21
1527606990,18,12
1527607934,18,15
1527608901,29,12
1527609869,36,14
1527610836,31,32
1527611796,48,20
1527613490,43,48
1527614414,19,19
1527615393,19,20
1527616331,12,6
1527617305,20,18
1527618265,19,12
1527619256,17,21
1527620173,15,7
1527621138,22,12
1527622103,18,16
1527623105,18,12
1527624016,1,22
1527624982,27,9
1527625970,24,26
1527626910,21,20
1527627857,22,16
1527628832,12,17
1527629787,27,17
1527630735,10,10
1527631712,21,18
1527632668,10,29
1527633610,31,10
1527634602,14,20
1527635548,30,21
1527636497,11,22
1527637475,56,33
1527638438,57,33
1527639374,44,28
1527640365,2,33
1527641291,61,24
1527642260,22,47
1527643208,59,33
1527644208,66,55
1527645136,27,35
1527646097,42,33
1527647077,67,45
1527648016,21,25
1527648986,17,16
1527649976,45,37
