DateTime,Entries,UniqueIPs
1527495377,1661,1661
1527496355,1655,1655
1527497290,1661,1661
1527498277,1653,1653
1527499241,1680,1680
1527500169,1682,1682
1527501140,1699,1699
1527502111,1693,1693
1527503070,1701,1701
1527504010,1699,1699
1527504988,1698,1698
1527505933,1712,1712
1527506893,1710,1710
1527507896,1699,1699
1527508857,1700,1700
1527509773,1698,1698
1527510754,1689,1689
1527511696,1690,1690
1527512660,1673,1673
1527513625,1682,1682
1527514567,1680,1680
1527515545,1686,1686
1527516510,1682,1682
1527517452,1681,1681
1527518409,1677,1677
1527519386,1670,1670
1527520333,1670,1670
1527521285,1669,1669
1527522293,1663,1663
1527523242,1653,1653
1527524202,1662,1662
1527525138,1660,1660
1527526095,1658,1658
1527527076,1661,1661
1527528009,1679,1679
1527528974,1671,1671
1527529954,1673,1673
1527530897,1681,1681
1527531865,1684,1684
1527532813,1689,1689
1527533788,1685,1685
1527534737,1694,1694
1527535687,1684,1684
1527536673,1689,1689
1527537616,1676,1676
1527538574,1671,1671
1527539560,1675,1675
1527541732,1665,1665
1527542695,1655,1655
1527543617,1655,1655
1527544573,1648,1648
1527545558,1622,1622
1527546490,1623,1623
1527547463,1617,1617
1527548416,1596,1596
1527549380,1601,1601
1527550335,1588,1588
1527551317,1590,1590
1527552255,1590,1590
1527553215,1593,1593
1527554192,1583,1583
1527555136,1583,1583
1527556093,1570,1570
1527557078,1583,1583
1527558014,1576,1576
1527558973,1596,1596
1527559954,1596,1596
1527560893,1619,1619
1527561855,1621,1621
1527562834,1620,1620
1527563771,1631,1631
1527564752,1627,1627
1527565690,1641,1641
1527566664,1644,1644
1527567611,1657,1657
1527568593,1672,1672
1527569534,1676,1676
1527570515,1693,1693
1527571456,1712,1712
1527572420,1712,1712
1527573390,1721,1721
1527574346,1735,1735
1527575291,1749,1749
1527576291,1766,1766
1527577222,1761,1761
1527578179,1768,1768
1527579156,1778,1778
1527580096,1773,1773
1527581056,1794,1794
1527582052,1815,1815
1527582972,1820,1820
1527583936,1821,1821
1527584918,1848,1848
1527585873,1847,1847
1527586811,1854,1854
1527587797,1857,1857
1527588735,1870,1870
1527589696,1882,1882
1527590673,1880,1880
1527591644,1874,1874
1527592589,1859,1859
1527593543,1837,1837
1527594494,1831,1831
1527595475,1822,1822
1527596426,1808,1808
1527597375,1792,1792
1527598345,1780,1780
1527599302,1827,1827
1527600266,1893,1893
1527601228,1924,1924
1527602174,1929,1929
1527603142,1956,1956
1527604104,1953,1953
1527605070,1959,1959
1527606042,1971,1971
1527606990,1977,1977
1527607934,1980,1980
1527608901,1997,1997
1527609869,2019,2019
1527610836,2018,2018
1527611796,2046,2046
1527613490,2041,2041
1527614414,2041,2041
1527615393,2040,2040
1527616331,2046,2046
1527617305,2048,2048
1527618265,2055,2055
1527619256,2051,2051
1527620173,2059,2059
1527621138,2069,2069
1527622103,2071,2071
1527623105,2077,2077
1527624016,2056,2056
1527624982,2074,2074
1527625970,2072,2072
1527626910,2073,2073
1527627857,2079,2079
1527628832,2074,2074
1527629787,2084,2084
1527630735,2084,2084
1527631712,2087,2087
1527632668,2068,2068
1527633610,2089,2089
1527634602,2083,2083
1527635548,2092,2092
1527636497,2081,2081
1527637475,2104,2104
1527638438,2128,2128
1527639374,2144,2144
1527640365,2113,2113
1527641291,2150,2150
1527642260,2125,2125
1527643208,2151,2151
1527644208,2162,2162
1527645136,2154,2154
1527646097,2163,2163
1527647077,2185,2185
1527648016,2181,2181
1527648986,2182,2182
1527649976,2190,2190
1527650890,2177,2177
1527651860,2177,2177
1527652827,2179,2179
1527653778,2176,2176
1527654751,2137,2137
1527655696,2122,2122
1527656655,2149,2149
1527657635,2161,2161
1527658597,2159,2159
1527659539,2162,2162
1527660501,2158,2158
1527661475,2146,2146
1527662411,2139,2139
1527663380,2137,2137
1527664353,2137,2137
1527665298,2131,2131
1527666253,2157,2157
1527667275,2134,2134
1527668420,2130,2130
1527669374,2137,2137
1527670329,2132,2132
1527671307,2123,2123
1527672254,2116,2116
1527673210,2118,2118
1527674176,2100,2100
1527675155,2087,2087
1527676099,2077,2077
1527677073,2072,2072
1527678024,2064,2064
1527678982,2122,2122
1527680927,2151,2151
1527681860,2158,2158
1527682850,2192,2192
1527683770,2201,2201
1527684758,2233,2233
1527685693,2199,2199
1527686658,2138,2138
1527687609,2103,2103
1527688609,2070,2070
1527689535,2080,2080
1527690493,2101,2101
1527691490,2089,2089
1527692432,2073,2073
1527693371,2066,2066
1527694358,2059,2059
1527695308,2056,2056
1527696264,2037,2037
1527697211,2031,2031
1527698203,2040,2040
1527699135,2028,2028
1527700370,2034,2034
1527701288,2026,2026
1527702264,2037,2037
1527703220,2035,2035
1527704199,2029,2029
1527705135,2029,2029
