DateTime,AddedIPs,RemovedIPs
1527511698,178,119
1527512661,235,234
1527513627,196,796
1527514568,239,120
1527515547,175,203
1527516512,195,226
1527517454,187,207
1527518411,171,162
1527519388,206,214
1527520335,163,105
1527521286,174,238
1527522295,186,183
1527523243,256,181
1527524204,389,214
1527525139,268,189
1527526097,138,167
1527527078,493,173
1527528011,223,148
1527528976,186,151
1527529955,135,189
1527530899,204,123
1527531867,186,231
1527532815,110,170
1527533790,166,216
1527534739,227,110
1527535689,189,312
1527536676,135,178
1527537617,239,172
1527538575,237,156
1527539561,156,197
1527541734,413,385
1527542697,441,244
1527543619,645,149
1527544574,667,1602
1527545561,532,622
1527546491,183,0
1527547465,146,0
1527548418,210,259
1527549382,162,71
1527550336,176,409
1527551319,141,152
1527552257,140,184
1527553216,150,274
1527554195,170,147
1527555138,124,140
1527556095,187,197
1527557079,194,168
1527558015,188,139
1527558974,148,214
1527559956,152,154
1527560895,205,223
1527561857,117,218
1527562836,193,156
1527563772,186,142
1527564754,209,229
1527565691,176,199
1527566666,260,163
1527567613,158,193
1527568595,207,241
1527569539,146,130
1527570516,180,201
1527571457,184,166
1527572422,166,163
1527573391,149,240
1527574348,212,132
1527575295,171,220
1527576293,190,134
1527577224,254,179
1527578180,228,54
1527579158,196,232
1527580098,156,191
1527581057,239,167
1527582053,328,188
1527582974,211,177
1527583938,198,211
1527584920,232,175
1527585875,215,239
1527586813,407,152
1527587804,257,233
1527588736,239,100
1527589698,263,282
1527590674,84,298
1527591646,147,245
1527592590,270,170
1527593545,218,215
1527594496,192,129
1527595476,247,238
1527596427,247,213
1527597377,335,175
1527598347,357,206
1527599304,442,158
1527600268,547,224
1527601230,596,152
1527602176,287,194
1527603144,65,158
1527604105,47,176
1527605072,55,204
1527606043,53,139
1527606991,29,130
1527607936,41,167
1527608903,48,150
1527609872,181,183
1527610838,328,103
1527611798,319,65
1527613492,368,916
1527614415,330,129
1527615395,199,96
1527616333,280,0
1527617306,282,450
1527618266,254,0
1527619257,194,226
1527620174,157,0
1527621140,249,289
1527622105,320,107
1527623107,311,222
1527624018,231,208
1527624983,201,148
1527625972,262,310
1527626912,248,0
1527627859,273,0
1527628835,320,211
1527629789,663,141
1527630736,989,185
1527631714,540,1659
1527632670,226,117
1527633612,179,121
1527634604,73,260
1527635549,165,94
1527636499,245,162
1527637477,260,122
1527638440,175,139
1527639376,203,123
1527640367,157,114
1527641293,185,99
1527642261,161,108
1527643211,140,128
1527644210,190,108
1527645137,115,104
1527646099,145,144
1527647079,163,178
1527648017,151,82
1527648987,109,127
1527649978,237,126
1527650892,20,122
1527651861,160,142
1527652829,117,262
1527653779,210,117
1527654753,190,126
1527655699,236,140
1527656656,127,126
1527657636,205,131
1527658599,249,106
1527659541,113,168
1527660502,217,152
1527661476,138,112
1527662413,55,166
1527663381,220,311
1527664355,238,214
1527665299,75,202
1527666255,62,191
1527667277,177,253
1527668422,257,206
1527669375,259,506
1527670330,137,0
1527671309,206,222
1527672256,136,208
1527673212,174,760
1527674178,180,261
1527675157,229,375
1527676102,132,81
1527677075,332,168
1527678026,34,0
1527678983,274,283
1527680929,427,594
1527681861,184,0
1527682851,319,549
1527683772,183,0
1527684760,223,673
1527685695,77,0
1527686660,206,414
1527687611,312,390
1527688611,65,283
1527689536,256,0
1527690495,175,32
1527691492,180,45
1527692433,75,0
1527693373,329,12
1527694360,40,33
1527695309,277,176
1527696265,77,0
1527697212,222,219
1527698205,287,808
1527699136,127,0
1527700371,306,234
1527701290,208,191
1527702266,252,213
1527703222,149,243
1527704200,218,206
1527705136,130,248
1527706113,221,211
1527707064,169,290
1527708022,174,462
1527708989,228,416
1527709936,129,345
1527710895,241,260
1527711880,104,336
1527712812,249,262
1527713777,225,369
1527714763,287,466
1527715717,671,372
1527716676,646,322
1527717662,168,1634
1527718585,603,214
1527720162,349,258
1527721239,91,213
1527722179,315,267
1527723162,162,282
1527724094,245,185
1527725055,225,170
1527726042,156,193
1527726972,180,169
1527727945,141,202
1527728899,210,159
1527729855,375,199
1527730813,167,112
1527731809,226,143
1527732737,266,169
1527733695,169,195
1527734670,214,151
1527735621,127,295
1527736571,217,27
1527737559,35,123
1527738494,310,69
1527739474,247,265
1527740413,123,253
1527741381,11,309
1527742348,278,118
1527743297,274,241
1527744259,78,259
1527745215,230,119
1527746183,95,231
1527747161,251,140
1527748125,105,54
1527749070,289,302
1527750030,263,289
1527750986,273,64
1527751944,226,9
1527752900,173,182
1527753871,170,359
1527754814,156,0
1527755781,164,393
1527756759,149,185
1527757698,142,0
1527758660,127,405
1527759614,105,213
1527760590,123,233
1527761548,126,0
1527762509,106,475
1527763485,103,36
1527764431,120,311
1527765376,93,0
1527766356,97,543
1527767296,98,0
1527768266,79,479
1527769236,94,0
1527770181,89,585
1527771155,79,0
1527772101,81,416
1527773052,86,0
1527774036,64,481
1527774976,68,0
1527775941,65,564
1527776890,68,0
1527778239,63,339
1527779299,41,523
1527780279,50,30
1527781218,63,384
1527782175,50,70
1527783152,41,374
1527784091,73,400
1527785061,47,165
1527786527,81,497
1527787460,49,318
1527788417,58,331
1527789407,61,203
1527790486,68,380
1527791556,51,573
1527792493,50,0
1527793465,182,587
1527794412,79,0
1527795389,69,354
1527796336,84,186
1527797302,58,542
1527798278,49,0
1527799219,62,732
1527800176,56,0
1527801160,69,320
1527802093,77,266
1527803062,70,266
1527804038,54,100
1527804977,58,1793
1527805996,61,603
1527806901,58,88
1527807864,79,605
1527809812,86,661
1527810752,45,393
1527811703,74,319
1527812668,96,385
1527813620,80,236
1527814586,76,424
1527815551,75,421
1527816490,79,332
1527817487,66,492
1527818421,69,645
1527819382,75,390
1527820335,79,450
1527821320,67,341
1527822257,85,478
1527823216,58,25
1527824180,87,733
1527825159,77,533
1527826094,58,327
1527827065,77,14
1527828015,95,755
1527829006,67,781
1527829942,44,209
1527830902,102,659
1527831866,90,230
1527832838,118,701
1527833776,109,285
1527834765,115,734
1527835695,72,1323
1527836662,118,109
1527837620,79,77
1527838596,118,86
1527839540,108,140
1527840514,12,146
1527841459,17,92
1527842445,20,108
1527843395,16,137
1527844356,9,98
1527845292,19,109
1527846297,42,120
1527847230,62,125
1527848183,73,91
1527849155,70,144
1527850105,79,129
1527851059,40,108
1527852034,47,86
1527852979,36,130
1527853942,56,111
1527854913,91,120
1527855861,103,127
1527856813,101,115
1527857796,124,122
1527858744,105,118
1527859695,109,119
1527860666,112,92
1527861634,122,120
1527862576,145,106
1527863558,114,82
1527864495,128,0
1527865462,128,114
1527866412,123,94
1527867397,129,81
1527868334,133,104
1527869337,85,90
1527870274,110,75
1527871221,112,88
1527872176,122,99
1527873385,86,120
1527874335,100,103
1527875313,129,96
1527876265,117,96
1527877222,140,91
1527878194,128,86
1527879135,102,96
1527880098,101,205
1527881075,132,118
1527882017,103,92
1527882987,156,126
1527883955,127,93
1527884898,119,98
1527885858,114,110
1527886845,111,114
1527887775,136,106
1527888758,98,127
1527889692,104,104
1527890677,90,74
1527891617,117,67
1527892894,90,84
1527894537,123,203
1527895938,128,0
1527896915,131,109
1527897875,131,71
1527898811,139,112
1527899775,148,115
1527900745,127,106
1527901697,117,111
1527902662,113,82
1527903613,126,108
1527904583,90,111
1527905539,133,76
1527906492,103,96
1527907473,108,81
1527908420,93,61
1527909372,111,94
1527910355,133,88
1527911292,95,109
1527912259,0,83
1527914998,116,263
1527917185,115,148
1527919657,131,335
1527922030,140,228
1527923888,130,208
1527925551,121,203
1527926525,0,11
1527927951,140,43
1527929158,132,25
1527930355,121,22
1527931321,108,16
1527932526,135,49
1527933738,146,111
1527934684,113,39
1527935871,106,39
1527937336,105,34
1527938528,128,83
1527939469,101,64
1527940961,89,70
1527942156,134,95
1527943320,127,223
1527944269,120,138
1527945489,121,140
1527946668,117,155
1527947643,136,154
1527948601,94,113
1527949574,0,130
1527950755,110,99
1527951972,136,239
1527953155,123,133
1527954364,141,120
1527955874,139,215
1527956996,132,102
1527958155,95,144
1527959120,109,128
1527960655,116,100
1527961751,134,242
1527962977,91,128
1527964158,0,124
1527965349,116,113
1527966560,108,205
1527967759,111,115
1527968961,104,118
1527970153,112,135
1527971122,0,119
1527972316,139,228
1527973284,107,118
1527974244,101,130
1527975446,84,96
1527976634,89,120
1527977851,111,110
1527979030,108,143
1527980235,104,100
1527981442,0,0
1527982437,91,122
1527983598,116,122
1527984801,104,125
1527986002,127,123
1527987184,119,239
1527988395,94,135
1527989606,0,0
1527990794,0,0
1527992010,98,223
1527993258,140,97
1527994485,111,58
1527995598,107,109
1527996844,0,212
1527997983,129,94
1527999228,51,0
1528000409,47,117
1528001608,67,139
1528002811,0,0
1528004256,57,112
1528005398,41,0
1528006336,36,124
1528007351,47,0
1528008508,25,107
1528009452,38,0
1528010409,46,135
1528011384,34,0
1528012328,53,126
1528013292,47,131
1528014267,46,0
1528015211,46,134
1528016168,47,128
1528017154,53,127
1528018087,64,87
1528019057,57,142
1528020020,51,0
1528020983,59,135
