DateTime,Entries,UniqueIPs
1527512661,33550,37089
1527513627,33247,36489
1527514568,33341,36608
1527515547,33308,36580
1527516512,33296,36549
1527517454,33282,36529
1527518411,33304,36538
1527519388,33299,36530
1527520335,33352,36588
1527521286,33311,36524
1527522295,33348,36527
1527523243,33389,36602
1527524204,33455,36777
1527525139,33412,36856
1527526097,33359,36827
1527527078,33620,37147
1527528011,33652,37222
1527528976,33672,37257
1527529955,33621,37203
1527530899,33685,37284
1527531867,33673,37239
1527532815,33630,37179
1527533790,33594,37129
1527534739,33681,37246
1527535689,33572,37123
1527536676,33554,37080
1527537617,33613,37147
1527538575,33689,37228
1527539561,33651,37187
1527541734,33671,37215
1527542697,33877,37412
1527543619,34384,37908
1527544574,33477,36973
1527545561,33380,36883
1527546491,33533,37066
1527547465,33658,37212
1527548418,33656,37163
1527549382,33743,37254
1527550336,33557,37021
1527551319,33539,37010
1527552257,33495,36966
1527553216,33387,36842
1527554195,33404,36865
1527555138,33402,36849
1527556095,33389,36839
1527557079,33411,36865
1527558015,33450,36914
1527558974,33389,36848
1527559956,33390,36846
1527560895,33365,36828
1527561857,33280,36727
1527562836,33317,36764
1527563772,33339,36808
1527564754,33300,36788
1527565691,33273,36765
1527566666,33342,36862
1527567613,33294,36827
1527568595,33280,36793
1527569539,33281,36809
1527570516,33262,36788
1527571457,33306,36806
1527572422,33299,36809
1527573391,33230,36718
1527574348,33289,36798
1527575295,33247,36749
1527576293,33308,36805
1527577224,33369,36880
1527578180,33516,37054
1527579158,33473,37018
1527580098,33435,36983
1527581057,33488,37055
1527582053,33610,37195
1527582974,33638,37229
1527583938,33619,37216
1527584920,33615,37273
1527585875,33547,37249
1527586813,33792,37504
1527587804,33813,37528
1527588736,33924,37667
1527589698,33896,37648
1527590674,33723,37434
1527591646,33642,37336
1527592590,33723,37436
1527593545,33747,37439
1527594496,33811,37502
1527595476,33844,37511
1527596427,33873,37545
1527597377,34005,37705
1527598347,34153,37856
1527599304,34425,38140
1527600268,34702,38463
1527601230,35089,38907
1527602176,35181,39000
1527603144,35107,38907
1527604105,34993,38778
1527605072,34871,38629
1527606043,34801,38543
1527606991,34705,38442
1527607936,34596,38316
1527608903,34503,38214
1527609872,34493,38212
1527610838,34669,38437
1527611798,34878,38691
1527613492,34696,38143
1527614415,34873,38344
1527615395,34967,38447
1527616333,35216,38727
1527617306,35108,38559
1527618266,35321,38813
1527619257,35283,38781
1527620174,35416,38938
1527621140,35388,38898
1527622105,35559,39111
1527623107,35650,39200
1527624018,35678,39223
1527624983,35726,39276
1527625972,35695,39228
1527626912,35907,39476
1527627859,36147,39749
1527628835,36256,39858
1527629789,36749,40380
1527630736,37572,41184
1527631714,36414,40065
1527632670,36516,40174
1527633612,36557,40232
1527634604,36433,40045
1527635549,36504,40116
1527636499,36584,40199
1527637477,36697,40337
1527638440,36726,40373
1527639376,36785,40453
1527640367,36820,40496
1527641293,36903,40582
1527642261,36948,40635
1527643211,36965,40647
1527644210,37043,40729
1527645137,37073,40740
1527646099,37080,40741
1527647079,37076,40726
1527648017,37131,40795
1527648987,37102,40777
1527649978,37211,40888
1527650892,37131,40786
1527651861,37146,40804
1527652829,37035,40659
1527653779,37123,40752
1527654753,37182,40816
1527655699,37251,40912
1527656656,37256,40913
1527657636,37317,40987
1527658599,37436,41130
1527659541,37403,41075
1527660502,37459,41140
1527661476,37471,41166
1527662413,37379,41055
1527663381,37300,40964
1527664355,37310,40988
1527665299,37212,40861
1527666255,37111,40732
1527667277,37059,40656
1527668422,37117,40707
1527669375,36925,40460
1527670330,37043,40597
1527671309,37024,40581
1527672256,36960,40509
1527673212,36539,39923
1527674178,36479,39842
1527675157,36362,39696
1527676102,36402,39747
1527677075,36541,39911
1527678026,36568,39945
1527678983,36568,39936
1527680929,36437,39769
1527681861,36583,39953
1527682851,36381,39723
1527683772,36541,39906
1527684760,36141,39456
1527685695,36202,39533
1527686660,36007,39325
1527687611,35933,39247
1527688611,35745,39029
1527689536,35974,39285
1527690495,36082,39428
1527691492,36198,39563
1527692433,36262,39638
1527693373,36529,39955
1527694360,36530,39962
1527695309,36632,40063
1527696265,36701,40140
1527697212,36709,40143
1527698205,36267,39622
1527699136,36368,39749
1527700371,36443,39821
1527701290,36466,39838
1527702266,36504,39877
1527703222,36436,39783
1527704200,36451,39795
1527705136,36361,39677
1527706113,36369,39687
1527707064,36263,39566
1527708022,35988,39278
1527708989,35820,39090
1527709936,35623,38874
1527710895,35610,38855
1527711880,35397,38623
1527712812,35388,38610
1527713777,35275,38466
1527714763,35151,38287
1527715717,35480,38586
1527716676,35841,38910
1527717662,34415,37444
1527718585,34776,37833
1527720162,34842,37924
1527721239,34745,37802
1527722179,34798,37850
1527723162,34711,37730
1527724094,34757,37790
1527725055,34790,37845
1527726042,34774,37808
1527726972,34779,37819
1527727945,34734,37758
1527728899,34769,37809
1527729855,34855,37985
1527730813,34896,38040
1527731809,34959,38123
1527732737,35041,38220
1527733695,35004,38194
1527734670,35063,38257
1527735621,34906,38089
1527736571,35072,38279
1527737559,34994,38191
1527738494,35194,38432
1527739474,35173,38414
1527740413,35067,38284
1527741381,34807,37986
1527742348,34964,38146
1527743297,34992,38179
1527744259,34836,37998
1527745215,34940,38109
1527746183,34831,37973
1527747161,34930,38084
1527748125,34971,38135
1527749070,34957,38122
1527750030,34948,38096
1527750986,35155,38305
1527751944,35359,38522
1527752900,35369,38513
1527753871,35213,38324
1527754814,35360,38480
1527755781,35182,38251
1527756759,35173,38215
1527757698,35300,38357
1527758660,35065,38079
1527759614,34972,37971
1527760590,34890,37861
1527761548,35001,37987
1527762509,34688,37618
1527763485,34744,37685
1527764431,34579,37494
1527765376,34662,37587
1527766356,34277,37141
1527767296,34367,37239
1527768266,34007,36839
1527769236,34093,36933
1527770181,33695,36437
1527771155,33760,36516
1527772101,33454,36181
1527773052,33534,36267
1527774036,33179,35850
1527774976,33242,35918
1527775941,32825,35419
1527776890,32888,35487
1527778239,32645,35211
1527779299,32233,34729
1527780279,32255,34749
1527781218,31991,34428
1527782175,31977,34408
1527783152,31681,34075
1527784091,31389,33748
1527785061,31294,33630
1527786527,30909,33214
1527787460,30667,32945
1527788417,30428,32672
1527789407,30299,32530
1527790486,30034,32218
1527791556,29555,31696
1527792493,29600,31746
1527793465,29269,31341
1527794412,29337,31420
1527795389,29085,31135
1527796336,29009,31033
1527797302,28590,30549
1527798278,28635,30598
1527799219,28047,29928
1527800176,28100,29984
1527801160,27879,29733
1527802093,27703,29544
1527803062,27525,29348
1527804038,27483,29302
1527804977,25770,27567
1527805996,25303,27025
1527806901,25273,26995
1527807864,24817,26469
1527809812,24306,25894
1527810752,23992,25546
1527811703,23784,25301
1527812668,23523,25012
1527813620,23393,24856
1527814586,23097,24508
1527815551,22782,24162
1527816490,22582,23909
1527817487,22203,23483
1527818421,21804,22907
1527819382,21521,22592
1527820335,21182,22221
1527821320,20941,21947
1527822257,20590,21554
1527823216,20624,21587
1527824180,20019,20941
1527825159,19609,20485
1527826094,19356,20216
1527827065,19416,20279
1527828015,18828,19619
1527829006,18170,18905
1527829942,18020,18740
