DateTime,AddedIPs,RemovedIPs
1527506894,703,703
1527507898,890,890
1527508859,487,487
1527509774,855,855
1527510756,804,804
1527511698,711,711
1527512661,861,861
1527513627,690,690
1527514568,927,927
1527515547,615,615
1527516512,717,717
1527517454,729,729
1527518411,734,734
1527519388,817,817
1527520335,655,655
1527521286,613,613
1527522295,748,748
1527523243,745,745
1527524204,737,737
1527525139,489,489
1527526097,369,369
1527527078,2000,2000
1527528011,681,681
1527528976,576,576
1527529955,570,570
1527530899,880,880
1527531867,781,781
1527532815,501,501
1527533790,622,622
1527534739,816,816
1527535689,699,699
1527536676,509,509
1527537617,980,980
1527538575,910,910
1527539561,706,706
1527541734,1535,1535
1527542697,869,869
1527543619,645,645
1527544574,667,667
1527545561,2000,2000
1527546491,728,728
1527547465,658,658
1527548418,886,886
1527549382,585,585
1527550336,812,812
1527551319,639,639
1527552257,665,665
1527553216,746,746
1527554195,685,685
1527555138,616,616
1527556095,735,735
1527557079,728,728
1527558015,716,716
1527558974,582,582
1527559956,671,671
1527560895,866,866
1527561857,523,523
1527562836,758,758
1527563772,697,697
1527564754,749,749
1527565691,777,777
1527566666,1070,1070
1527567613,655,655
1527568595,823,823
1527569539,701,701
1527570516,613,613
1527571457,702,702
1527572422,593,593
1527573391,670,670
1527574348,661,661
1527575295,608,608
1527576293,811,811
1527577224,1026,1026
1527578180,815,815
1527579158,793,793
1527580098,695,695
1527581057,930,930
1527582053,964,964
1527582974,901,901
1527583938,842,842
1527584920,931,931
1527585875,882,882
1527586813,1602,1602
1527587804,943,943
1527588736,790,790
1527589698,817,817
1527590674,370,370
1527591646,624,624
1527592590,850,850
1527593545,668,668
1527594496,719,719
1527595476,938,938
1527596427,1034,1034
1527597377,1234,1234
1527598347,1376,1376
1527599304,1585,1585
1527600268,2000,2000
1527601230,1934,1934
1527602176,1209,1209
1527603144,382,382
1527604105,241,241
1527605072,265,265
1527606043,194,194
1527606991,151,151
1527607936,151,151
1527608903,144,144
1527609872,650,650
1527610838,1064,1064
1527611798,1160,1160
1527613492,1522,1522
1527614415,1047,1047
1527615395,691,691
1527616333,850,850
1527617306,898,898
1527618266,726,726
1527619257,855,855
1527620174,674,674
1527621140,1007,1007
1527622105,1224,1224
1527623107,1199,1199
1527624018,943,943
1527624983,818,818
1527625972,1005,1005
1527626912,913,913
1527627859,1094,1094
1527628835,1229,1229
1527629789,1159,1159
1527630736,989,989
1527631714,2000,2000
1527632670,783,783
1527633612,733,733
1527634604,335,335
1527635549,718,718
1527636499,891,891
1527637477,1086,1086
1527638440,634,634
1527639376,758,758
1527640367,668,668
1527641293,813,813
1527642261,679,679
1527643211,702,702
1527644210,908,908
1527645137,560,560
1527646099,623,623
1527647079,758,758
1527648017,768,768
1527648987,620,620
1527649978,1154,1154
1527650892,117,117
1527651861,649,649
1527652829,420,420
1527653779,982,982
1527654753,808,808
1527655699,1079,1079
1527656656,582,582
1527657636,920,920
1527658599,1002,1002
1527659541,547,547
1527660502,899,899
1527661476,523,523
1527662413,268,268
1527663381,1114,1114
1527664355,1082,1082
1527665299,282,282
1527666255,206,206
1527667277,746,746
1527668422,1241,1241
1527669375,1024,1024
1527670330,535,535
1527671309,762,762
1527672256,597,597
1527673212,809,809
1527674178,740,740
1527675157,916,916
1527676102,522,522
1527677075,1243,1243
1527678026,140,140
1527678983,1102,1102
1527680929,1672,1672
1527681861,617,617
1527682851,993,993
1527683772,732,732
1527684760,892,892
1527685695,377,377
1527686660,915,915
1527687611,1213,1213
1527688611,313,313
1527689536,1049,1049
1527690495,652,652
1527691492,738,738
1527692433,353,353
1527693373,1351,1351
1527694360,121,121
1527695309,1092,1092
1527696265,257,257
1527697212,977,977
1527698205,1101,1101
1527699136,479,479
1527700371,1278,1278
1527701290,778,778
1527702266,958,958
1527703222,570,570
1527704200,907,907
1527705136,445,445
1527706113,883,883
1527707064,659,659
1527708022,762,762
1527708989,841,841
1527709936,498,498
1527710895,1015,1015
1527711880,416,416
1527712812,834,834
1527713777,893,893
1527714763,759,759
1527715717,671,671
1527716676,646,646
1527717662,201,201
1527718585,2000,2000
1527720162,1254,1254
1527721239,290,290
1527722179,1227,1227
1527723162,515,515
1527724094,854,854
1527725055,797,797
1527726042,608,608
1527726972,687,687
1527727945,609,609
1527728899,831,831
1527729855,741,741
1527730813,604,604
1527731809,912,912
1527732737,1037,1037
1527733695,643,643
1527734670,903,903
1527735621,573,573
1527736571,852,852
1527737559,107,107
1527738494,1178,1178
1527739474,838,838
1527740413,528,528
1527741381,31,31
1527742348,1130,1130
1527743297,1136,1136
1527744259,315,315
1527745215,952,952
1527746183,458,458
1527747161,1044,1044
1527748125,429,429
1527749070,1103,1103
1527750030,482,1982
1527750986,474,474
1527751944,438,438
1527752900,479,479
1527753871,469,469
1527754814,479,479
1527755781,462,462
1527756759,464,464
1527757698,460,460
1527758660,450,450
1527759614,463,463
1527760590,469,469
1527761548,469,469
1527762509,479,479
1527763485,457,457
1527764431,476,476
1527765376,481,481
1527766356,473,473
1527767296,480,480
1527768266,483,483
1527769236,467,467
1527770181,472,472
1527771155,422,422
1527772101,476,476
1527773052,467,467
1527774036,424,424
1527774976,483,483
