DateTime,Entries,UniqueIPs
1526573355,8369,8369
1526576951,8368,8368
1526580546,8347,8347
1526584155,8329,8329
1526587748,8304,8304
1526591348,8288,8288
1526594932,8280,8280
1526598557,8261,8261
1526602150,8271,8271
1526605747,8245,8245
1526609346,8223,8223
1526612950,8218,8218
1526616542,8211,8211
1526620147,8202,8202
1526623745,8198,8198
1526627335,8193,8193
1526630935,8160,8160
1526634535,8128,8128
1526638131,8103,8103
1526641732,8095,8095
1526645346,8094,8094
1526648929,8085,8085
1526652529,8034,8034
1526656125,8012,8012
1526659722,7991,7991
1526663324,7986,7986
1526666920,7978,7978
1526670523,7983,7983
1526674119,7952,7952
1526677724,7958,7958
1526681325,7958,7958
1526684917,7949,7949
1526688527,7949,7949
1526692123,7926,7926
1526695715,7900,7900
1526699315,7897,7897
1526702915,7864,7864
1526706512,7878,7878
1526710112,7871,7871
1526713720,7872,7872
1526717313,7865,7865
1526720922,7842,7842
1526724515,7839,7839
1526728119,7831,7831
1526731712,7831,7831
1526735308,7830,7830
1526738908,7784,7784
1526742514,7763,7763
1526746110,7737,7737
1526749709,7754,7754
1526753305,7729,7729
1526756906,7715,7715
1526760504,7704,7704
1526764108,7686,7686
1526767702,7736,7736
1526771306,7727,7727
1526774904,7721,7721
1526778506,7727,7727
1526782105,7698,7698
1526785700,7693,7693
1526789304,7671,7671
1526792900,7655,7655
1526796510,7661,7661
1526800108,7646,7646
1526803707,7638,7638
1526807305,7624,7624
1526810903,7605,7605
1526814503,7607,7607
1526818110,7599,7599
1526821712,7615,7615
1526825304,7606,7606
1526828899,7565,7565
1526832506,7526,7526
1526836102,7492,7492
1526839708,7497,7497
1526843312,7485,7485
1526846896,7421,7421
1526850490,7361,7361
1526854084,7305,7305
1526857684,7260,7260
1526861284,7219,7219
1526864880,7186,7186
1526868477,7142,7142
1526872075,7089,7089
1526875671,7045,7045
1526879275,6981,6981
1526882860,6937,6937
1526886466,6855,6855
1526890061,6806,6806
1526893655,6750,6750
1526897271,6696,6696
1526900855,6651,6651
1526904453,6625,6625
1526908054,6646,6646
1526911652,6681,6681
1526915254,6648,6648
1526918864,6632,6632
1526922459,6588,6588
1526926056,6570,6570
1526929662,6568,6568
1526933261,6527,6527
1526936851,6488,6488
1526940460,6437,6437
1526944057,6407,6407
1526947654,6390,6390
1526951249,6383,6383
1526954851,6366,6366
1526958449,6329,6329
1526962055,6288,6288
1526965645,6267,6267
1526969238,6237,6237
1526972844,6202,6202
1526976438,6169,6169
1526980044,6146,6146
1526983631,6113,6113
1526987233,6084,6084
1526990830,6061,6061
1526994431,6045,6045
1526998028,6022,6022
1527001620,5994,5994
1527005232,5946,5946
1527008827,5922,5922
1527012427,5900,5900
1527016030,5904,5904
1527019627,5886,5886
1527023226,5888,5888
1527026839,6155,6155
1527030459,6528,6528
1527034067,6746,6746
1527037676,6883,6883
1527041271,6982,6982
1527044885,7036,7036
1527048486,7062,7062
1527052082,7065,7065
1527055675,7086,7086
1527059278,7135,7135
1527062883,7148,7148
1527066491,7169,7169
1527070076,7177,7177
1527073682,7185,7185
1527077286,7175,7175
1527080886,7178,7178
1527084487,7178,7178
1527088095,7182,7182
1527091684,7164,7164
1527095282,7162,7162
1527098878,7145,7145
1527102477,7156,7156
1527106083,7190,7190
1527109677,7205,7205
1527113280,7237,7237
1527116889,7248,7248
1527120486,7243,7243
1527124086,7240,7240
1527127687,7257,7257
1527131286,7257,7257
1527134885,7231,7231
1527138482,7208,7208
1527142099,7199,7199
1527145698,7197,7197
1527149300,7188,7188
1527152894,7162,7162
1527156496,7148,7148
1527160086,7127,7127
1527163698,7073,7073
1527167290,7066,7066
1527170886,7071,7071
1527174485,7070,7070
1527178086,7049,7049
1527181674,7029,7029
1527185290,7098,7098
1527188882,7083,7083
1527192488,7093,7093
1527196088,7085,7085
1527199687,7077,7077
1527203292,7083,7083
1527206889,7060,7060
1527210484,7063,7063
1527214087,7070,7070
1527217685,7057,7057
1527221288,7045,7045
1527224879,7029,7029
1527228475,7023,7023
1527232085,7007,7007
1527235687,7056,7056
1527239290,7051,7051
1527242889,7048,7048
1527246475,7040,7040
1527250089,7043,7043
1527253686,7040,7040
1527257284,7069,7069
1527260888,7081,7081
1527264491,7090,7090
1527268090,7074,7074
1527271685,7055,7055
1527275285,7045,7045
1527278882,7081,7081
1527282484,7076,7076
1527286090,7085,7085
1527286090,7085,7085
1527289679,7093,7093
1527293287,7082,7082
1527293287,7082,7082
1527296883,7097,7097
1527296883,7097,7097
1527300490,7108,7108
1527300490,7108,7108
1527300490,7108,7108
1527304085,7105,7105
1527304085,7105,7105
1527304085,7105,7105
1527307677,7116,7116
1527307677,7116,7116
1527311286,7094,7094
1527311286,7094,7094
1527311286,7094,7094
1527314883,7083,7083
1527314883,7083,7083
1527314883,7083,7083
1527318483,7064,7064
1527318483,7064,7064
1527318483,7064,7064
1527322087,7068,7068
1527322087,7068,7068
1527322087,7068,7068
1527325684,7084,7084
1527325684,7084,7084
1527325684,7084,7084
1527329280,7075,7075
1527329280,7075,7075
1527329280,7075,7075
1527329280,7075,7075
1527332883,7086,7086
1527332883,7086,7086
1527332883,7086,7086
1527336476,7075,7075
1527336476,7075,7075
1527336476,7075,7075
1527340084,7076,7076
1527340084,7076,7076
1527340084,7076,7076
1527343676,7080,7080
1527343676,7080,7080
1527343676,7080,7080
1527347277,7073,7073
1527350888,7083,7083
1527350888,7083,7083
1527354484,7064,7064
1527354484,7064,7064
1527354484,7064,7064
1527358078,7053,7053
1527358078,7053,7053
1527361674,7033,7033
1527361674,7033,7033
1527361674,7033,7033
1527365270,7031,7031
1527365270,7031,7031
1527365270,7031,7031
1527368880,7032,7032
1527368880,7032,7032
1527372476,6968,6968
1527372476,6968,6968
1527372476,6968,6968
1527376076,6974,6974
1527376076,6974,6974
1527379676,6963,6963
1527379676,6963,6963
1527379676,6963,6963
1527383271,6958,6958
1527383271,6958,6958
1527386872,6952,6952
1527386872,6952,6952
1527386872,6952,6952
1527390470,6965,6965
1527390470,6965,6965
1527390470,6965,6965
1527394090,6982,6982
1527394090,6982,6982
1527394090,6982,6982
1527394090,6982,6982
1527397690,6985,6985
1527397690,6985,6985
1527401287,6956,6956
1527404883,6948,6948
1527408490,6938,6938
1527412083,6950,6950
1527415681,6941,6941
1527419268,6939,6939
1527422878,6941,6941
