DateTime,AddedIPs,RemovedIPs
1526213338,10,16
1526216936,8,28
1526220545,21,17
1526224141,27,24
1526227744,8,11
1526231340,29,25
1526234942,15,31
1526238560,28,21
1526242166,160,7
1526245771,110,10
1526249390,76,11
1526252982,58,41
1526256581,32,10
1526260180,30,22
1526263783,37,21
1526267387,33,9
1526270985,25,7
1526274593,28,17
1526278192,14,27
1526281771,29,23
1526285366,15,18
1526288967,27,13
1526292569,35,8
1526296172,18,17
1526299765,11,85
1526303364,13,57
1526306960,10,32
1526310562,33,37
1526314166,102,42
1526317775,123,30
1526321375,50,26
1526324973,28,29
1526328579,28,17
1526332175,27,13
1526335776,32,8
1526339381,18,21
1526342982,15,38
1526346578,11,15
1526350175,7,27
1526353777,17,13
1526357373,30,23
1526360967,10,22
1526364569,20,17
1526368191,16,37
1526371791,12,23
1526375388,16,10
1526379100,24,19
1526382589,20,18
1526386173,12,16
1526389774,3,18
1526393372,8,20
1526396971,12,12
1526400575,25,22
1526404180,2,9
1526407783,20,13
1526411382,11,33
1526414985,20,19
1526418582,9,10
1526422181,16,14
1526425785,35,15
1526429386,16,34
1526432982,3,13
1526436579,8,26
1526440180,5,14
1526443779,24,25
1526447377,10,20
1526450975,20,31
1526454560,8,39
1526458161,21,18
1526461757,11,24
1526465354,15,27
1526468954,25,28
1526472554,23,49
1526476156,8,69
1526479751,11,32
1526483351,4,39
1526486975,20,33
1526490553,9,35
1526494154,41,37
1526497755,108,39
1526501366,48,51
1526504954,28,21
1526508557,30,19
1526512158,29,21
1526515763,19,32
1526519350,12,39
1526522950,13,19
1526526554,6,43
1526530151,23,23
1526533754,22,27
1526537361,9,19
1526540955,19,25
1526544562,17,48
1526548172,15,25
1526551770,8,26
1526555370,16,16
1526558953,41,24
1526562553,15,49
1526566151,6,29
1526569749,9,38
1526573370,19,18
1526576965,25,24
1526580565,10,30
1526584173,25,37
1526587766,17,40
1526591372,22,36
1526594947,17,24
1526598575,17,25
1526602175,34,21
1526605776,12,33
1526609370,12,24
1526612981,5,27
1526616563,20,25
1526620167,15,27
1526623769,18,17
1526627341,21,21
1526630942,15,34
1526634541,12,38
1526638140,9,24
1526641738,9,13
1526645338,17,13
1526648940,11,7
1526652537,3,36
1526656134,8,20
1526659735,11,23
1526663340,20,20
1526666936,21,18
1526670536,24,19
1526674135,13,35
1526677737,40,27
1526681338,18,15
1526684940,13,12
1526688540,14,13
1526692134,5,22
1526695733,9,27
1526699334,18,15
1526702932,6,34
1526706530,27,13
1526710129,13,20
1526713732,20,9
1526717337,17,19
1526720949,18,37
1526724545,18,19
1526728133,13,12
1526731729,20,15
1526735334,14,13
1526738928,7,39
1526742529,10,27
1526746133,12,29
1526749729,33,13
1526753328,11,29
1526756924,11,20
1526760523,13,20
1526764124,13,29
1526767726,72,19
1526771326,12,16
1526774927,15,13
1526778528,28,12
1526782129,11,31
1526785724,7,13
1526789323,5,19
1526792926,10,24
1526796537,24,15
1526800136,8,19
1526803738,19,18
1526807328,10,23
1526810924,15,37
1526814521,15,12
1526818138,18,16
1526821741,30,9
1526825332,15,18
1526828924,4,36
1526832539,7,16
1526836139,14,27
1526839740,24,14
1526843333,14,22
1526846932,20,49
1526850520,11,52
1526854117,14,44
1526857718,9,31
1526861316,13,33
1526864911,16,23
1526868511,20,32
1526872112,6,38
1526875711,9,28
1526879307,5,37
1526882914,13,23
1526886510,5,49
1526890106,18,30
1526893703,9,43
1526897304,16,49
1526900902,10,33
1526904502,15,22
1526908104,78,31
1526911706,91,35
1526915302,31,51
1526918924,22,26
1526922524,13,47
1526926130,33,38
1526929723,15,38
1526933325,19,38
1526936920,21,48
1526940521,12,45
1526944123,11,30
1526947723,15,24
1526951320,25,20
1526954923,8,11
1526958523,4,25
1526962127,6,35
1526965720,5,19
1526969313,9,29
1526972918,11,37
1526976523,9,29
1526980120,7,23
1526983697,5,29
1526987308,8,30
1526990912,10,22
1526994509,21,21
1526998106,15,23
1527001701,13,28
1527005312,7,42
1527008907,3,16
1527012520,13,22
1527016109,19,12
1527019707,13,21
1527023311,20,16
1527026915,170,17
