DateTime,Entries,UniqueIPs
1526573370,5480,5480
1526576965,5481,5481
1526580565,5461,5461
1526584173,5449,5449
1526587766,5426,5426
1526591372,5412,5412
1526594947,5405,5405
1526598575,5397,5397
1526602175,5410,5410
1526605776,5389,5389
1526609370,5377,5377
1526612981,5355,5355
1526616563,5350,5350
1526620167,5338,5338
1526623769,5339,5339
1526627341,5339,5339
1526630942,5320,5320
1526634541,5294,5294
1526638140,5279,5279
1526641738,5275,5275
1526645338,5279,5279
1526648940,5283,5283
1526652537,5250,5250
1526656134,5238,5238
1526659735,5226,5226
1526663340,5226,5226
1526666936,5229,5229
1526670536,5234,5234
1526674135,5212,5212
1526677737,5225,5225
1526681338,5228,5228
1526684940,5229,5229
1526688540,5230,5230
1526692134,5213,5213
1526695733,5195,5195
1526699334,5198,5198
1526702932,5170,5170
1526706530,5184,5184
1526710129,5177,5177
1526713732,5188,5188
1526717337,5186,5186
1526720949,5167,5167
1526724545,5166,5166
1526728133,5167,5167
1526731729,5172,5172
1526735334,5173,5173
1526738928,5141,5141
1526742529,5124,5124
1526746133,5107,5107
1526749729,5127,5127
1526753328,5109,5109
1526756924,5100,5100
1526760523,5093,5093
1526764124,5077,5077
1526767726,5130,5130
1526771326,5126,5126
1526774927,5128,5128
1526778528,5144,5144
1526782129,5124,5124
1526785724,5118,5118
1526789323,5104,5104
1526792926,5090,5090
1526796537,5099,5099
1526800136,5088,5088
1526803738,5089,5089
1526807328,5076,5076
1526810924,5054,5054
1526814521,5057,5057
1526818138,5059,5059
1526821741,5080,5080
1526825332,5077,5077
1526828924,5045,5045
1526832539,5036,5036
1526836139,5023,5023
1526839740,5033,5033
1526843333,5025,5025
1526846932,4996,4996
1526850520,4955,4955
1526854117,4925,4925
1526857718,4903,4903
1526861316,4883,4883
1526864911,4876,4876
1526868511,4864,4864
1526872112,4832,4832
1526875711,4813,4813
1526879307,4781,4781
1526882914,4771,4771
1526886510,4727,4727
1526890106,4715,4715
1526893703,4681,4681
1526897304,4648,4648
1526900902,4625,4625
1526904502,4618,4618
1526908104,4665,4665
1526911706,4721,4721
1526915302,4701,4701
1526918924,4697,4697
1526922524,4663,4663
1526926130,4658,4658
1526929723,4635,4635
1526933325,4616,4616
1526936920,4589,4589
1526940521,4556,4556
1526944123,4537,4537
1526947723,4528,4528
1526951320,4533,4533
1526954923,4530,4530
1526958523,4509,4509
1526962127,4480,4480
1526965720,4466,4466
1526969313,4446,4446
1526972918,4420,4420
1526976523,4400,4400
1526980120,4384,4384
1526983697,4360,4360
1526987308,4338,4338
1526990912,4326,4326
1526994509,4326,4326
1526998106,4318,4318
1527001701,4303,4303
1527005312,4268,4268
1527008907,4255,4255
1527012520,4246,4246
1527016109,4253,4253
1527019707,4245,4245
1527023311,4249,4249
1527026915,4402,4402
1527030525,4584,4584
1527034131,4692,4692
1527037732,4756,4756
1527041315,4819,4819
1527044938,4846,4846
1527048537,4854,4854
1527052136,4850,4850
1527055715,4858,4858
1527059320,4897,4897
1527062915,4894,4894
1527066523,4913,4913
1527070118,4917,4917
1527073717,4924,4924
1527077341,4922,4922
1527080936,4928,4928
1527084540,4942,4942
1527088139,4953,4953
1527091724,4938,4938
1527095322,4932,4932
1527098922,4921,4921
1527102519,4930,4930
1527106119,4972,4972
1527109723,4987,4987
1527113323,5021,5021
1527116924,5037,5037
1527120528,5037,5037
1527124126,5042,5042
1527127726,5050,5050
1527131326,5057,5057
1527134925,5041,5041
1527138526,5017,5017
1527142151,5002,5002
1527145754,4999,4999
1527149350,4990,4990
1527152954,4969,4969
1527156550,4960,4960
1527160131,4945,4945
1527163743,4895,4895
1527167343,4891,4891
1527170942,4896,4896
1527174539,4896,4896
1527178141,4882,4882
1527181735,4860,4860
1527185342,4933,4933
1527188940,4922,4922
1527192541,4934,4934
1527196144,4925,4925
1527199739,4922,4922
1527203349,4922,4922
1527206940,4900,4900
1527210541,4905,4905
1527214138,4914,4914
1527217737,4931,4931
1527221343,4925,4925
1527224935,4916,4916
1527228529,4910,4910
1527232139,4898,4898
1527235744,4944,4944
1527239342,4941,4941
1527242942,4940,4940
1527246519,4937,4937
1527250142,4942,4942
1527253743,4942,4942
1527257342,4965,4965
1527260936,4982,4982
1527264543,4991,4991
1527268136,4974,4974
1527271745,4959,4959
1527275339,4941,4941
1527278939,4957,4957
1527282538,4957,4957
1527286145,4968,4968
1527286145,4968,4968
1527289739,4977,4977
1527293343,4971,4971
1527293343,4971,4971
1527296941,4984,4984
1527296941,4984,4984
1527300543,4994,4994
1527300543,4994,4994
1527300543,4994,4994
1527304140,4996,4996
1527304140,4996,4996
1527304140,4996,4996
1527307722,5006,5006
1527307722,5006,5006
1527311335,4990,4990
1527311335,4990,4990
1527311335,4990,4990
1527314935,4982,4982
1527314935,4982,4982
1527314935,4982,4982
1527318532,4964,4964
1527318532,4964,4964
1527318532,4964,4964
1527322136,4969,4969
1527322136,4969,4969
1527322136,4969,4969
1527325737,4988,4988
1527325737,4988,4988
1527325737,4988,4988
1527325737,4988,4988
1527329334,4975,4975
1527329334,4975,4975
1527329334,4975,4975
1527332938,4988,4988
1527332938,4988,4988
1527332938,4988,4988
1527336522,4979,4979
1527336522,4979,4979
1527336522,4979,4979
1527340147,4980,4980
1527340147,4980,4980
1527340147,4980,4980
1527343730,4986,4986
1527343730,4986,4986
1527343730,4986,4986
1527347322,4983,4983
1527350943,4990,4990
1527350943,4990,4990
1527354538,4970,4970
1527354538,4970,4970
1527354538,4970,4970
1527358124,4955,4955
1527358124,4955,4955
1527361722,4939,4939
1527361722,4939,4939
1527361722,4939,4939
1527365325,4936,4936
1527365325,4936,4936
1527365325,4936,4936
1527368928,4945,4945
1527368928,4945,4945
1527372530,4890,4890
1527372530,4890,4890
1527372530,4890,4890
1527376128,4898,4898
1527376128,4898,4898
1527379727,4887,4887
1527379727,4887,4887
1527379727,4887,4887
1527383326,4879,4879
1527383326,4879,4879
1527386929,4878,4878
1527386929,4878,4878
1527386929,4878,4878
1527390526,4889,4889
1527390526,4889,4889
1527390526,4889,4889
1527394155,4901,4901
1527394155,4901,4901
1527394155,4901,4901
1527394155,4901,4901
1527397758,4906,4906
1527397758,4906,4906
1527401351,4880,4880
1527404952,4872,4872
1527408555,4860,4860
1527412150,4873,4873
1527415747,4863,4863
1527419318,4861,4861
1527422935,4864,4864
1527426544,4849,4849
1527430139,4847,4847
1527433733,4853,4853
1527437336,4866,4866
1527440935,4879,4879
1527444534,4867,4867
1527448133,4862,4862
1527451732,4841,4841
1527455332,4842,4842
1527458931,4850,4850
1527462531,4847,4847
1527466129,4856,4856
1527469729,4843,4843
1527473333,4843,4843
1527476930,4850,4850
1527480532,4859,4859
1527484122,4882,4882
1527487726,4877,4877
1527491319,4874,4874
1527494925,4850,4850
1527498527,4846,4846
1527502127,4854,4854
1527505723,4856,4856
1527509319,4856,4856
1527512919,4841,4841
1527516518,4828,4828
1527520114,4828,4828
1527523721,4831,4831
1527527323,4849,4849
1527530929,4837,4837
1527534521,4834,4834
1527538122,4817,4817
1527541720,4802,4802
1527545325,4843,4843
1527548926,4896,4896
1527552528,4917,4917
1527556128,4914,4914
1527559719,4922,4922
1527563325,4941,4941
1527566924,4953,4953
1527570529,4966,4966
1527574130,4975,4975
1527577723,4969,4969
1527581322,4962,4962
1527584925,4953,4953
1527588522,4960,4960
1527592131,4969,4969
1527595722,4958,4958
1527599327,4956,4956
1527602929,5015,5015
1527606534,5137,5137
1527610162,5246,5246
1527613757,5305,5305
1527617365,5353,5353
1527620964,5382,5382
1527624565,5386,5386
1527628165,5385,5385
1527631768,5403,5403
1527635370,5426,5426
1527638973,5419,5419
1527642570,5420,5420
1527646169,5408,5408
1527649765,5413,5413
1527653363,5416,5416
1527656950,5427,5427
1527660552,5473,5473
1527664150,5444,5444
1527667756,5434,5434
1527671352,5403,5403
1527674949,5380,5380
1527678547,5361,5361
1527682151,5366,5366
1527685748,5353,5353
1527689348,5341,5341
1527692965,5328,5328
1527696555,5335,5335
1527700149,5346,5346
1527703746,5347,5347
1527707344,5339,5339
1527710943,5293,5293
1527714542,5278,5278
1527725100,5265,5265
1527732533,5235,5235
1527736131,5227,5227
1527739738,5226,5226
1527743336,5212,5212
1527746933,5211,5211
1527750533,5212,5212
1527754140,5211,5211
1527757736,5192,5192
1527761336,5192,5192
1527764934,5204,5204
1527768555,5229,5229
1527772158,5230,5230
1527775758,5230,5230
1527779335,5219,5219
1527782959,5207,5207
1527786560,5210,5210
1527790156,5146,5146
1527793758,5156,5156
1527797347,5139,5139
1527800954,5128,5128
1527804555,5115,5115
1527808155,5104,5104
1527811754,5121,5121
1527815354,5116,5116
1527818953,5104,5104
1527822552,5101,5101
1527826150,5097,5097
1527829737,5095,5095
1527833336,5098,5098
1527836937,5101,5101
1527840544,5064,5064
1527844175,5049,5049
1527847775,5036,5036
1527851392,5079,5079
1527855003,5128,5128
1527858594,5172,5172
1527862196,5170,5170
1527865787,5178,5178
1527869382,5178,5178
1527873104,5190,5190
1527876701,5185,5185
1527880223,5192,5192
1527883786,5190,5190
1527887378,5192,5192
1527890978,5164,5164
1527894576,5151,5151
1527898174,5151,5151
1527901776,5163,5163
1527905378,5153,5153
1527908978,5151,5151
1527912615,5137,5137
1527912615,5137,5137
1527916203,5139,5139
1527916203,5139,5139
1527919739,5134,5134
1527923341,5147,5147
1527923341,5147,5147
1527923341,5147,5147
1527926945,5154,5154
1527926945,5154,5154
1527926945,5154,5154
1527930539,5170,5170
1527930539,5170,5170
1527930539,5170,5170
1527934140,5160,5160
1527934140,5160,5160
1527934140,5160,5160
1527937770,5141,5141
1527937770,5141,5141
1527937770,5141,5141
1527941379,5134,5134
1527941379,5134,5134
1527941379,5134,5134
1527944988,5147,5147
1527944988,5147,5147
1527944988,5147,5147
1527944988,5147,5147
1527948583,5137,5137
1527948583,5137,5137
1527948583,5137,5137
1527952177,5149,5149
1527952177,5149,5149
1527955764,5142,5142
1527955764,5142,5142
1527955764,5142,5142
1527955764,5142,5142
1527959377,5144,5144
1527959377,5144,5144
1527959377,5144,5144
1527962987,5138,5138
1527962987,5138,5138
1527962987,5138,5138
1527966579,5153,5153
1527966579,5153,5153
1527966579,5153,5153
1527970183,5171,5171
1527970183,5171,5171
1527970183,5171,5171
1527973772,5171,5171
1527973772,5171,5171
1527973772,5171,5171
1527977339,5164,5164
1527977339,5164,5164
1527977339,5164,5164
1527980933,5147,5147
1527980933,5147,5147
1527980933,5147,5147
1527984535,5142,5142
1527984535,5142,5142
1527984535,5142,5142
1527988135,5137,5137
1527988135,5137,5137
1527988135,5137,5137
1527991736,5153,5153
1527991736,5153,5153
1527991736,5153,5153
1527995335,5146,5146
1527995335,5146,5146
1527995335,5146,5146
1527998935,5139,5139
1527998935,5139,5139
1527998935,5139,5139
1528002534,5137,5137
1528002534,5137,5137
1528006134,5162,5162
1528009737,5194,5194
1528013377,5200,5200
1528016978,5202,5202
1528020570,5199,5199
