DateTime,AddedIPs,RemovedIPs
1524543600,623,316
1524551400,165,161
1524558600,128,120
1524565800,243,235
1524573000,33,29
1524580200,23,22
1524587400,22,18
1524594600,18,22
1524601800,3,2
1524609600,2,3
1524616800,8,910
1524624000,851,8
1524631200,670,627
1524638400,67,65
1524645600,54,48
1524652800,14,11
1524660000,9,9
1524667800,6,6
1524675000,3,3
1524682200,7,12
1524689400,8,9
1524696600,1,1
1524703800,12,892
1524711000,295,0
1524718200,745,165
1524725400,189,199
1524732600,343,331
1524739800,83,80
1524747000,27,26
1524754200,19,18
1524761400,11,13
1524768600,9,8
1524775800,39,35
1524783000,12,11
1524790200,1,905
1524797400,222,0
1524804600,678,24
1524811800,560,545
1524819000,77,77
1524826200,43,40
1524833400,54,54
1524840600,32,30
1524847800,9,10
1524855000,15,15
1524862200,27,30
1524870000,11,8
1524880800,481,820
1524888000,482,161
1524895200,511,507
1524906000,303,291
1524913200,54,54
1524920400,121,114
1524927600,10,12
1524934800,9,11
1524942000,7,7
1524949200,3,4
1524956400,4,3
1524960000,10,897
1524967200,609,9
1524974400,812,546
1524981600,281,262
1524988800,70,72
1524996000,127,127
1525003200,19,18
1525010400,42,42
1525017600,10,10
1525024800,34,37
1525032000,51,47
1525039800,10,9
1525050600,1,896
1525057800,620,0
1525065000,630,378
1525072200,186,172
1525079400,272,269
1525087200,101,96
1525094400,60,61
1525101600,46,46
1525108800,15,17
1525116000,7,7
1525123200,46,43
1525130400,8,9
1525134000,865,894
1525141200,564,562
1525148400,581,565
1525155600,155,139
1525162800,69,67
1525170000,111,109
1525177200,17,19
1525184400,11,13
1525191600,9,7
1525198800,13,11
1525206000,3,4
1525213200,8,8
1525220400,1,902
1525227600,728,0
1525234800,347,219
1525242000,546,539
1525249200,265,234
1525256400,51,48
1525264200,114,112
1525271400,16,14
1525278600,26,26
1525285800,14,12
1525293000,5,7
1525300800,7,8
1525308000,7,901
1525315800,551,0
1525323000,546,244
1525330200,202,193
1525337400,199,181
1525344600,70,63
1525351800,46,45
1525359000,104,104
1525366200,26,26
1525373400,16,15
1525380600,7,7
1525387800,19,16
1525402200,614,782
1525409400,529,381
1525417200,420,411
1525424400,213,200
1525431600,40,41
1525438800,103,103
1525446000,24,21
1525453200,10,11
1525460400,10,10
1525467600,6,7
1525474800,13,12
1525482000,9,902
1525489200,415,0
1525496400,621,166
