DateTime,AddedIPs,RemovedIPs
1527582053,335,189
1527582974,197,162
1527583938,195,194
1527584920,255,165
1527585302,74,0
1527585875,217,220
1527586813,379,141
1527587804,238,230
1527588736,241,105
1527588902,75,0
1527589698,254,270
1527590674,91,281
1527591646,142,232
1527592102,38,37
1527592590,336,164
1527593545,193,218
1527594496,159,125
1527595476,215,201
1527595934,35,33
1527596102,74,0
1527596427,216,187
1527597377,276,158
1527598347,268,192
1527599304,383,134
1527599702,91,0
1527600268,503,204
1527601230,511,145
1527602176,256,185
1527603144,98,144
1527603302,91,0
1527604105,53,161
1527605072,82,192
1527606043,79,128
1527606991,108,123
1527607455,72,41
1527607936,54,155
1527608903,75,141
1527609872,192,153
1527610838,397,110
1527611798,334,65
1527613492,343,906
1527614102,63,0
1527614415,267,134
1527615395,174,98
1527616333,253,0
1527617306,257,429
1527617701,77,0
1527618266,235,0
1527619257,162,213
1527620174,140,0
1527621140,228,275
1527621302,73,0
1527622105,305,97
1527623107,296,206
1527624018,187,177
1527624983,244,153
1527625972,252,297
1527626912,242,0
1527627859,243,0
1527628502,61,0
1527628835,251,200
1527629789,644,129
1527630736,998,176
1527631714,469,1677
1527632102,59,0
1527632670,207,126
1527633612,167,112
1527634604,69,280
1527635549,170,89
1527635702,50,0
1527636499,215,174
1527637477,274,109
1527638440,215,128
1527639376,250,2008
1527640367,138,130
1527641293,210,101
1527642261,161,142
1527642901,57,0
1527643211,170,123
1527644210,232,120
1527645137,122,104
1527646099,154,159
1527646502,71,0
1527647079,187,171
1527648017,146,85
1527648987,106,127
1527649978,224,128
1527650102,78,0
1527650892,29,123
1527651861,165,138
1527652829,124,265
1527653779,253,109
1527654753,142,129
1527655699,179,137
1527656656,152,134
1527657301,62,0
1527657636,192,128
1527658599,235,103
1527659541,125,164
1527660502,186,152
1527660902,80,0
1527661476,134,110
1527662413,72,169
1527663381,212,305
1527664355,230,203
1527664501,109,0
1527665299,74,192
1527666255,72,175
1527667277,160,236
1527668101,179,0
1527668422,241,190
1527669156,1,1
1527669375,258,461
1527670330,122,0
1527671057,1,2
1527671309,187,199
1527671702,137,0
1527672256,133,197
1527672973,2,2
1527673212,172,738
1527674178,158,238
1527674896,1,2
1527675157,210,345
1527675301,283,0
1527676102,107,96
1527677075,286,155
1527678026,31,15
1527678741,2,7
1527678983,403,272
1527680929,406,612
1527681861,165,0
1527682502,98,0
1527682851,306,474
1527683772,153,0
1527684760,236,658
1527685695,84,0
1527686101,397,0
1527686660,196,323
1527687611,259,314
1527688611,64,237
1527689536,256,0
1527689702,435,0
1527690495,174,37
1527691492,162,65
1527692433,117,29
1527693373,403,16
1527694360,61,48
1527695309,218,171
1527696265,111,81
1527696901,57,0
1527697212,188,219
1527698205,264,793
1527699136,114,0
1527700371,283,222
1527700501,43,0
1527701290,177,178
1527702266,235,180
1527703222,135,206
1527704200,231,182
1527705136,130,234
1527706113,197,187
1527707064,172,253
1527707702,62,0
1527708022,175,379
1527708989,216,333
1527709936,102,315
1527710895,225,227
1527711302,59,0
1527711880,105,271
1527712812,248,210
1527713777,188,315
1527714763,254,381
1527714902,50,0
1527715717,698,293
1527716676,657,250
1527717662,174,1618
1527718585,583,210
1527720162,313,242
1527721239,99,201
1527722179,321,252
1527723162,173,274
1527724094,214,179
1527725055,221,170
1527725701,37,1727
1527726042,185,197
1527726972,159,172
1527727945,199,217
1527728899,209,160
1527729301,100,0
1527729855,367,214
1527730813,151,124
1527731809,258,146
1527732737,251,190
1527732902,49,0
1527733695,160,187
1527734670,198,136
1527735621,122,276
1527736571,273,39
1527737559,43,133
1527738494,277,84
1527739474,224,239
1527740102,50,0
1527740413,119,240
1527741381,20,269
1527742348,246,118
1527743297,249,202
1527743701,54,0
1527744259,74,242
1527745215,203,120
1527746183,121,224
1527747161,237,133
1527747302,74,0
1527748125,98,73
1527749070,263,278
1527750030,166,267
1527750986,213,73
1527751944,140,18
1527752900,135,190
1527753871,129,341
1527754502,76,0
1527754814,111,3
1527755781,99,364
1527756759,120,188
1527757698,118,0
1527758102,66,0
1527758660,85,410
1527759614,80,198
1527760590,91,226
1527761548,77,0
1527761701,56,0
1527762509,88,439
1527763485,84,43
1527764431,101,267
1527765376,120,0
1527765856,43,0
1527766356,97,459
1527767296,86,0
1527768266,71,418
1527768901,66,0
1527769236,85,0
1527769687,38,0
1527770181,86,512
1527771155,66,0
1527772101,68,451
1527772501,55,0
1527773052,74,0
1527774036,59,490
1527774976,50,0
1527775941,69,526
1527776102,61,0
1527776890,67,0
1527777776,8,3
1527778239,66,328
1527779299,40,478
1527779766,54,2
1527780279,48,52
1527781218,132,411
1527781702,4,1
1527782175,44,98
1527783152,48,336
1527783614,71,1
1527784091,66,330
1527785061,49,157
1527785791,3,0
1527786527,77,431
1527786902,72,0
1527787460,43,293
1527787952,2,0
1527788417,59,302
1527789407,58,186
1527789864,7,6
1527790486,81,343
1527790501,59,0
1527791556,68,524
1527792023,2,1
1527792493,53,0
1527793465,191,553
1527793953,10,0
1527794101,77,0
1527794412,78,0
1527795389,66,332
1527795853,8,2
1527796336,75,181
1527797302,63,508
1527797770,72,1
1527798278,53,0
1527799219,80,699
1527800176,60,0
1527801160,78,300
1527801615,66,1
1527802093,76,235
1527803062,64,246
1527803530,4,2
1527804038,59,98
1527804977,157,1769
1527805465,4,3
1527805996,68,558
1527806901,66,86
1527807384,8,2
1527807864,77,560
1527809812,195,643
1527810752,48,371
1527811703,90,327
1527812668,111,348
1527813002,36,3021
1527813620,112,273
1527814586,67,421
1527815551,98,456
1527816490,98,342
1527816602,42,0
1527817487,81,464
1527818421,74,671
1527819382,84,383
1527820335,139,422
1527821320,76,326
1527822257,84,482
1527823216,75,27
1527823802,53,0
1527824180,99,696
1527825159,81,501
1527826094,59,315
1527827065,73,19
1527827401,58,0
1527828015,106,683
1527829006,64,735
1527829942,46,210
1527830902,102,625
1527831002,58,0
1527831866,88,216
1527832838,104,659
1527833776,114,266
1527834765,292,694
1527835695,73,2251
1527836662,139,105
1527837620,77,73
1527838202,65,0
1527838596,130,89
1527839540,93,128
1527840514,9,136
1527841459,13,77
1527841801,75,0
1527842445,17,112
1527843395,16,137
1527844356,8,110
1527845292,18,96
1527845402,102,0
1527846297,38,117
1527847230,55,117
1527848183,65,85
1527849155,223,131
1527850105,72,138
1527850571,41,43
1527851059,38,99
1527852034,49,84
1527852602,80,0
1527852979,30,117
1527853942,57,115
1527854913,81,122
1527855861,102,128
1527856201,106,0
1527856813,89,107
1527857796,113,113
1527858256,37,73
1527858744,93,107
1527859695,112,116
1527859802,82,0
1527860666,107,81
1527861634,181,122
1527862576,168,102
1527863558,260,87
1527864495,123,0
1527865462,123,110
1527865933,79,40
1527866412,107,85
1527867002,67,0
1527867397,119,99
1527868334,126,100
1527869337,103,93
1527870274,103,74
1527870601,96,0
1527871221,117,91
1527872176,107,96
1527873385,97,120
1527874335,340,100
1527875313,152,93
1527876265,110,114
1527877222,140,106
1527877802,50,0
1527878194,128,84
1527879135,110,99
1527880098,103,215
1527881075,125,131
1527881401,58,0
1527882017,112,79
1527882987,146,128
1527883955,139,89
1527884898,131,123
1527885002,50,0
1527885858,122,102
1527886845,103,113
1527887775,140,109
1527888758,158,117
1527889692,100,105
1527890677,99,87
1527891617,114,73
1527892202,52,0
1527892894,114,84
1527894537,111,222
