DateTime,AddedIPs,RemovedIPs
1527601202,72,0
1527601322,13,0
1527602521,1,0
1527602618,0,1
1527603721,1,0
1527604322,1,0
1527605043,60,13
1527606121,1,0
1527606159,0,1
1527606963,56,87
1527607322,9,1
1527609122,4,0
1527609758,11,1
1527610802,74,17
1527610922,1,0
1527611581,7,0
1527613445,26,53
1527614521,4,0
1527615122,3,0
1527615364,58,146
1527615722,6,0
1527616321,1,0
1527617282,80,1
1527618121,4,0
1527620558,1,3
1527621722,2,1
1527623043,90,114
1527624121,2,0
1527625322,4,0
1527625922,1,1
1527626522,10,0
1527626882,63,0
1527627122,1,0
1527627819,2,2
1527628322,13,0
1527628803,0,65
1527628922,1,0
1527630121,22,0
1527630722,63,0
1527631322,1,1
1527631921,1,0
1527632642,1,90
1527633121,7,0
1527633721,3,0
1527634563,60,0
1527634958,1,1
1527635521,3,0
1527637321,2,0
1527638422,90,88
1527638558,2,1
1527639723,10,0
1527640322,43,90
1527640921,9,1
1527642218,2,0
1527643322,2,0
1527644164,67,68
1527644523,4,0
1527645721,1,1
1527646082,62,13
1527646921,2,0
1527649923,0,143
1527650522,4,0
1527651843,92,0
1527652960,8,1
1527654122,1,0
1527655321,3,0
1527655683,62,171
1527655922,2,0
1527656559,2,3
1527658322,6,1
1527658922,5,0
1527659522,95,0
1527660122,1,0
1527660158,0,4
1527660721,5,0
1527661444,2,76
1527661922,6,0
1527662522,1,0
1527663819,1,0
1527664921,17,0
1527665283,76,65
1527665522,2,1
1527667210,64,0
1527667421,3,0
1527667921,4,0
1527668521,1,0
1527669124,70,44
1527669722,1,0
1527670921,4,0
1527672121,7,0
1527672721,4,0
1527672964,60,58
1527673322,1,0
1527674521,2,0
1527674559,0,1
1527675721,5,0
1527676804,64,44
1527678122,6,4
1527678159,1,0
1527680884,63,53
1527681122,2,0
1527681759,2,0
1527682331,167,130
1527682814,0,65
1527682922,3,0
1527684122,2,2
1527684722,60,0
1527685359,0,1
1527685921,1,0
1527686644,61,55
1527687721,3,3
1527688959,0,3
1527690122,0,4
1527690481,0,55
1527692412,62,0
1527692559,10,4
1527693123,3,0
1527693722,4,2
1527694323,79,50
1527694922,6,11
1527696244,23,65
1527697322,8,0
1527698162,79,2
1527698522,9,0
1527699721,2,8
1527700321,0,8
1527700922,0,1
1527702243,64,26
1527703419,0,2
1527704163,0,124
1527704523,4,1
1527705721,9,0
1527706082,80,0
1527706321,0,6
1527706960,7,0
1527707521,3,3
1527708121,4,5
1527709322,0,14
1527709922,67,60
1527710521,1,6
1527710581,0,1
1527711843,1,67
1527713764,72,0
1527714180,20,1
1527715322,2,0
1527715981,1,3
1527716522,4,0
1527717614,58,17
1527717780,13,0
1527718321,1,0
1527718563,0,126
1527718922,1,1
1527719522,66,2
1527720121,7,0
1527721380,6,5
1527722522,2,0
1527723122,1,2
1527723603,82,17
1527724322,0,168
1527726122,2,0
1527726721,0,1
1527727443,53,1
1527728522,0,1
1527729363,60,12
1527729722,5,0
1527730322,0,7
1527730921,6,3
1527731283,12,60
1527732243,66,95
1527733203,0,85
1527733322,2,2
1527733922,5,0
1527735121,82,6
1527735780,0,2
1527736921,6,1
1527737522,1,3
1527738004,0,76
1527738721,5,1
1527738963,89,0
1527739380,0,4
1527739922,0,3
1527740522,1,2
1527741122,2,2
1527741842,67,92
1527742811,0,70
1527742922,19,2
1527743521,7,0
1527744121,5,16
1527744722,98,4
1527745322,1,3
1527746643,73,22
1527747722,9,2
1527748381,5,3
1527748921,0,1
1527749522,1,1
1527750182,2,0
1527750721,7,0
1527751443,0,119
1527751921,1,2
1527752403,72,0
1527752521,3,0
1527753363,0,70
1527753721,6,21
1527754322,6,0
1527754921,12,1
1527756242,67,2
1527756721,2,0
1527757322,0,9
1527757921,2,0
1527759122,0,8
1527759722,1,1
1527760083,59,52
1527760980,10,12
1527762004,41,56
1527762121,2,3
1527763322,1,7
1527763922,4,1
1527764582,3,0
1527765721,4,5
1527766921,5,4
1527767764,71,11
1527768181,5,1
1527768723,2,80
1527769322,3,29
1527769922,6,0
1527770521,7,0
1527771122,1,4
1527771613,72,0
1527771781,0,1
1527772321,0,1
1527772922,1,0
1527773522,0,2
1527774122,2,2
1527775444,58,21
1527775921,12,0
1527776402,0,92
1527776522,65,7
1527777722,14,42
1527778321,57,3
1527778980,8,0
1527779283,63,0
1527779522,42,0
1527780121,38,0
1527780721,0,6
1527781322,35,1
1527782644,78,67
1527783123,65,63
1527783722,13,1
1527784922,13,0
1527785522,42,2
1527786484,14,67
1527786721,5,0
1527787322,12,1
1527787922,12,7
1527787981,0,1
1527788522,23,0
1527789120,1,1
1527789780,52,2
1527790321,25,0
1527790802,83,0
1527790921,31,0
1527791522,14,1
1527792243,135,75
1527792722,89,18
1527793381,36,15
1527793922,1,0
1527794643,61,159
1527795122,8,0
1527795721,51,2
1527796322,48,1
1527796563,67,0
1527796921,39,2
1527796981,2,1
1527798122,4,1
1527799322,11,0
1527800643,86,22
1527801122,13,0
1527801844,19,110
1527802562,69,0
1527802921,25,7
1527803522,0,3
1527804181,42,20
1527804721,2,0
1527805322,18,33
1527805684,0,83
1527806404,102,21
1527806521,38,17
1527807122,61,0
1527807781,36,3
1527808324,121,12
1527809764,51,192
1527810121,44,4
1527810721,2,0
1527811322,35,3
1527812163,80,0
1527812522,53,1
1527813122,66,3
1527813721,61,0
1527814982,31,3
1527815522,32,3
1527816122,2,0
1527817443,146,76
1527817923,12,65
1527818582,6,6
1527819122,38,0
1527819721,42,23
1527820922,16,3
1527821522,13,4
1527822183,39,0
1527822722,114,9
1527823322,13,0
1527824642,116,10
1527825122,34,4
1527825721,49,0
1527825782,0,2
1527827044,46,166
1527827522,16,2
1527828122,23,1
1527828482,64,0
1527828722,13,0
1527829382,53,7
1527830522,13,6
1527830882,0,83
1527831181,38,0
1527831721,9,10
1527832322,125,0
1527833004,27,5
1527833522,18,0
1527834122,9,1
1527834722,10,76
1527835322,22,2
1527836164,67,0
1527836522,14,1
1527837122,11,2
1527837722,31,0
1527838322,27,2
1527838564,0,47
1527838921,1,0
1527839522,6,1
1527840017,82,0
1527840122,20,1
1527840483,0,54
1527840722,38,0
1527841322,11,0
1527841924,83,1
1527842523,17,2
1527843386,42728,2574
1527843844,79,15
1527844921,9,0
1527845522,15,0
1527846243,32,57
1527846722,7,0
1527847321,6,0
1527847382,1,4
1527847921,13,0
1527848521,4,0
1527849603,56,9
1527849721,44,0
1527850082,9,65
1527850321,11,0
1527850983,43,1
1527851523,65,55
1527852003,55,10
1527852121,29,0
1527853442,58,86
1527854521,36,0
1527854583,0,2
1527855122,37,0
1527855842,21,61
1527856321,9,0
1527856921,6,0
1527857282,62,0
1527858182,16,0
1527858722,14,0
1527859322,3,0
1527859683,0,63
1527859981,6,0
1527860521,12,0
1527861123,91,0
1527861782,32,3
1527862321,2,0
1527863044,85,19
1527863521,24,0
1527864122,5,0
1527865443,22,99
1527866521,11,0
1527867721,25,0
1527868322,7,0
1527868811,80,0
1527868921,26,0
1527869522,13,0
1527870122,10,0
1527870724,66,20
1527871322,5,0
1527872583,5,5
1527873363,16,102
1527873722,10,0
1527874322,8,0
