DateTime,AddedIPs,RemovedIPs
1527511467,107,109
1527513383,550,115
1527514087,73,0
1527515290,28,10
1527515408,82,128
1527517227,37,9
1527517803,72,91
1527518470,131,184
1527519131,33,7
1527520448,141,122
1527521052,36,1029
1527521197,1012,0
1527522027,105,159
1527523236,57,28
1527524118,116,77
1527525136,36,17
1527525316,93,165
1527527071,44,13
1527527717,217,159
1527528973,34,14
1527529517,86,339
1527530896,40,13
1527531324,179,102
1527532811,48,2
1527533102,96,75
1527534003,0,253
1527534735,123,31
1527534907,80,155
1527536667,46,16
1527536723,81,136
1527538243,139,83
1527538572,67,15
1527539073,268,0
1527539287,67,0
1527541726,152,388
1527542120,44,79
1527543614,52,12
1527543908,165,111
1527545557,39,19
1527545728,392,67
1527547456,99,17
1527548405,113,143
1527549379,53,10
1527550203,88,49
1527551311,136,77
1527552005,244,0
1527552519,107,60
1527553213,19,12
1527554332,382,137
1527554527,58,30
1527555134,22,12
1527555906,81,57
1527557072,287,0
1527558971,107,7
1527559561,147,184
1527560892,34,10
1527561729,135,99
1527562828,127,13
1527564347,50,96
1527564751,51,13
1527565330,37,247
1527566658,14,12
1527567246,150,74
1527568589,19,14
1527568667,129,154
1527570512,24,10
1527570933,167,122
1527571686,53,0
1527572413,22,13
1527573064,111,114
1527573603,0,254
1527574335,21,13
1527575019,96,126
1527575286,62,0
1527576276,66,104
1527578177,191,90
1527580094,189,144
1527581647,142,479
1527582033,39,17
1527582910,103,500
1527583934,34,9
1527584403,74,0
1527585328,60,623
1527585871,33,13
1527586512,83,632
1527587791,41,10
1527588929,138,706
1527589694,45,18
1527589803,72,0
1527591642,132,153
1527592001,65,97
1527593021,23,0
1527593537,27,11
1527594128,109,105
1527595473,28,1312
1527596046,129,63
1527597373,26,16
1527597931,107,110
1527599297,1073,73
1527599646,68,55
1527601227,26,19
1527601530,142,130
1527603140,189,22
1527603246,195,77
1527604203,507,0
1527605054,30,26
1527605122,320,111
1527606988,19,50
1527607429,289,140
1527607803,0,763
1527608895,158,174
1527610834,343,221
1527611404,94,1
1527613481,221,215
1527614686,103,93
1527615391,23,51
1527615965,214,152
1527617298,23,60
1527617725,256,0
1527618250,130,397
1527619236,13,54
1527619519,86,0
1527620461,140,741
1527621136,21,55
1527622087,85,0
1527623073,18,47
1527624005,78,342
1527624978,26,37
1527625377,74,92
1527626909,111,30
1527627015,65,148
1527628827,39,42
1527629041,93,68
1527630010,125,70
1527630733,35,21
1527632129,109,334
1527632654,29,33
1527633013,91,80
1527633728,51,20
1527634596,36,41
1527634804,46,0
1527636495,104,122
1527636603,47,256
1527638436,198,147
1527640353,106,89
1527640927,116,74
1527642258,902,0
1527642311,69,99
1527644190,26,18
1527644712,152,115
1527646096,18,21
1527646449,81,68
1527648013,11,27
1527648333,47,85
1527649953,104,78
1527651004,81,93
1527651855,27,63
1527651957,93,93
1527653772,11,43
1527654347,103,118
1527655695,131,162
1527656404,63,1
1527658087,128,58
1527659534,50,105
1527660846,165,222
1527662409,15,110
1527662412,124,109
1527664347,39,55
1527664909,89,151
1527666251,231,187
1527667204,0,254
1527668171,221,115
1527670091,183,115
1527671112,144,72
1527672021,30,39
1527673942,154,22
1527674403,89,105
1527675247,116,151
1527675850,30,34
1527676087,47,0
1527677767,124,60
1527678003,99,152
1527680921,184,297
1527682840,142,1711
1527683287,89,0
1527684752,24,24
1527685203,119,143
1527685255,20,121
1527686656,792,0
1527688591,50,24
1527688805,106,143
1527690160,80,103
1527690491,33,38
1527690603,0,1013
1527691327,129,141
1527692430,44,317
1527693246,146,88
1527694352,20,28
1527694927,132,144
1527696003,61,0
1527696262,32,16
1527696912,72,162
1527698197,62,18
1527699606,100,114
1527700360,107,162
1527702258,159,182
1527704182,135,126
1527704844,764,0
1527705003,87,0
