DateTime,Entries,UniqueIPs
1527636495,65877,9315294
1527636692,65871,9315288
1527637411,65867,9315284
1527638134,65868,9315280
1527638436,65866,9315278
1527638852,65871,9315283
1527639572,65876,9315284
1527640352,66005,9315412
1527640809,66021,9315428
1527641013,66019,9315422
1527641732,66016,9315418
1527642258,66012,9315414
1527642692,66007,9315409
1527643411,66008,9315410
1527644189,65994,9315395
1527644853,65995,9315393
1527645571,65995,9315393
1527646291,65991,9315388
1527647011,65957,9315354
1527647731,65952,9315348
1527648012,65936,9315331
1527648452,65936,9315329
1527649172,65937,9315329
1527649952,65926,9315315
1527650613,65924,9315313
1527651332,65925,9315314
1527651854,65931,9315319
1527652224,65928,9315316
1527653252,65938,9315631
1527653771,65928,9315618
1527653972,65929,9315619
1527654692,65929,9315616
1527655463,65941,9315627
1527655694,65935,9315618
1527656132,65932,9315615
1527656851,65922,9315605
1527657629,65920,9315604
1527658293,65918,9315601
1527659013,65915,9315596
1527659533,65913,9315593
1527659972,65910,9315590
1527660692,65915,9315595
1527661412,65916,9315596
1527662132,65851,9315531
1527662853,65868,9315548
1527663375,65867,9315547
1527663572,65866,9315546
1527664292,65868,9315547
1527665013,65869,9315549
1527665732,65865,9315545
1527666453,65866,9315547
1527667244,65858,9315538
1527667653,65860,9315540
1527668372,65862,9315542
1527669156,65859,9315539
1527669812,65861,9315541
1527670090,65866,9315547
1527670532,65868,9315549
1527671057,65864,9315545
1527671252,65862,9315543
1527671972,65864,9315545
1527672692,65865,9315546
1527672973,65863,9315543
1527673892,65865,9315545
1527674612,65865,9315545
1527674896,65865,9315545
1527675390,65866,9315546
1527676052,65864,9315543
1527676772,65863,9315542
1527677492,65866,9315545
1527678212,65864,9315543
1527678741,65862,9315541
1527678932,65860,9315538
1527679449,65861,9315539
1527680920,65918,9315597
1527682052,65923,9315602
1527682839,65928,9315607
1527683252,65951,9315630
1527683972,65951,9315631
1527684751,65962,9315644
1527685412,65968,9315650
1527686131,65967,9315649
1527686656,65966,9315647
1527687093,65958,9315635
1527687812,65947,9315619
1527688590,65935,9315603
1527689252,65922,9315585
1527689972,65910,9315567
1527690490,65912,9315569
1527690692,65931,9315583
1527691412,65924,9315574
1527692133,65918,9315563
1527692429,65923,9315568
1527692852,65919,9315558
1527693572,65913,9315546
1527694351,65891,9315523
1527695012,65880,9315510
1527695732,65872,9315500
1527696261,65873,9315501
1527696692,65871,9315497
1527697412,65868,9315493
1527698196,65855,9315480
1527698852,65852,9315477
1527699365,65866,9315491
1527699573,65859,9315483
1527700360,65859,9315483
1527701011,65832,9315456
1527701528,65833,9315457
1527701733,65826,9315450
1527702257,65833,9315457
1527702692,65829,9315452
1527703652,65517,9315131
1527704181,65519,9315133
1527704613,65518,9315132
1527705333,65590,9315204
1527706053,65588,9315202
1527706773,65587,9315201
1527707492,65585,9315199
1527708017,65589,9315199
1527708211,65583,9315193
1527708931,65580,9315190
1527709652,65580,9315190
1527709932,65574,9315183
1527710373,65573,9315182
1527711092,65569,9315178
1527711872,65576,9315184
1527712532,65549,9315156
1527713252,65545,9315152
1527713772,65547,9315155
1527714270,65557,9315165
1527714932,65553,9315161
1527715709,65555,9315163
1527716372,65547,9315154
1527717091,65539,9315146
1527717636,65548,9315155
1527718051,65540,9315146
1527718772,65537,9315143
1527720153,65533,9315138
1527720453,65526,9315131
1527721653,65513,9315118
1527722173,65504,9315109
1527722371,65497,9315101
1527723128,65497,9315101
1527723812,65500,9315103
1527724089,65500,9315101
1527724531,65505,9315106
1527725252,65501,9315102
1527726024,65503,9315105
1527726490,65415,9315017
1527727172,65398,9315000
1527727941,65392,9314994
1527728613,65392,9314994
1527728888,65403,9315005
1527729332,65401,9315003
1527729851,65412,9315014
1527730292,65408,9315010
1527731011,65406,9315008
1527731782,65392,9314993
1527732452,65394,9314995
1527733172,65391,9314992
1527733691,65398,9314999
1527733892,65396,9314997
1527734612,65390,9314991
1527735331,65384,9314985
1527735617,65384,9314985
1527736052,65381,9314981
1527736772,65380,9314980
1527737548,65379,9314979
1527737972,65380,9314980
1527738692,65381,9314981
1527739468,65361,9315211
1527740132,65359,9315208
1527740853,65357,9315206
1527741369,65362,9315211
1527741572,65355,9315204
1527742292,65353,9315202
1527743011,65347,9315196
1527743292,65347,9315194
1527743527,65350,9315197
1527743732,65349,9315195
1527744693,65388,9315235
1527745212,65403,9315250
1527745413,65400,9315247
1527746131,65395,9315241
1527746853,65390,9315236
1527747134,65388,9315233
1527747572,65384,9315229
1527748532,65377,9315222
1527749054,65384,9315230
1527749972,65368,9315214
1527750692,65365,9315210
1527750969,65373,9315219
1527751412,65370,9315215
1527752373,65366,9315212
1527752888,65358,9315204
1527753092,65353,9315199
1527753812,65349,9315195
1527754533,65375,9315221
1527754808,65370,9315215
1527755253,65367,9315212
1527755972,65380,9315226
1527756745,65370,9315216
1527757412,65368,9315214
1527758184,65384,9315230
1527758651,65378,9315224
1527759091,65374,9315218
1527759812,65373,9315217
1527760586,65374,9315218
1527761252,65366,9315210
1527761972,65366,9315211
1527762493,65368,9315213
1527762693,65370,9315214
1527763411,65373,9315217
1527764132,65366,9315211
1527764426,65353,9315198
1527764851,65354,9315199
1527765573,65349,9315194
1527766345,65298,9315142
1527766811,65299,9315143
1527767012,65294,9315138
1527767733,65401,9315246
1527769653,65377,9316242
1527770170,65363,9316228
1527770372,65365,9316230
1527771093,65366,9316231
1527771812,65363,9316228
1527772092,65356,9316221
1527772532,65352,9316217
1527772806,65361,9316226
1527773252,65359,9316224
1527773972,65364,9316229
1527774692,65363,9316228
1527775412,65366,9316231
1527775935,65369,9316234
1527776372,65363,9316228
1527777093,65349,9316214
1527777776,65364,9316229
1527778053,65335,9316197
1527778773,65317,9316177
1527779493,65300,9316160
1527779766,65290,9316150
1527780212,65278,9316136
1527780932,65264,9316122
1527781702,65247,9316103
1527782372,65237,9316092
1527783093,65225,9316076
1527783614,65232,9316084
1527783813,65220,9316071
1527784533,65216,9316066
1527785791,65199,9316049
1527786452,65184,9316034
1527787173,65168,9316018
1527787449,65174,9316024
1527787952,65160,9316010
1527788612,65156,9316006
1527788895,65159,9316009
1527789332,65151,9316001
1527789864,65162,9316013
1527790051,65158,9316009
1527790772,65155,9316006
1527791493,65142,9315993
1527792023,65133,9315984
1527792212,65066,9315917
1527792933,64982,9315832
1527793953,64978,9315828
1527794612,64974,9315824
1527795332,64972,9315822
1527795853,64977,9315827
1527796051,64976,9315826
1527796772,64968,9315816
1527797492,64961,9315809
1527797770,64967,9315815
1527798211,64964,9315811
1527798932,64958,9315805
1527799651,64962,9315809
1527800372,64959,9315806
1527801092,64957,9315803
1527801615,64951,9315797
1527801812,64943,9315789
1527802088,64952,9315798
1527802532,64954,9315800
1527803252,64955,9315801
1527803530,64953,9315798
1527803971,64954,9315799
1527804692,64957,9315802
1527805465,64965,9315810
1527806560,64971,9315816
1527807384,64983,9315828
1527808292,64979,9315824
1527809801,65047,9315892
1527810488,65044,9315889
1527810632,65044,9315889
1527811413,65037,9315882
1527811697,65034,9315879
1527812131,65034,9315879
1527813092,65034,9315879
1527813612,65045,9315890
1527813812,65044,9315889
1527814532,65045,9315890
1527815252,65046,9315892
1527815536,65050,9315896
1527815972,65046,9315892
1527816738,65052,9315897
1527817468,65053,9315899
1527818141,65050,9315896
1527818851,65051,9315897
1527819378,65046,9315891
1527819812,65074,9315919
1527820532,65076,9315921
1527821311,65070,9315914
1527821972,65063,9315907
1527822692,65065,9315909
1527823209,65071,9315914
1527824374,65069,9315912
1527825155,65065,9315907
1527825812,65058,9315902
1527826532,65054,9315898
1527827054,65052,9315896
1527827492,65056,9315900
1527828212,65055,9315899
1527829001,65046,9315890
1527829651,65044,9315888
1527830373,64936,9315776
1527830894,64940,9315780
1527831389,64936,9315776
1527832292,64933,9315773
1527832565,64935,9315775
1527833253,64938,9315777
1527833972,64943,9315783
1527834755,65036,9315876
1527835412,65034,9315874
1527836133,65025,9315865
1527836658,65028,9315868
1527837092,65020,9315860
1527837812,65019,9315859
1527838586,65030,9315870
1527839252,65022,9315861
1527840452,65022,9315861
1527841172,64972,9315810
1527841892,64972,9315810
1527842612,64961,9315798
1527844052,64966,9315803
1527844340,64952,9315787
1527844771,64947,9315782
1527845492,64942,9315777
1527846006,64943,9315778
1527846212,64940,9315775
1527846932,64940,9315775
1527847651,64946,9315781
1527848372,64944,9315778
1527849092,64939,9315773
1527849812,64942,9315776
1527850098,64949,9315783
1527850533,64920,9315753
1527851253,64917,9315750
1527852024,64928,9315761
1527852691,64922,9315754
1527853412,64919,9315751
1527853931,64928,9315760
1527854169,64845,9315676
1527854856,64804,9315635
1527855572,64771,9315602
1527855857,64776,9315609
1527856291,64781,9315614
1527857012,64782,9315614
1527857781,64777,9315609
1527858452,64777,9315609
1527859172,64777,9315609
1527859691,64780,9315612
1527860133,64776,9315608
1527860657,64783,9315615
1527861092,64781,9315613
1527861629,64784,9315617
1527862052,64783,9315616
1527862771,64781,9315614
1527863549,64785,9315618
1527864212,64787,9315620
1527864933,64777,9315610
1527865892,64777,9315611
1527866612,64777,9315611
1527867389,64771,9315605
1527868532,64766,9315600
1527869333,64767,9315601
1527870212,64771,9315605
1527870932,64771,9315605
1527871652,64775,9315609
1527872852,64784,9315619
1527873381,64787,9315623
1527873813,64882,9315720
1527874532,64890,9315728
1527875304,64898,9315736
1527875973,64896,9315735
1527876261,64898,9315737
1527876692,64908,9315747
1527877214,64910,9315750
1527877412,64909,9315749
1527878132,64914,9315754
1527878853,64914,9315755
1527879131,64906,9315747
1527879573,64907,9315748
1527880292,64912,9315753
1527881067,64918,9315761
1527881731,64916,9315759
1527882453,64913,9315756
1527883172,64916,9315761
1527883892,64915,9315760
1527884611,64916,9315761
1527884892,64911,9315754
1527885333,64952,9315795
1527886052,64957,9315800
1527886836,64967,9315810
1527887252,64969,9315812
1527887972,64967,9315810
1527888751,64974,9315817
1527889412,64976,9315819
1527889925,64981,9315824
1527890131,64982,9315825
1527890662,64985,9315828
1527891092,64988,9315832
1527891812,64987,9315831
1527892885,64998,9315843
1527894998,64930,9315774
1527895652,64879,9315723
1527896372,64881,9315725
1527897093,64886,9315730
1527897812,64888,9315732
1527898531,64892,9315736
1527898808,64893,9315737
1527899252,64896,9315740
1527899971,64892,9315736
1527900743,64899,9315743
1527901423,65058,9315901
1527902192,65060,9315903
1527903091,65058,9315902
1527903812,65060,9315904
1527904581,65057,9315898
1527905252,65033,9315874
1527906032,65013,9315854
1527906692,65021,9315862
1527907413,65020,9315861
1527908132,65021,9315862
1527908415,65023,9315865
1527908851,65025,9315867
1527909572,65027,9315869
1527910347,65025,9315867
1527910983,65025,9315605
1527912256,65021,9315600
1527914984,65027,9315607
1527919338,64842,9315421
1527923874,64850,9315429
1527926509,64643,9315221
1527929144,64842,9315422
1527932431,64633,9315213
1527934657,64827,9315407
1527935857,64821,9315401
1527939392,64913,9315493
1527945472,64902,9315484
1527951944,64992,9315573
1527955772,64970,9315551
1527961734,62826,9313354
1527965311,62451,9312974
1527966544,64936,9315520
1527968941,64938,9315522
1527982434,64870,9315451
1527983465,64853,9315433
1527984788,64363,9314926
1527991981,64623,9315200
1527993212,64611,9315188
1527994470,64612,9315189
1527995552,64608,9315184
1527999200,64185,415085
1528003227,63482,361353
1528004239,64200,415099
1528005332,64200,415099
1528006102,64211,415109
1528006773,64207,415105
1528007731,64204,415102
