DateTime,AddedIPs,RemovedIPs
1527499322,1,0
1527500521,0,1
1527501121,1,0
1527501722,3,0
1527502922,1,0
1527503522,1,0
1527504122,2,0
1527505322,7,0
1527506521,12,0
1527507122,10,0
1527507722,5,0
1527508322,3,0
1527508921,3,0
1527512522,0,1
1527513122,2,0
1527513721,6,0
1527514322,12,0
1527514922,1,0
1527515522,2,0
1527516121,14,0
1527516722,1,0
1527517322,0,2
1527518522,2,0
1527519122,1,0
1527519722,37,0
1527520922,35,2
1527522121,3,0
1527523322,2,0
1527523922,19,0
1527524521,6,0
1527525122,6,0
1527525721,17,0
1527526322,7,0
1527526921,5,0
1527527521,3,0
1527528122,13,1
1527529322,13,0
1527530521,13,0
1527531722,8,0
1527532921,2,0
1527534122,6,0
1527534721,13,0
1527535322,4,0
1527536522,8,0
1527537122,10,0
1527537721,2,0
1527538922,2,0
1527539522,4,0
1527540121,3,0
1527541321,4,1
1527541921,4,0
1527542521,1,0
1527543121,7,0
1527543722,2,0
1527544922,3,1
1527545522,2,0
1527546121,9,0
1527546721,4,0
1527547321,6,0
1527547922,1,0
1527549721,2,0
1527550322,1,0
1527550921,3,0
1527551522,6,0
1527552121,3,0
1527552721,2,0
1527554522,6,0
1527555722,1,0
1527556322,5,0
1527556922,6,0
1527558122,2,0
1527559323,3,0
1527559921,15,0
1527560521,6,0
1527561121,7,0
1527561722,1,0
1527562922,1,0
1527564121,15,1
1527565321,3,0
1527566522,3,0
1527568922,10,0
1527569521,1,0
1527570122,3,1
1527570723,1,0
1527571322,5,0
1527572521,0,1
1527573122,1,0
1527573722,2,0
1527576121,10,0
1527577322,5,0
1527578522,1,0
1527579721,3,0
1527580922,1,0
1527581522,2,0
1527582122,10,0
1527583322,1,0
1527585721,1,0
1527588121,1,1
1527591722,2,0
1527592922,2,0
1527593581,0,2
1527594121,7,0
1527596522,1,0
1527597122,1,0
1527597721,1,0
1527601322,13,0
1527602521,1,0
1527603721,1,0
1527604322,1,0
1527604922,1,0
1527606121,1,0
1527607322,9,1
1527609122,4,0
1527609722,11,0
1527610922,1,0
1527611581,7,0
1527613323,9,0
1527614521,4,0
1527615122,3,0
1527615722,6,0
1527616321,1,0
1527618121,4,0
1527620522,1,0
1527621722,2,1
1527622921,2,0
1527624121,2,0
1527625322,4,0
1527625922,1,1
1527626522,10,0
1527627122,1,0
1527627722,2,0
1527628322,13,0
1527628922,1,0
1527630121,22,0
1527631322,1,1
1527631921,1,0
1527632522,1,0
1527633121,7,0
1527633721,3,0
1527634921,1,0
1527635521,3,0
1527637321,2,0
1527638522,1,0
1527639723,10,0
1527640921,9,1
1527642121,2,0
1527643322,2,0
1527644523,4,0
1527645721,1,1
1527646921,2,0
1527650522,4,0
1527652921,8,0
