DateTime,Entries,UniqueIPs
1527128669,2413,2413
1527130631,2386,2386
1527132511,2375,2375
1527134435,2338,2338
1527136352,2325,2325
1527138277,2320,2320
1527140195,2317,2317
1527142125,2323,2323
1527144031,2323,2323
1527145958,2311,2311
1527148118,2292,2292
1527150029,2282,2282
1527151972,2267,2267
1527153858,2252,2252
1527155789,2243,2243
1527157711,2229,2229
1527159618,2222,2222
1527161555,2220,2220
1527163481,1208,1208
1527165387,1203,1203
1527167318,1713,1713
1527169483,1722,1722
1527171379,1731,1731
1527173571,1760,1760
1527175454,1772,1772
1527177388,1806,1806
1527179289,1851,1851
1527181219,1917,1917
1527183140,1940,1940
1527185074,1950,1950
1527187214,1969,1969
1527189138,1970,1970
1527191059,1977,1977
1527192972,1970,1970
1527194895,1961,1961
1527196809,1954,1954
1527198739,1952,1952
1527200653,1955,1955
1527202567,1960,1960
1527204490,1955,1955
1527206660,1963,1963
1527208585,1979,1979
1527210505,2454,2454
1527212413,2459,2459
1527214356,2459,2459
1527216271,2463,2463
1527218185,2471,2471
1527220108,2494,2494
1527222016,2510,2510
1527223939,2524,2524
1527225856,2529,2529
1527227785,2536,2536
1527229696,2540,2540
1527231625,2554,2554
1527233538,2556,2556
1527235472,2555,2555
1527237383,2564,2564
1527239300,2558,2558
1527241218,2560,2560
1527243138,2573,2573
1527245058,2576,2576
1527246976,2580,2580
1527248896,2581,2581
1527250824,1592,1592
1527253487,2012,2012
1527255393,2029,2029
1527257316,2043,2043
1527259215,2065,2065
1527261404,2082,2082
1527263294,2096,2096
1527265481,2116,2116
1527267394,2126,2126
1527269297,2130,2130
1527271232,2149,2149
1527273158,2167,2167
1527275060,2166,2166
1527276992,2171,2171
1527278898,2189,2189
1527280821,2209,2209
1527282755,2218,2218
1527284666,2232,2232
1527286576,2236,2236
1527288978,2252,2252
1527288978,2252,2252
1527291915,2266,2266
1527294081,2274,2274
1527296569,2626,2626
1527298629,2628,2628
1527298629,2628,2628
1527301516,2632,2632
1527303907,2637,2637
1527303907,2637,2637
1527306322,2637,2637
1527306322,2637,2637
1527308944,2630,2630
1527308944,2630,2630
1527311829,2628,2628
1527311829,2628,2628
1527314945,2632,2632
1527314945,2632,2632
1527317090,2629,2629
1527317090,2629,2629
1527319026,2623,2623
1527319026,2623,2623
1527321420,2628,2628
1527321420,2628,2628
1527323602,2637,2637
1527323602,2637,2637
1527325988,2650,2650
1527325988,2650,2650
1527327908,2650,2650
1527327908,2650,2650
1527330536,2654,2654
1527330536,2654,2654
1527332712,2643,2643
1527332712,2643,2643
1527335106,2644,2644
1527335106,2644,2644
1527337528,1259,1259
1527337528,1259,1259
1527339911,1449,1449
1527342068,1879,1879
1527342068,1879,1879
1527344234,1875,1875
1527344234,1875,1875
1527347105,1870,1870
1527349034,1857,1857
1527351457,1846,1846
1527353344,1834,1834
1527353344,1834,1834
1527355996,1827,1827
1527355996,1827,1827
1527358632,1819,1819
1527360545,1812,1812
1527360545,1812,1812
1527363187,1790,1790
1527363187,1790,1790
1527365823,1786,1786
1527365823,1786,1786
