DateTime,Entries,UniqueIPs
1527543004,25058,25058
1527543903,24973,24973
1527544803,24706,24706
1527545703,24430,24430
1527546603,24297,24297
1527547503,24216,24216
1527548403,24075,24075
1527549303,23954,23954
1527550204,23752,23752
1527551102,23542,23542
1527552003,23114,23114
1527552902,22742,22742
1527553802,22496,22496
1527554703,22325,22325
1527555602,22174,22174
1527556502,22103,22103
1527557402,21888,21888
1527558302,21740,21740
1527559202,21699,21699
1527560103,21766,21766
1527561003,21507,21507
1527561902,21230,21230
1527562802,21027,21027
1527563702,20716,20716
1527564602,20387,20387
1527565503,20189,20189
1527566403,19914,19914
1527567303,19803,19803
1527568203,19439,19439
1527569103,19096,19096
1527570003,18880,18880
1527570903,20068,20068
1527571802,19908,19908
1527572702,19664,19664
1527573603,18908,18908
1527574502,18563,18563
1527575403,18205,18205
1527576303,17976,17976
1527577203,17664,17664
1527578102,17558,17558
1527579002,17345,17345
1527579902,17092,17092
1527580803,16865,16865
1527581702,16623,16623
1527582603,16432,16432
1527583502,16253,16253
1527584402,16018,16018
1527585302,15864,15864
1527586203,15942,15942
1527587102,15791,15791
1527588003,15593,15593
1527588902,15528,15528
1527589803,15353,15353
1527590703,15130,15130
1527591603,14962,14962
1527592503,14821,14821
1527593402,14078,14078
1527594303,13813,13813
1527595202,13644,13644
1527596102,13415,13415
1527597002,13172,13172
1527597903,13041,13041
1527598802,12884,12884
1527599703,12816,12816
1527600602,12565,12565
1527601503,12581,12581
1527602402,12423,12423
1527603302,12342,12342
1527604202,12126,12126
1527605102,12141,12141
1527606002,12170,12170
1527606902,12060,12060
1527607802,11917,11917
1527608701,11652,11652
1527609602,11507,11507
1527610502,11731,11731
1527611402,12366,12366
1527613202,13003,13003
1527614102,12713,12713
1527615003,11613,11613
1527615902,11393,11393
1527616802,11204,11204
1527617702,11064,11064
1527618602,10736,10736
1527619502,10567,10567
1527620402,10241,10241
1527621302,9992,9992
1527622202,9681,9681
1527623102,9425,9425
1527624001,9167,9167
1527624902,8878,8878
1527625801,8661,8661
1527626702,8437,8437
1527627601,8244,8244
1527628501,8021,8021
1527629401,7842,7842
1527630301,7674,7674
1527631202,7483,7483
1527632101,7332,7332
1527633001,6805,6805
1527633901,5743,5743
1527634801,4995,4995
1527635702,4463,4463
1527636601,4203,4203
1527637502,4100,4100
1527638401,3972,3972
1527639301,3815,3815
1527640202,3696,3696
1527641101,3541,3541
1527642001,3361,3361
1527642901,3175,3175
1527643801,2940,2940
1527644701,2812,2812
1527645601,2509,2509
1527646501,2322,2322
1527647401,2088,2088
1527648301,1919,1919
1527649201,1681,1681
1527650101,1530,1530
1527651001,1431,1431
1527651901,1436,1436
1527652801,1377,1377
1527653701,1430,1430
1527654601,1429,1429
1527655501,1430,1430
1527656401,1434,1434
1527657301,1502,1502
1527658201,1511,1511
1527659101,1561,1561
1527660001,1560,1560
1527660901,1668,1668
1527661801,1710,1710
1527662701,1938,1938
1527663601,2097,2097
1527664501,2192,2192
1527665402,2788,2788
1527666301,3977,3977
1527667201,4666,4666
1527668102,5166,5166
1527669001,5523,5523
1527669901,5793,5793
1527670801,6070,6070
1527671702,6237,6237
1527672601,6272,6272
1527673501,6348,6348
1527674402,6375,6375
1527675301,6410,6410
1527676201,6399,6399
1527677101,6390,6390
1527678002,6382,6382
1527678901,6415,6415
1527680702,6392,6392
1527681601,6350,6350
1527682501,6356,6356
1527683401,6296,6296
1527684301,6283,6283
1527685201,6059,6059
1527686101,5942,5942
1527687001,5914,5914
1527687901,5378,5378
1527688801,4262,4262
1527689702,3609,3609
1527690601,3487,3487
1527691501,3673,3673
1527692401,3511,3511
1527693301,3517,3517
1527694201,4158,4158
1527695101,4231,4231
1527696002,4229,4229
1527696901,4253,4253
1527697801,4257,4257
1527698702,4277,4277
1527699601,4290,4290
1527700501,4300,4300
1527701402,5251,5251
1527702301,7913,7913
1527703201,8537,8537
1527704102,9418,9418
1527705001,10232,10232
1527705902,10901,10901
1527706801,11582,11582
1527707702,12193,12193
1527708601,12748,12748
1527709502,13244,13244
1527710402,13762,13762
1527711302,14284,14284
1527712201,14739,14739
1527713102,14817,14817
1527714002,14737,14737
1527714902,15085,15085
1527715801,14958,14958
1527716701,14139,14139
1527717602,14348,14348
1527718502,14683,14683
1527719402,15033,15033
1527720302,15376,15376
1527721203,15713,15713
1527722101,16014,16014
1527723002,16353,16353
1527723903,16613,16613
1527724802,16978,16978
1527725702,17393,17393
1527726602,17744,17744
1527727502,18078,18078
1527728402,18390,18390
1527729303,18702,18702
1527730203,19046,19046
1527731102,19372,19372
1527732002,19784,19784
1527732903,20172,20172
1527733802,20516,20516
1527734703,20881,20881
1527735602,21228,21228
1527736503,21644,21644
1527737403,21962,21962
1527738303,22325,22325
1527739203,22663,22663
1527740103,23088,23088
1527741002,23429,23429
1527741903,23790,23790
1527742802,24099,24099
1527743703,24545,24545
1527744603,24838,24838
1527745503,24269,24269
1527746403,21994,21994
1527747302,21810,21810
1527748202,21321,21321
1527749103,20970,20970
1527750002,20832,20832
1527750903,20986,20986
1527751803,22532,22532
1527752702,23096,23096
1527753602,23339,23339
1527754503,23429,23429
1527755403,23441,23441
1527756303,23571,23571
1527757203,23764,23764
1527758103,23985,23985
1527759002,24132,24132
1527759903,24524,24524
1527760803,25035,25035
1527761702,25224,25224
1527762603,25379,25379
1527763503,25502,25502
1527764403,25676,25676
1527765302,25867,25867
1527766202,26100,26100
1527767103,26287,26287
1527768003,26493,26493
1527768903,26616,26616
1527769803,26760,26760
1527770703,26950,26950
1527771603,27093,27093
1527772503,27357,27357
1527773403,27631,27631
1527774304,27500,27500
1527775202,27482,27482
1527776103,27457,27457
1527777003,27434,27434
1527777902,27426,27426
1527778803,27451,27451
1527779704,27616,27616
1527780603,27749,27749
1527781503,27963,27963
1527782403,28065,28065
1527783303,28164,28164
1527784203,28125,28125
1527785104,28081,28081
1527786003,27989,27989
1527786903,27980,27980
1527787803,27866,27866
1527788703,27871,27871
1527789603,27822,27822
1527790503,27759,27759
1527791403,27663,27663
1527792303,27573,27573
1527793203,27459,27459
1527794103,27233,27233
1527795002,26668,26668
1527795902,25053,25053
1527796802,24357,24357
1527797703,23860,23860
1527798603,23455,23455
1527799503,23222,23222
1527800403,22993,22993
1527801303,22671,22671
1527802203,22310,22310
1527803103,22032,22032
1527804003,21741,21741
1527804902,21562,21562
1527805802,21366,21366
1527806702,21125,21125
1527807603,20960,20960
1527809403,20494,20494
1527810303,20278,20278
1527811203,20081,20081
1527812103,19892,19892
1527813002,19745,19745
1527813902,19572,19572
1527814802,19377,19377
1527815703,19279,19279
1527816603,19105,19105
1527817502,18829,18829
1527818403,18698,18698
1527819303,18673,18673
1527820202,18743,18743
1527821102,18753,18753
1527822003,18740,18740
1527822903,18705,18705
1527823802,18616,18616
1527824703,18644,18644
1527825603,18484,18484
1527826502,18453,18453
1527827402,18451,18451
1527828302,18523,18523
1527829202,18660,18660
1527830103,18903,18903
1527831002,18980,18980
1527831902,19131,19131
1527832802,19239,19239
1527833703,19448,19448
1527834603,19519,19519
1527835502,19694,19694
1527836402,19769,19769
1527837302,20015,20015
1527838202,20175,20175
1527839103,20365,20365
1527840002,20593,20593
1527840903,20787,20787
1527841802,21011,21011
1527842703,21262,21262
1527843602,21448,21448
1527844503,21572,21572
1527845403,21757,21757
1527846303,21865,21865
1527847202,22086,22086
1527848103,22311,22311
1527849002,22382,22382
1527849903,22434,22434
1527850803,22560,22560
1527851703,22547,22547
1527852603,22644,22644
1527853503,22735,22735
1527854402,22832,22832
1527855303,23084,23084
1527856203,23145,23145
1527857103,23241,23241
1527858003,23416,23416
1527858903,23515,23515
1527859803,23490,23490
1527860703,23497,23497
1527861603,23669,23669
1527862502,23504,23504
1527863403,23484,23484
1527864303,23507,23507
1527865202,23551,23551
1527866103,23682,23682
1527867003,23890,23890
1527867903,23927,23927
1527868802,23741,23741
1527869703,23753,23753
1527870603,23758,23758
1527871503,23638,23638
1527872403,23554,23554
1527873303,23634,23634
1527874202,23474,23474
1527875103,23354,23354
1527876003,23209,23209
1527876902,23103,23103
1527877803,22887,22887
1527878703,22763,22763
1527879602,22497,22497
1527880503,22409,22409
1527881403,22111,22111
1527882303,21993,21993
1527883202,21840,21840
1527884102,21487,21487
1527885003,21136,21136
1527885903,20617,20617
1527886803,20421,20421
1527887702,20195,20195
1527888603,19961,19961
1527889503,19673,19673
1527890402,19494,19494
1527891303,19260,19260
1527892203,19103,19103
1527894002,18827,18827
1527894903,18693,18693
1527895802,18533,18533
1527896703,18378,18378
1527897603,18291,18291
1527898503,18097,18097
1527899403,17839,17839
1527900302,17701,17701
1527901202,17657,17657
1527902103,17472,17472
1527903002,17376,17376
1527903902,17366,17366
1527904803,17240,17240
1527905702,17198,17198
1527906603,17356,17356
1527907502,17340,17340
1527908402,17169,17169
1527909302,17163,17163
1527910202,17051,17051
1527911102,16859,16859
1527912003,16730,16730
1527912003,16730,16730
1527914703,16633,16633
1527916502,16728,16728
1527919202,16696,16696
1527921002,16920,16920
1527923702,17237,17237
1527925502,17403,17403
1527926403,17465,17465
1527927302,17520,17520
1527929103,17794,17794
1527930002,18095,18095
1527930902,18093,18093
1527931803,18099,18099
1527933602,18257,18257
1527934503,18356,18356
1527935402,18381,18381
1527937202,18423,18423
1527938103,18466,18466
1527939002,18395,18395
1527940803,18556,18556
1527941703,18586,18586
1527942602,18631,18631
1527943502,18688,18688
1527945302,18587,18587
1527946202,18503,18503
1527947102,18478,18478
1527948002,18390,18390
1527948903,18403,18403
1527950703,18320,18320
1527951603,18262,18262
1527952503,18311,18311
1527954302,18139,18139
1527955202,18062,18062
1527956102,18058,18058
1527957902,17893,17893
1527958802,17879,17879
1527959702,17906,17906
1527961502,17736,17736
1527962403,17646,17646
1527963302,17574,17574
1527965102,17548,17548
1527966002,17446,17446
1527966902,17406,17406
1527968702,17179,17179
1527969602,17090,17090
1527970502,17007,17007
1527972302,16872,16872
1527973202,16819,16819
1527974102,16759,16759
1527975002,16663,16663
1527975902,16591,16591
1527977703,16466,16466
1527978602,16406,16406
1527979502,16377,16377
1527981303,16313,16313
1527982203,16308,16308
1527983102,16339,16339
1527984003,16292,16292
1527985802,16235,16235
1527986702,16181,16181
1527987603,16126,16126
1527989402,16130,16130
1527990302,16138,16138
1527991203,16083,16083
1527993003,16082,16082
1527993903,16064,16064
1527994802,16069,16069
1527996603,16093,16093
1527997502,16103,16103
1527998402,16164,16164
1528000203,16255,16255
1528001102,16264,16264
1528002002,16255,16255
1528003803,16263,16263
1528004702,16295,16295
1528005602,16333,16333
1528006502,16424,16424
1528007402,16450,16450
1528008303,16446,16446
1528009202,16262,16262
1528010103,16313,16313
1528011003,16283,16283
1528011903,16390,16390
1528012803,16574,16574
1528013703,16834,16834
1528014602,16941,16941
1528015503,16963,16963
1528016402,16994,16994
1528017302,17113,17113
1528018202,17220,17220
1528019102,17288,17288
1528020002,17348,17348
1528020902,17432,17432
