DateTime,Entries,UniqueIPs
1522854011,2853,2853
1522868410,2851,2851
1522882811,2989,2989
1522897212,3053,3053
1522911612,3082,3082
1522926011,3159,3159
1522940412,3160,3160
1522954811,3205,3205
1522969227,3116,3116
1522983613,3049,3049
1522998010,3054,3054
1523012410,3073,3073
1523026811,3011,3011
1523041209,2929,2929
1523055610,2901,2901
1523066406,2831,2831
1523080810,2748,2748
1523095208,2733,2733
1523109608,2657,2657
1523124008,2768,2768
1523138408,2820,2820
1523203206,1897,1897
1523217607,1912,1912
1523232006,1926,1926
1523246406,1829,1829
1523260806,1859,1859
1523275206,1900,1900
1523289606,1851,1851
1523304006,2011,2011
1523318407,2181,2181
1523332808,2399,2399
1523347207,2604,2604
1523361608,2611,2611
1523376007,2673,2673
1523390407,2772,2772
1523404808,2841,2841
1523419208,2833,2833
1523433607,2867,2867
1523448008,2929,2929
1523462407,2964,2964
1523476807,3032,3032
1523491209,3064,3064
1523505609,3073,3073
1523520008,3093,3093
1523534407,3090,3090
1523548808,3019,3019
1523563207,2977,2977
1523577609,2958,2958
1523592008,2891,2891
1523606408,2885,2885
1523620807,2935,2935
1523635207,2902,2902
1523649608,2974,2974
1523664007,3065,3065
1523678407,3018,3018
1523692808,3019,3019
1523707208,3055,3055
1523721607,3078,3078
1523736008,3097,3097
1523750407,3082,3082
1523764807,3017,3017
1523779212,2985,2985
1523793607,2953,2953
1523808007,2845,2845
1523822407,2810,2810
1523836807,2804,2804
1523851207,2722,2722
1523865607,2702,2702
1523880007,2677,2677
1523894407,2630,2630
1523908807,2721,2721
1523923207,2807,2807
1523937607,2831,2831
1523952008,2918,2918
1523966408,2952,2952
1523980808,2991,2991
1523995207,3040,3040
1524009608,3050,3050
1524024009,3016,3016
1524038407,3060,3060
1524052808,3069,3069
1524067207,3050,3050
1524081607,3040,3040
1524096007,3019,3019
1524110407,2955,2955
1524124807,2931,2931
1524139208,2907,2907
1524153607,2845,2845
1524168007,2871,2871
1524182409,2865,2865
1524196807,2830,2830
1524211207,2870,2870
1524225607,2931,2931
1524240008,2961,2961
1524254408,3007,3007
1524268808,3003,3003
1524283208,3005,3005
1524297608,3025,3025
1524312008,3067,3067
1524326408,3041,3041
1524340810,3037,3037
1524355207,3027,3027
1524369607,2956,2956
1524384008,2947,2947
1524398407,2968,2968
1524412808,2919,2919
1524427208,2962,2962
1524441608,2996,2996
1524456008,2974,2974
1524470407,3006,3006
1524484808,3046,3046
1524499208,3136,3136
1524513608,3269,3269
1524528009,3340,3340
1524542409,3374,3374
1524556809,3419,3419
1524571209,3447,3447
1524585610,3449,3449
1524600008,3460,3460
1524614410,3799,3799
1524628810,4164,4164
1524643211,4391,4391
1524657612,4557,4557
1524672011,4637,4637
1524693610,4602,4602
1524708011,4626,4626
1524722411,4620,4620
1524736811,4673,4673
1524751210,4767,4767
1524765611,4760,4760
1524780010,4738,4738
1524794411,4583,4583
1524808812,4565,4565
1524823210,4544,4544
1524837610,4550,4550
1524852011,4657,4657
1524866411,4606,4606
1524880810,4531,4531
1524895210,4487,4487
1524909610,4399,4399
1524924011,4299,4299
1524938413,4157,4157
1524952810,4108,4108
1524967210,3951,3951
1524981610,3815,3815
1524996009,3767,3767
1525010409,3716,3716
1525024809,3631,3631
1525039209,3616,3616
1525053608,3507,3507
1525068009,3409,3409
1525082410,3409,3409
1525096808,3383,3383
1525111209,3437,3437
1525125609,3496,3496
1525140009,3580,3580
1525154417,3557,3557
1525168809,3610,3610
1525183210,3619,3619
1525197608,3638,3638
1525212009,3685,3685
1525226411,3716,3716
1525240813,3680,3680
1525255208,3548,3548
1525269608,3446,3446
1525284010,3375,3375
1525298409,3307,3307
1525312807,3236,3236
1525327209,3126,3126
1525341608,3099,3099
1525356009,3089,3089
1525370408,3038,3038
1525384809,3001,3001
1525399208,2990,2990
1525413608,2979,2979
1525428008,2977,2977
1525442408,2968,2968
1525456807,2938,2938
1525471208,2935,2935
1525485607,2893,2893
1525500009,2853,2853
1525514407,2774,2774
1525528808,2871,2871
1525543208,2974,2974
1525557608,3056,3056
1525572008,3052,3052
1525586410,3085,3085
1525600807,3115,3115
1525615208,3119,3119
1525629607,3163,3163
1525644008,3183,3183
1525658408,3238,3238
1525672809,3260,3260
1525687208,3225,3225
1525701608,3274,3274
1525716009,3367,3367
1525730408,3538,3538
1525744809,3667,3667
1525759210,3728,3728
1525773609,3792,3792
1525788009,3813,3813
1525802410,3888,3888
1525816812,3863,3863
