DateTime,AddedIPs,RemovedIPs
1525314034,20,22
1525319434,5,0
1525324834,17,38
1525330234,29,0
1525335034,19,72
1525341035,25,0
1525347034,18,77
1525351835,24,44
1525356634,17,61
1525361434,11,0
1525365634,17,34
1525369232,12,0
1525374635,13,79
1525380034,21,15
1525384835,31,10
1525388432,30,5
1525392034,19,13
1525399832,41,17
1525405234,43,15
1525411235,57,27
1525416034,56,39
1525421435,57,18
1525426835,39,39
1525432235,13,25
1525437634,12,37
1525443034,16,24
1525448434,9,32
1525453835,9,31
1525457432,7,0
1525461034,9,0
1525466434,50,50
1525471834,29,0
1525477834,28,78
1525483234,35,0
1525489834,24,48
1525496435,19,67
1525500634,6,71
1525506634,9,57
1525511434,12,19
1525516834,20,7
1525522235,281,10
1525528835,71,13
1525533635,43,22
1525539035,46,9
1525544436,66,21
1525550436,48,38
1525555235,110,22
1525560635,48,32
1525566035,30,26
1525570839,19,22
1525577435,15,13
1525582834,11,15
1525588235,7,0
1525593635,6,36
1525598436,28,30
1525603835,14,23
1525609835,35,42
1525614636,20,38
1525620634,35,0
1525625436,18,124
1525631435,9,42
1525636234,18,54
1525641637,14,0
1525647036,37,10
1525652439,47,18
1525657835,86,6
1525663835,24,31
1525668635,30,0
1525674035,57,14
1525679434,46,17
1525685435,62,32
1525690236,56,53
1525695635,38,0
1525701635,21,14
1525707035,12,58
1525711835,8,14
1525717234,15,0
1525722636,15,16
1525728034,12,55
1525732836,30,0
1525738835,38,84
1525744235,20,70
1525750235,11,0
1525755634,21,101
1525760434,30,58
1525765835,14,0
1525771247,14,69
1525776635,18,52
1525782636,19,34
1525788035,59,16
1525793435,31,7
1525797635,17,0
1525803635,32,17
1525809036,60,18
1525814435,56,57
1525819836,78,0
1525824635,72,45
1525831236,31,0
1525836635,21,60
1525841435,10,0
1525846235,11,20
1525852236,17,15
1525858234,6,68
1525863636,14,62
1525868435,20,107
1525874435,22,0
1525879236,15,28
1525884637,13,16
1525889435,31,113
1525894835,32,0
1525900235,15,46
1525905636,13,37
1525911035,22,40
1525917635,45,33
1525923034,72,12
1525928435,44,11
1525933236,27,19
1525938635,26,16
1525944635,55,0
1525949437,42,64
1525955435,46,0
1525960835,53,60
1525965635,24,0
1525971035,20,11
