DateTime,Entries,UniqueIPs
1523329825,894,906
1523341226,911,926
1523355629,914,931
1523370028,941,958
1523384428,1000,1017
1523398826,1042,1059
1523413225,1038,1055
1523424024,1031,1047
1523438427,1014,1031
1523449828,971,991
1523463628,972,993
1523475027,1146,1169
1523489427,1196,1218
1523500827,1233,1255
1523515226,1332,1355
1523526028,1394,1419
1523536829,1403,1425
1523547628,1425,1446
1523562028,1458,1479
1523574025,1369,1390
1523587226,1405,1426
1523601624,1312,1328
1523616029,1380,1396
1523626828,1362,1377
1523641228,1363,1378
1523655027,1454,1470
1523668225,1471,1486
1523680227,1446,1459
1523694627,1407,1420
1523706029,1402,1416
1523716828,1357,1371
1523728828,1351,1371
1523742027,1359,1380
1523754027,1450,1471
1523768427,1479,1501
1523782827,1461,1483
1523793028,1499,1521
1523806227,1520,1542
1523817628,1534,1556
1523832027,1514,1535
1523844626,1492,1513
1523855426,1450,1471
1523869228,1428,1449
1523878830,1459,1480
1523891428,1438,1459
1523903427,1458,1479
1523917827,1469,1491
1523929227,1507,1529
1523941825,1579,1601
1523955627,1492,1513
1523968826,1460,1483
1523982626,1455,1478
1523997026,1441,1461
1524008426,1411,1431
1524021026,1419,1440
1524033025,1423,1443
1524045629,1457,1477
1524058828,1459,1482
1524070828,1522,1545
1524085227,1579,1602
1524099627,1583,1607
1524111027,1553,1576
1524123029,1536,1559
1524136228,1494,1517
1524147028,1438,1461
1524157828,1426,1449
1524170426,1446,1468
1524184827,1506,1528
1524196825,1536,1559
1524208228,1608,1632
1524219028,1654,1678
1524228026,1654,1677
1524238827,1634,1655
1524251428,1624,1644
1524265227,1580,1601
1524278428,1534,1552
1524289226,1497,1513
1524303629,1467,1483
1524316828,1501,1518
1524327027,1484,1504
1524340826,1519,1540
1524355225,1538,1558
1524364826,1517,1536
1524378626,1532,1551
1524391828,1503,1522
1524403230,1731,1749
1524414028,1681,1700
1524424227,1686,1706
1524435028,1723,1744
1524446427,1795,1816
1524457226,1816,1837
1524467429,1839,1859
1524478829,1894,1915
1524489628,1914,1935
1524500428,1957,1979
1524511228,1991,2023
1524521428,1937,1969
1524532227,2003,2038
1524541826,2029,2064
1524552626,1999,2032
1524563429,1932,1966
1524574229,1918,1952
1524579630,1915,1948
1524590427,1939,1972
1524600630,1945,1978
1524611427,1994,2028
1524622827,2019,2053
1524634226,2027,2059
1524644430,2035,2068
1524655829,2022,2047
1524666629,1992,2016
1524676829,1916,1940
1524687628,1966,1993
1524698429,1874,1900
1524709826,1889,1915
1524719427,1873,1899
1524730228,1908,1934
1524741629,1953,1980
1524751828,1987,2013
1524762628,1964,1988
1524774027,1971,1994
1524787827,1926,1950
1524799227,1932,1956
1524809426,1910,1934
1524820229,1849,1872
1524831029,1781,1803
1524842430,1788,1810
1524856227,1809,1831
1524870625,1860,1881
1524885027,1935,1956
1524895827,1922,1942
1524910230,1926,1945
1524924628,1830,1848
1524939026,1840,1859
1524953428,1834,1854
1524966027,1798,1817
1524980424,1833,1853
1524991230,1846,1866
1525002629,1850,1871
1525013429,1862,1882
1525024229,1991,2011
1525035028,2047,2068
1525045828,2040,2061
1525056627,2023,2044
1525066827,2002,2024
1525078230,1952,1974
1525089028,1904,1925
1525099229,1873,1893
1525110028,1905,1926
1525121428,1922,1943
1525134625,1903,1923
1525148428,1924,1944
