DateTime,AddedIPs,RemovedIPs
1525443032,11,8
1525448432,13,21
1525453832,9,28
1525457429,11,0
1525461032,9,0
1525466432,6,21
1525471832,5,0
1525477831,9,30
1525483232,14,0
1525489832,8,14
1525496432,11,13
1525500631,11,10
1525506632,11,11
1525511431,9,10
1525516832,12,9
1525522232,16,7
1525528832,17,14
1525533632,12,12
1525539033,9,10
1525544433,7,26
1525550433,14,8
1525555233,8,13
1525560633,10,8
1525566032,13,11
1525570835,12,10
1525577432,6,8
1525582831,10,14
1525588232,13,0
1525593632,10,18
1525598433,11,14
1525603833,15,12
1525609832,11,10
1525614633,9,16
1525620632,11,0
1525625432,13,12
1525631433,11,8
1525636232,11,15
1525641634,12,0
1525647033,13,7
1525652435,14,10
1525657832,16,13
1525663832,8,20
1525668632,9,0
1525674033,7,10
1525679432,11,12
1525685432,12,11
1525690234,8,21
1525695632,10,0
1525701633,8,9
1525707032,9,24
1525711833,12,16
1525717232,7,0
1525722633,15,9
1525728032,7,22
1525732834,12,0
1525738832,10,11
1525744232,7,13
1525750232,11,0
1525755632,13,26
1525760432,8,7
1525765832,14,0
1525771245,9,9
1525776632,6,13
1525782633,14,19
1525788032,13,9
1525793432,7,11
1525797633,11,0
1525803633,10,14
1525809033,15,8
1525814433,10,11
1525819833,13,25
1525824633,11,11
1525831233,9,0
1525836633,11,20
1525841432,12,0
1525846233,7,13
1525852233,9,9
1525858232,13,25
1525863633,15,8
1525868433,11,15
1525874432,13,0
1525879233,8,9
1525884635,10,11
1525889432,12,24
1525894833,8,0
1525900233,13,14
1525905633,14,10
1525911032,9,9
1525917633,9,23
1525923032,11,9
1525928432,14,14
1525933233,15,11
1525938632,15,13
1525944632,10,0
1525949435,13,22
1525955432,11,0
1525960832,14,22
1525965632,11,0
1525971032,16,13
1525976461,14,23
1525982433,12,11
1525987232,10,7
1525992035,16,15
1525997433,10,13
1526003432,10,11
1526008832,15,0
1526014270,7,15
1526019633,11,7
1526025034,12,15
1526030433,7,22
1526035833,16,0
1526041253,9,15
1526046632,12,11
1526052033,10,13
1526057433,11,11
1526062232,14,12
1526068233,13,14
1526073033,13,10
1526078434,12,14
1526083832,9,12
1526089233,6,10
1526095832,12,13
1526100031,14,28
1526106033,14,0
1526111433,10,24
1526116832,10,0
1526121632,10,16
1526127634,11,0
1526133032,9,11
1526139033,7,9
1526143833,10,24
1526149232,14,8
1526154633,11,10
1526160033,14,0
1526165444,13,19
1526170833,12,0
1526176832,12,22
1526181632,9,12
1526187032,9,0
1526192432,11,27
1526197832,8,0
1526203232,18,9
1526208633,8,14
1526213433,7,25
1526218833,14,0
1526224833,8,9
1526229632,13,10
1526235634,5,12
1526241033,6,15
1526245832,14,11
1526251832,11,9
1526257233,13,19
1526262632,7,11
1526268033,9,0
1526273432,6,17
1526278832,18,0
1526284232,13,21
1526289633,9,15
1526294433,6,9
1526300433,7,0
1526305235,8,29
1526311233,15,6
1526316035,11,0
1526321432,10,19
1526327433,9,0
1526332233,15,20
1526338232,14,13
1526343632,6,8
1526348433,12,9
1526354435,11,0
1526359837,9,14
1526365234,15,24
1526370633,12,6
1526376033,15,0
1526381432,9,13
1526387432,11,24
1526392233,15,0
1526397634,12,23
1526402453,9,10
1526408432,8,0
1526413832,7,18
1526419233,11,0
1526424033,9,22
1526429433,9,0
1526435434,9,13
1526441434,4,20
1526446833,7,7
1526451633,12,18
1526457033,14,10
1526462432,11,0
1526468433,10,25
1526473833,12,9
1526478632,18,0
1526484038,11,12
1526488832,11,26
1526494233,14,9
1526499633,9,0
1526505032,13,10
1526510433,12,15
1526515832,10,10
1526521232,11,7
1526527233,11,13
1526532033,13,8
1526538033,8,12
1526542832,10,14
1526548233,14,8
1526554233,9,9
1526559033,10,12
1526564433,12,11
1526570432,10,8
1526575242,14,19
1526580632,14,14
1526586034,14,9
1526591434,15,8
1526595031,8,8
1526600433,12,9
1526604633,12,11
1526610035,12,7
1526615435,10,10
1526620835,12,7
1526626235,17,11
1526631634,12,9
1526636433,12,7
1526642433,7,15
1526647834,10,12
1526652633,10,13
1526658633,9,8
1526664033,13,14
1526668833,10,13
1526674233,11,11
1526679634,9,29
1526685032,6,0
1526690433,6,12
1526696433,9,14
1526701832,9,11
1526706632,11,14
1526712633,10,8
1526718033,13,4
1526723432,9,12
1526728233,10,29
1526734234,6,0
1526739033,14,13
1526745033,13,11
1526749832,10,18
1526755833,12,0
1526760633,6,17
1526765434,7,0
1526769633,15,9
1526775033,13,8
1526780434,11,10
1526785833,11,11
1526791233,7,9
1526796632,10,12
1526802632,7,8
1526808033,4,13
1526812834,11,8
1526818233,12,10
1526823633,10,7
1526829032,11,14
1526834432,8,6
1526839833,10,12
1526843431,14,0
1526848232,8,18
1526852433,11,10
1526857834,11,0
1526863232,7,20
1526868632,11,7
1526874033,10,15
1526879432,10,6
1526884833,11,7
1526890834,11,15
1526896234,13,11
1526901633,7,11
1526907033,19,11
1526913033,13,13
1526917833,14,12
1526922634,14,11
1526928633,10,20
1526933433,6,0
1526938833,10,14
1526944833,6,23
1526950233,4,13
1526956233,10,12
1526961033,15,12
1526966435,12,12
1526971232,11,8
1526977233,8,0
1526982633,6,22
1526988034,8,0
1526993434,15,7
1526998833,9,24
1527003633,15,0
1527009034,10,8
1527014433,8,18
1527018030,8,0
1527023433,13,5
1527027031,10,0
1527031834,13,9
1527035431,8,0
1527039633,5,9
1527043833,13,12
1527048633,12,14
1527054633,13,10
1527059452,8,8
1527064833,7,9
1527068430,11,0
1527073833,11,9
1527079233,8,16
1527082831,8,12
1527088233,10,5
1527093635,7,13
1527097231,11,0
1527100833,11,10
1527106234,10,18
1527111634,10,13
1527115231,5,8
1527120633,8,23
1527124230,14,0
1527130233,11,9
1527135034,10,9
1527139833,10,9
1527144033,10,7
1527147632,11,0
1527153634,10,27
1527158432,12,0
1527163834,10,12
1527169833,11,23
1527175233,11,9
1527180033,11,11
1527183032,11,0
1527186634,9,9
1527193831,10,10
1527197434,11,14
1527201031,15,11
1527204633,7,7
1527208230,9,0
1527212433,5,18
1527216634,9,10
1527221433,8,16
1527227433,7,11
1527232233,10,25
1527238233,11,0
1527243033,10,9
1527248435,12,10
1527253834,13,6
1527259833,12,11
1527267632,11,13
1527271834,12,29
1527277234,10,0
1527280833,10,9
1527283833,8,12
1527288033,6,10
1527291031,5,11
1527295233,5,7
1527298830,10,0
1527304833,7,11
1527309635,7,9
1527315632,7,22
1527319833,13,0
1527324033,9,9
1527327631,8,7
1527333033,7,8
1527338434,4,15
1527344433,0,9
1527349233,24,10
1527353433,9,9
1527357633,14,0
1527361833,10,7
1527366633,0,15
1527370232,16,12
1527373834,0,0
1527377431,18,5
1527381033,9,9
1527385235,12,6
1527388831,11,0
1527394233,7,6
1527399634,16,17
1527405035,12,5
1527410433,6,10
1527415834,10,8
1527421234,9,7
1527426633,8,7
1527432035,8,8
1527437434,10,23
1527442234,12,8
1527446434,9,13
1527451834,8,6
1527456634,11,11
1527460834,9,23
1527466233,6,6
1527471633,9,11
1527477034,12,10
1527482434,4,11
1527487833,7,29
1527493233,7,13
1527499233,7,11
1527504033,7,8
1527510033,15,8
1527514234,6,7
1527518434,10,8
1527523833,9,0
1527528634,4,23
1527532834,10,11
1527538234,14,17
1527541832,14,0
1527547234,12,6
1527552634,10,7
1527558633,10,7
1527563433,6,3
1527569434,8,7
1527574833,9,9
1527580234,13,10
1527585634,7,10
1527590434,12,0
1527594031,12,10
1527600033,8,8
1527604834,9,6
1527613232,5,21
1527618034,14,14
1527622834,5,12
1527628234,12,19
1527633635,16,8
1527637231,6,0
1527642633,10,8
1527648637,8,12
1527654033,8,13
1527658834,12,10
1527664234,11,11
1527669634,11,10
1527675034,10,7
1527681035,12,24
1527686433,9,10
1527691234,7,10
1527696634,9,0
1527702034,7,11
1527707435,9,9
1527711032,8,0
1527716434,8,18
1527721834,12,21
1527727235,11,0
1527730832,13,0
1527736234,7,18
1527741634,9,10
1527747634,10,7
1527753034,7,8
1527757834,7,10
1527763234,11,8
1527768633,8,10
1527774035,6,14
1527779434,8,10
1527784236,12,9
1527788435,6,7
1527792635,12,0
1527797435,6,16
1527802838,7,0
1527808234,12,15
1527811832,11,0
1527817236,14,17
1527823236,7,0
1527828634,13,22
1527833434,11,11
1527838234,8,0
1527842436,9,8
1527847834,8,7
1527853834,8,8
1527858633,11,11
1527864034,11,12
1527869434,14,10
1527874235,12,12
1527879035,8,10
1527883234,11,10
1527886832,13,7
1527891034,8,11
1527894632,12,0
1527900035,11,14
1527905433,14,9
1527911433,9,6
1527916834,9,0
1527921633,7,14
1527926434,7,10
1527930031,11,8
1527934234,9,6
1527937832,10,9
1527943234,12,12
1527946832,7,0
1527952234,8,25
1527957634,7,12
1527963033,9,10
1527967834,12,9
1527971432,9,0
1527975034,2,22
1527979234,11,0
1527984634,8,18
1527988232,10,0
1527993634,8,20
1527998434,8,0
1528002031,11,9
1528006234,7,7
1528011034,6,12
1528015233,8,10
