DateTime,AddedIPs,RemovedIPs
1525443032,26,23
1525448432,23,25
1525453832,21,19
1525457429,25,26
1525461032,22,25
1525466432,22,20
1525471832,22,23
1525477831,21,18
1525483232,22,25
1525489832,22,22
1525496432,24,20
1525500631,25,27
1525506632,24,25
1525511431,23,22
1525516832,23,25
1525522232,23,23
1525528832,24,22
1525533632,23,24
1525539033,18,20
1525544433,21,22
1525550433,26,20
1525555233,24,27
1525560633,22,24
1525566032,26,22
1525570835,25,26
1525577432,20,23
1525582831,23,21
1525588232,25,24
1525593632,25,25
1525598433,24,25
1525603833,27,24
1525609832,23,25
1525614633,22,24
1525620632,27,23
1525625432,25,27
1525631433,25,25
1525636232,25,25
1525641634,26,25
1525647033,24,26
1525652435,23,23
1525657832,26,23
1525663832,20,20
1525668632,25,27
1525674033,22,25
1525679432,25,22
1525685432,23,24
1525690234,25,24
1525695632,25,25
1525701633,23,25
1525707032,24,22
1525711833,25,25
1525717232,24,25
1525722633,26,23
1525728032,25,27
1525732834,25,25
1525738832,25,23
1525744232,20,26
1525750232,23,19
1525755632,25,24
1525760432,22,25
1525765832,25,23
1525771245,24,25
1525776632,20,24
1525782633,24,19
1525788032,25,25
1525793432,22,23
1525797633,23,22
1525803633,25,25
1525809033,24,25
1525814433,24,24
1525819833,23,23
1525824633,22,21
1525831233,19,19
1525836633,25,25
1525841432,24,23
1525846233,25,26
1525852233,26,25
1525858232,25,26
1525863633,23,23
1525868433,25,25
1525874432,26,25
1525879233,23,24
1525884635,26,25
1525889432,25,26
1525894833,23,25
1525900233,23,23
1525905633,27,23
1525911032,19,23
1525917633,22,19
1525923032,22,22
1525928432,25,26
1525933233,24,25
1525938632,25,22
1525944632,24,26
1525949435,24,25
1525955432,25,23
1525960832,23,24
1525965632,23,24
1525971032,27,24
1525976461,24,27
1525982433,25,24
1525987232,24,24
1525992035,27,25
1525997433,25,27
1526003432,25,25
1526008832,25,25
1526014270,25,25
1526019633,26,25
1526025034,22,22
1526030433,23,25
1526035833,26,24
1526041253,24,26
1526046632,27,24
1526052033,24,27
1526057433,24,24
1526062232,24,24
1526068233,24,23
1526073033,23,25
1526078434,20,23
1526083832,23,18
1526089233,15,18
1526095832,24,19
1526100031,26,27
1526106033,25,25
1526111433,27,26
1526116832,20,23
1526121632,25,24
1526127634,25,25
1526133032,23,23
1526139033,19,21
1526143833,25,22
1526149232,21,21
1526154633,25,26
1526160033,25,25
1526165444,26,25
1526170833,19,21
1526176832,19,17
1526181632,20,24
1526187032,25,22
1526192432,24,24
1526197832,26,25
1526203232,25,25
1526208633,21,26
1526213433,24,19
1526218833,25,26
1526224833,22,24
1526229632,25,23
1526235634,20,22
1526241033,18,19
1526245832,23,20
1526251832,24,25
1526257233,22,22
1526262632,18,20
1526268033,24,22
1526273432,23,24
1526278832,27,23
1526284232,25,25
1526289633,18,20
1526294433,22,25
1526300433,20,20
1526305235,25,22
1526311233,22,22
1526316035,22,21
1526321432,16,17
1526327433,20,19
1526332233,19,18
1526338232,20,22
1526343632,20,19
1526348433,19,20
1526354435,18,17
1526359837,21,24
1526365234,24,21
1526370633,24,26
1526376033,23,21
1526381432,21,24
1526387432,22,21
1526392233,21,19
1526397634,22,24
1526402453,20,22
1526408432,19,18
1526413832,17,17
1526419233,21,17
1526424033,21,25
1526429433,15,16
1526435434,21,17
1526441434,11,16
1526446833,18,17
1526451633,25,22
1526457033,22,21
1526462432,17,18
1526468433,17,16
1526473833,23,24
1526478632,24,24
1526484038,21,20
1526488832,25,25
1526494233,20,21
1526499633,22,23
1526505032,21,21
1526510433,23,22
1526515832,25,24
1526521232,23,25
1526527233,24,22
1526532033,23,23
1526538033,19,21
1526542832,21,22
1526548233,21,19
1526554233,16,15
1526559033,19,19
1526564433,24,24
1526570432,21,24
1526575242,24,20
1526580632,22,23
1526586034,22,25
1526591434,22,20
1526595031,26,25
1526600433,23,23
1526604633,23,23
1526610035,17,16
1526615435,27,27
1526620835,24,26
1526626235,25,25
