DateTime,AddedIPs,RemovedIPs
1525660807,8,10
1525661289,10,5
1525661766,3,6
1525662259,7,9
1525662728,7,4
1525663205,5,8
1525663690,6,6
1525664167,4,5
1525664646,9,6
1525665125,4,6
1525665611,11,4
1525666087,3,6
1525666565,7,8
1525667049,6,8
1525667533,7,6
1525668008,7,6
1525668490,6,7
1525668966,10,6
1525669449,6,7
1525669927,5,12
1525670410,12,3
1525670885,2,2
1525671367,5,12
1525671851,9,6
1525672327,8,6
1525672815,9,11
1525673286,7,5
1525673773,6,6
1525674246,4,4
1525674728,5,6
1525675209,6,8
1525675691,10,8
1525676166,9,8
1525676650,8,4
1525677126,3,7
1525677611,4,3
1525678086,4,6
1525678569,7,11
1525679045,7,6
1525679531,5,5
1525680018,4,5
1525680485,10,9
1525680970,5,4
1525681446,6,4
1525681930,5,2
1525682405,1,0
1525699215,0,1
1525699690,1,0
1525722966,0,1
1525723450,1,2
1525723926,2,0
1525741686,4,9
1525742172,14,20
1525742645,30,15
1525743130,10,8
1525743608,13,11
1525744093,10,7
1525744565,22,23
1525745049,12,9
1525745526,15,11
1525746009,5,3
1525746490,1,0
1525828328,20,37
1525828807,11,10
1525829285,17,22
1525829768,10,17
1525830245,18,7
1525848011,0,1
1525848485,1,0
1525898889,0,1
1525899369,1,0
1525914486,17,19
1525914972,10,10
1525915447,19,19
1525915927,16,14
1525916409,12,8
1525925526,0,1
1525926010,1,0
1525951205,0,1
1525951688,1,0
1526001370,29,31
1526001846,11,9
1526002331,22,18
1526002806,6,8
1526003764,0,1
1526004249,1,0
1526045529,0,1
1526046007,1,0
1526070728,0,2
1526071207,2,0
1526087286,8,10
1526087768,22,29
1526088247,19,19
1526088731,17,21
1526089207,13,10
1526092568,0,1
1526093050,1,0
1526095446,0,1
1526095926,1,0
1526146086,0,1
1526146568,1,0
1526173685,17,11
1526174165,16,19
1526174649,9,14
1526175127,24,29
1526175844,7,6
1526196969,0,1
1526197444,1,0
1526247845,0,1
1526248331,1,0
1526260087,14,20
1526260568,9,13
1526261046,17,15
1526261526,10,9
1526262007,13,13
1526262488,15,18
1526262966,14,12
1526263445,12,4
1526263929,6,9
1526264406,3,1
1526309515,0,0
1526327525,0,1
1526328016,1,0
1526346489,9,10
1526347212,21,26
1526347928,15,10
1526348405,12,13
1526348890,11,14
1526349366,25,16
1526349851,7,8
1526350326,12,4
1526350810,1,0
1526407688,0,2
1526408168,2,0
1526432890,7,15
1526433371,14,16
1526433845,14,8
1526434337,15,18
1526434805,10,9
1526435289,17,17
1526435767,11,10
1526436253,5,5
1526436725,6,7
1526437207,2,0
1526460725,0,1
1526461686,1,0
1526488814,0,1
1526489764,1,0
1526519045,2,11
1526519525,20,16
1526520008,10,7
1526520485,14,14
1526520966,6,7
1526521445,14,13
1526521927,22,23
1526522414,8,9
1526522886,7,9
1526523370,2,3
1526523847,2,0
1526541131,0,1
1526541616,1,0
1526592245,0,1
1526592728,1,0
1526605687,15,18
1526606169,5,7
1526606647,17,23
1526607125,13,10
1526607606,13,9
1526608088,17,17
1526608566,14,11
1526609049,11,8
1526609529,12,4
1526610008,3,1
1526645050,0,1
1526646985,1,0
1526671208,0,1
1526671686,1,0
1526691849,6,10
1526692325,13,17
1526692811,17,18
1526693285,8,12
1526693767,10,12
1526694245,8,8
1526694729,15,16
1526695210,15,10
1526695688,4,3
1526696169,6,2
1526696646,1,1
1526697850,0,1
1526698326,1,0
1526724729,0,1
1526725205,1,0
1526778486,6,10
1526778970,15,14
1526779444,15,14
1526779929,8,14
1526780407,15,8
1526780890,5,11
1526781365,16,12
1526781847,10,9
1526782325,3,3
1526782810,1,0
1526792889,0,1
1526793366,1,0
1526864645,1,10
1526865125,21,14
1526865613,8,17
1526866087,20,15
1526866567,6,6
1526867049,10,15
1526867529,16,19
1526868016,15,9
1526868485,6,4
1526868967,0,1
1526869448,1,0
1526891528,0,1
1526892491,1,0
1526943137,0,2
1526943619,2,0
1526951292,10,20
1526951769,10,14
1526952245,11,9
1526952731,10,7
1526953210,8,6
1526953687,22,20
1526954169,8,10
1526954650,12,10
1526955613,4,2
1527037928,16,18
1527038412,13,16
1527038890,10,7
1527039366,10,14
1527039851,13,9
1527040329,21,25
1527040824,12,6
1527041287,3,3
1527041767,5,3
1527091448,0,1
1527091925,1,0
1527124086,4,14
1527124571,26,20
1527125046,19,15
1527125527,10,10
1527126009,13,10
1527126490,7,7
1527126965,24,22
1527127692,8,7
1527128169,5,9
1527141127,0,1
1527141613,1,0
1527192018,0,1
1527192487,1,0
1527210488,0,9
1527210968,10,7
1527211445,12,14
1527211929,12,11
1527212406,6,5
1527212887,8,10
1527213364,9,5
1527213849,6,9
1527214328,7,6
1527214807,8,10
1527215293,14,10
1527215766,6,3
1527216246,5,8
1527216729,6,7
1527217206,7,3
1527217688,3,8
1527218170,7,3
1527218647,6,8
1527219128,7,6
1527219605,6,9
1527220086,8,6
1527220566,6,8
1527221050,7,6
1527221527,6,6
1527222010,14,16
1527222489,23,23
1527222965,9,15
1527223449,19,9
1527223927,3,3
1527224416,2,0
1527243126,0,1
1527243609,1,0
1527289450,0,0
1527291860,0,0
1527298576,0,32
1527300253,0,0
1527301454,9,4
1527302656,0,0
1527303854,0,0
1527305053,0,0
1527306256,0,0
1527307697,0,0
1527308894,0,0
1527310334,0,0
1527311778,0,0
1527313453,0,0
1527314896,0,0
1527316095,0,0
1527317055,0,0
1527318976,0,0
1527321375,0,0
1527322334,0,0
1527323534,0,0
1527324736,0,0
1527325936,0,0
1527326893,0,0
1527327859,0,0
1527329301,0,0
1527330496,0,0
1527331454,0,0
1527332657,0,0
1527333857,0,0
1527335057,0,0
1527336255,0,0
1527337475,0,0
1527338655,0,0
1527339854,0,0
