DateTime,AddedIPs,RemovedIPs
1527562922,1,11
1527564121,23,0
1527565321,5,43
1527566522,2,1
1527567721,0,23
1527568922,1,12
1527570122,5,0
1527570723,0,41
1527571322,7,0
1527572521,4,23
1527573122,1,5
1527573722,7,2
1527574922,1,2
1527576121,11,15
1527576721,0,7
1527577322,9,2
1527578522,3,1
1527579122,0,9
1527579721,4,0
1527580922,1,34
1527581522,4,0
1527582122,1,2
1527582721,1,0
1527583322,6,0
1527584521,0,6
1527585121,1,2
1527585721,1,1
1527588121,2,0
1527589321,0,14
1527590521,1,8
1527591122,1,0
1527591722,3,3
1527592922,2,29
1527594121,14,8
1527595321,1,18
1527596522,4,0
1527597122,3,2
1527597721,3,0
1527598922,0,1
1527600122,1,5
1527601322,8,3
1527602521,1,3
1527603122,4,13
1527604322,1,0
1527604922,3,0
1527606121,0,1
1527607322,15,17
1527608522,0,26
1527609122,10,0
1527609722,17,0
1527610922,3,4
1527611522,9,1
1527613323,1,16
1527614521,9,16
1527615122,10,0
1527615722,15,0
1527616321,2,5
1527616921,0,7
1527617521,1,0
1527618121,6,7
1527619321,2,1
1527620522,2,4
1527621722,2,41
1527622921,1,3
1527624121,3,1
1527625322,11,9
1527625922,1,19
1527626522,1,6
1527627122,1,0
1527627722,2,0
1527628322,25,0
1527628922,4,21
1527630121,31,8
1527631322,5,0
1527631921,4,5
1527632522,0,22
1527633121,13,4
1527633721,4,0
1527634921,6,3
1527635521,5,0
1527636122,1,0
1527637321,3,9
1527637922,1,0
1527638522,1,21
1527639122,4,0
1527639723,5,1
1527642121,4,4
1527642721,1,3
1527644523,0,38
1527646321,0,11
1527646921,4,13
1527647521,1,3
1527648121,2,24
1527649322,0,1
1527649922,3,0
1527650522,1,0
1527651721,0,33
1527652921,17,3
1527655321,3,0
1527655922,8,1
1527656521,6,27
1527657721,0,1
1527658322,15,4
1527658922,10,5
1527659521,9,5
1527660122,6,0
1527661323,2,1
1527661922,5,0
1527662522,2,0
1527663121,2,9
1527663721,1,0
1527664921,12,0
1527665522,3,1
1527666121,0,1
1527667322,0,3
1527667921,9,0
1527669122,18,0
1527669722,1,0
1527670321,0,4
1527670921,8,1
1527672121,14,0
1527672721,5,0
1527673322,2,0
1527674521,1,0
1527675122,3,0
1527675721,12,0
1527676921,2,1
1527678122,3,11
1527679322,2,0
1527680521,1,0
1527681122,1,0
1527682922,3,6
1527684122,4,16
1527685322,1,0
1527686521,0,20
1527687721,11,0
1527688922,0,1
1527690122,0,8
1527691322,2,8
1527692522,13,5
1527693722,8,1
1527694321,1,0
1527694922,1,0
1527696121,26,17
1527697322,6,0
1527697921,0,2
1527698522,10,5
1527699721,2,0
1527702121,1,38
1527703322,0,4
1527704523,8,0
1527705121,1,10
1527705721,4,7
1527707521,4,0
1527708121,4,0
1527709322,2,0
1527710521,1,2
1527711122,0,3
1527711722,1,10
1527712922,1,3
1527714121,31,10
1527715322,3,7
1527715921,3,7
1527716522,7,0
1527717721,15,23
1527718922,1,1
1527719522,1,1
1527720121,9,13
1527721322,9,2
1527721921,1,0
1527722522,3,2
1527723122,3,0
1527724922,0,3
1527725521,2,2
1527726122,6,9
1527727322,1,1
1527729123,0,5
1527729722,7,0
1527730921,1,0
1527732122,0,1
1527733322,5,0
1527733922,5,19
1527734521,1,2
1527735121,26,0
1527735721,1,0
1527736921,12,3
1527737522,1,0
1527738122,2,0
1527738721,6,2
1527739922,0,19
1527741722,3,2
1527742922,20,3
1527744121,7,3
1527744722,4,11
1527745322,2,0
1527746522,4,8
1527747722,13,0
1527748322,0,20
1527748921,0,3
1527749522,4,2
1527750122,1,4
1527750721,9,0
1527751321,2,2
1527751921,0,2
1527752521,5,0
1527753721,8,1
1527754322,10,4
1527754921,13,0
1527756121,1,22
1527756721,2,1
1527757322,4,0
1527757921,2,7
1527758522,0,22
1527759722,2,1
1527760922,10,5
1527762121,3,1
1527763322,3,18
1527763922,1,0
1527764522,8,4
1527765721,5,0
1527766921,5,0
1527768122,11,4
1527768722,0,2
1527769322,2,0
1527769922,15,4
1527770521,7,4
1527771122,1,0
1527771722,2,3
1527772321,1,0
1527772922,1,0
1527773522,1,3
1527774122,0,8
1527775921,11,0
1527776522,66,0
1527777722,13,7
1527778321,68,0
1527778922,10,0
1527779522,50,3
1527780121,44,0
1527781322,43,4
1527782521,18,28
1527783722,19,2
1527784922,14,10
1527785522,45,0
1527786121,22,1
1527786721,9,3
1527787322,14,0
1527787922,13,0
1527788522,27,0
1527789721,56,0
1527790321,32,0
1527790921,42,0
1527791522,22,0
1527792121,54,2
1527793321,38,1
1527794522,70,1
1527795122,12,0
1527795721,57,3
1527796322,50,0
1527796921,43,2
1527798122,6,2
1527799322,14,3
1527800521,26,1
1527801122,16,14
1527801722,23,0
1527802921,26,13
1527804121,48,6
1527805322,20,3
1527805921,40,1
1527806521,38,0
1527807122,60,1
1527807721,40,1
1527809522,50,27
1527810121,42,0
1527811322,36,0
1527811922,17,3
1527812522,56,0
1527813122,66,9
1527813721,70,0
1527814922,37,1
1527815522,42,0
1527816122,2,0
1527817321,44,30
1527817921,13,2
1527818522,6,2
1527819122,41,0
1527819721,41,11
1527820922,21,0
1527821522,13,19
1527822121,39,0
1527822722,46,3
1527823322,15,0
1527824521,41,16
1527825122,33,3
1527825721,50,0
1527826921,51,2
1527827522,18,10
1527828122,25,0
1527828722,18,2
1527829323,51,4
1527830522,16,10
1527831121,42,11
1527831721,8,3
1527832322,37,0
1527832921,29,9
1527833522,22,0
1527834122,11,3
1527834721,12,0
1527835322,28,0
1527836522,9,12
1527837122,12,10
1527837722,34,0
1527838322,33,1
1527838921,1,3
1527839522,6,0
1527840122,23,0
1527840722,38,35
1527841322,11,5
1527841921,23,0
1527842523,13,0
1527843721,31,9
1527844921,12,14
1527845522,20,0
1527846121,21,6
1527846722,11,0
1527847321,6,0
1527847921,15,2
1527848521,6,0
1527849721,60,0
1527850321,15,9
1527850922,38,0
1527852121,24,11
1527853321,1,7
1527854521,42,0
1527855122,40,17
1527855722,26,0
1527856321,11,39
1527856921,9,0
1527858122,16,12
1527858722,18,0
1527859322,3,9
1527859922,9,23
1527860521,14,0
1527861121,15,12
1527861722,32,12
1527862321,5,0
1527862922,15,26
1527863521,26,0
1527864122,1,0
1527865322,24,61
1527866521,12,6
1527867721,29,41
1527868322,13,0
1527868921,27,0
1527869522,15,30
1527870122,11,14
1527871322,6,8
1527872521,14,22
1527873123,16,0
1527873722,10,29
1527874322,10,0
1527874921,23,28
1527875522,12,0
1527876122,13,0
1527877321,15,33
1527877922,15,27
1527878522,27,13
1527879721,19,0
1527880321,17,18
1527880922,7,22
1527882121,13,7
1527883322,5,68
1527883921,10,0
1527884521,3,7
1527885122,17,0
1527885721,23,10
1527886922,14,17
1527888121,6,39
1527889322,7,0
1527890521,33,27
1527891722,29,30
1527892321,12,16
1527894122,8,52
1527894722,17,0
1527895321,28,0
1527896521,10,13
1527897722,12,11
1527898922,23,10
1527899521,14,22
1527900122,37,20
1527900721,32,0
1527901322,30,0
1527902521,9,96
1527903722,19,0
1527904322,5,5
1527904921,13,16
1527905522,16,48
1527906122,14,0
1527907321,11,41
1527907922,31,0
1527908521,43,49
1527909122,8,0
1527909721,16,17
1527910322,7,0
1527912121,17,42
1527912722,14,0
1527914522,12,88
1527916922,0,0
1527918721,16,76
1527921122,43,70
1527923521,21,47
1527925322,33,34
1527925921,7,14
1527927722,30,58
1527928921,26,82
1527930122,43,6
1527930722,35,0
1527931922,37,47
1527933121,27,27
1527934321,14,18
