DateTime,AddedIPs,RemovedIPs
1527507722,4,0
1527508921,4,4
1527509521,1,3
1527510121,0,8
1527511322,2,0
1527512522,3,6
1527513122,3,4
1527513721,5,0
1527514321,13,14
1527514922,1,0
1527515522,4,1
1527516121,0,1
1527517322,3,1
1527518522,6,2
1527519122,3,1
1527520322,2,0
1527520922,0,8
1527523322,1,14
1527523922,2,0
1527524521,3,2
1527525122,3,4
1527525721,2,0
1527526322,11,0
1527526921,13,0
1527528122,5,15
1527529322,2,2
1527530521,6,9
1527531722,2,1
1527532322,2,1
1527534122,4,2
1527534721,4,0
1527535322,5,8
1527536522,7,2
1527537122,2,0
1527537721,5,1
1527538922,4,5
1527539522,1,0
1527540121,1,0
1527541321,0,8
1527541921,4,1
1527542521,1,0
1527543722,2,5
1527544922,0,11
1527545522,1,4
1527546121,11,0
1527547321,12,9
1527547922,1,0
1527548521,0,3
1527549721,3,11
1527550322,6,0
1527550921,1,0
1527551522,3,9
1527552121,2,10
1527552721,5,0
1527553321,1,0
1527554522,1,1
1527555122,1,1
1527555722,1,1
1527556922,1,12
1527558122,4,11
1527558721,2,0
1527559323,3,2
1527559921,11,4
1527560521,12,3
1527561121,4,1
1527561722,0,2
1527562922,1,10
1527564121,5,0
1527565321,5,11
1527566521,6,0
1527567721,0,5
1527568922,10,5
1527569521,1,8
1527570122,2,0
1527570722,1,0
1527572521,1,8
1527574922,1,7
1527576121,5,10
1527577322,1,4
1527577921,1,0
1527578522,0,1
1527579721,2,4
1527580922,4,4
1527582122,11,8
1527583322,3,0
1527584521,0,6
1527585121,2,4
1527586321,0,4
1527588121,1,7
1527589321,0,3
1527590521,0,1
1527591722,6,4
1527592922,3,7
1527594121,2,0
1527594721,0,4
1527595321,0,5
1527598922,0,1
1527600122,2,4
1527601322,12,5
1527602521,2,6
1527603721,2,2
1527604321,0,5
1527605522,1,5
1527606121,2,0
1527606722,0,6
1527608522,1,4
1527609721,3,0
1527610922,1,2
1527611522,0,3
1527613322,13,13
1527615721,8,6
1527616321,0,5
1527616921,1,0
1527617521,1,0
1527618121,1,1
1527618721,1,0
1527619321,0,1
1527620522,1,4
1527621722,0,7
1527622921,4,1
1527623521,1,0
1527624121,2,5
1527625322,1,4
1527626522,11,4
1527628922,1,15
1527630121,6,2
1527631321,4,0
1527631921,1,3
1527632521,2,9
1527633121,2,0
1527634921,2,1
1527635521,0,13
1527636122,2,0
1527637321,3,7
1527638522,0,6
1527639723,12,13
1527640921,16,0
1527642121,4,11
1527643322,4,0
1527644523,7,10
1527645721,2,4
1527646921,2,5
1527648121,1,4
1527649321,0,3
1527650522,11,10
1527651721,2,15
1527652321,1,0
1527652921,1,1
1527654122,7,8
1527655321,2,0
1527655921,0,3
1527657721,1,1
1527658922,2,4
1527660122,1,0
1527660721,6,8
1527661323,0,5
1527661922,11,0
1527662522,1,0
1527663721,0,4
1527664921,10,0
1527665522,2,2
1527666121,3,3
1527667322,6,7
1527668521,2,0
1527669122,1,3
1527669722,2,0
1527670921,4,10
1527672121,7,0
1527673322,12,3
