DateTime,AddedIPs,RemovedIPs
1527552121,19,19
1527552721,19,19
1527553321,12,12
1527554522,39,39
1527555122,10,10
1527555722,27,27
1527556922,15,15
1527558122,22,22
1527558721,9,9
1527559323,14,14
1527559921,16,16
1527560521,34,34
1527561121,13,13
1527561722,2,2
1527562322,2,2
1527562922,10,10
1527564121,39,39
1527565321,16,16
1527566521,51,51
1527567721,12,12
1527568922,20,20
1527569521,15,15
1527570122,11,11
1527570722,3,3
1527571322,2,2
1527572521,21,21
1527573722,5,5
1527574922,17,17
1527576121,17,17
1527577322,6,6
1527577921,2,2
1527578522,1,1
1527579721,10,10
1527580922,10,10
1527582122,27,27
1527583322,12,12
1527584521,4,4
1527585121,18,18
1527586321,3,3
1527586922,4,4
1527588121,5,5
1527589321,4,4
1527590521,5,5
1527591722,28,28
1527592922,33,33
1527594121,17,17
1527594721,4,4
1527595321,5,5
1527595921,3,3
1527596522,2,2
1527597121,6,6
1527597721,7,7
1527598922,8,8
1527600122,6,6
1527601322,24,24
1527602521,8,8
1527603721,15,15
1527604321,3,3
1527604922,10,10
1527605522,9,9
1527606121,10,10
1527606722,6,6
1527607321,3,3
1527608522,13,13
1527609721,17,17
1527610922,16,16
1527611522,6,6
1527613322,31,31
1527613921,6,6
1527614521,7,7
1527615721,45,45
1527616321,7,7
1527616921,6,6
1527617521,10,10
1527618121,15,15
1527618721,10,10
1527619321,5,5
1527620522,9,9
1527621722,10,10
1527622921,16,16
1527623521,10,10
1527624121,5,5
1527625322,10,10
1527626522,14,14
1527627122,4,4
1527627722,5,5
1527628922,4,4
1527630121,25,25
1527631321,14,14
1527631921,14,14
1527632521,10,10
1527633121,13,13
1527633721,15,15
1527634921,18,18
1527635521,9,9
1527636122,17,17
1527637321,20,20
1527637922,2,2
1527638522,6,6
1527639723,25,25
1527640921,50,50
1527642121,20,20
1527643322,28,28
1527644523,25,25
1527645721,11,11
1527646921,12,12
1527648121,22,22
1527649321,8,8
1527650522,20,20
1527651721,15,15
1527652321,12,12
1527652921,14,14
1527654122,17,17
1527655321,16,16
1527655921,8,8
1527656521,6,6
1527657721,7,7
1527658922,15,15
1527659521,4,4
1527660122,7,7
1527660721,8,8
1527661323,4,4
1527661922,22,22
1527662522,4,4
1527663721,3,3
1527664921,27,27
1527665522,11,11
1527666121,12,12
1527667322,27,27
1527668521,17,17
1527669122,5,5
1527669722,9,9
1527670921,15,15
1527672121,21,21
1527673322,19,19
1527674521,12,12
1527675122,3,3
1527675721,4,4
1527676921,13,13
1527678122,25,25
1527678722,1,1
1527679322,11,11
1527680521,13,13
1527681122,9,9
1527681722,7,7
1527682322,6,6
1527682922,2,2
1527684122,19,19
1527685322,14,14
1527685921,4,4
1527686521,3,3
1527687122,7,7
1527687721,3,3
1527688921,11,11
1527690122,18,18
1527691322,6,6
1527692522,9,9
1527693123,9,9
1527694922,20,20
1527696121,35,35
1527697322,15,15
1527697921,14,14
1527698522,12,12
1527699721,9,9
1527700321,5,5
1527700922,3,3
1527702121,8,8
1527703322,6,6
1527704523,9,9
1527705721,15,15
1527706321,10,10
1527706921,35,35
1527708121,15,15
1527709322,19,19
1527710521,30,30
1527711721,9,9
1527712321,13,13
1527712921,12,12
1527714121,15,15
1527715321,18,18
1527715921,15,15
1527716522,9,9
1527717721,25,25
1527718321,9,9
1527718922,19,19
1527720121,31,31
1527720721,11,11
1527721321,11,11
1527722522,26,26
1527723122,7,7
1527723721,11,11
1527724922,7,7
1527726122,9,9
1527727322,11,11
1527728521,9,9
1527729721,4,4
1527730921,25,25
1527732122,16,16
1527732721,2,2
1527733322,14,14
1527733922,8,8
1527734521,3,3
1527735721,8,8
1527736921,28,28
1527738122,27,27
1527739322,8,8
1527740522,18,18
1527741122,10,10
1527741722,6,6
1527742922,4,4
1527743521,38,38
1527744121,12,12
1527745322,2,2
1527746522,26,26
1527747122,3,3
1527747722,4,4
1527748322,7,7
1527748921,5,5
1527750122,23,23
1527750721,18,18
1527751321,11,11
1527751921,3,3
1527752521,8,8
1527753721,11,11
1527754921,14,14
1527756121,18,18
1527757322,3,3
1527758522,21,21
1527759122,4,4
1527759722,3,3
1527760922,15,15
1527761521,8,8
1527762121,8,8
1527763321,16,16
1527763922,17,17
1527764522,1,1
1527765721,7,7
1527766921,21,21
1527768122,20,20
1527768722,4,4
1527769322,4,4
1527770521,14,14
1527771122,3,3
1527771722,9,9
1527772321,4,4
1527772922,3,3
1527774122,18,18
1527775322,21,21
1527775921,11,11
1527776521,9,9
1527777722,7,7
1527778321,8,8
1527778922,3,3
1527780121,23,23
1527780721,6,6
1527781322,14,14
1527782521,11,11
1527783722,33,33
1527784922,25,25
1527785522,21,21
1527786121,8,8
1527786721,29,29
1527787322,30,30
1527787921,7,7
1527788522,7,7
1527789721,25,25
1527790921,14,14
1527792121,27,27
1527792721,34,34
1527793321,9,9
1527793922,19,19
1527794522,7,7
1527795721,24,24
1527796322,18,18
1527796921,6,6
1527797522,16,16
1527798122,5,5
1527798721,10,10
1527799322,5,5
1527800521,24,24
1527801122,5,5
1527801722,6,6
1527802921,25,25
1527803522,4,4
1527804121,4,4
1527804721,12,12
1527805322,2,2
1527805921,11,11
1527806521,23,23
1527807122,8,8
1527807721,5,5
1527809522,30,30
1527810121,5,5
1527810721,21,21
1527811322,4,4
1527811922,4,4
1527812522,25,25
1527813122,5,5
1527813721,5,5
1527814922,29,29
1527816122,21,21
1527817321,11,11
1527818521,12,12
1527819721,4,4
1527820321,12,12
1527821522,4,4
1527822121,4,4
1527823322,5,5
1527823921,6,6
1527824521,3,3
1527825122,12,12
1527825721,2,2
1527826321,1,1
1527826921,1,1
1527827522,5,5
1527828122,5,5
1527828722,3,3
1527829323,3,3
1527830521,10,10
1527831121,2,2
1527831721,7,7
1527832322,3,3
1527832921,3,3
1527833522,7,7
1527834122,3,3
1527834721,3,3
1527835322,5,5
1527836522,16,16
1527837722,19,19
1527838322,7,7
1527838921,7,7
1527840122,20,20
1527840722,15,15
1527841322,5,5
1527842523,23,23
1527843721,6,6
1527844921,17,17
1527845522,5,5
1527846121,4,4
1527846722,6,6
1527847321,5,5
1527848521,6,6
1527849721,18,18
1527850321,6,6
1527850922,20,20
1527852121,20,20
1527853321,7,7
1527854521,6,6
1527855122,5,5
1527855722,3,3
1527856921,10,10
1527858122,16,16
1527859322,15,15
1527859922,4,4
1527860521,10,10
1527861722,11,11
1527862321,4,4
1527862922,12,12
1527864122,10,10
1527865322,11,11
1527866521,5,5
1527867721,10,10
1527868921,7,7
1527869522,4,4
1527870122,7,7
1527871322,17,17
1527872521,8,8
1527873122,21,21
1527873722,13,13
1527874921,23,23
1527875522,3,3
1527876122,6,6
1527877321,6,6
1527878522,15,15
1527879721,14,14
1527880321,13,13
1527880922,5,5
1527882121,18,18
1527883322,16,16
1527883921,19,19
1527884521,6,6
1527885122,6,6
1527885721,10,10
1527886922,19,19
1527888121,17,17
1527888722,5,5
1527889322,13,13
1527890521,16,16
1527891722,28,28
1527894122,28,28
1527894722,12,12
1527895321,8,8
1527896521,27,27
1527897722,14,14
1527898921,36,36
1527900122,27,27
1527900721,4,4
1527901322,5,5
1527902521,43,43
1527903722,53,53
1527904322,26,26
1527904921,30,30
1527906122,32,32
1527906721,20,20
1527907321,15,15
1527908521,38,38
1527909721,45,45
1527910322,24,24
1527910921,16,16
1527912121,42,42
1527912722,18,18
1527914522,52,52
1527916922,48,48
1527918721,39,39
1527921122,45,45
1527923521,45,45
1527925322,28,28
1527925921,46,46
1527927722,0,44
1527928921,37,37
1527930122,38,38
1527930721,20,20
1527931922,34,34
1527933121,19,19
1527934321,33,33
1527935521,20,20
1527936721,16,16
1527937922,37,37
1527939121,45,45
1527940321,38,38
1527941521,32,32
1527942722,32,32
1527943922,30,30
1527945122,33,33
1527946321,34,34
1527947522,38,38
1527948122,34,34
1527949321,35,35
1527950522,37,37
1527951722,49,49
1527952921,41,41
1527954121,25,25
1527955322,19,19
1527956522,16,16
1527957721,21,21
1527958922,13,13
1527960122,12,12
1527961322,11,11
1527962522,14,14
1527963722,6,6
1527964922,15,15
1527966121,22,22
1527967321,100,0
1527968521,12,12
1527969722,14,14
1527970922,17,17
1527972122,21,21
1527972722,5,5
1527973921,19,19
1527975122,17,17
1527976322,100,0
1527977522,14,14
1527978721,0,32
1527979921,100,0
1527981122,14,14
1527982321,10,10
1527982922,3,3
1527984721,14,14
1527985921,9,9
1527987121,18,18
1527988322,5,5
1527989521,12,12
1527990721,16,16
1527991921,5,5
1527993121,18,18
1527994321,3,3
1527995521,10,10
1527996722,19,19
1527997922,6,6
1527999121,10,10
1528000322,12,12
1528001522,7,7
1528002722,8,8
1528003921,7,7
1528005121,7,7
1528005721,3,3
1528006922,9,9
1528007521,3,3
1528008122,6,6
1528009321,7,7
1528010521,4,4
1528011722,3,3
1528012921,13,13
1528014122,4,4
1528015321,5,5
1528016522,25,25
1528017722,9,9
1528018921,11,11
1528020122,15,15
1528021322,14,14
