DateTime,Entries,UniqueIPs
1526558402,6607,6607
1526562002,6734,6734
1526565602,6864,6864
1526569201,7004,7004
1526572802,7104,7104
1526576402,7276,7276
1526580001,7455,7455
1526583601,7589,7589
1526587202,7711,7711
1526590802,7814,7814
1526594401,7975,7975
1526598002,8119,8119
1526601602,4630,4630
1526605202,4730,4730
1526608802,4873,4873
1526612402,5050,5050
1526616002,5140,5140
1526619602,5294,5294
1526623202,5404,5404
1526626802,6458,6458
1526630401,7444,7444
1526634002,7996,7996
1526637602,9192,9192
1526641202,9881,9881
1526644802,9999,9999
1526648402,10596,10596
1526652001,12054,12054
1526655602,13412,13412
1526659202,14639,14639
1526662802,14815,14815
1526666402,14935,14935
1526670002,15044,15044
1526673602,15161,15161
1526677203,15273,15273
1526680802,15370,15370
1526684402,15457,15457
1526688002,12286,12286
1526691602,12391,12391
1526695202,12525,12525
1526698802,12619,12619
1526702402,12802,12802
1526706002,12937,12937
1526709603,13347,13347
1526713201,14237,14237
1526716802,15261,15261
1526720402,15544,15544
1526724002,15813,15813
1526727602,16268,16268
1526731202,16749,16749
1526734802,17084,17084
1526738402,17904,17904
1526742002,18465,18465
1526745602,19361,19361
1526749203,19419,19419
1526752802,19461,19461
1526756402,19506,19506
1526760002,19558,19558
1526763602,19659,19659
1526767202,19724,19724
1526770802,19837,19837
1526774402,9957,9957
1526778001,10033,10033
1526781602,10100,10100
1526785202,10170,10170
1526788802,10250,10250
1526792402,10338,10338
1526796002,10447,10447
1526799602,10566,10566
1526803202,10716,10716
1526806802,10848,10848
1526810402,10985,10985
1526814002,11128,11128
1526817602,11298,11298
1526821202,11418,11418
1526824802,11540,11540
1526828402,11695,11695
1526832002,11801,11801
1526835602,11897,11897
1526839202,12045,12045
1526842802,12149,12149
1526846402,12272,12272
1526850002,12407,12407
1526853602,12502,12502
1526857202,12622,12622
1526860802,3855,3855
1526864402,3948,3948
1526868002,4044,4044
1526871602,4147,4147
1526875202,4264,4264
1526878802,4388,4388
1526882402,4507,4507
1526886002,6163,6163
1526889602,7808,7808
1526893202,8753,8753
1526896802,9153,9153
1526900402,9508,9508
1526904002,9975,9975
1526907602,10495,10495
1526911202,10860,10860
1526914802,11022,11022
1526918401,11162,11162
1526922002,11311,11311
1526926502,11605,11605
1526930101,11727,11727
1526934602,11833,11833
1526938202,11925,11925
1526942702,12051,12051
1526946302,12173,12173
1526949901,9808,9808
1526953501,9923,9923
1526957102,10053,10053
1526960702,10166,10166
1526964302,10278,10278
1526967902,10399,10399
1526971501,10547,10547
1526975101,10729,10729
1526978702,10894,10894
1526982302,11073,11073
1526985902,11314,11314
1526989502,11473,11473
1526993102,11647,11647
1526996702,11770,11770
1527000302,11910,11910
1527003901,12029,12029
1527007502,12163,12163
1527011101,12279,12279
1527014702,12377,12377
1527018301,12505,12505
1527021902,12626,12626
1527025502,12740,12740
1527029101,12924,12924
1527032702,13116,13116
1527036301,4977,4977
1527039902,5100,5100
1527043501,5238,5238
1527047102,5449,5449
1527050702,5698,5698
1527054302,5832,5832
1527057902,5965,5965
1527061502,6106,6106
1527065102,6322,6322
1527068702,6617,6617
1527072302,6742,6742
1527075901,6886,6886
1527079502,7140,7140
1527083102,7381,7381
1527086702,7520,7520
1527090302,7656,7656
1527093901,7742,7742
1527097502,7827,7827
1527101102,7953,7953
1527104701,8063,8063
1527108302,8166,8166
1527111902,8266,8266
1527115502,8377,8377
1527119101,8461,8461
1527122701,5044,5044
1527126301,5180,5180
1527129901,5397,5397
1527133502,5499,5499
1527137101,5627,5627
1527140701,5743,5743
1527144301,5859,5859
1527147902,6006,6006
1527151502,6155,6155
1527155101,6276,6276
1527158702,6396,6396
1527162302,6543,6543
1527165902,6671,6671
1527169502,6795,6795
1527173101,6924,6924
1527176701,7022,7022
1527180302,7136,7136
1527183902,7256,7256
1527187502,7376,7376
1527191102,7586,7586
1527194702,7670,7670
1527198302,7758,7758
1527201902,7869,7869
1527205502,7944,7944
1527209102,4303,4303
1527212702,4399,4399
1527216302,4523,4523
1527219902,4625,4625
1527223501,4785,4785
1527227101,4902,4902
1527230702,5117,5117
1527234301,5271,5271
1527237902,5392,5392
1527241502,5512,5512
1527245101,5722,5722
1527248702,5868,5868
1527253202,6008,6008
1527256802,6189,6189
1527260402,6362,6362
